exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_source,event_year,profile_checked
564Lamartine,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 K052,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/564Lamartine,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
A LIVRE OUVERT,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 D029,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/A-LIVRE-OUVERT-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
A&A PATRONS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 H030,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AandA-PATRONS-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ADELINE KLAM,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 D037,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ADELINE-KLAM-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
AGENT PAPER,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 B034,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AGENT-PAPER,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ALADINE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ALADINE-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
AMAGATWAX,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 G015,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/AMAGATWAX,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Ankersmit France,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 B033,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Ankersmit-France,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ANNA ROSE PATTERNS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 J043,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ANNA-ROSE-PATTERNS-4,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ANNAB CROCHET,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 H027,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ANNAB-CROCHET,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
