exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
ACRYLIC SIGNS MATERIAL,acrylicsm.com.my,0811-8828-529,acrylicjkt19@gmail.com,"JL. JEMBATAN III KAV. 36 BLOK. DZ & EA RT.004/RW.011, PENJARINGAN, PENJARINGAN, Kota Jakarta Utara, DKI Jakarta, Indonesia",Indonesia,ACRYLIC SIGNS MATERIAL,C3 N020,supplier and manufacturer of advertising products,Kota Jakarta Utara,
"AEBO SCIENCE TECH CO.,LTD",chinaaebo.com,+8618751831784,meyo@chinaaebo.com,"NO 11 HUANGMA RD MAQUN NANJING CHINA, NANJING, JIANGSU, China",China,"AEBO SCIENCE TECH CO.,LTD",B1 M008,THERMAL TRANSFER RIBBON BARCODE RIBBON,,
"AGANSA PRIMATAMA, PT",agansa.com,+62 271 657203,info@agansa.com,"Beteng Plaza Blok B-11 Jl. Mayor Sunaryo Solo 57133, Indonesia, Kota Surakarta, Jawa Tengah, 57133 Indonesia",Indonesia,"AGANSA PRIMATAMA, PT",C3 M015,Trading Textile Machinery,Kota Surakarta,
"ALAM SUKSES GEMILANG, PT",,021-29466560,info@unggulansuksesgemilang.com,"RUKO SYMPONY HX2 NO.19, PUSAKA RAKYAT TARUMA JAYA - BEKASI - JAWA BARAT 17214, Kabupaten Bekasi, Jawa Barat, 17214 Indonesia",Indonesia,"ALAM SUKSES GEMILANG, PT",C3 E007,distributor unggulan mesin LASER & cutting,Kabupaten Bekasi,
ALL COLOUR INTERNATIONAL,allcolourinternational.id,+62 821-2369-0953,allcolourinternational@gmail.com,"Jl. Wr. Gantung No.83V, RT.2/RW.6, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Kota Jakarta Barat, DKI Jakarta, 11840 Indonesia",Indonesia,ALL COLOUR INTERNATIONAL,C3 P019,Supplyer,Kota Jakarta Barat,
"AMSKY INDONESIA, PT",,,,,Indonesia,"AMSKY INDONESIA, PT",B3 D027,,,
"ANEKA SAKTI BAKTI, PT (ASABA)",asaba.id,02180664499,dsales@asaba.id,"Jln. Ir. H. Juanda No. 7 Jakarta Pusat, Kota Jakarta Pusat, DKI Jakarta, 10120 Indonesia",Indonesia,"ANEKA SAKTI BAKTI, PT (ASABA)",B3 A007,"PT Aneka Sakti Bakti (ASABA) is the authorized distributor of DEVELOP, a German brand under Konica Minolta, delivering advanced multifunction printers and production printing solutions to support businesses with reliable document management and high-quality printing technology.",Kota Jakarta Pusat,
"ANEKA WARNA INDAH, PT",anekawarna.co.id,0214204545,marketing.support@anekawarna.co.id,"Jl. Gn. Sahari No.50A 1, RT.1/RW.1, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Kota Jakarta Pusat, DKI Jakarta, 10610 Indonesia",Indonesia,"ANEKA WARNA INDAH, PT","C3 P007 (54), C3 D007 (108), C3 B007 (36)","PT Aneka Warna Indah adalah perusahaan penyedia perlengkapan industri digital printing dan fotografi (mesin, kamera, media paper/bahan baku, part dan service). Aneka Warna berpengalaman sejak 1980 dalam produk percetakan seperti mesin dan consumable sejak. Layanan dan penjualan kami menjangkau seluruh wilayah Indonesia (Medan, Pekanbaru, Palembang, Jakarta, Bandung, Semarang, Yogyakarta, Surabaya, Pontianak)",Kota Jakarta Pusat,
"Anhui Hengbo New Material Co., Ltd",ahhengbo.com,13511625745,286744300@qq.com,"No. 127, Zhongshan Road, Guangde County, Xuancheng City, Anhui Province, Xuancheng, Anhui, China",China,"Anhui Hengbo New Material Co., Ltd",B3 G008,"Founded in 2017,we specialize in supplying a full range of products including PET release film, release paper, paint protection film, car wrapping film, window film, transparent glass stickers, static film, crystal film and other related materials. We have an excellent R&D team to provide strong technical support for our customers. We implement strict quality control throughout the entire production process, covering raw material inspection, coating, slitting and final delivery.",,
"ANHUI XINTAO PHOTOELECTRIC TECHNOLOGY CO., LTD",xintaogroup.cn,+86-755-28227622,sales@xintaogroup.com,"NO. 2, TAIHU ROAD, LANGXI ECONOMICAL DEVELOPMENT ZONE, LANGXI COUNTY, XUANCHENG, ANHUI, CHINA, XUANCHENG, ANHUI, China",China,"ANHUI XINTAO PHOTOELECTRIC TECHNOLOGY CO., LTD",B3 H015,"Xintao is a professional manufacturer of acrylic sheet in China, established in the year 2001, we have 6 factories with 50 production lines and annual capacity more than 250,000 tons.",,
"ANHUI XINTAO PHOTOELECTRIC TECHNOLOGY CO.,LTD",,,,,China,"ANHUI XINTAO PHOTOELECTRIC TECHNOLOGY CO.,LTD",B3 H015,,,
"ANHUI YIHONG NEW MATERIAL TECHNOLOGY CO.,LTD",yihongbopp.com,+86-15060923889,jasmine@fjhongliyc.com,"SHUSHAN MODERN INDUSTRIAL PARK, HUAINAN CITY, ANHUI PROVINCE, HUAINAN, ANHUI, China",China,"ANHUI YIHONG NEW MATERIAL TECHNOLOGY CO.,LTD",tbc,"Our product categories include BOPP/PET thermal lamination film, metalized film, holographic film, soft-touch film, anti-scratch film, and more.",,
"ANTAC LABEL MATERIAL CO., LTD.",antaclabel.com,+86 769 23622360,johnson@antaclabel.com,"No.292, Fenxi Road, Wanjiang District, Dongguan City, Guangdong Province, P.R.C., Dongguan, Guangdong, China",China,"ANTAC LABEL MATERIAL CO., LTD.",B1 A008,"Self-adhesive label materials, stickers, poly bag, paper bag, bubble bag and so on.",,
"ANWIN TECHNOLOGY CO., LTD",anwin.en.alibaba.com,+886227173068,tracy@awint.com,"11-4FL, No. 171, Sec. 4, Nanking East Road., Taipei, Taiwan. R.O.C., Taipei city, Taiwan, Taiwan",Taiwan,"ANWIN TECHNOLOGY CO., LTD",AS 016,UV overprint varnishes Water-based coatings,,
APRIL,aprilasia.com,08129999708,salesboardid@aprilasia.com,"Jl. M.H. Thamrin No. 31, Kebon Melati, Tanah Abang, Jakarta Pusat 10230, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Indonesia,APRIL,AA 006,"Asia Pacific Resources International Limited (APRIL) Group is one of the largest, most technologically advanced and efficient makers of pulp and paper products in the world. We make products that are used by millions of people every day in liquid packaging, printing and writing paper, tissues, shopping bags, food packaging, magazines and books. Our products, including our flagship PaperOne office paper and BoardOne paperboard, are proudly marketed and sold in more than 110 countries around.",Kota Jakarta Pusat,
"ASIA ELEKTRO TEKNOLOGI, PT",,08119308689,info.asiaelektro@gmail.com,"SEDAYU SQUARE, Jl. Outer Ringroad Lkr. Luar No.1 BLOK I20 - I21, RT.1/RW.12, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Kota Jakarta Barat, DKI Jakarta, Indonesia",Indonesia,"ASIA ELEKTRO TEKNOLOGI, PT",B1 D035,"PT Asia Elektro Teknologi adalah perusahaan yang bergerak dibidang penjualan, perakitan LED Videotron dan Distributor resmi NovaStar di Indonesia.",Kota Jakarta Barat,
"ASUN PAPER PRODUCTS CO.,LTD.",,,,,China,"ASUN PAPER PRODUCTS CO.,LTD.",tbc,,,
