company_name,domain,description,booth,email,city,full_address,mobile_primary
AC Cable Solutions,accablesolutions.com,,Stand A9,mailto:info@accablesolutions.com,,,+44 (0)161 874 1480
Adler and Allan,adlerandallan.co.uk,,Stand A1,,,,0800 592 827
Adriateh,ns-services.co.uk,"N&S Services provides outstanding support in self-service car wash solutions, specialising in installation, maintenance, and aftercare. As the sole UK supplier of Adriateh equipment, we deliver high-performance systems backed by the best service in the business. Quality powered by service.",Stand D14,info@ns-services.co.uk,,Neil Pitman Adriateh Unit 20 Liberty close Woolsbridge Ind Est Wimborne BH21 6SY,07795830937
AIR-serv,air-serv.co.uk,"AIR-serv manufactures and fully manages high-quality British-made air, vac and jet-wash equipment for UK & Europe forecourt operators big and small. We deliver regular, reliable revenue and maximum machine uptime - with no capital investment required, and zero operational burden.",Stand D4,sales@air-serv.co.uk,,"AIR-serv Redgate Rd, Ashton-in-Makerfield, Wigan, WN4 8DT",01942 722333
Ancorra Environmental Services,ancorra.ie,,Stand A20,,,,
APEA,apea.org.uk,"The APEA is a UK based organisation, drawing membership from all quarters of the Petroleum Industry, including Regulators from National and Local Government Authorities, Oil Companies, Equipment Manufacturers and Suppliers, Service and Installation Organisations, Training Establishments and many others.",Stand A23,,,"Natalie Rice APEA Peershaws, Berewyk Hall Court, White Colne Essex, CO6 2QB",+44 345 603 5507
Berrys Technologies Limited,berrys.com,,Stand D2,enquiries@berrys.com,,,0121 558 4411
Brivo,yelp.com,"Brivo is the global leader in cloud-native AI-driven physical security, with more than 2 million devices deployed across 100,000+ locations in 80 countries. Headquartered in Bethesda, Md., and Austin, Texas, Brivo has additional offices in Lehi, Utah; Amsterdam; Bangalore; London; and Tokyo. Learn more at brivo.com.",Stand A21,,,Contact us via Email »,
Easefix Ltd,find-and-update.company-information.service.gov.uk,,Stand D7,,,,
Elaflex,elaflex.de,,Stand D6,,,,121 22525
Euro Ekol Carwash,euro-ekol.com.pl,"Euro-Ekol is an innovative manufacturer of advanced touchless car washes. With over 30 years of industry experience, we have developed, patent-pending technologies that improve efficiency, reliability and customer experience. Our own production facility and comprehensive service enable us to deliver customised solutions for investors across Europe.",Stand B8,,,"Lucas Skonka Euro-Ekol sp. z o.o. sp. k. Rokicinska 186D, 92-412 Lodz, Poland",501048952
EV-EXBOX,ev-exbox.com,"EV-EXBOX provide the UK's leading EV charging risk assessment service across petrol filling stations, EV hubs, parking structures, fleet & bus depots. As a result of their outstanding EV charging risk awareness training, EV-EXBOX have been commissioned to write the UK's first industry code of best practice for EV charging.",Stand B9,info@gwenvironmentalconsulting.com,,"Graeme Warnell EV-EXBOX 28 Braywick Road, Maidenhead, Berkshire, SL6 1DA, UK",+44 (0) 7766107088
Evolve,evolvebg.co.uk,"Evolve delivers always-on managed network solutions for multi-site brands across forecourt, retail, hospitality, and QSR environments. With in-house expertise and a focus on shopfront operations, Evolve provides 24/7, 365-day remote monitoring and support, including multilingual service, ensuring reliable connectivity, performance, and seamless customer experiences across every location.",Stand A22,,,"Neil Muttock Evolve 1 Smithy Court, Smithy Brook Road, WN3 6PS",
