exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
AGAFLEX,agaflex.pl,,,Uzexpocentre NEC,Poland,AGAFLEX,H 38,"AGAflex is a renowned Polish manufacturer. Our factory produces threaded nipples, compression fittings and AGA repair clamps made from malleable cast iron. The popularity of our products is growing year by year due to their suitability for use on both steel and PE pipes. We export our products to over 30 countries, and for this reason, we are present in Uzbekistan, where we hope to find a partner for the coming years. If you would like to discover a product that is more affordable than the competition, a product we can deliver and develop together, please visit our stand and discuss.",Tashkent,
"AGROFITTING, LLC",agrofitting.com,,,Uzexpocentre NEC,Uzbekistan,"AGROFITTING, LLC",H 80,"AGROFITTING is a company specializing in the distribution of high-quality U-PVC solutions for water supply systems and swimming pool construction. We offer a wide range of PVC pipes, fittings, and ball valves designed to create reliable, durable, and efficient water transportation systems. Our products are suitable for residential and commercial construction, swimming pools, water supply systems, and other engineering projects. Our main areas of activity are wholesale distribution and the development of a partner dealer network. We strive to provide our customers with high-quality products, stable supply, and professional support at every stage of cooperation.",Tashkent,
"AKAN ENTERPRISE GROUP (ZHEJIANG) CO., LTD",akanpolygon.com,,,Uzexpocentre NEC,China,"AKAN ENTERPRISE GROUP (ZHEJIANG) CO., LTD",L 66,"AKAN ENTERPRISE GROUP (ZHEJIANG) CO., LTD. operates under the brand POLYGON, a professional manufacturer and solution provider of plastic piping systems. The company specializes in the R&D, production, and sales of plastic pipe products, supported by advanced technology and modern production equipment. POLYGON’s product portfolio includes PPR, PVC, HDPE pipes and fittings, coil pipes, fresh air heat recovery ventilation systems, and water purification products, widely applied in water supply and drainage, HVAC systems, municipal engineering, ground-source heat pump systems, siphonic rainwater drainage, and other infrastructure fields.",Tashkent,"https://www.linkedin.com/company/Akan Enterprise Group (Shanghai) Co., Ltd"
AKVADIS,,,,Uzexpocentre NEC,Russian Federation,AKVADIS,K 10,"WALENT is a Russian brand of pumping equipment and engineering solutions for sewage and wastewater systems.We combine hands-on experience, modern technologies, and our own engineering developments to create equipment designed for real-world operating conditions.WALENT is built on advanced technology, energy efficiency, and reliability.ZEMLYAK is a Russian brand of autonomous sewage treatment systems for private homes and commercial facilities.We develop practical, reliable solutions for wastewater collection and treatment. Durable construction, thoughtful engineering, and easy installation ensure efficient operation and a long service life.",Tashkent,
ALTO THERM,,,,Uzexpocentre NEC,Kazakhstan,ALTO THERM,G 44,"Convectors are one of the best solutions for efficient heating and maintaining a comfortable microclimate in a home or office, regardless of the season. The equipment combines all the advantages of a reliable and high‑quality heater thanks to its attractive appearance, excellent technical and operational characteristics, as well as its affordable price. It is precisely the features of versatility that attract buyers to these heating systems, since for modern consumers it’s not enough just to get heat — comfort and the design of the equipment are also important. Convection heating systems fully meet these requirements and wishes.",Tashkent,
"ANHUI AFULISE CONSTRUCTION TECHNOLOGY CO., LTD.",afulise.com,,,Uzexpocentre NEC,China,"ANHUI AFULISE CONSTRUCTION TECHNOLOGY CO., LTD.",F 27,"Anhui Everishe Building Technology Co., Ltd. is an excellent high-tech enterprise deeply engaged in the field of building hvac in China's smart and comfortable home industry.As a manufacturer and brand service provider of HVAC valves and piping system solutions， Afulise focuses on floor heating systems, radiator systems, solar pumping station systems, pipeline connection systems, and flexible pipe water supply systems.， The integrated strategic layout of research, production and marketing in the five major fields and brand operation services, the products cover more than 100 varieties and more than 3,000 specifications，",Tashkent,
"AOSHENG PUMPS CO., LTD.",aoshengpump.com,,,Uzexpocentre NEC,China,"AOSHENG PUMPS CO., LTD.",F 150,"Aosheng is a professional manufacturer of centrifugal pumps and fluid handling solutions. Our product range includes vertical and horizontal multistage pumps, end-suction pumps, inline pumps, and other industrial pumping solutions. We are committed to providing reliable, efficient, and high-quality products for water supply, industrial, commercial, and HVAC applications.",Tashkent,https://www.linkedin.com/company/ocbooom/posts/
APATOR,apator.com,,,Uzexpocentre NEC,Poland,APATOR,K 152,"Apator Powogaz is one of the leading water meter manufacturers in the world, with over 100 years of experience in developing precision measuring instruments. Our portfolio includes water meters, heat meters, heat cost allocators, modern services for remote reading, utility consumption billing, and the management of water and heat distribution systems.Apator Powogaz is part of the Apator Group – an international group of companies providing comprehensive solutions in the fields of electricity, gas, water, and heat measurement, as well as systems for data management and automation. Together, we create innovative technologies that support sustainable resource management and energy efficiency.",Tashkent,https://pl.linkedin.com/company/apator-powogaz-s-a-
ARVAS,arvas.by,,,Uzexpocentre NEC,Belarus,ARVAS,G 73,"SOOO ARVAS — белорусский производитель приборов для измерения и регулирования тепловой энергии, а также для измерения расхода жидких сред.",Tashkent,
ASTARTE,,,,Uzexpocentre NEC,Uzbekistan,ASTARTE,G 91,,Tashkent,
