company_name,domain,description,booth,email,city,full_address,mobile_primary
727SAILBAGS,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
ACAD,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
AGENCE 37 DEUX,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
ALIZE COMMUNICATION,weareled.fr,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
ALVS - CADEAUX D'AFFAIRES,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
ATELIER LYONNAIS DE MAROQUINERIE,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
AVENIR COMMUNICATION,avenir-communication.com,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
BERTRAND CHOCOLATIER,bertrandchocolatier.com,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
CHAMPAGNE JACQUART,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
CHAUSSETTES ET COMPAGNIE,chaussettesetcompagnie.fr,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
CHOCOLATERIE DUPLESSIS,chocolaterieduplessis.com,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
CÉDRIC TURMEL CHOCOLATIER,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
DRAGO PARIS,dragoparis.fr,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
DROP STOP ®,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
EX NIHILO,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
FAÇON CUIR,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
FERRIOT CRIC,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
FHL EASY,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
FREEMIUMPLAY,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
GAMES ON DEMAND,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
GANGZAI DESIGN,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
GOODIE-D,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
GROUPE FULL ACE,catalogue.groupe-fullace.fr,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
GUANGZHOU ZIBAI SINTECH,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
HELFRICH - MEDIADEME,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
IMPACT EMOTION,impact-emotion.com,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
INERYS,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
KICK & RUSH,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
KROKAN,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
L'OBJET MEDIA - LA FEDERATION,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
LA PAPOTERIE,lapapoterie.fr,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
LA PARFUMERIE,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
LA PEPINIERE,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
LA SELECTION,,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
LE COMPTOIR DE MATHILDE,lecomptoirdemathilde.com,,,,Paris,"Paris Expo Porte de Versailles, Paris, France",
