company_name,domain,description,booth,email,city,full_address,mobile_primary
A.I.F.M. - Associazione Italiana Finiture dei Metalli,metallurgia-italiana.net,"La Metallurgia Italiana - the international journal of the Italian Association of Metallurgy - has been published by AIM since 1909. AIM organises various courses, seminars and conferences for the Italian and international metallurgical community to disseminate the knowledge and culture of metals.",,,Milan,"Via G. Sismondi 50, 20133",
A.t.i.e. Uno Informatica S.r.L.,atieuno.com,"Atieuno is a holistic software solution provider for the entire aluminium manufacturing process. Our EMS 3rd G Ecosystem delivers reliable, integrated and scalable digital solutions across feasibility, planning, extrusion, quality, logistics, finishing and business intelligence. By combining deep process expertise with AI, simulation and real-time data, we help manufacturers manage complexity, improve energy and resource efficiency, increase productivity, reduce scrap and turn digital innovation into measurable industrial impact.",1E57,atieuno@atieuno.com,,"via Macon, 30",+390341210444
ABB AG,new.abb.com,"ABB is a technology leader in electrification and automation, enabling a more sustainable and resource-efficient future. The company’s solutions connect engineering know-how and software to optimize how things are manufactured, moved, powered and operated. Building on over 140 years of excellence, ABB’s more than 105,000 employees are committed to driving innovations that accelerate industrial transformation. www.abb.com",5C06,contact.center@de.abb.com,,Oberhausener Straße 33,+49 2102 12 0
ABP Induction Systems GmbH,abpinduction.com,"ABP Induction develops and manufactures induction systems for the melting and heating of iron, steel, and non-ferrous metals. As a trusted partner to the metals industry, ABP combines state-of-the-art technology with comprehensive service and digitalization solutions. More than 400 employees at locations in the United States, Germany, Sweden, Mexico, Thailand, India, China, and South Africa ensure close customer support, technical expertise, and first-class service. ABP INDUCTION - YOUR PARTNER ON THE WAY TO ZERO EMISSION",6F72,info@abpinduction.com,Dortmund,"Kanalstr. 25, 44147",+49 231 997-0
Acciai Speciali Terni S.p.A. Forging Division,acciaiterni.it,"Forging Division of Acciai Speciali Terni S.p.A. (Arvedi group) produces forgings for different applications since 1884 in Terni. With its own melting shop can produce ingots up to 530 tons and delivery a finished weight up to 270 tons. We produce rolls for both steel and aluminium industry in 3%Cr and 5%Cr. 100% our production is made in our site in Terni starting from Melting, Refining and Stream degassing to Forging shop with our 12.600 tons hydraulic presse. We have dedicated furnaces for Differential Quality Heat Treatment for the barrel of the rolls and mechanical shops.",3H19,stefano.teofili@acciaiterni.it,Terni,"Viale Benedetto Brin 218, Umbria, 05100",+39.3316648784
Achenbach Buschhütten GmbH & Co KG,achenbach.de,"Achenbach is a family-owned and family-run enterprise which can look back on more than 570 years of history and is a global provider of non-ferrous metal rolling mills with rolling oil and automation systems as well as foil slitting machines for winding, separating and slitting thinnest metal foils and converting material. The range of products includes turnkey production plants, machinery lines, single machines, technology components and the cloud-based platform Achenbach OPTILINK®.",3E13,info@achenbach.de,Kreuztal,"Siegener Straße 152, Nordrhein-Westfalen, 57223",+49 (0) 2732 799 - 0
"ADTECH METALLURGICAL MATERIALS CO., LTD",adtechamm.com,"We are a manufacturer of: online degassing equipment, online filtration equipment (plate filtration, tube filtration, deep bed filtration), launder, filter plate(PHF-CFF,PAL-CFF), caster tip, hot top accessories, fluxes and tap out cones.",6M18,terry.wang@adtechamm.com,,"Room 1502, Fuhua building No.1, University science park of Changchun road, Gaoxin District",+8615903635011
Advanced Material Specialty Inc.,amspec-inc.com,"AMSpec can provide aerospace-grade tubing and profiles, ideal for aircraft mechanical parts due to our use of qualified high cleanliness alloys and our renowned proven manufacturing process that results in high product stability. When a request is received, we will discuss with the customer if there is a better combination of the selected alloy and structure. In order to provide the highest quality products to all of our customers, AMSpec prefers to spend more time identifying requirements, from project discussion to prototyping. Mass production can only begin after samples have been approved",4D02,claire@amspec-inc.com,"Douliu City, Yunlin County","No.18, Kegong 2nd Rd., YUNLIN, 64064",+88655516188
"Aerospace Engineering Equipment (Suzhou) Co.,Ltd",a-fsw.com,"AEE is a specialized provider of friction stir welding (FSW) technology, equipment and turnkey aluminum joining solutions. With strong R&D and engineering expertise, we develop and manufacture C-type, gantry, 3D, heavy-load, dual-head and fully automated FSW systems, plus customized fixtures, tools, spindles and production lines. Serving automotive, rail transit, aerospace, marine, electronics, semiconductor, photovoltaic and energy storage industries, AEE supports customers from feasibility analysis and process development to installation, commissioning and mass production.",5M07,overseas_aee@163.com,苏州,"No.81 North Guandu Road,Yuexi Street,Wuzhong Economic Development, ACT, 215104",+86 18325808715
AIROLDI METALLI S.p.A.,airoldimetalli.it,"Airoldi Metalli’s core business is focused on the distribution of aluminium. It offers extruded, drawn, casted and turned bars, cold laminated tubes, hot laminated plates and casted slabs. Airoldi Metalli offers a wide stock range of aluminium products in many alloys and sizes. Airoldi Metalli is recognised by the market for its attention to clients, availability, technical level of the staff and strict compliance to the agreements with both suppliers and clients. Since 1836 Airoldi Metalli’s main characteristics have been: fast deliveries, reliability and professionalism.",3E71,info@airoldimetalli.it,,viale grandi 59,+390313574111
