company_name,domain,description,booth,email,city,full_address,mobile_primary
AA Cars,theaa.com,,D2,,Birmingham,"Birmingham, England, United Kingdom",
AM Live help desk,,,P3,,Birmingham,media house,
AU Limitless,am-online.com,,C12,,Birmingham,28 Bumpers Lane,
Auto3iii,auto3iii.com,,P86,,Birmingham,No.2 High Street,03301 332120
AutoConverse,autoconverse.co.uk,,C6,,Birmingham,2 The Coach House,
AutoFacets B.V.,autofacets.com,,D44,,Birmingham,Maria Montessorilaan 5,31 (0) 79 3200 980
Autofinity,autofinity.com,,A14,,Birmingham,Birchwood Park,
Autofixa,autofixa.com,,D36,,Birmingham,78 York Street,
Autoflows,autoflows.com,,A26,,Birmingham,Hoejbro Plads 10,+4570201075
Autoglym,autoglym.com,,C4,,Birmingham,Works Road,01462 688532
Autotrader,autotrader.co.uk,,D42,,Birmingham,4th Floor,
Barclaycard Payments Limited,barclaycard.co.uk,,C22,,Birmingham,"Birmingham, England, United Kingdom",0800008008
Bistech,bistech.co.uk,,D26,,Birmingham,137 Victoria Road,
Brego,brego.io,,C18,,Birmingham,Vicarage Road,
Bumper,bumper.co,,B8,,Birmingham,1 Lyric Square,0800 6120946
Carcare,car-care.co.uk,,D10,,Birmingham,70 White Lion Street,
CarCutter,carcutter.com,,D16,,Birmingham,Karmeliterplatz 8,
Carwow,carwow.co.uk,,D4,,Birmingham,"Birmingham, England, United Kingdom",
Centeca,centeca.com,,A28,,Birmingham,Thompson Close,
Checkmyfile,checkmyfile.com,,P84,,Birmingham,20-21 Lemon Street,01872304050
CitNOW Group,citnowgroup.com,,B2,,Birmingham,Millars Brook,
ClearWatt,clearwatt.co.uk,,P16,,Birmingham,"Birmingham, England, United Kingdom",
Connectivity.CX LTD,connectivity.cx,,C1,,Birmingham,212 Moss Lane,+4401618503261
Cooper Parry,cooperparry.com,,D62,,Birmingham,"Birmingham, England, United Kingdom",
Cox Automotive,coxautoinc.com,,D50,,Birmingham,"Birmingham, England, United Kingdom",
Coyote Systems,mycoyote.co.uk,,A30,,Birmingham,23 Copenhagen Street,
CPH Insight,cphinsight.com,,D38,,Birmingham,131 Finsbury Pavement,+44%20204%20577%201219
Cruze,birminghamautoauction.com,,P14,,Birmingham,"Birmingham, England, United Kingdom",
Darwin Technology Solutions,darwin-tech.com,,P82,,Birmingham,5 Westbrook Court,020 8137 3637
DCR Systems,dcrsystems.co.uk,,P22,,Birmingham,Houghton Avenue,+442392983702
DENZA UK,denza.com,,A50a,,Birmingham,"Birmingham, England, United Kingdom",
Diamondbrite/Evolv,diamondbrite.co.uk,,A42,,Birmingham,Diamondbrite House,+441622815679
e-Track,e-track.com,,D3,,Birmingham,"Station Rd, Birmingham,",01216472770
ECA Business Energy,collisionrepairmag.com,,P11,,Birmingham,ECA House,
ecos systems,ecos-systems.com,,C10,,Birmingham,3 Cheetah Road,+441908026996
eDynamix,edynamix.com,,B18,,Birmingham,St Mary Lane,
Engineius,engineius.co.uk,,D40,,Birmingham,37 Somerset House,01214812111
Eskimo Software,autoindustrycompare.com,,A24,,Birmingham,67 Monacurragh,
Force24,force24.co.uk,,D12,,Birmingham,2 Indigo Blu,00448452725990
Full Fathom Five AI,wearetechwomen.com,,D30,,Birmingham,"Birmingham, England, United Kingdom",
Generational,generational.ac,,D8,,Birmingham,7 Bell Yard,
Green IP,greenip.co.uk,,D43,,Birmingham,Holyrood Close,
Invisors,targetjobs.co.uk,,P20,,Birmingham,"Birmingham, England, United Kingdom",
Jigcar,jigcar.com,,P10,,Birmingham,"24, Eversholt Street",
