exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
360biolabs,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,360biolabs,D-95,Exhibitor in BioJapan,Yokohama,
4DIN,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,4DIN,H-05,Exhibitor in healthTECH JAPAN,Yokohama,
A2 Healthcare,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,A2 Healthcare,C-48,Exhibitor in BioJapan,Yokohama,
AAVATAR Therapeutics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AAVATAR Therapeutics,D-47,Exhibitor in BioJapan,Yokohama,
AbCraft Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AbCraft Inc.,V-02,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
ABCRUX BioFactory,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ABCRUX BioFactory,A-06,Exhibitor in BioJapan,Yokohama,
Abolis,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Abolis,D-30,Exhibitor in BioJapan,Yokohama,
ABS Biotechnologies GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ABS Biotechnologies GmbH,,Exhibitor in BioJapan,Yokohama,
Academic Industry Research,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Academic Industry Research,B-16,Exhibitor in BioJapan,Yokohama,
Accelerate Bio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Accelerate Bio,B-21,Exhibitor in BioJapan,Yokohama,
Acclime Australia,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Acclime Australia,D-95,Exhibitor in BioJapan,Yokohama,
"AceOne RS,",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"AceOne RS,",B-77,Exhibitor in BioJapan,Yokohama,
aceRNA Technologies,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,aceRNA Technologies,A-34,Exhibitor in BioJapan,Yokohama,
ACROBIOSYSTEMS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ACROBIOSYSTEMS,D-52,Exhibitor in BioJapan,Yokohama,
ACT Lab.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ACT Lab.,A-09,Exhibitor in BioJapan,Yokohama,
