exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
"""IEMME S.R.L."" PIU'",,+390248926382,,"Via Germania 2, 20083, Gaggiano MI, Italy",Italy,"""IEMME S.R.L."" PIU'",F22,"A Global Leader in Professional Haircare Established in 1987, Intercosmetics Milano (IEMME srl) is an indipendent family...",Gaggiano MI,
"""SIVOP"" Parfums Et Cosmetiques",sterlingparfums.com,+22523515300,anabela.morgado@sppcparfums.com,"01 BP 2085 Abidjan Yopougon, 01, Abidjan, Côte d'Ivoire",Côte d'Ivoire,"""SIVOP"" Parfums Et Cosmetiques",A28,"With 39 years of experience, SIVOP has firmly established itself as an indispensable player in the cosmetics and perfumes...",Abidjan,
"""Syren"" Limited Liability Company",syrenaroma.com,+971556764240,info@syrenaroma.store,"Tynistanova Str 189A, 720040, Bishkek, Kyrgyzstan",Kyrgyzstan,"""Syren"" Limited Liability Company",G31,"SYREN (syrenaroma.com) is an international fragrance manufacturer and wholesale supplier, officially registered in Kyrgyzstan...",Bishkek,
2H Trading & Supplies,,+2022741053,hosamshalaby@2hcompany.com,"AB. Al Hamed Shoman St., Nasr City 5, 11511, Cairo, Egypt",Egypt,2H Trading & Supplies,H20,"Ever Pure Egypt is a trusted name in beauty and personal care, offering high-quality haircare, skincare, and bodycare products...",Cairo,
4CS Distribution,,+3333610254054,ronald@4cs-distribution.com,"De 26 Rue, 75009, Paris, France",France,4CS Distribution,D11,,Paris,
A A S A Plastic Industries L.L.C,aasaplastic.com,+97142610786,,"97711, United Arab Emirates",United Arab Emirates,A A S A Plastic Industries L.L.C,G26,,,
A R ATTARWALA,wa.me,+919022786777,ibrahim@almasperfume.com,"Shaikh Memom Street, 325, 400002, Mumbai, India",India,A R ATTARWALA,C28,"AR Attarwala, established in 1925, is a fourth-generation Indian manufacturer and exporter specializing in fragrance oils...",Mumbai,
A to Z Beauty LLC,beautyandperfumeintl.com,+1650-781-5815,danit@cliganic.com,"N Barranca Ave 440, 91723, Covina, United States",United States,A to Z Beauty LLC,H25,,Covina,
A Zure Biotech Inc,azure-biotech.com,+1917-929-6997,arzurebio@126.com,"Congress Avenue, 78701, Austin, United States",United States,A Zure Biotech Inc,H26,,Austin,
A.R.K Perfumes and Cosmetics Trading,khadlaj-perfumes.com,+971506874844,khalid@rayhaanperfumes.com,"Al Fahidi, 16878, Dubai, United Arab Emirates",United Arab Emirates,A.R.K Perfumes and Cosmetics Trading,"A10, B32","A.R.K. Pefumes and Cosmetic Trading are the brand owners of Rayhaan perfumes, one of the fastest growing perfume brand globally...",Dubai,
AAL JAAFAR TRADING LLC/STARMAXX/SERENITE,,,mani@starmaxxgroup.com,"Street, Oudh Mehta Road 2nd, 2985, Dubai, United Arab Emirates",United Arab Emirates,AAL JAAFAR TRADING LLC/STARMAXX/SERENITE,F19,AAL JAAFAR TRADING LLC Is the Master Distributor for SERENITE Professional and STARMAXX Products in UAE.The company currently...,Dubai,
AALAM AL ZAAFRAN PERFUMERY L.L.C,asperfumery.com,+97142727722,casiosaadat@gmail.com,"3428, United Arab Emirates",United Arab Emirates,AALAM AL ZAAFRAN PERFUMERY L.L.C,A26,,,
AARAV Fragrances & Flavors Private Limited,aarav.co,+912241130200,khushnuma.shaikh@aarav.co,"A152/A153, Rd. No 25 Wagle Ind Area, Thane, 400604, Mumbai, India",India,AARAV Fragrances & Flavors Private Limited,C12,Great Place to Work® Certified 2026 & 2025 | India’s Best Workplaces™ in Chemicals 2026 | EcoVadis 2026 & 2025 |The Great...,Mumbai,
Abacosm Ltd,,+302109765002,info@abacosm.gr,"21 Sardeon STR, 172 37, Athens, Greece",Greece,Abacosm Ltd,B12,,Athens,
