company_name,domain,description,booth,email,city,full_address,mobile_primary
A Crafty Place,,"Creative Expressions dies and stamps, Pink Ink stamps, John Next Door, Crafters Companion",,,,,
Brambles,thebramblesco-op.org,Kanban Products,,,,,
CARD-IO,card-io.com,Majestix clear peg stamps and clear stamp sets,,,,,
Dies to Die For,diestodiefor.com,"Specialising in U.S. brands: Catherine Pooler, Altenew, Lawn Fawn, Sunny Studio, Stamping Bella, Pinkfresh Studio plus more",,,,,
DWS Designs,dwsdesigns.com,Kinusaiga Kits and products - Make & Take,,,,,
Honey Doo Crafts,honeydoocrafts.co.uk,"Stamps, dies, inks & stamping accessories",,,,,
Inion Arts,inionarts.co.uk,"Resin dip flower kits, accessories (wire, beads, shaper tools, resin dip) - Make & Take",,,,,
J.J.D. Cards,,"Hunkydory, Britannia Dies, Pinflair, Dawn Bibby, Craft Buddy, Club Green, Designed To Be Different",,,,,
Kathy's Crafts,,"Foam tape, finger lift tape, red liner tape",,,,,
LimeTree Craft,limetreecraft.com,"Card, paper & card blanks.",,,,,
Medway Adult Education (Medway Council),,Make & Take (book on arrival),,,,,
Nice Crafting,,"Nice Crafting, Card Hut stamps, Decopatch, Graphic 45 & Coolkatz Craft - Make & Take (no need to book)",,,,,
Shop Unlimited,shopunlimitedlive.com,As seen on TV,,,,,
Snazzy's Studio,,"Aall & Create, scrapbooking products",,,,,
Stamp Addicts,stampaddicts.co.uk,Rubber stamps and accessories,,,,,
Sweet Poppy Stencils,sweet-poppy.com,Sweet Poppy Stencils & Stampscapes Stamps,,,,,
The Art of Craft,,"John Next Door, Find-it Media, Creative Expressions, Press Cut, Two Jays, Crafts Too - Make & Take (book online here )",,,,,
The Stamp Hut,thestamphut.co.uk,"Woodware, Lisa Horton, Julie Hickey, Distress inks/oxides, embossing folders & stencils.",,,,,
Uniko Ltd,uniko.co.uk,"Stamps, Stencils & Dies",,,,,
