company_name,domain,description,booth,email,city,full_address,mobile_primary
A.R.C.A. 113 Ecologico O.D.V.,arca113.it,Esponiamo libri e oggetti artigianali prodotti o offerti dalla nostra Associazione a tema animali.,,,Fermo,,
Adagio Adriana,,Minerali,,,Fermo,,
AGreptiles,,"Allevamento specializzato in rettili tra le specie al momento riprodotte ci sono egernia, coleonyx e Lampropeltis oltre che alla selezione di ciliatus, gechi leopardini e serpenti del grano",,,Fermo,,
Allevamento C.B.G,,"Criceti russi e dorati, caridine, cherax, pappagalli e accessori per roditori e acquariologia",,,Fermo,,
Allevamento di gatti British della brigata di milla,,Allevamento di gatti British,,,Fermo,,
ChrisGeckos,chrisgeckos.wixsite.com,Geco leopardino Paroedura picta ciliatus auriculatus,,,Fermo,,
Danilo Spaziani,,T-shirts a tema ed altre tematiche,,,Fermo,,
David Ceccarelli,animali-da-0-a-4-zampe.sumupstore.com,"Betta, pesci paradiso, granchi, anfibi, roditori e ricci accessori e mangimi",,,Fermo,,
Domenico De Martino,,NO,,,Fermo,,
Dragon Fly Gecko’s,,Gechi Leopardini,,,Fermo,,
Dragonfarm,,Pogona vitticeps e roditori,,,Fermo,,
Elemento Acqua,,Nessuno,,,Fermo,,
EntoGround,,Non esponiamo animali,,,Fermo,,
Flavio Daniele Pasquazzo,,"Rettili, anfibi, aracnidi e altri invertebrati",,,Fermo,,
I conigli nani di Siena &. Co.,,"Conigli nani, cavie, cincillà, pappagalli allevati a mano",,,Fermo,,
Il sogno di Lilo di S. A.,ilsognodililo.it,NESSUNO,,,Fermo,,
INEF – Insect Novel Ecologic Food,inef.it,Insetti da pasto per rettili Mangimi e integratori per rettili ed esotici,,,Fermo,,
Italian Spiders,,Aracnidi e insetti tropicali,,,Fermo,,
Jumanji,,Rettili,,,Fermo,,
KOISTYLE,koistyle.it,Carpe giapponesi,,,Fermo,,
La casa dei gufi,,Rettili,,,Fermo,,
LE GALLINE DI CASA GIORDY,naturalandia.it,GALLINE ORNAMENTALI,,,Fermo,,
L’isola dei Sogni,lisoladeisogni.sumupstore.com,Miele e prodotti dell alveare,,,Fermo,,
M.V REPTYLE,,"Anaconda gialla, python regius",,,Fermo,,
Matteo Evangelisti,,Pony,,,Fermo,,
NATURAZTECA,,Axolotl,,,Fermo,,
PASSIONE PAPPAGALLI FREE FLIGHT,,20,,,Fermo,,
Pepele Bonsai di Giuseppe Tarsia,,No animali ma espongo Bonsai,,,Fermo,,
Piccoli Mondi,,"Medaka, Lumache africane, rane acquatiche",,,Fermo,,
REM CornSnake Italia,,Allevamento amatoriale di solo Pantherophis Guttatus registrato Asl con codice SINAC SD-110MC137250,,,Fermo,,
S&F,,Allevamento amatoriale di rettili,,,Fermo,,
Seddy’s soul,,Toilettatura cani,,,Fermo,,
Snakefood,snakefood.it,Alimenti per animali esotici e Attrezzature,,,Fermo,,
Snappy Geckos,,"Gechi ciliatus, gechi lugubris",,,Fermo,,
STEEL IN ACCIAIO,,Bigiotteria in acciaio a tema; la foto è una qualsiasi xk non mi carica. Ma voi già mi conoscete. Grazie mille,,,Fermo,,
Sweetyland,,food,,,Fermo,,
Tiger of Sikhote,,2 adulti 6 cuccioli,,,Fermo,,
UNUSUAL BREEDING,,"Ambystoma mexicanum,pogona vitticeps,clamidosauri,pitoni reali ,fasmidi,e. Macularius",,,Fermo,,
VL Welse,pescitropicali.online,Pesci tropicali Caridine,,,Fermo,,
ZOO NAPOLI DI MUSELLA VITTORIO & CO,,UCCELLI PAPPAGALLI RODITORI RETTILI ANFIBI MAMMIFERI,,,Fermo,,
Zoomark La Foresta,zoomarklaforesta.it,"Pappagalli (anche allevati a mano), uccelli, rettili, anfibi, mammiferi, petauri, pesci ed altri animali acquatici. Attrezzatura, accessori e mangimi per tutti gli animali presenti al nostro stand.",,,Fermo,,
