exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,event_location,profile_url,event_source
3M POLAND SP. Z O.O.,3mpolska.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 6,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
3N SOLUTIONS SP. Z O.O.,3ns.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 88,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
AKTYWIZACJA WYTWÓRNIA SPRZĘTU ELEKTROENERGETYCZNEGO,aktywizacja.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 100,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ALF-SENSOR SP. J.,alf-sensor.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 105,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ALPAR SP Z O.O.,alpar.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 59,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ALPLAST SP. Z O.O.,alplast.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 47,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
APATOR SA,apator.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 23,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
APS ENERGIA S.A.,apsenergia.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 93,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ARCON POLSKA SP. Z O.O.,arcon.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 30,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ASAJ SP. Z O.O.,asaj.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 64,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ASSECURO SP. Z O.O.,assecuro.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 79,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ASTAT SP. Z O.O.,astat.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 66,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
BCU ENERGETYKA NISKO,bcunisko.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 84,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
BEHR BIRCHER CELLPACK BBC POLSKA SP. Z O.O.,cellpack.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 60,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
BETARD SP. Z O.O.,betard.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
BITSTREAM S.A.,bitstream.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 90,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
CBM TECHNOLOGY SP. Z O.O.,cbm-technology.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 118,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
CENTRUM BADAŃ I DOZORU SP. Z O.O.,cbid.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 49,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
CERBEX SP. Z O.O.,cerbex.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 92,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
CWS S.R.O.,cws.cz,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 33,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
DACPOL SP. Z O.O.,dacpol.eu,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 57,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
DGT SP. Z O.O.,dgt.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 35,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
EFEN SP. Z O.O.,efen.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 73,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ELEKROBUDOWA SP. Z O.O.,elektrobudowa.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 26,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ELEKTROMETAL ENERGETYKA SA,elektrometal-energetyka.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 43,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ELEKTROMONTAŻ RZESZÓW SA,elektromontaz.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 78,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ELEKTROMONTAŻ-LUBLIN SP. Z O.O.,elektromontaz-lublin.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 108,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ELKO-BIS SYSTEMY ODGROMOWE SP. Z O.O.,elkobis.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 112,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ELMA ENERGIA SP. Z O.O.,elma-energia.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 53,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ELTRIM KABLE SP. Z O.O.,eltrim.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 13,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ENCO SP. Z O.O.,grupaenco.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 19,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ENERGETYKA.PLUS,energetyka.plus,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 122,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ENERGYA POLSKA SP. Z O.O.,energya.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 27,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
