exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_date,event_venue,source_url,source_year,organization_id
A-TRON Blockheizkraftwerke GmbH,a-tron.de,+49 5032 912940,vertrieb@a-tron.de,"Otto-Lilienthal-Straße 14, 31535, Neustadt am Rübenberge, Germany",Germany,Hall A4 | 323,"A-TRON Blockheizkraftwerke GmbH steht für effiziente, zuverlässige und zukunftsorientierte Energielösungen. Als Spezialist für Blockheizkraftwerke entwickeln und realisieren wir maßgeschneiderte Lösungen zur dezentralen Erzeugung von Strom und Wärme. Mit unserer neuentwickelten (auch wasserstofftauglichen) HELIOS-Serie bis 50 kWel bieten wir kompakte und leistungsstarke BHKW-Lösungen für vielfältige Einsatzbereiche. Von der Planung und Projektierung über die Inbetriebnahme bis hin zu Service, Wartung und Betreuung der administrativen Aufgaben begleiten wir unsere Kunden kompetent, persönlich und zuverlässig.",,Neustadt am Rübenberge,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--A-TRON-Blockheizkraftwerke-GmbH--131490,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131490
A.B.S. Silo- und Förderanlagen GmbH,abs-silos.de,+49 6291 64220,info@abs-silos.de,"Industriepark 100, 74706, Osterburken, Germany",Germany,Hall A1 | 526,,,Osterburken,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--A-B-S-Silo-und-F-rderanlagen-GmbH--138757,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138757
AAT Alber Antriebstechnik GmbH,cargomaster.org,+49 7431 1295-120,info@cargomaster.de,"Ehestetter Weg 11, 72458, Albstadt, Germany",Germany,Hall B4 Ground floor | 320,"As a leading supplier of electric stair climbers, we offer effective, cost-saving and back-friendly stair transport solutions for all types of loads, up to 400 kg. Even spiral staircases or high-quality wooden staircases are no obstacle for our CargoMaster stair climbers, which transport loads almost effortlessly and without a murmur.",,Albstadt,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--AAT-Alber-Antriebstechnik-GmbH--131280,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131280
ABA BEUL GLOBAL GmbH,ababeulglobal.com,+49 2722 699-0,info@ababeulglobal.com,"Dieselstraße 11, 57439, Attendorn, Germany",Germany,Hall A4 | 415,"ABA BEUL GLOBAL is part of the IBP Group and serves the markets of its four product lines Building Services Installations, Connection Systems, Water Treatment, and FlexGuss cast parts from its location in Attendorn, southern Sauerland. Materials such as brass, gunmetal, and stainless steel are processed into high-quality products, ranging from standard items to custom high-tech special components. The brands behind these products, such as QUICKTURN®, ABA-flow®, and FlexGuss®, enjoy an excellent reputation among our customers.",,Attendorn,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABA-BEUL-GLOBAL-GmbH--131538,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131538
ABB AG,abb.de,+49 621 381 3000,elektrifizierung@de.abb.com,"Kallstadter Straße 1, 68309, Mannheim, Germany",Germany,Hall B5 | 444,"ABB is a technology leader in electrification and automation, enabling a more sustainable and resource-efficient future. The company’s solutions connect engineering know-how and software to optimize how things are manufactured, moved, powered and operated. Building on over 140 years of excellence, ABB’s more than 105,000 employees are committed to driving innovations that accelerate industrial transformation.",,Mannheim,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABB-AG--131413,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131413
ABB AG,abb.de,+49 621 3810,contact.center@de.abb.com,"Kallstadter Straße 1, 68309, Mannheim, Germany",Germany,Hall B7 | P30,,,Mannheim,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABB-AG--138282,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138282
ABB AG BUSCH-JAEGER,busch-jaeger.de,+49 621 381 3000,elektrifizierung@de.abb.com,"Freisenbergstraße 2, 58513, Lüdenscheid, Germany",Germany,Hall B5 | 444,"Busch-Jaeger, a brand of ABB AG, is Germany's leading innovator in electrical installation technology and building automation. For more than 140 years, Busch-Jaeger has been one of the country's most trusted and recognized brands, delivering innovative technologies that make everyday life easier, safer, and more future-ready. Committed to the highest standards of quality, innovation, and product excellence, Busch-Jaeger works closely with electrical professionals and distribution partners to develop solutions that meet the evolving needs of the market. Sustainability is at the heart of everything we do, with a strong focus on resource conservation and energy efficiency. Our portfolio includes more than 6,000 electrical installation products, ranging from switches, sockets, special-purpose socket outlets, modular DIN rail devices, dimmers, and motion detectors to door communication systems and advanced Smart Home and Smart Building solutions. These intelligent systems enable energy optimization and convenient centralized control of electrical devices in residential, commercial, and industrial buildings.",,Lüdenscheid,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABB-AG-BUSCH-JAEGER--138765,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138765
ABB AG STOTZ-KONTAKT,new.abb.com,+49 621 381 3000,elektrifizierung@de.abb.com,"Eppelheimer Straße 82, 69123, Heidelberg, Germany",Germany,Hall B5 | 444,"ABB Electrification, a global leader in electrical power distribution and energy management technology, is electrifying the world in a safe, intelligent and sustainable way. Together with our customers and partners, we use products, solutions and digital technologies that achieve greater energy efficiency and a more sustainable future for our society. ABB STOTZ-KONTAKT develops, manufactures and sells products for the electrical equipment and automation of buildings, machines and systems. The company has its headquarters in Heidelberg. The company supports its customers with innovative products in conjunction with market-driven services, thereby helping them to achieve benefits and application advantages in their respective applications. ABB STOTZ-KONTAKT actively contributes to ensuring that its customers can achieve optimum use of resources in order to sustainably reduce environmental impact, increase safety and increase their productivity.",,Heidelberg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABB-AG-STOTZ-KONTAKT--138766,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138766
ABB AG STRIEBEL & JOHN,striebelundjohn.com,+49 621 381 3000,elektrifizierung@de.abb.com,"Am Fuchsgraben 2-3, 77880, Sasbach, Germany",Germany,Hall B5 | 444,"STRIEBEL & JOHN, a brand of ABB AG, is one of the leading manufacturers of power distribution systems and a trusted partner to electrical professionals. With decades of experience and expertise, we develop and manufacture future-ready distribution systems for a wide range of applications. Our portfolio includes consumer units, small distribution boards, wall-mounted distribution boards, and meter cabinets for residential buildings, as well as free-standing cabinets and control panels for commercial and industrial environments. Our software suite, StriePlan, enables electrical planners, panel builders, and electrical installers to design and implement even complex power distribution projects with ease. At the heart of our approach is a consistent commitment to modularity: the STRIEBEL & JOHN modular system delivers virtually unlimited configuration possibilities using a streamlined portfolio of components.",,Sasbach,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABB-AG-STRIEBEL-JOHN--138767,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138767
ABN GmbH,abn-electro.com,+49 7139 940,de-abn-zentrale@se.com,"Daimlerstraße 10 - 12, 74196, Neuenstadt, Germany",Germany,Hall B7 | 200,,,Neuenstadt,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABN-GmbH--131642,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131642
