exhibitor_name,domain,contact_number,mail,location,country,booth_no,name,desc,email,phone,address,city,linkedin_url,profile_url,source_year,category,source_url
360 Business Law,360businesslaw.com,+443337720926,,"London, England, United Kingdom",United Kingdom,Stand: G2640,360 Business Law,"360 Business Law is a global, tech-enabled law firm that practises solely in business law. Built on a straightforward principle - that high-quality legal advice should be accessible, predictable and genuinely international - it brings together more than 700 qualified lawyers operating in over 90 countries, combining deep local knowledge with consistent global standards. As a dedicated business law specialist, the firm focuses exclusively on the needs of commercial clients. Its people are seasoned practitioners rather than trainees, averaging between 12 and 15 years of post-qualification experience, so clients deal directly with senior specialists who understand both the letter of the law and the commercial realities behind it. What further distinguishes the firm is its approach to cost, underpinned by technology that streamlines how legal services are delivered. Clients can choose a low-cost-country flat hourly rate, giving them transparent and predictable fees wherever their work takes them, or they can opt for a highly cost-effective subscription legal service. 360 Business Law is the only law firm able to offer a genuinely global subscription service across every jurisdiction in which it operates, allowing businesses to budget for their legal needs with confidence and to scale support up or down as circumstances change. 360 Business Law is a subsidiary of 360 Law Group Limited and a sister company of 360 Law Services, a law firm of England and Wales regulated by the Solicitors Regulation Authority. Being part of this group gives clients the best of both worlds: the reach and flexibility of a truly international practice, alongside the assurance of belonging to a regulated, professionally governed legal group. Whether you are a growing business entering new markets or an established multinational managing risk across dozens of countries, 360 Business Law offers a single, trusted partner for commercial legal support wherever in the world you operate.",,+443337720926,,London,https://www.linkedin.com/company/360businesslaw/,https://www.goinggloballive.co.uk/exhibitors/360-business-law,2026,,https://www.goinggloballive.co.uk/exhibitors
Acumum Legal & Advisory,acumum.com,,,"London, England, United Kingdom",United Kingdom,Stand: G2532,Acumum Legal & Advisory,"The Republic of Malta – Corporate, Legal & Fiduciary Independent | Trusted | Expert Acumum Legal & Advisory is an award-winning boutique advisory firm based in Malta, established in 2012, under the leadership of Managing Partner Geraldine Noel, an English barrister registered in Malta. As a multidisciplinary practice, Acumum’s team of lawyers & tax accountants provide a comprehensive range of corporate, legal, tax, fiduciary, accounting, & immigration services to a diverse portfolio of corporate & private clients. We are dedicated to delivering practical, client-centric & cost-effective solutions across the following key areas: Aviation Malta Permanent Residency Programme Malta Retirement Programme Global Residency Programme Malta Digital Nomad Company Formation & Management – 5% effective corporate tax rate Financial Services Licensing iGaming Intellectual Property & IP & IT Maritime & Yachting Trusts, Foundations & Family Trust Companies – 0% taxation Tax Structuring for Companies & Individuals The Republic of Malta – A Tax-Efficient European Member State",,,,London,https://www.linkedin.com/company/acumum-legal-group/,https://www.goinggloballive.co.uk/exhibitors/acumum-legal-advisory,2026,,https://www.goinggloballive.co.uk/exhibitors
BCL Globiz Accounting and Consulting,bcl.ae,+971559429740,info@bcl.ae,"London, England, United Kingdom",United Kingdom,Stand: G2451,BCL Globiz Accounting and Consulting,"BCL Globiz Accounting & Consulting L.L.C. , part of the BCL Group, is registered with the Department of Economic Development (DED) under License No. 1072657. We provide comprehensive business solutions under one roof, with core expertise in: Company Formation & Setup Services Accounting & Bookkeeping VAT Compliance Corporate Tax Compliance Transfer Pricing & Benchmarking Analysis Will Creation In addition, we have strong expertise in International Taxation, Statutory and Internal Audits, and advisory services relating to Mergers & Acquisitions. At BCL Globiz, we serve companies across diverse industries including SaaS, Information Technology & Software Development, Crypto Businesses, AI & ML, Trading, Intermediaries, E-commerce & Marketplaces, Food & Hospitality, and Healthcare. Our team comprises Chartered Accountants, Company Secretaries, and industry experts, supported by a strong network of 350+ professionals. We proudly serve 1000+ companies across 30+ countries including the UAE, UK, Saudi Arabia, Kuwait, Singapore, Malaysia, USA, France, Italy, Switzerland, Suriname, Germany, and Hong Kong. Our mission is to deliver quality end-to-end solutions while empowering our clients through continuous knowledge sharing and strategic guidance.",info@bcl.ae,+971559429740,,London,https://www.linkedin.com/company/bcl-globiz/,https://www.goinggloballive.co.uk/exhibitors/bcl-globiz-accounting-consulting-llc,2026,,https://www.goinggloballive.co.uk/exhibitors
British Jamaican Chamber of Commerce,britjacc.com,,info@britjacc.com,"London, England, United Kingdom",United Kingdom,Stand: G2350,British Jamaican Chamber of Commerce,"Building a Stronger Commercial Bridge Between Britain and Jamaica The relationship between Britain and Jamaica is longstanding. The opportunity now is to turn that relationship into greater trade, investment, innovation and business growth. The British Jamaican Chamber of Commerce ( BJCC ) is an independent, member-led organisation established to strengthen commercial connections between the United Kingdom and Jamaica, creating a trusted platform where businesses, investors, entrepreneurs and institutions can identify opportunities and build meaningful partnerships across both markets. Jamaica represents far more than a traditional tourism economy. It is an evolving Caribbean market with opportunities across renewable energy and clean technology, infrastructure and construction, AI and digital transformation, cybersecurity, agriculture and food production, manufacturing, logistics, financial and professional services, healthcare, education, tourism, hospitality and the creative economy. For British companies, this creates opportunities to bring capital, expertise, technology and innovation into Jamaica, not simply through exporting, but through joint ventures, investment, local partnerships, technology transfer and the establishment of new operations. Equally, the Chamber supports Jamaican businesses seeking to access the UK market, develop international partnerships, attract investment and expand their products and services. BJCC sits at the intersection of these opportunities. Through strategic introductions, trade missions, investment forums, market intelligence, business networking, advocacy and institutional partnerships, we help businesses understand the market, identify credible opportunities and connect with the people who can help move those opportunities forward. Our vision is to help develop a stronger UK–Jamaica commercial corridor, one that encourages businesses to look beyond what already exists and explore what can be built together. From a British technology company partnering with Jamaican talent, to renewable-energy investment, infrastructure development, food manufacturing, professional services or a UK business establishing its Caribbean operations in Jamaica, the possibilities are significant. BJCC exists to help turn those possibilities into partnerships, investment and sustainable business. Two nations. One commercial bridge. A growing world of opportunity.",info@britjacc.com,,,London,,https://www.goinggloballive.co.uk/exhibitors/british-jamaican-chamber-commerce,2026,,https://www.goinggloballive.co.uk/exhibitors
Business Diplomat,workingfromhomelive.co.uk,,,"London, England, United Kingdom",United Kingdom,Stand: G2512,Business Diplomat,.,,,,London,,https://www.goinggloballive.co.uk/exhibitors/business-diplomat,2026,,https://www.goinggloballive.co.uk/exhibitors
Business International Trading Alliance (BITA),bita.ie,07587035740,,"London, England, United Kingdom",United Kingdom,Stand: G2491,Business International Trading Alliance (BITA),"BITA brings together ambitious organisations across the UK, Ireland and beyond through curated events, warm introductions and a trusted member community, so you can win more work and expand into new markets with confidence. The Business International Trading Alliance is an exciting non-profit networking organisation with a vibrant community of businesses that are invested in each other’s success.",,07587035740,,London,,https://www.goinggloballive.co.uk/exhibitors/business-international-trading-alliance-bita,2026,,https://www.goinggloballive.co.uk/exhibitors
Business Setup Consultants,businessetup.com,+97144301245,info@businessetup.com,"London, England, United Kingdom",United Kingdom,Stand: G2570,Business Setup Consultants,"Business Setup Consultants (BSC)—Founded in 2014 and based in JLT, Dubai, BSC specializes in company formation across UAE mainland, free zones (IFZA, RAKEZ, DMCC, DIFC, ADGM), and offshore structures. Our end-to-end services include trade licensing, bank account opening, residency visas (including Golden Visa support), PRO services, VAT registration, accounting, bookkeeping, trademark registration, and ongoing corporate support. We guide entrepreneurs through regulations to help them start quickly and compliantly. Backed by a 4.9/5 rating from 178+ Google reviews, clients value our efficiency, clear communication, and long-term support. With no hidden fees, BSC is a trusted partner for founders launching in Dubai",info@businessetup.com,+97144301245,,London,https://www.linkedin.com/company/business-setup-consultants/?viewAsMember=true,https://www.goinggloballive.co.uk/exhibitors/business-setup-consultants,2026,,https://www.goinggloballive.co.uk/exhibitors
Canada-UK Chamber of Commerce,canada-uk.org,,,"London, England, United Kingdom",United Kingdom,Stand: G2192,Canada-UK Chamber of Commerce,"Founded in 1921, the Canada-UK Chamber of Commerce has been building commercial relationships between Canada and the UK for over 100 years. Today, our members include representatives from companies of all sizes across both markets. We help our members build connections and create new business opportunities through introductions, networking, events and sector-focused discussions. At its core, the Chamber’s objective has remained the same since its foundation: to bring the Canadian and UK business communities closer together.",,,,London,https://www.linkedin.com/company/canada-uk-chamber-of-commerce/,https://www.goinggloballive.co.uk/exhibitors/canada-uk-chamber-commerce,2026,,https://www.goinggloballive.co.uk/exhibitors
Cayman Enterprise City,caymanenterprisecity.com,0013459453722,info@caymanenterprisecity.com,"London, England, United Kingdom",United Kingdom,Stand: G2416,Cayman Enterprise City,". Cayman Enterprise City provides globally focused, knowledge- and technology-driven businesses with a fast, cost-effective route to establishing a genuine physical presence in the Cayman Islands. Through streamlined business licensing, flexible office solutions, Global Mobility support and access to a connected community of more than 485 Special Economic Zone companies, CEC helps international businesses set up, relocate and grow with confidence. CEC supports businesses across a diverse range of industries, including FinTech, artificial intelligence, software development, digital assets, life sciences, media, maritime, aviation and commodities. With a transparent legislative framework, a tax-neutral platform and dedicated ongoing business support, CEC provides the infrastructure, certainty and connections global companies need to build and scale from the Cayman Islands.",info@caymanenterprisecity.com,0013459453722,,London,https://www.linkedin.com/company/cayman-enterprise-city,https://www.goinggloballive.co.uk/exhibitors/cayman-enterprise-city-1,2026,,https://www.goinggloballive.co.uk/exhibitors
Censia Global,censiaglobal.com,,info@censiaglobal.com,"London, England, United Kingdom",United Kingdom,Stand: G2671,Censia Global,"Censia Global is a boutique corporate services, audit and advisory firm supporting entrepreneurs, investors and corporate groups in their international expansion strategy. Operating across Cyprus and the United Kingdom, we provide integrated solutions covering company formation, corporate structuring, fiduciary services, accounting, audit, tax planning and regulatory compliance. Our approach is partner-led and execution-focused, ensuring that every structure we design is commercially viable, tax-efficient and fully aligned with regulatory requirements. We specialise in cross-border setups, helping businesses establish operational substance, secure banking relationships and implement scalable governance frameworks. Whether launching into new markets, restructuring for growth, or building an investor-ready platform, we deliver structured solutions designed for long-term sustainability. Licensed and regulated in Cyprus, we combine institutional compliance standards with boutique agility, offering clients clarity, responsiveness and strategic precision throughout their expansion journey.",info@censiaglobal.com,,,London,https://www.linkedin.com/company/censia-global,https://www.goinggloballive.co.uk/exhibitors/censia-global,2026,,https://www.goinggloballive.co.uk/exhibitors
