company_name,domain,description,booth,email,city,full_address,mobile_primary
Agrotec Südost,amsuisse.ch,Training and career areas: Baumaschinenmechaniker/in EFZ; Landmaschinenmechaniker/in EFZ; Motorgerätemechaniker/in EFZ,,,,"Agrotec Südost, Bildungscenter Landtechnik Kantonsstrasse 17 7302 Landquart",
"Amt für Berufsbildung, Berufs-, Studien- und Laufbahnberatung",gr.ch,,,,,Grabenstrasse 1 7001 Chur,
Amt für Höhere Bildung,campus-graubuenden.ch,,,mailtol:info@ahb.ch,,Grabenstrasse 1 7001 Chur,
Amt für Wald und Naturgefahren GR,,Training and career areas: Forstpraktiker/in EBA; Forstwart/in EFZ; Dipl. Förster/-in HF; Forstmaschinenführer/-in mit eidg. FA; Forstwart-Gruppenleiter/in; Forstwart-Vorarbeiter/-in mit eidg. FA; Seilkran-Einsatzleiter/-in mit eidg. FA,,,,Amt für Wald und Naturgefahren GR Ringstrasse 10 7000 Chur,
ASTAG Sektion Graubünden,astag-gr.ch,Training and career areas: Entwässerungspraktiker/in EBA; Entwässerungstechnologe/-login EFZ; Kaufmann/-frau EFZ; Strassentransportfachmann/-frau EFZ; Strassentransportpraktiker/in EBA; Betriebsleiter/-in Transport und Logistik mit eidg. Diplom; Disponent/-in Transport & Logistik,,kohler@gewerbe-gr.ch,,ASTAG Sektion Graubünden Hinterm Bach 40 7000 Chur,
Ausbildungen für Jugendliche mit Unterstützungsbedarf,casa-depuoz.ch,,,info@casa-depuoz.ch,,Casa Depuoz Via Crap Gries 1 7166 Trun,
Auto Gewerbe Verband Schweiz Sektion Graubünden,agvs-gr.ch,"Training and career areas: Automobil-Assistent/in EBA; Automobil-Fachmann/-frau EFZ; Automobil-Mechatroniker/in EFZ; Detailhandelsassistent/in EBA; Detailhandelsfachmann/-frau EFZ; Kaufmann/-frau EFZ; Automobil Serviceberater/in mit eidg. Fachausweis (BP); Automobil-Verkaufsberater/in mit eidg. Fachausweis (BP); Automobil-Werkstattkoordinator/in mit eidg. Fachausweis (BP); Automobildiagnostiker/-in mit eidg. FA; Betriebswirt/in im Automobilgewerbe, dipl. (HFP); Fahrzeugrestaurator/in mit eidg. Fachausweis (BP); Strassenhelfer/in mit eidg. Fachausweis (BP)",,,,Auto Gewerbe Verband Schweiz Sektion Graubünden Hinterm Bach 40 7000 Chur,+410812570321
Bauplaner Graubünden,bauplaner-gr.ch,"Training and career areas: Zeichner/in EFZ; Bauingenieurwesen FH / ETH, Bachelor of Science BSc",,,,,
Bergbahnen Graubünden,seilbahnen.org,Training and career areas: Seilbahn-Mechatroniker/in EFZ; Seilbahner/in EBA; Fachmann/-frau Pisten-/Rettungsdienst mit eidg. Fachausweis (BP); Seilbahnfachmann/-frau mit eidg. Fachausweis (BP); Seilbahnmanager/in (HFP),,info@seilbahnen.org,,Bergbahnen Graubünden Postfach 17 7083 Lantsch/Lenz,+41 31 350 43 43
BERUFE HOTEL GASTRO,hotelgastro.ch,Training and career areas: Fachmann/-frau Hotellerie-Hauswirtschaft EFZ; Hotel-Kommunikationsfachmann/-frau EFZ; Kaufmann/-frau EFZ; Koch/Köchin EFZ; Küchenangestellte/r EBA; Praktiker/in Hotellerie-Hauswirtschaft EBA; Restaurantangestellte/r EBA; Restaurantfachmann/-frau EFZ; Systemgastronomiefachmann/-frau EFZ; Systemgastronomiepraktiker/in EBA,,,,GastroSuisse Blumenfeldstrasse 20 8046 Zürich,
Berufsschulen Graubünden,gr.ch,,,,,"c/o Gewerbliche Berufsschule Chur, GBC Scalettastrasse 33 7000 Chur",
Bildungszentrum Gesundheit und Soziales,bgs-chur.ch,"Training and career areas: Assistent/in Gesundheit und Soziales EBA; Fachmann/-frau Betreuung EFZ; Fachmann/-frau Gesundheit EFZ; Basiskurs Haushelferin, Haushelfer in der Spitex; Ergänzende Bildung Medizinaltechnik; Fachmann/-frau Langzeitpflege und -betreuung mit eidg. Fachausweis (BP); Fachwissen Gerontologie; Nachdiplomkurs Forensic Nursing; Pflegefachmann/-frau HF, dipl.; Vorbereitung zur eidg. Berufsprüfung Berufsbildungsfachfrau, Berufsbildungsfachmann; Vorbereitung zur eidg. Berufsprüfung Fachfrau, Fachmann Langzeitpflege und -Betreuung; Vorbereitung zur eidg. Berufsprüfung Teamleiterin, Teamleiter Module 1-5; Vorbereitung zur eidg. Höheren Fachprüfung Leiterin, Leiter Module 6-10",,,,Bildungszentrum Gesundheit und Soziales Gürtelstrasse 42/44 7000 Chur,
Brückenangebote Graubünden,gr.ch,,,,,Klosterweg 18 7130 Ilanz,
Bündner Apothekerverband,apothekengraubuenden.ch,Training and career areas: Fachmann/-frau Apotheke EFZ,,,,Giacomettistrasse 48 7000 Chur,081 256 20 89
Bündner Gerüstunternehmer Verband (BGUV),,Training and career areas: Gerüstbauer/in EFZ; Gerüstbaupraktiker/in EBA,,,,Bündner Gerüstunternehmer Verband (BGUV),
Bündner Gewerbeverband,gewerbe-gr.ch,,,info@gewerbe-gr.ch,,Bündner Gewerbeverband Hinterm Bach 40 7000 7000 Chur,
Bündner Ärzteverein,buendneraerzteverein.ch,Training and career areas: Medizinische/r Praxisassistent/in EFZ; Medizinische/r Praxiskoordinator/in mit eidg. Fachausweis (BP),,baev@hin.ch,,Bündner Ärzteverein Hinterm Bach 40 7001 Chur,+41812570358
CADONAU - Das Seniorenzentrum,cadonau-chur.ch,"Training and career areas: Assistent/in Gesundheit und Soziales EBA; Fachmann/-frau Betriebsunterhalt EFZ; Fachmann/-frau Gesundheit EFZ; Fachmann/-frau Hotellerie-Hauswirtschaft EFZ; Kaufmann/-frau EFZ; Koch/Köchin EFZ; Pflegefachmann/-frau HF, dipl.",,info@cadonau-chur.ch,,Cadonaustrasse 73 7000 Chur,0813545454
carrosserie suisse Graubünden,carrosseriesuisse.ch,Training and career areas: Carrosserielackierer/in EFZ; Carrosseriereparateur/in EFZ; Carrosseriespengler/in EFZ; Fahrzeugschlosser/in EFZ; Lackierassistent/in EBA,,info@carrosseriesuisse.ch,,carrosserie suisse Graubünden Italienische Strasse 13 7430 Thusis,0627459080
"Ceruniq, Sektion Graubünden",ceruniq.ch,"Training and career areas: Plattenleger/in EFZ; Plattenlegerpraktiker/in EBA; Plattenlegerchef/in mit eidg. Fachausweis (BP); Plattenlegermeister/in, dipl. (HFP)",,info@ceruniq.ch,,Pulvermühlestrasse 85 7000 Chur,+41627484280
Coiffure Suisse Graubünden,coiffuresuissegr.ch,Training and career areas: Coiffeur/-euse EBA; Coiffeur/-euse EFZ,,,,Rheindammweg 6 7023 Haldenstein,
communicaziun.ch,communicaziun.ch,Training and career areas: Gestalter/in Werbetechnik EFZ; Kaufmann/-frau EFZ; Mediamatiker/in EFZ; Medientechnologe/-login EFZ; Polygraf/in EFZ,,info@communicaziun.ch,,communicaziun.ch Glennerstrasse 17 7130 Ilanz,0041819252700
Coop Genossenschaft Region Ostschweiz-Ticino,coopjobs.ch,Training and career areas: Detailhandelsassistent/in EBA; Detailhandelsfachmann/-frau EFZ; Logistiker/in EFZ; Systemgastronomiefachmann/-frau EFZ; Systemgastronomiepraktiker/in EBA,,,,Coop Genossenschaft OT Industriestrasse 109 9201 Gossau,
"Drogistenverband, Sektion GR",drogistenverband.ch,Training and career areas: Drogist/in EFZ,,info@drogistenverband.ch,,,
EHL Hotelfachschule Passugg,campus-graubuenden.ch,Training and career areas: Hotel-Kommunikationsfachmann/-frau EFZ; Dipl. Hoteliere-Gastronomin / Hotelier-Gastronom HF,,mailtol:info@ahb.ch,,EHL Hotelfachschule Passugg Hauptstrasse 12 7062 Passugg,
EIT.graubünden,eitgraubünden.ch,Training and career areas: Elektroinstallateur/in EFZ; Montage-Elektriker/in EFZ,,,,EIT.graubünden Hinterm Bach 40 7000 Chur,081 257 03 23
EMS-CHEMIE AG,lehrebeiems.ch,Training and career areas: Anlagen- und Apparatebauer/in EFZ; Anlagenführer/in EFZ; Automatiker/in EFZ; Automatikmonteur/in EFZ; Elektroinstallateur/in EFZ; Fachmann/-frau Betriebsunterhalt EFZ; Informatiker/in EFZ; Kaufmann/-frau EFZ; Konstrukteur/in EFZ; Kunststofftechnologe/-login EFZ; Laborant/in EFZ; Logistiker/in EFZ; Mechanikpraktiker/in EBA; Mediamatiker/in EFZ; Montage-Elektriker/in EFZ; Polymechaniker/in EFZ,,,,EMS-CHEMIE AG Via Innovativa 1 7013 Domat/Ems,
