company_name,domain,description,booth,email,city,full_address,mobile_primary
A. POHLHAMMER Wasseraufbereitung Ecowater Lindsay,lindsay-austria.at,"Warensortiment: Entkalkungsanlagen , Filteranlagen , Wasseraufbereitung",,info@lindsay-austria.at,Pinsdorf,"4812, Pinsdorf",+43 7612 663 59
ACCURAT GmbH,derstandard.at,"Warensortiment: Abdichtungen , Bauberatung , Mauertrockenlegung , Sanierung",,,Wien,"1060, Wien",
AGU GmbH,agu-verlegung.at,"Warensortiment: Bodenbeläge , Gartengestaltung , Naturstein , Terrassenbeläge",,of%66i%63e@m%77-motor%73%2Eat,Traun,"4050, Traun",0043722965300
AGU Relax GmbH,agu-relax.at,"Warensortiment: Garten , Wellness , Whirlpools",,%69nfo%40m%65%74a%6Cl-w%69rt%68.at,Traun,"4050, Traun",0043722965300
ALPENRELAX GmbH,alpenrelax.at,"Warensortiment: Inneneinrichtungen , Matratzen , Möbel , Schlafsysteme , Zirbenbetten , Zirbenkleinprodukte",,info@alpenrelax.at,Mittersill,"5730, Mittersill",+43-6562-8319
ALTERNATIV INSTALLATIONEN,a-i.at,"Warensortiment: Heizungen - Biomasse , Heizungen - Hackschnitzel , Heizungen - Kombiheizungen , Heizungen - Pellets , Pufferspeicher",,office@a-i.at,Hofkirchen an der Trattnach,"Bergstraße 5, 4716 Hofkirchen/Trattnach",07734 34014
ALUCLIP – Sanieren mit Stil,aluclip.at,"Warensortiment: Fassadensanierung , Fenstersanierung , Insektenschutz , Wintergartensanierung",,office@aluclip.at,Mistelbach bei Wels,"4613, Mistelbach bei Wels",2026-08-25
ARMSTARK GmbH,armstark.com,"Warensortiment: Whirlpools , Infrarotkabinen , Sauna",,info@armstark.de,St. Florian am Inn,"4782, St. Florian am Inn",+49853292570
AUINGER GmbH – Ideenreich für schönes Wohnen,auinger-raum.at,"Warensortiment: Estrich , Holzböden , Raumausstattung",,office@auinger-raum.at,Taufkirchen an der Pram,"4775, Taufkirchen an der Pram",004377197503
AUSTROSLEEP GmbH,austrosleep.at,Warensortiment: Matratzen,,office@austrosleep.at,Wals-Siezenheim,"5071, Wals-Siezenheim",0043662234915
AUSTROVAC – WOHNPERFEKTION GmbH & Co KG,austrovac.at,"Warensortiment: Staubsauger/ -anlagen , Wäscheabwurfschächte",,office@austrovac.at,Straßwalchen,"5204, Straßwalchen",+43621520875
AUSTROZELL GmbH,austrozell.at,"Warensortiment: Sanierung , Dämmstoffe , Ökologisch bauen , Wärmedämmung",,office@austrozell.at,Niederneukirchen,"4491, Niederneukirchen",43072248834
BAU BAST GmbH,baubast.at,"Warensortiment: Naturstein , Terrassenbeläge , Bäder , Fliesen",,info@company.com,Polling im Innkreis,"4951, Polling im Innkreis",+43 7723 6500
BAU- & MONTAGETISCHLEREI GATTERMAIER,tischlerei-gattermaier.at,"Warensortiment: Fenstersanierung , Fenster , Tischlerei , Türen",,info@%74i%73c%68lerei-ga%74ter%6Daie%72%2Eat,Treubach,"5272, Treubach",0043772444064
BAUBIOLOGISCHES INSTITUT Österreich,baubiologie.or.at,Warensortiment: Baubiologie,,institut@baubiologie.or.at,Linz,"4030, Linz",0732 776044
BAUMEISTER HUMER GmbH,humer-bau.at,"Warensortiment: Bauunternehmen , Häuser - Ziegelhäuser , Planung , Zimmerei",,office@humer-bau.at,Peuerbach,"4722, Peuerbach",004372762141
BAURECHTSKANZLEI – RA DR. GEORG WATSCHINGER,baurechtskanzlei.at,"Warensortiment: Bauberatung , Immobilien , Rechtsberatung , Vorträge",,office@baurechtskanzlei.at,Ried im Innkreis,"4910, Ried im Innkreis",+43775222622
BAUSATZHAUS c/o HAUSVERSTAND BAU GmbH,bausatzhaus.at,"Warensortiment: Bauelemente , Häuser - Holzhäuser , Häuser - Niedrigenergiehäuser , Häuser - Passivhäuser",,,Seewalchen,"4863, Seewalchen",
BAUSPARKASSE WÜSTENROT AG,wuestenrot.at,"Warensortiment: Sanierung , Banken , Versicherungen",,office@wuestenrot.at,Ried im Innkreis,"4910, Ried im Innkreis",+4357070-555
BENETSEDER GmbH,benetseder.at,"Warensortiment: Möbel , Tischlerei , Balkone , Treppen",,info@benetseder.at,Haag am Hausruck,"4680, Haag am Hausruck",07732/4382-0
BETTEN AMMERER,ammerer.com,"Warensortiment: Schlafsysteme , Raumausstattung",,,Ried im Innkreis,"4910, Ried im Innkreis",+43 (0)7752 82401
BEZIRKSPOLIZEIKOMMANDO RIED,polizei.gv.at,,,lpd-b@polizei.gv.at,Ried im Innkreis,"4910, Ried im Innkreis",122
BHFS Bodenheizungsfrässervice,burgkirchen.ooe.gv.at,"Warensortiment: Sanierung , Altbausanierung , Haustechnik",,,Burgkirchen,"5270, Burgkirchen",
BOSCOM s.r.o.,boscom.cz,"Warensortiment: Dämmstoffe , Wärmedämmung , Isolierungen , Schimmelbehandlung",,,Praha 6,"16000, Praha 6",
BREITSCHOPF GesmbH & Co KG,breitschopf.at,"Warensortiment: Einbaugeräte , Küchen",,kuechenzentrum@breitschopf.at,Dietach,"4407, Dietach",0043725238711
BRENTER BALKONE GmbH,brenter.at,"Warensortiment: Balkone , Balkonbelege , Photovoltaikanlagen & Solar , Zäune",,info@brenter.at,Oberndorf,"5110, Oberndorf",+4362727777
BRUNTHALER HOLZBAU GmbH,brunthaler.bayern,"Warensortiment: Zimmerei , Häuser - Holzhäuser , Häuser - Niedrigenergiehäuser",,,Egglham,"84385, Egglham",
BRÜDER RATH STEINBRÜCHE GmbH,natursteine-rath.at,"Warensortiment: Gartengestaltung , Terrassenbeläge , Steinbau",,,Stainz,"8510, Stainz",
BUCHNER Der Holzbaumeister,buchner.at,"Warensortiment: Sanierung , Zimmerei , Häuser - Holzhäuser , Häuser - Niedrigenergiehäuser , Häuser - Passivhäuser , Carports , Häuser - Fertighäuser , Wintergärten",,office@buchner.at,Unterweißenbach,"4273, Unterweißenbach",004379567411
BÖGL BAU GmbH,boegl-bau.at,Warensortiment: Bauunternehmen,,bssvpr@obrty-onh.ng,St. Marienkirchen am Hausruck,"4926, St. Marienkirchen am Hausruck",+430775320360
BÜRKL Ofenbau,ofenbau-buerkl.at,"Warensortiment: Heizungen - Heizkamine , Heizungen - Kachelöfen , Herde , Öfen",,8@X.Ԏ,Ort im Innkreis,Osternach 14 4974 Ort im Innkreis Österreich Mail: Tel.: Web: www.ofenbau-buerkl.at,+43(0)7751/8310
CHRISTIAN STRASSER – DER MESSEGASTRONOM,dermessegastronom.at,Warensortiment: Gastronomie,,,Ried im Innkreis,"4910, Ried im Innkreis",
DACHEXPRESS,dachexpress2000.de,"Warensortiment: Abdichtungen , Sanierung , Terrassenbeläge , Balkonbelege , Dächer , Dachsanierung , Garagen , Kaminsanierung , Spengler , Terrassenüberdachungen , Treppenbeschichtungen , Überdachungen",,info@dachexpress2000.de,Maintail,"63477, Maintail",00491723954497
DER EDER Bad – Heizung,der-eder.at,"Warensortiment: Heizungen - Biomasse , Heizungen - Hackschnitzel , Heizungen - Kombiheizungen , Heizungen - Pellets , Pufferspeicher",,office@der-eder.at,Eitzing,"4970, Eitzing",%20+43%207752%208%2055%2066
DIE EINRICHTER,dieeinrichter.at,"Warensortiment: Möbel , Einbaugeräte , Küchen , Innenarchitektur",,office@dieeinrichter.at,Ried im Innkreis,"4910, Ried im Innkreis",+43775270388
DILA Fenstersanierung,dila-sanieren.at,"Warensortiment: Fenstersanierung , Wintergartensanierung , Türsanierungen",,,Eberschwang,"4906, Eberschwang",0043775335424
DREIHANS GmbH,dreihans.at,"Warensortiment: Häuser - Ziegelhäuser , Planung , Zimmerei , Häuser - Holzhäuser , Häuser - Fertighäuser , Generalunternehmer , Häuser - Rohbau",,office@dreihans.at,Ulrichsberg,"4161, Ulrichsberg",0043503250
DUSWALD-Bau GmbH,duswald.com,"Warensortiment: Bauunternehmen , Häuser - Ziegelhäuser , Planung , Zimmerei",,,Neumarkt im Hausruckkreis,"4720, Neumarkt im Hausruckkreis",
EAV Technik,eavtechnik.at,"Warensortiment: Photovoltaikanlagen & Solar , Elektroinstallation , Haushaltsgeräte , Smart Home",,office@eavtechnik.at,Taiskirchen,"4753, Taiskirchen",+436609099000
EGGINGER NATURBAUSTOFFE GmbH,egginger-naturbaustoffe.de,"Warensortiment: Holzböden , Dämmstoffe , Ökologisch bauen , Lehmbaustoffe",,info@egginger-naturbaustoffe.de,Malching,"94094, Malching",+498533918980
EICHINGER Wintergarten GmbH & Co.KG,eicor.de,"Warensortiment: Wintergärten , Glasfassaden",,,Neuhaus am Inn,"94152, Neuhaus am Inn",
ELKE STEIN Architektur,elkestein.at,"Warensortiment: Ökologisch bauen , Planung , Architektur , Renovierung",,architektin@elkestein.at,Ried im Innkreis,"4910, Ried im Innkreis",+436504149955
EMPRECHTINGER Tischlerei,,"Warensortiment: Inneneinrichtungen , Türen",,,Waldzell,"4924, Waldzell",
ENdorado GmbH,endorado.at,"Warensortiment: Photovoltaikanlagen & Solar , Dachsanierung , Überdachungen , Erneuerbare Energie",,,Pram,Wiesenberg 45 4742 Pram Österreich Mail: Tel.: +43(0)660 - 64 34 555 Web: www.endorado.at,+4306606434555
ENERGIE AG Oberösterreich Vertrieb GmbH,energieag.at,"Warensortiment: Erneuerbare Energie , Energieberatung , Internet",,service@energieag.at,Linz,"4020, Linz",0800 81 8000
ERLER BAU GmbH,erler-haus.at,"Warensortiment: Ökologisch bauen , Häuser - Holzhäuser , Häuser - Fertighäuser , Generalunternehmer",,office@erler-haus.at,Saalfelden,"5760, Saalfelden",+43%206582 76120
ERNST WINNINGER GmbH,winninger.at,"Warensortiment: Heizungen - Wärmepumpen , Klimaanlagen",,office@winninger.at,Regau,"4844, Regau",+437672727250
ETA Heiztechnik GmbH,eta.co.at,"Warensortiment: Heizungen - Biomasse , Heizungen - Hackschnitzel , Heizungen - Kombiheizungen , Heizungen - Pellets , Pufferspeicher",,info@eta.co.at,Hofkirchen an der Trattnach,"4716, Hofkirchen an der Trattnach",0043773422880
exclusive Bauen & Wohnen – WBS Werbe & VerlagsgesmbH,exclusive-bauen-wohnen.at,"Warensortiment: Bauberatung , Zeitungen und Zeitschriften",,office@wbs-team.at,Linz,"4020, Linz",00432073220905990
