company_name,domain,description,booth,email,city,full_address,mobile_primary
Advance Appliances,,,510,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Aira UK Limited,,,338,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Allpools & Spas Ltd,allpoolsandspas.co.uk,,426,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Alpha Building Control Limited,,,301,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Barleywood Kitchens/Inspired Worx,barleywoodkitchens.co.uk,"Barleywood Kitchens is a kitchen design, supply and installation company based in Cheddar, Somerset, operating locally across Bristol, Bath and the Southwest. Offering a range of kitchens, utility rooms and appliances, as well as fitted bedroom furniture. From classic, timeless kitchens to sleek, modern spaces, they offer a complete service from initial design, through to supply and professional installation. They are also an approved supplier of the Laura Ashley fitted furniture collection. <div> </div> <div> <p>Established in 2011, Inspired Worx are a Cheddar-based construction and renovation company, providing full domestic and commercial building services across the Southwest.<span><span> </span></span><span>With extensive expertise in structural reconfigurations, new builds, full refurbishments, reconfigurations, extensions to structural works, listed building renovations and loft conversions, the team provides a complete turnkey service from initial planning and design through to construction and completion.</span></p> <div> <div> </div> <div> </div> </div> </div>",330,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Berghoff,londonchinagroup.com,,156,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Blauberg UK,fantronix.com,,331,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Bomen Architectural Glazing,bomen.co.uk,,123,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Broadaxe Timber Frames Ltd,,,414,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Burrow Enviromental,,,242,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Classic Cottages,classic.co.uk,,230,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Collstone Developments,,,511,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Cool energy,,,V10,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Copper Vixen Interiors,,,523,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
CORE CONSERVATION LTD,,,402,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
cottages.com,cottages.com,,117,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Culligan Harvey Water Softeners,,,221,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Danwood,dan-wood.co.uk,,118,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Della Valle Architects,dellavallearchitects.co.uk,,125,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Easy Bathrooms,,,438,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
Ecohaus,,,103,,Shepton Mallet,"Bath & West Showground, Shepton Mallet, Somerset, BA4 6QN, United Kingdom",
