company_name,domain,description,booth,email,city,full_address,mobile_primary
A&M Containers,aandmcontainer.com,,B10,,,"18056 S. I-12 Service Rd., 70454, Ponchatoula, LA, US",855425617
Aarcadian,aarcadian.com,,H01,,,,
Abacus Container Storage Ltd,,,D06,reeferadmin@abacuslogistics.com,,,94107-2594
Active Container Services BV,activecontainers.nl,,J37,info@activecontainers.nl,,Rederijweg 18 4906 CX Oosterhout,31102161089
AMPERA,amperaglobal.com,,H21,greg.brostowicz@ampera-x.com,,,
Armando Alvarez Group,sprpackaging.com,,J39,info@sprpackaging.com,,"1480 Justin Road Rockwall, Tx 75087 USA",469.314.1600
ArrowSpot Systems Ltd,arrowspot.com,,C06,office@arrowspot.com,,"4 Maskit Street, Herzliya, IL",
Avograna,avograna.com,,J81,kontakt@firma.pl,,,
Balder Technology AS,balder.co,,G26,contact@balder.co,,"Lilleakerveien 4a, 0283, Oslo, NO",
Balticon S.A.,balticon.pl,,C94,sales@ecocontainers.com,,kontakt@balticon.pl Phone contact: Between 8 a.m. and 4 p.m.: +48 603 122 420 Between 4 p.m. and 8 a.m.: +48 603 135 312 ul. Tadeusza Wendy 15 81-341 Gdynia,48 603 122 420
Beequip,beequip.com,,H01,marketing@beequipproducts.com,,,
Beequip BV.,,,H01,support@leadiq.com,,,8886532347
Blackberry UK Ltd,,,J19,,,,
BoxPlus Information Technology Company,iboxplus.net,,E75,helloboxplus@iboxplus.net,,,
BSL Containers Ltd,bslcontainers.com,,B90,,,,852-23633381
BULLBOX,,,E30,,,,
Bureau International des Containers (BIC),bic-code.org,,G80,douglas.owen@bic-code.org,,,33 147 660 390
C Sence,sence-essentials.com,,H01,,,,
CAI International,,,D60,etang@capps.com,,,888.327.0655
Carrier Transicold Division,carrier.com,,C50,,,,
CARU Containers B.V.,carucontainers.com,,C40,antwerpen@carucontainers.com,,,
CBOX Container,cboxcontainerhouse.com,,H01,sales609@cbox.ltd,,"No. 6, Xinkai Road, Wusha Community, Daliang Subdistrict, fo shan, guang dong, CN",86 13631414627
CCIS HO,acsac.org,,E12,,,,
CHS Container Group,chs-containergroup.com,,H01,,,,
"CIMC Containers (Group) Co., Ltd",,,C70,,,,
CNTNR Partners,cntnrpartners.com,,C10,,,,
Conical GmbH,theheavyliftgroup.com,,B70,info@conical.de,,,
Copeland Transportation Solutions ApS,,,B60,,,,
