exhibitor_name,domain,contact_number,mail,location,country,name,desc,email,phone,address,city,linkedin_url,profile_url,source_year
Ackermann Bautechnik,ackermann-bautechnik.de,04471/89 71 220,info@ackermann-bautechnik.de,,Germany,Ackermann Bautechnik,"Die Ackermann Bautechnik mit Sitz in Cloppenburg ist niedersachsenweit als Fachbetrieb für Dämmtechnik, Bautenschutz und energetische Sanierung tätig. Unsere Schwerpunkte liegen in der Wärmedämmung – insbesondere Kerndämmung und Einblasdämmung – sowie in der energetischen Altbausanierung. Darüber hinaus sind wir spezialisiert auf Kellerisolierungen, Bauwerksabdichtungen und die Sanierung feuchter Mauerwerke. Als junges, dynamisches und leistungsstarkes Team stehen wir für fachgerechte Lösungen, zuverlässige Ausführung und kompetente Beratung rund um die energetische Sanierung von Bestandsgebäuden.",info@ackermann-bautechnik.de,04471/89 71 220,,,,https://www.lebenstraeume-grafschaft.de/aussteller/ackermann-bautechnik/,2026
baucontrol sander,baucontrol-sander.de,,,,Germany,baucontrol sander,"Man baut nicht oft im Leben – ein Haus zu bauen ist für viele die wohl größte finanzielle Investition, die sie in ihrem Leben tätigen. Sie haben bereits ein schönes Grundstück und einen passenden Bauplan? baucontrol sander kümmert sich um Sie und begleitet Sie bei jedem Schritt. Sie bekommen jede Unterstützung von Beginn bis zur Abnahme und gelangen sicher ans Ziel. baucontrol sander ist tätig in den Bereichen der Bauplanung, der Ausschreibung und Vergabe, der Bauleitung, der baubegleitenden Qualitätssicherung und der Baubetreuung – der richtige Partner für jedes Bauvorhaben!",,,,,,https://www.lebenstraeume-grafschaft.de/aussteller/baucontrol-sander/,2026
Baustoffe Vogt GmbH,baustoffe-vogt.de,05908/9373-0,info@baustoffe-vogt.de,,Germany,Baustoffe Vogt GmbH,"Die Baustoffe Vogt GmbH bietet neben Baustoffen auch eine große Auswahl an Gartenbaustoffen und Elementen für den Innenausbau an. Zudem gehören Kamin- und Pelletöfen sowie Terrassenüberdachungen zu dem Portfolio. Auf mehr als 20.000 Quadratmetern findet jeder garantiert den passenden Holzboden, Gartentisch, Springbrunnen oder Pflasterstein.",info@baustoffe-vogt.de,05908/9373-0,,,,https://www.lebenstraeume-grafschaft.de/aussteller/baustoffe-vogt-gmbh/,2026
CF Collection,cfcollection.de,+491729676861,info@cfcollection.de,,Germany,CF Collection,"CF Collection – Wir sind für euch da! Ob Plissees und Faltstoreanlagen, Insektenschutz oder Terrassenbeschattungen – wir verfügen bereits über eine Erfahrung von mehr als 25 Jahre und bieten euch höchste Qualität made in Germany und Zuverlässigkeit. Auch der Service wird bei uns groß geschrieben. Die Montagen sind im Preis inklusive.",info@cfcollection.de,+491729676861,,,,https://www.lebenstraeume-grafschaft.de/aussteller/cf-collection/,2026
CIRRUS LIVING Immobilien GmbH & Co. KG,cirrus-living.de,+49592188300,wohnen@hade-noh.de,,Germany,CIRRUS LIVING Immobilien GmbH & Co. KG,"Die Marke CIRRUS LIVING® ist Teil der HADE Unternehmensgruppe aus Nordhorn und steht für das Hochgefühl des Wohnens . Als zuverlässiger Partner für die Entwicklung moderner Wohnformen erwerben wir Grundstücke und Bestandsimmobilien. Ein wesentliches Merkmal unseres Unternehmens ist, dass wir nicht als klassischer Bauträger agieren. Stattdessen verbleiben die von uns realisierten Immobilien in unserem eigenen Bestand, wodurch wir eine nachhaltige Bewirtschaftung sowie eine kontinuierliche und intensive Betreuung auch über die Fertigstellung hinaus sicherstellen. Unser Anspruch ist es, Immobilien zu schaffen, die wirtschaftlich überzeugen und zugleich Atmosphäre bieten – Orte, an denen man sich unmittelbar zuhause fühlt. Dabei verbinden wir nachhaltige, energieeffiziente Konzepte mit klarer Architektur und hoher Lebens- und Nutzungsqualität. Von der ersten Idee über Planung und Umsetzung bis zur schlüsselfertigen Realisierung stehen wir für einen ganzheitlichen Prozess – präzise, verlässlich und mit echter Leidenschaft für Immobilien, die einen nachhaltigen Mehrwert für die Wasserstadt Nordhorn schaffen.",wohnen@hade-noh.de,+49592188300,,,,https://www.lebenstraeume-grafschaft.de/aussteller/cirrus-living-immobilien-gmbh-co-kg/,2026
CURA Security GmbH,curasecurity.de,05921 3045646,info@curasecurity.de,,Germany,CURA Security GmbH,"CURA Security stellt Fachkräfte für die verschiedensten Sicherheitsdiensleistungen. Unsere innerbetrieblichen Prozesse gestalten wir effizient. Klar formulierte Dienstanweisungen sorgen zum Beispiel dafür, dass wir ohne Reibungsverlust Hand in Hand arbeiten. Wir reagieren schnell und flexibel, denn unsere durchorganisierten Strukturen vom Schreibtisch bis zur Ablage sparen wertvolle Zeit. Mit regelmäßigen, EDV-gestützten und ausgewerteten Feedbacks kontrollieren wir, ob unsere Qualitätsansprüche umgesetzt werden. Aus den Ergebnissen nehmen wir wichtige Impulse auf, um unsere Arbeitsabläufe zu optimieren.",info@curasecurity.de,05921 3045646,,,,https://www.lebenstraeume-grafschaft.de/aussteller/cura-security/,2026
Deppe Backstein-Keramik GmbH,deppe-backstein.de,05942 92100,info@deppe-backstein.de,,Germany,Deppe Backstein-Keramik GmbH,"Ästhetische Klinker für Ihr Bauvorhaben Die Deppe Backstein-Keramik GmbH ist ein traditionsreiches Familienunternehmen, das seit 1888 in handwerklicher Perfektion Ziegelprodukte herstellt, die durch Ästhetik, Qualität und Langlebigkeit überzeugen. Unser Sortiment umfasst eine Vielzahl von Backsteinen in unterschiedlichen Farben, Formaten, Formen und Texturen, die sowohl für Neubauten als auch für Renovierungsprojekte geeignet sind. Wir bieten klassischen Verblendklinker, Formsteine sowie individuelle Sonderanfertigungen an. Diese Vielfalt ermöglicht es Bauherr*innen und Architekt*innen, stilvolle und langlebige Fassaden zu gestalten, die ästhetisch wie funktional sind.",info@deppe-backstein.de,05942 92100,,,,https://www.lebenstraeume-grafschaft.de/aussteller/deppe-backstein-keramik-gmbh/,2026
Dinkelholzbetriebe GmbH,dinkelholz.de,+49594198840,Detlef.terhaar@dinkelholz.de,,Germany,Dinkelholzbetriebe GmbH,"Dinkelholzbetriebe GmbH – Alles unter einem Dach! Seit über 30 Jahren Ihr zuverlässiger Partner, wenn es ums Handwerk geht! Unsere Fertigung ist mit modernster Technologie auf höchstem Niveau ausgestattet. Das Fertigungsteam ist mit qualifizierten und motivierten Facharbeitern besetzt. Die Zufriedenheit unserer Kunden steht bei uns an erster Stelle. Unser individuelles Leistungsspektrum für Privat- und Gewerbekunden erstreckt sich über: Wir freuen uns, Sie an unserem Stand begrüßen zu dürfen.",Detlef.terhaar@dinkelholz.de,+49594198840,,,,https://www.lebenstraeume-grafschaft.de/aussteller/dinkelholzbetriebe-gmbh/,2026
EBM GbR Eisenbraun & Bayer Malermeisterbetrieb,ebm-nordhorn.de,+4915253522747,,"Bentheimer Straße 239, 48529, Nordhorn, DE",Germany,EBM GbR Eisenbraun & Bayer Malermeisterbetrieb,"Unser Malerbetrieb ist seit 2015 am Markt etabliert und kann mittlerweile auf einen großen Stamm zufriedener Kunden zurückblicken. Hierzu zählen sowohl private als auch gewerbliche Auftraggeber. Wir kümmern uns um Fassadengestaltungen, Raumgestaltungen und Tapezierarbeiten, um fugenlose Oberflächen und fugenlose Bäder sowie um Bodenbeläge jeglicher Art. Die Schwerpunkte unseres Betriebs haben wir nachfolgend für Sie aufgeführt: Fugenlose Oberflächen und Bäder liegen derzeit hoch im Trend. Hierzu zählt auch die Beton Optik, der wir als erfahrener Malermeister eine individuelle Oberfläche verleihen. Der moderne Industrial Style lässt sich vielseitig kombinieren und eignet sich sowohl für Wohnbereiche als auch für Geschäftsräume. Der Beton Style ist zeitlos schön und besitzt eine einzigartige Struktur. Jede bearbeitete Fläche ist ein absolutes Unikat. Als Meister auf dem Gebiet Raumgestaltung beraten wir Sie gerne persönlich.",,+4915253522747,"Bentheimer Straße 239, 48529, Nordhorn, DE",,,https://www.lebenstraeume-grafschaft.de/aussteller/ebm-gbr-eisenbraun-bayer-malermeisterbetrieb/,2026
EcotecWorld GmbH Uelsen,ecotecworld.de,05942 9893110,kundenanfragen@ecotecworld.de,,Germany,EcotecWorld GmbH Uelsen,"Wir sind ein innovatives und wachsendes Energieunternehmen, das sich auf die Entwicklung und Umsetzung nachhaltiger Photovoltaik- und Speicherprojekte fokussiert. Die Energiewende ist in aller Munde, passiert jedoch nicht von allein. Wir glauben daran, dass es möglich ist. Dafür arbeiten wir als Team an dem Ausbau der notwendigen PV-Leistung und Speicherkapazität! International vernetzt, in Uelsen zu Hause Mit dem EcotecWorld-Großhandel in Coevorden (NL) und jeweils einer Niederlassung in China (Hongkong) und der Türkei sind wir international vernetzt. Unser Sitz in Uelsen zeigt, wo unser Zuhause ist.",kundenanfragen@ecotecworld.de,05942 9893110,,,,https://www.lebenstraeume-grafschaft.de/aussteller/ecotecworld-environmental-products-gmbh/,2026
