company_name,domain,description,booth,email,city,full_address,mobile_primary
A1 ADAS,,"Visit the stand to see top tier diagnostic and garage equipment, including Autel, Hella, Topdon, and Texa products, as well as the exclusive A1 remote diagnostic system and ADAS equipment. As garage equipment specialists, A1 ADAS provides cutting-edge solutions to enhance vehicle diagnostics, repairs, and calibration for workshops and professionals.",,,,,
Absolute Alignment,absolutealignment.co.uk,Absolute Alignment Absolute Alignment Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,admin@absolutealignment.co.uk,Farnborough,7 Alexandra Road,01252549340
Alldata,alldata.com,Alldata ALLDATA Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,800-697-2533
AP Auto,apautosalescorp.com,"Discuss your air-conditioning requirements with industry expert and City & Guilds approved training centre, AP Auto.Showcasing the latest TRE service machine line-up from Oksys together with CTR’s popular Kheos Plus and Kristal Base charging stations, AP Auto are giving a £100 show discount on all A/C machines purchased at Mechanex (terms and conditions apply).",,,,,
Arnott Europe,arnottmanuals.com,"With over 35 years of expertise, Arnott Suspension Products offers a complete range of high-quality suspension solutions. Visit our stand at Mechanex Harrogate to explore our air springs, (eRide) air struts and shocks, compressors, ride height sensors, and valve blocks—engineered for durability and performance.",,info@arnottinc.com,,,+18002518993
Ashford Garage Equipment,,Ashford Garage Equipment Ashford Garage Equipment Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Autel,autel.us,"Since 2010, Autel Karnetic have been the sole supplier of Autel diagnostic products in the United Kingdom and Ireland on behalf of Autel Global. We manage all distribution, support and warranty services for Autel diagnostic tools. This strong and trusted partnership has made Autel products the leading choice in the United Kingdom and Irish markets.",,,,,
Auto Garage Network,autogaragenetwork.com,"Auto Garage Network showcases its all-in-one platform for independent garages: professional websites, 24/7 online booking, and garage management software covering job cards, workshop diary, invoicing, and ramp-utilisation scheduling. Trusted by garages across the UK, AGN helps workshops win more bookings, work more efficiently, and grow profits.",,support@autogaragenetwork.com,,,07947 906789
Autoparts UK,d2pautoparts.com,Autoparts UK Auto Parts UK Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,sales@d2pautoparts.com,,,+44 20 8813 9599
Bardahl UK,bardahl.co.uk,"Bardahl, a global leader since 1939, delivers innovative and sustainable automotive lubricants and additives that optimise your vehicle’s performance and longevity. Our mission is to support customers by providing the highest quality lubricants on the market.",,,,,
BEAL UK,,BEAL UK BEAL UK Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
BookMyGarage,bookmygarage.com,BookMyGarage BookMyGarage Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Bosch,bosch.com,"Bosch Mobility Aftermarket will showcase its advanced diagnostic and workshop solutions. The exhibit highlights ADAS calibration systems, the diagnostic software powerhouse ESI[tronic] (paired with KTS hardware), KiS Garage Management System, and EV diagnostic equipment. All designed to help prepare workshops for the future of vehicle servicing.",,,,,
Click Mechanic,clickmechanic.com,"Click Mechanic will be at Mechanex to connect with skilled mechanic s and expand our network. We’re seeking to onboard more professionals who value flexibility, competitive rates, and customer trust. By joining Click Mechanic, mechanic s can access a steady stream of job opportunities, enhancing their business growth and industry presence.",,support@clickmechanic.com,"London, United Kingdom",86-90 Paul Street,02033229988
Comma,comma.ai,"At Comma, we understand that workshops have it tough. Any make and model of vehicle, any day of the week, plus constantly changing regulations and emerging technologies continue to make the job more complicated. For six decades, we’ve been supporting mechanics with quality engine oils, lubricants and chemicals for passenger and commercial vehicles. We’ve made it our mission to help workshops run smoother. We do it by providing dependable products, tools and training that help them get the job done right – first time, every time.",,,,,
Cooling Edge,coolingedge.co.uk,Cooling Edge Cooling Edge Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Dewalt,dewalt.com,Dewalt DeWALT Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,support.dewalt@sbdinc.com,,,
DruOps,,"DruOps GMS is cloud garage management software built specifically for UK independent garages. Enter a vehicle reg and it auto-populates the correct parts basket from your preferred suppliers in under 60 seconds — no manual searching. Reduce revenue leakage, manage your diary, and run your whole workshop from one central place.",,,,,
Easy 2 Recruit,easy2recruit.co.uk,Easy 2 Recruit Easy 2 Recruit Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,sales@easy2recruit.co.uk,,,01788220694
Everywhen,everywhenproject.org,"Everywhen (formerly Boswell Aftermarket) is a leading insurance broker based in Norwich, powered by a team of over 90 dedicated specialists. With more than 45 years of proven expertise in the Aftermarket sector, we deliver tailored insurance solutions and trusted guidance that help our clients stay protected and positioned for success in a fast‑moving industry.",,,,,
FAI PRO,,FAI PRO FAI Pro Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
FER,,"The Federation of Engine Re-Manufacturers (FER) represents the UK’s engine re-manufacturing industry, setting rigorous standards through BS AU 257:2002. FER members deliver expert, quality-assured services across automotive, marine, HGV, and more. With technical support, approved warranties, and a national complaints procedure, FER ensures trust, reliability, and excellence for both customers and industry professionals.",,,,,
Garage Services Online,garagematters.uk,"Garage Services Online (GSO) has helped independent garages across the UK & Ireland build their online presence since 2008. Trusted by 850+ workshop partners and backed by 175 five-star reviews, GSO delivers bespoke websites, digital marketing (social media/PPC) and ongoing account management, turning online visibility into profitable enquiries, seamless bookings and long-term growth.",,,,,
Gates,gatesfoundation.org,Gates Gates Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Giuliano Automotive,giuliano-automotive.com,"Giuliano Automotive will be demonstrating a selection of products from their extensive tyre changer, wheel balancer and wheel alignment range. Expert advice will be on hand, and live demonstrations will take place, including the fitting and removal of some of the most tyres and large rims.",,info@giuliano-automotive.com,,,+390522731111
HALFORDS,,"Halfords Trade Card helps trade professionals save on the products they use every day. From tools and workshop essentials to car parts and maintenance products, discover exclusive Trade Card pricing and how Halfords can help keep you and your business moving.",,,,,
Hickleys,locksmithingsecrets.traintolocksmith.hickleystrainingacademy.com,Hickleys Hickleys Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Infopro Digital Automotive,infopro-digital-automotive.com,"Visit Infopro Digital Automotive at Stand BB70 for free demonstrations of HaynesPro, OATS, DriveRightData, and E3Technical. Discover our latest technical data, lubricant insights, and fitment solutions designed to enhance efficiency and profitability.",,marketing.automotive@infopro-digital.com,,,+33 (0)1 46 99 24 76
ISN Garage Assist,garage-assist.com,"ISN Garage Assist will be showcasing the latest garage equipment, from leading brands such as Hofmann Megaplan, Luxus, and more. Visitors will have the opportunity to experience live product demonstrations, see advanced technology in action, and access exclusive show deals. Whether you are looking to upgrade your tyre fitting, wheel alignment, lifting equipment, or general workshop tools, our team will be available to discuss your requirements and provide expert guidance.",,,,,
Ivor Searle,ivorsearle.co.uk,Ivor Searle Ivor Searle Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,01353 720531
JHM Butt,,"JHM Butt are your one stop shop for garage equipment and workshop tools. We will be demonstrating our latest Supalign wheel balancer, tyre changer and computerised wheel aligner, alongside taking other items like battery booster packs and coil spring compressors.",,,,,
JLM Lubricants,jlmlubricants.com,JLM Lubricants JLM Lubricants Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,info@jlmlubricants.com,,,
KAP Diagnostics,kapdiagnostics.com,"KAP Diagnostics is the official distributor of the AVDI and Abrites Diagnostics software. The next generation in Auto Diagnostics solutions. An AVDI communicates VIA OBDII port to almost any vehicle on the market to enable functionality such as Key Programming, PIN Code Extraction, Part Adaption, ECU Flash, Milage Recalibration, and much more.",,,,,
Laser,laserline.com,Laser L aser Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,+4926309644000
Launch UK & Ireland,launchtech.co.uk,"Empowering workshops to do more in-house and keep more profit, LAUNCH UK & IRELAND help garages achieve faster, more accurate repairs and maximise margins. Visit stand CC50 to explore the advanced X-431 diagnostics range, cutting-edge EV diagnostics, ADAS solutions, DPF Chemicals and discuss your needs with our experts.",,sales@launchtech.co.uk,,,01752344989
LIQUI MOLY,,LIQUI MOLY LIQUI MOLY Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
LOCK50,,"Lock50 offers the world’s first JLR technical tool, which revolutionises key programming by removing the need for module replacement. From seamless key programming to advanced features like alarm deactivation (on new vehicles), the Lock50 JLR key tool remains up to date with regular software updates to maintain peak performance while adhering to the highest security standards.",,,,,
Macmillan Cancer Support,macmillan.org.uk,Macmillan Cancer Support Macmillan Cancer Support Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,coffee@macmillan.org.uk,,,08088080000
MOT Compliance Group,,MOT Compliance Group MOT Compliance Group Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
MOT Expert,motexpert.org,MOT Expert MOT Expert Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,01604422700
MOT Manager,motmanager.co.uk,"Launching in 2016 MOT Manager has become one of the fastest growing garage management systems in the UK. With a focus on being user friendly, simple to operate and providing incredible results, hundreds of garage owners have chose this solution. Come and see us at Harrogate for a free no obligation demo, where we can discuss the potential of working together.",,,,,03333444989
Motor Parts Direct,,"Motor Parts Direct – Right part, right place, right time!Your one stop destination for quality automotive parts, Garage Equipment & tools, along with workshop essentials and garage propositions. With competitive prices, extensive stock, and expert support across our expanding branch network, MPD supports the trade to keep vehicles moving.",,,,,
MOTXpert,,MOTXpert MOTXpert Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
NFU MUTUAL,,"At NFU Mutual, we’re committed to offering quality insurance solutions and a personal service. We understand the unique risks different businesses face – from accidental injury to damage to property and tools. That’s why you can rely on us to protect you against these risks. To find out more, search NFU Mutual Business Insurance.",,,,,
Opus IVS,opusivs.com,Opus IVS Opus IVS Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,support@opusivs.com,,,+18779456442
Orbia,orbia.com,"Klea® 456A and Klea® Edge™ 444A deliver advanced refrigerant solutions for the automotive aftermarket. Klea® 456A is a direct R‑134a replacement, reducing GWP by over 50% while maintaining performance and safety. Klea® Edge™ 444A offers a cost‑effective, sustainable direct alternative to R‑1234yf, with faster cooling, regulatory compliance, and improved efficiency.",,,,,
