exhibitor_name,domain,contact_number,mail,location,country,description,profile_url,published_at,source_year
Andera,andera.ai,9526868866,team@andera.ai,,,"No comments Save thousands of hours by automating your SOX testing with AI. We are the industry experts on how to apply AI to audit Andera has done the largest scale AI control testing deployments to date. Backed by Bain Capital & Lightspeed, and built by the people who know audit best. Messy data should not prevent AI adoption Well designed AI systems should be able to handle any data that human teams are able to read. With systems constantly changing and data formats being dynamic, getting perfectly clean data is an impossible goal. It is up to AI providers to build systems that can work well with messy data, rather than asking companies to alter their data to work with more rigid systems. Adopting AI to its full potential is not an overnight change AI adoption is an investment, and it pays off faster the earlier you make it. Andera is built to get your team productive quickly and support you along every step of the journey. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/andera/10838.article,2026-08-17T16:17:00+01:00,2026
Anecdotes,anecdotes.ai,152012194,hello@anecdotes.ai,"3000 El Camino Real Building 4, Suite 200 Palo Alto, CA 94306, USA",United States,"No comments The AI-Native Enterprise GRC Platform The leading Agentic GRC platform built for the enterprise. AI is only as smart as the data it’s built on, which is why Anecdotes runs on a foundation of complete, accurate, and structured data, automatically collected from your systems and trusted by the world’s largest enterprises and auditors. With AI embedded across every task—audits, risk management, continuous control monitoring, and everything in between—you can finally get GRC right. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/anecdotes/10931.article,2026-09-16T04:06:00+01:00,2026
Arthur D. Little,adlittle.com,,,,,"No comments Linking people, technology and strategy As people, organizations and societies embrace change at pace, its leaders must anticipate, innovate and transform ever faster. We help our clients overcome today’s most pressing challenges and seize tomorrow’s most promising opportunities. With a powerful blend of creative thinking and scientific rigor we link people, technology and strategy to find original and pragmatic ways to accelerate performance, innovate through convergence and digital, and make a positive impact on the world. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/arthur-d-little/10839.article,2026-08-17T16:21:00+01:00,2026
AUDAX,audaxuk.com,44 (0)1752 264950,info@audaxuk.com,,,"No comments Since 2005 Audax® have been the worldwide Pioneers in developing Body Worn Video (BWV) technology. Audax have been the worldwide Pioneers in Body Worn Video (BWV) technology since 2005 and Leading the World in 2006 with the UK Home Office in a joint project producing the first ever BWV standards. We We are approved Members of Made in Britain https://www.madeinbritain as we design, develop, and perform all final assembly, testing and quality control functions for our products at our Plymouth Headquarters. Members of The Guild of Security Industry Professionals and an early adopter and member of the Good Business Charter . https://www.goodbusinesscharter.com/audax (which incorporates being accredited as a Living Wage Employer and No Zero hours contract Gold employer), Our MD is also one of the founding Members and the BWV Ambassador of the Security Industry Federation (The UK’s Security Trade Union). Half the Audax team are service veterans and we are proud to have the Gold Award of The Defence Employer Recognition Scheme (ERS) Armed Forces Covenant. https://audaxsecurity.co.uk/audax-receives-employer-recognition-scheme-gold-award-2022 Audax are a British Veteran owned Company. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/audax/10841.article,2026-08-17T16:29:00+01:00,2026
Bayshore,bayshore.ai,400208363,contact@bayshore.ai,,,"No comments Make Law Actionable Bayshore was built on the conviction that regulations should be the infrastructure of progress, not its bottleneck. We enable legal and compliance functions in highly regulated enterprises to execute at the speed of business without losing control over risk. For multiple Global 2000 companies, we are teaching AI agents to run complex legal and compliance processes and collaborate with human experts where necessary. By translating legal rules into code, we are shifting the paradigm. AI agents work with the determinism of legal rules instead of relying solely on the probabilistic nature of LLMs. This makes them accurate, explainable, and auditable. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/bayshore/10840.article,2026-08-17T16:24:00+01:00,2026
Behavox,,8886532347,,,,"No comments Prevent misconduct. Detect risk. Prove control. Behavox is an AI company that helps organizations safeguard and enhance their businesses through a unified controls framework. Its AI-native platform brings together communications surveillance (Quantum), trade surveillance (Polaris), regulatory data retention (Intelligent Archive), and policy management (Pathfinder) on a single, integrated platform. Behavox enables firms to detect risk, meet regulatory obligations, reduce operational complexity, and turn enterprise data into revenue. Founded in 2014 and headquartered in London, Behavox serves a global client base across financial services and other regulated industries, with offices in North America, EMEA, and APAC. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/behavox/10842.article,2026-08-18T06:13:00+01:00,2026
Blue John,wearebluejohn.com,,hello@wearebluejohn.com,,,"No comments Making reputation visible Blue John is building trust infrastructure for regulated enterprise. GREY is one platform with infinite applications across talent, teams and organisations. We start with talent acquisition because that’s where people risk is hardest to see and wrong hires are costly. One in three hires is wrong. The average cost is 3x salary, sometimes as much as 15x. That’s over £100k on average per wrong hire. GREY combines applied neuroscience, AI and reputation analysis to reveal who someone actually is, not just what they claim to be. This is people risk intelligence. Grey Flags (hidden risks), Lightning Bolts (untapped potential) and Traitmarks® (how someone shows up at work) that the current talent process misses. Not a test. Not judgement. Insight while you still have time to change your mind and intelligence that shapes onboarding and employee experience. Built for regulated businesses making talent decisions that carry reputational and regulatory risk. From SMEs and growth companies in financial services, professional services and healthcare, to enterprise teams navigating change. The cost of getting it wrong isn’t just financial. It’s time, trust, momentum and reputation. We’re not here to replace your talent process. We’re here to protect it. Founded by a team with over 20 years in reputation management, due diligence and Open Banking, for customers who refuse to ignore the risk in their most important decisions. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/blue-john/10918.article,2026-09-03T05:21:00+01:00,2026
BRAVE.,brave-governance.com,0333 335 5490,contact@brave-governance.com,,,"No comments Changing governance. From within. For good. We want to spark a governance revolution, not from the side-lines, but from within the very heart of growing businesses. To make the concept of “good governance” universally understood. Transforming it into a “must-have” for businesses. To drive responsible management and growth in every business. Because directors must say what they do, and do what they say. We provide high-value solutions in governance, risk, control, assurance, legal and regulatory compliance. We help boards, audit and risk committees, directors and executives to act with confidence. We are united in our commitment and passion to help businesses behave responsibly and achieve their purpose. We are thrilled to have won the South East Start-Up Professional Services award for 2023. As a team we have worked hard to create a purpose led vision for companies that want to balance people, planet and profit. Integrating emotional intelligence with the mechanics of good governance is ground breaking and yet essential. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/brave/10843.article,2026-08-18T06:42:00+01:00,2026
Cardamon,cardamon.ai,,hello@cardamon.ai,"169 Madison Ave STE 15050, New York, NY 10016, United States of America",United States,"No comments Launch regulated products 10X faster by automating compliance with AI Cardamon is an AI powered platform that ingests relevant regulation, understands what applies to each regulated financial firm, and gets compliance officers from regulation, to obligations, to product requirements in minutes - not weeks. We cover UK, EU and US regulations. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/cardamon/10879.article,2026-08-18T10:36:00+01:00,2026
Clew,clew.io,+61 1300 018 254,,"267 St Georges Terrace, Perth WA 6000 Level 2, 6000, Perth, WA, Australia",Australia,"No comments There is a Straight Line Between Risk and Reward. Find it with Clew. At Clew, we help organisations move from fragmented risk management to clear, confident decision-making that drives real business performance. Our SaaS platform connects objectives, risks, assurance, and actions in one simple, scalable system - creating a clear golden thread between strategy and execution. Rather than treating risk as purely a resilience or compliance exercise, we help teams build organisational understanding - clarifying uncertainty, prioritising what matters most, and turning insight into measurable outcomes. Clew is built for organisations operating in complex, regulated environments. We focus on being practical, affordable, and quick to implement, helping customers strengthen resilience, meet regulatory expectations, and improve performance without the cost or complexity of traditional enterprise tools. We’re a growing, ambitious team redefining what modern risk and assurance software should look like: intuitive, outcome-focused, and grounded in how organisations actually work. If you value clarity over complexity, care about real-world impact, and want to help organisations find the clew through uncertainty, you’ll feel right at home. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/clew/10845.article,2026-08-18T07:54:00+01:00,2026
