company_name,domain,description,booth,email,city,full_address,mobile_primary
Absolut Vodka,pernod-ricard.com,"The world’s leading premium vodka, made from pure Swedish water and winter wheat.",C10:50,media.relations@pernod-ricard.com,Stockholm,"Stockholm, Stockholm County, Sweden",
Agitator,agitatorwhisky.com,På Agitator strävar vi att göra modern whisky som är riktigt god. Vår ambition är att ta svensk whisky in i 2000-talet.,C11:59,kontakt@agitatordistillery.com,Stockholm,"Stockholm, Stockholm County, Sweden",+46704105171
Alnöl,alnol.se,"På den vackra ön Alnö strax utanför Sundsvall startade vi vår verksamhet 2014. På norra delen av ön, med djur och natur inpå knuten, brygger och destillerar vi öl & sprit. Vi jobbar hantverksmässigt och småskaligt utan att någonsin göra avkall på kvaliteten.",C02:38,,Stockholm,"Stockholm, Stockholm County, Sweden",
Amarula,anora.com,Anora is a leading wine and spirits brand house in the Nordic region and an industry forerunner in sustainability.,C11:21,firstname.lastname@anora.com,Stockholm,"Stockholm, Stockholm County, Sweden",00358207013013
Amsterdam Farms,tripadvisor.com,,C10:60,,Stockholm,"Stockholm, Stockholm County, Sweden",
Angry Ape,angryapekitchen.se,"Premium chilisåser, hantverksmässigt tillverkade på Södertörn med chili från egna odlingar. Unika smakkombinationer där smaken kommer först – sedan hettan.",C06:20,,Stockholm,"Stockholm, Stockholm County, Sweden",
Ankarsrum Kitchen,ankarsrum.com,"Ankarsrum's Stand Mixer combines quality, function & design. With a stand mixer from Ankarsrum you'll get a complete helper in the kitchen!",C12:30,,Stockholm,"Stockholm, Stockholm County, Sweden",+4649052000
Anora,anora.com,Anora is a leading wine and spirits brand house in the Nordic region and an industry forerunner in sustainability.,C11:39,firstname.lastname@anora.com,Stockholm,"Stockholm, Stockholm County, Sweden",00358207013013
Aptit Förlag,aptitforlag.se,,C04:21,,Stockholm,"Stockholm, Stockholm County, Sweden",
Arvid Nordquist,arvidnordquist.se,,C01:40,,Stockholm,"Stockholm, Stockholm County, Sweden",
Baileys,diageo.com,"Created in 1974, Baileys is the world's first cream liqueur and now one of the most-loved spirits on the planet. Rich, indulgent and unmistakably smooth, it is enjoyed by millions worldwide.",C11:38,,Stockholm,"Stockholm, Stockholm County, Sweden",
Basturökeriet,elmia.se,,C06:28,,Stockholm,"Stockholm, Stockholm County, Sweden",
Beer Barons,beerbarons.se,,C12:73,info@beerbarons.se,Stockholm,Beer Barons beerbarons.se,+46707655322
BILENGI BIO,,,C14:50,,Stockholm,"Stockholm, Stockholm County, Sweden",
Bokcompaniet,bokcompaniet.se,,C15:40,vasby@bokcompaniet.se,Stockholm,"Stockholm, Stockholm County, Sweden",08-590 730 80
Bollinger,arvidnordquist.se,,C01:40,,Stockholm,"Stockholm, Stockholm County, Sweden",
Boursin,brandyne.se,"A sensory journey showcasing Boursin’s versatility—from classic platters to creative dishes, inspiring every palate. 🧀",C08:30,Info@brandyne.se,Stockholm,"Stockholm, Stockholm County, Sweden",
Brick On Brick,alamy.com,,C13:35,,Stockholm,"Stockholm, Stockholm County, Sweden",
BSSK IMPEX,bsskimpex.se,,C10:41,info@bsskimpex.se,Stockholm,"Stockholm, Stockholm County, Sweden",46 (0)736 350 871
Butes Iscider,butecider.se,"Family-run nano-cidery crafting exceptional ice cider and apple brandy from locally grown apples in Umeå, northern Sweden. Award-winning Swedish craft cider.",Övrig dryck,jeffrey.lewis@butecider.se,Stockholm,"Stockholm, Stockholm County, Sweden",+46 (0)72 503 8328
California Wines,thewinehub.se,"Vinutbildning på The Wine Hub. Sommelierutbildning, WSET och vinkurser med ledande vinutbildare i Stockholm, Göteborg och Malmö.",C12:49,hello@thewinehub.se,Stockholm,"Stockholm, Stockholm County, Sweden",08 867 161
Camarda Italienska Delikatesser,camarda.se,,C05:40,,Stockholm,"Stockholm, Stockholm County, Sweden",
CC’s Havtorns delikatesser,ccshavtornsdelikatesser.com,"Havtorn, marmelad, råjuice, torkade bär, nyttigt, C vitamin omega oljor. goda bakverk. sås. drinkmix. ostbricka. våfflor. blåbär. kolor. godis. fröknäcke. skorpor.",C07.39,info@cclaxhavtorn.se,Stockholm,"Stockholm, Stockholm County, Sweden",
Cheeses from Switzerland,cheesesfromswitzerland.com,,C12:60,info@scm-cheese.com,Stockholm,"Stockholm, Stockholm County, Sweden",+410313852626
Chokladkyssar,chokladkyssar.se,"High quality chocolate Chokladkyssar made to perfection with 70% cacao Filed with creamy mareng in 47 delicious flavours like champagne, white strawberry, salt caramel, white pistachio, after eight and so many more... Lyxiga Mumsmums ;)",C07:40,,Stockholm,"Stockholm, Stockholm County, Sweden",
Coast and Copper Distillery,coastandcopper.se,"Destilleriet är baserat på Värmdö i hjärtat av Stockholms skärgård. Det grundades 2024 av Cenny, Mattias och Andreas som efter 37-års vänskap äntligen slog slag i saken. Att få jobba och verka för något gemensamt som dessutom skänker glädje till andra är på riktigt en dröm i uppfyllelse för oss.",C11:48,info@coastandcopper.se,Stockholm,"Stockholm, Stockholm County, Sweden",073 059 57 09
Copper Club,copperclub.se,"Mitt i restaurangens hjärta välkomnar vi dig till en av landets största ginbarer. Förutom husets egna produkter samsas här nästan 400 olika sorter från hela världen, kompletterade av mer än 200 olika tonics.",C05.51,hello@copperclub.se,Stockholm,"Stockholm, Stockholm County, Sweden",070-1695099
Cosmic Vodka,cosmicvodkas.com,,C11:31,,Stockholm,"Stockholm, Stockholm County, Sweden",
Costco Wholesale,costco.se,,Övrig dryck,,Stockholm,"Stockholm, Stockholm County, Sweden",
Delikatesskungen,delikatesskungen.se,"Gör som över 35 000 grupper och tjäna pengar till klassen, laget eller föreningen. Sälj omtyckta och populära delikatesser. Ni tjänar upp till 77 kr per produkt!",C08:60,info@delikatesskungen.se,Stockholm,DelikatessKungen AB Högsbyvägen 3 352 74 Växjö Tel: 08-722 22 33 info@delikatesskungen.se,087222233
Dell Artista,dellartista.se,"Vi på Dell´Artista brinner lite extra för när det svenska kökets traditioner möter det italienska kökets smaker, och ljuv harmoni blir till.",C04:31,,Stockholm,"Stockholm, Stockholm County, Sweden",
Det Goda Från Italien i Sverige,xn--sthlmfoodandwinemsstidning-whc.se,,C07:28,,Stockholm,"Stockholm, Stockholm County, Sweden",
Diageo,diageo.com,"With over 200 brands sold in nearly 180 countries, Diageo is driven to be the world’s best brand builder, leading the way in premium drinks.",C11:38,,Stockholm,"Stockholm, Stockholm County, Sweden",
Disaronno,anora.com,Anora is a leading wine and spirits brand house in the Nordic region and an industry forerunner in sustainability.,C11:39,firstname.lastname@anora.com,Stockholm,"Stockholm, Stockholm County, Sweden",00358207013013
DryckesBuan,dryckesbuan.inkop.se,Svensk Hantverksdryck,Övrig dryck,info@dryckesbuan.se,Stockholm,"Stockholm, Stockholm County, Sweden",073-029 43 04
Eckerö Linjen,eckerolinjen.se,"Eckerö Linjen – en prisvärd och bekväm båtresa mellan Grisslehamn och Eckerö. God mat, nöjen ombord och dagliga avgångar året runt.",C05:30,,Stockholm,"Stockholm, Stockholm County, Sweden",
Ello i Lammhult,ello.se,Har du några frågor eller vill prata med oss? Hör gärna av dig till en eller flera av våra trevliga anställda här!,C09:38,salg@ello.se,Stockholm,"Stockholm, Stockholm County, Sweden",047248750
Engelmanns,engelmanns.se,"Vi vill inspirera dig med vårt breda urval av ostar, marmelader, chark, antipasti och kex. Välkommen att upptäcka en ny värld av fantastiska smaker tillsammans med oss!",C13:40,info@engelmanns.se,Stockholm,"Stockholm, Stockholm County, Sweden",0841072840
Enjoy Wine & Spirits,enjoywine.se,"Vi är ett familjeföretag med rötterna i Italien och fötterna i hela världen. Portföljen består av småskaliga, hantverksmässiga vinmakare som samsas med mer etablerade och större producenter. I sortimentet finns även en växande skara av spritdrycker. Vårt fokus är hållbarhet i alla led. Om vi ska enas kring ett motto så blir det: att allt vi gör ska hålla högsta kvalitet och att våra drycker ska vara goda. Så enkelt kan och bör det vara.",C13:30 & C15:30,info@enjoywine.se,Stockholm,"Stockholm, Stockholm County, Sweden",0046855694700
Enskede chark & deli,enskededeli.se,,C10:30,hov@enskededeli.se,Stockholm,"Stockholm, Stockholm County, Sweden",08-120 590 59
Enskede Kök,enskededeli.se,,C07:51,hov@enskededeli.se,Stockholm,"Stockholm, Stockholm County, Sweden",08-120 590 59
Expert Wine Naturvin,expertproducts.se,,C07:30,info@expertproducts.se,Stockholm,"Stockholm, Stockholm County, Sweden",0733113902
