company_name,domain,description,booth,email,city,full_address,mobile_primary
Ambulanssjukvården Sahlgrenska Universitetssjukhus,,,E03:02,,Göteborg,"Gullbergs Strandgata 36C, 411 04 Göteborg, Sweden",
Apotek Hjärtat,karriar.apotekhjartat.se,"Vi finns för alla i Sverige – för de sjuka och för de friska, genom livets alla faser. Med apotek i hela landet och en e-handel som aldrig stänger, finns vi alltid nära. Vi är över 4000 kollegor som tillsammans möter våra kunder med omtanke, var de än befinner sig. Vad vi än gör har vi hållbarhet i åtanke – för människor och miljö. Som Sveriges största apotekskedja ska vi vara ledande i arbetet för ett bättre klimat, ett mer inkluderande samhälle och en bättre folkhälsa. Vi är stolta över vår kultur. En kultur där vi är ett lag som litar på varandra, ser varandras förmågor och där alla kan bidra och påverka. På Hjärtat uppmuntras vi att testa nytt. Om det inte blir som vi tänkt oss kan vi alltid tänka om och prova igen. Mycket av vår utveckling sker i det dagliga arbetet, tillsammans med kunder och kollegor, när vi löser de uppgifter och utmaningar vi möter tillsammans. Det får oss att växa och känna att det vi gör är meningsfullt och roligt! Tillsammans med ICA Gruppen har vi en unik möjlighet att göra vardagen enklare för våra kunder. Samtidigt kan vi erbjuda utveckling och karriärvägar både inom Hjärtat och hela ICA-familjen. Att vi är marknadsledare gör oss stolta, men inte nöjda. Vi drivs fortfarande av en iver att utveckla vår bransch. Det ställer såklart vissa krav på oss som jobbar här. Vi behöver ha en vilja att ständigt förbättra och förbättras, en nyfikenhet och en öppenhet för förändring. Allt det här gör vi tillsammans som ett lag, med stöttande ledare. Så. Vill du vara med och bidra till framtidens apotek? Vi ser fram emot allt vi kan åstadkomma tillsammans. Välkommen till en arbetsplats med engagemang och stort hjärta!",D02:21,,Solna,"Kolonnvägen 20, 169 70 Solna, Sweden",
Bildningsförbundet Östergötland,bildningsforbundet.se,,C04:40,,Linköping,"Klostergatan 19, 582 23 Linköping, Sweden",
Blekinge flygflottilj F17,forsvarsmakten.se,,C01:31,,Ronneby,"PO Box 502, 372 25 Ronneby, Sweden",
Blueberry College & Universitet AB,blueberry.nu,"Ta steget och studera utomlands med Blueberry College & Universitet ! Redo för ett riktigt äventyr? Med Blueberry kan du ta steget och studera utomlands – vi hjälper dig helt gratis! Att studera i ett annat land är en fantastisk chans att upptäcka världen, skaffa vänner för livet och samtidigt få ett grymt CV. Alla vi som jobbar på Blueberry har själva studerat utomlands, så vi vet precis hur magiskt det är. Oavsett om du vill uppleva storstadspulsen eller naturens lugn, har vi en skola för dig! Du kan se några av de runt 90 skolor vi samarbetar med under ""representerade skolor och företag"". Vi hjälper dig med allt från CSN och boende till försäkringar och andra tips. Dessutom bjuder vi in till events där du kan träffa andra studenter innan du åker iväg. Följ oss i våra sociala medier för att ta del av takeovers från våra studenter. Hör av dig – vi ser till att ditt livs äventyr börjar nu! Är du en idrottare som drömmer om stipendier för att studera på college i USA? Våra kollegor på Keystone Sports Nordics hjälper dig gärna! Kontakta dem direkt här .",C05:26,,Stockholm,"Karlavägen 100 A, 5tr, 115 26 Stockholm, Sweden",
Boplats Väst,boplats.se,"Boplats Väst är en bostadsförmedling för alla som söker hyresrätt i Västsverige. Vi arbetar med likabehandling, öppenhet och mot diskriminering. Lägenheter förmedlas efter kötid när hyresvärdens villkor är uppfyllda. Skapa konto som 17-åring och börja samla ködagar gratis. Om du vill flytta hemifrån om några år är det bra att registrera sig tidigt. Då har att du har fler valmöjligheter när det är dags. Från och med 2026 är det gratis för alla 17-21 år. Det innebär att man kan samla fem års kötid utan att betala något! Vi ha många typer av lägenheter att hyra. Studentlägenheter och korttidskontrakt (där du behåller din kötid), lägenheter speciellt för unga, vanliga lägenheter samt nyproduktion. Surfa in på https://boplats.se/tipshjalp/ung och passa på att registrera ett konto idag! Kolla våra korta videosnuttar på YouTube: https://www.youtube.com/shorts/DyqvprSEFHI - 17 år? Därför skall du registrera dig på Boplats Väst. https://www.youtube.com/shorts/FvDiaiovVyw - Hur svårt är det egentligen att få en lägenhet?",D02:22,,Göteborg,"Rosenlundsplatsen 1, 411 20 Göteborg, Sweden",
Campus Varberg,campus.varberg.se,,C02:49,,Varberg,"Otto Torells gata 20, 432 44 Varberg, Sweden",
Campus Värnamo,campus.varnamo.se,"På Campus Värnamo är kontakten nära mellan student, personal och arbetsgivare. Utbildningarna är på högskole- eller yrkeshögskolenivå och leder till arbete. Förutom yrkeskunskaper har arbetsgivare fler förväntningar och krav på sina anställda såsom flexibilitet, ansvarstagande och samarbetsförmåga. På Campus Värnamo är därför coachning, både individuellt och i grupp, en medveten satsning för att öka din anställningsbarhet. De flesta av våra utbildningar varvar teori med praktik ute på arbetsplatser. Förutom praktisk erfarenhet och branschvana ger det kontakter och möjligheter till framtida anställning. Vårt samarbete med näringslivet och den offentliga sektorn gör att vi vet vad arbetsmarknaden efterfrågar och kan anpassa utbildningarna efter deras behov.",C05:12,,Värnamo,"Jönköpingsvägen 15, 331 34 Värnamo, Sweden",
Centrala Studiestödsnämnden CSN,csn.se,,D03:01,,Kalmar,"Universitetsplatsen 3, 392 31 Kalmar, Sweden",
Cultural Care Sweden AB,culturalcare.se,,C05:22,,Stockholm,"PO Box 5761, 114 87 Stockholm, Sweden",
