company_name,domain,description,booth,email,city,full_address,mobile_primary
180 degrés,180-degres.com,Volumes 180 degres,,,,,
4DS,4ds.biz,"Creating Climbing walls, boulders and climbing volumes",,,,,
about holds s.r.o.,aboutholds.com,"We carefully choose holds that make sense for route setters: versatile shapes, great texture, and no pain. Build better routes without wasting budget or skin.",,,,,
Agripp SRL,agripp.com,"Agripp est la marque pionnière dans la fabrication et le commerce de prises d'escalade. C'est le choix de la qualité, de l'innovation et du design.",,,,,+32 483 64 42 74
Alpen.Leben.Menschen,alpenlebenmenschen.de,A.L.M. steht für Integration und Inklusion. Bei den Angeboten im Bereich Wandern und Klettern kann jeder mitmachen! A.L.M. ist ein gemeinsames Projekt vom Malteser Hilfsdienst und Deutschen Alpenverein.,,birgit.winter@alpenlebenmenschen.de,,,0151 615 70 169
Alpenverein Südtirol,alpenverein.it,"Der AVS ist ein Bergsport­-, Naturschutz-­, Kulturverein und vieles mehr. Er vereint Mitglieder jeden Alters, unabhängig ihrer sozialen Schicht und Zugehörigkeit.",,office@alpenverein.it,,,+39 0471 97 81 41
Altitude Montage Sàrl,altitudemontage.ch,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,info@altitudemontage.ch,,,+41 (0)24 466 58 81
Anatomic s.r.o.,anatomic.sk,Sme jednotkou na Slovensku v stavbe lezeckých stien a výrobe chytov. Dlhoročné pôsobenie na lezeckej scéne nám umožňuje držať krok so svetovými výrobcami.,,anatomic@anatomic.sk,,,122 010 01
APS Services GmbH,freeclimber-kassensystem.de,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,kontakt@apsservices.de,,,+49 (7132) 369 693 0
Arcticgrips AS,arcticgrips.com,"Velkommen til Arctic Grips - din kilde for førsteklasses klatrevegger og klatregrep. Vi tilbyr et bredt utvalg av høykvalitetsprodukter for klatring og buldring, designet for å imøtekomme behovene til alle nivåer av klatrere. Utforsk vårt utvalg av innovative klatrekonstruksjoner og ergonomiske klatregrep, som gir den perfekte balansen mellom sikkerhet og utfordring. Enten du er en entusiastisk nybegynner eller en erfaren klatrer, er Arctic Grips din partner in climb!",,contact@arcticgrips.com,,,+47) 468 96 767
ArtRock Kletterwände GesmbH,artrock.at,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
AVA VOLUMES,avavolumes.com,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
Banana Climbing GmbH,re-grab.com,"Banana Climbing - wir liefern hochwertige Volumen und Griffe um allen die Freude am Klettern zu ermöglichen. Hier findet ihr die klassischen Banana Volumen mit freshen shapes und altbewährter Textur sowie unsere Antwort auf Nachhaltigkeit: ReGrab - dein Partner für generalüberholte Klettergriffe, Macros und Volumen.",,,,,
BAROCKA PIOTR FILAS,barocka.com,Professional climbing walls and bouldering gyms designed and built from concept to installation. BaRocka creates custom volumes and durable..,,,,,+48 880 540 895
Bat Holds,batholds.com,Akcesoria wspinaczkowe najwyższej jakości od polskiego producenta. Sprawdź naszą ofertę i zamów już dzisiaj!✅,,hello@batholds.com,,,+48 575 535 152
Benky Climbing Works GmbH,benkyclimbing.de,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
Berner Fachhochschule eClimber,e-climber.ch,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,info@eclimber.ch,,,
"BETA FRIEND, UNIPESSOAL LDA",betafriend.ai,"Beta Friend digitizes climbing gyms with AI-powered hold detection, streamlined routesetter workflows, and comprehensive boulder problem management.",,,,,
BETA7 GmbH,beta7.app,"BETA7 is an app for bouldering • See BETA7 for boulders, sends and inspiring beta videos from your friends and favorite routesetters...",,,,,
blauschnur seiltechnik GmbH,blauschnur-seiltechnik.de,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,info@blauschnur-seiltechnik.de,,,06131 207 61 65
Bloc Matting GmbH,blocmatting.de,Bouldermatten für Boulderhallen und Boulderbereiche in Kletterhallen. Wir bieten Euch Komplettservice von der Planung über die Installation bis zur Wartung!,,info@blocmatting.de,,,+49 (0)1 60 982 992 92
BRAZZ COMPANY SRL,brazz.it,"Scopri Brazz: crashpad di alta qualità, materassi per bouldering indoor e accessori per l'arrampicata. Scegli il meglio per il tuo climbing!",,,,,+39 392 3951 735
Butora Europe,butoraeurope.com,Explore our full range of shoes Hi-Performance Acro €155 Acro Comp €150 Gomi €150 Performance Nix €99 Rubicon €135 Sierra €145 Comfort Komet €85 Komet Lace €95 Endeavor €105 Kid's and Rental Brava €55 Habara Rental Please Inquire(info@butoraeurope.com) Route Setter Zet €140 Zet-Canvas €120 Approach Mousai €140 Salvo €120 Trekking Terra €130 Catena €150,,info@butoraeurope.com,,,
BZB Bürozentrum GmbH,buerozentrum.de,"Bürotechnik, Büroeinrichtung, IT-Systeme, Kassensysteme und Büromaterial. Wir liefern in das ganze Rhein-Main-Gebiet | Bürozentrum Gelnhausen",,info@buerozentrum.de,,,06051 9270-0
Bänfer GmbH,baenfer.de,"Bänfer entwickelt und fertigt hochwertige Sportmatten, Turngeräte und individuelle Sportprojekte. Made in Germany. Vertrieb über autorisierte Fachhändler.",,,,,+49 (0) 5621 78780
C3 Manufacturing LLC,perfectdescent.com,Perfect Descent Climbing Systems Auto Belay Devices offer the highest standards in climbing safety with precision craftsmanship.,,,,,
Calzados Boreal S.L.,borealoutdoor.com,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
Carbon-Grip Ltd,carbon-grip.com,best for: climbing It’s all about the grip best for: Crossfit stay clean stay strong best for: ninja THE NEXT GENERATION OF FRICTION best for: street workout THE NEXT GENERATION OF FRICTION best for: pole dance THE NEXT GENERATION OF FRICTION best for: parkour THE NEXT GENERATION OF FRICTION Our products series LOOSE CHALKS LIQUID […],,info@carbon-grip.com,,,+972-8944-8001
Chalk GmbH,,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
Cheeta,,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
Climb-holds.com,climb-holds.com,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
Climball OHG,boulderball.com,"Erlebe den BOULDERBALL – die kleinste Boulderwand der Welt! Trainiere Fingerfertigkeit, Konzentration und Geschicklichkeit auf spielerische Weise. Mit abwechslungsreichen Routen bietet der Boulderball jede Menge Herausforderung und Spaß – für Jugendliche, Erwachsene und alle, die gerne knobeln. Perfekt als originelles",,,,,
Climbing Gems Pty Ltd,climbinggems.com,individually handcrafted chalkbags from upcycled materials,,,,,
Climblab Aps,climblab.dk,New technology for climbing gyms. Electrostatic filters for magnesium dust and Ultrasonic cleaning for perfect cleaning of your climbing holds.,,,,,
CLIMBMANAGER,climbmanager.io,See what you will learn about climbing wall management with CLIMBMANAGER during the demo presentation of the entire system.,,office@climbmanager.io,,,6751644184
Climbro LTD,climbro.com,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,
Composite X,composite-x.com,Exhibitor listed for VERTICAL PRO Friedrichshafen 2026.,,,,,43.311817
Core Climbing Ltd,coreclimbing.co.uk,"Manufacturers of high-quality climbing holds, climbing gym matting, crash pads, and much more! Based in Sheffield, United Kingdom",,,,,01246 415040
Crampa Ltd.,crampa.com,"If there is no distributor in your country, please feel free to contact us directly for assistance.",,,,,
Crimperium,holdorado.com,"Holdorado – the marketplace for climbing and bouldering gym industry. The place for holds, volumes and gear, bringing brands and gyms together across Europe.",,,,,
CrushClubClimbing,crushclubclimbing.com,"CrushClub Climbing creates handmade training tools for climbers, crafted from reclaimed wood. Built by climbers, for climbers. Shop now & join the community.",,,,,
CST d.o.o.,citywall.eu,"Citywall, as a brand, has been present in the climbing industry for more than 20 years. We offer a comprehensive range of climbing walls with associated products and services.",,info@citywall.eu,,,+386 41 953 855
Delta Plus Deutschland GmbH - ARTEX Personensicherungssysteme GmbH,deltaplus.eu,"Delta Plus offers you a selection of workwear, safety shoes and PPE. Find all our quality products on our website.",,,,,
Design- und Nähmanufaktur,christin-piefel.de,"Industriedesignerin, Maßschneiderin, Künstlerin, Gestalterin, Kreative zuverlässig, gründlich, vielseitig, akkurat und mit der richtigen Portion Chaos. So kann man mich und meine Arbeitsweise zugleich beschreiben. Ich bin im kreativen Sektor unterwegs, in dem ein gewisses Maß an Durcheinander immer hilfreich ist, um neue Ideen zu entwickeln. Gleichzeitig ist aber auch die geordnete und strukturierte Arbeitsweise wichtig, um die Kreativität in die richtigen Bahnen zu lenken und gute Ergebnisse zu erzielen. Nach dem Abitur habe ich meine Maßschneiderausbildung im schönen Hessen begonnen und als Gesellin mit Schwerpunkt Damenmaßschneiderei beendet. Danach folgte ein Jahr Vorbereitung auf die Hochschule mit Praxiserfahrung in der Änderungsschneiderei und der Tischlerei. Im Anschluss wurde dann Magdeburg meine neue Heimatstadt. Dort besuchte ich die Hochschule, um sowohl meinen Bachelor of Arts, als auch meinen Master of Arts im Engineering Design zu erwerben. Bei meinen Projektarbeiten während des Studiums, meinen Abschlussarbeiten und auch jetzt im Arbeitsleben ist die Verbindung aus dem handwerklichen Arbeiter, dem künstlerischen Gestalter und dem wissenschaftlichen Ingenieur immer wieder eine Hilfe und eine Quelle der Inspiration.",,,,,
Deutsche Feuerwehr-Gewerkschaft,dfeug.de,"Vom Berufsstart bis zum Ruhestand: Wir kÃ¤mpfen fÃ¼r dein Recht auf Respekt, faire Arbeitsbedingungen und bessere Absicherung im Dienst bei Feuerwehr, Rettungsdienst und Leitstelle.",,,,,+49 (0) 212 - 64 56 48 55
Deutscher Alpenverein e.V. Bundesgeschäftsstelle,alpenverein.de,"Bergsteigen, Wandern, Klettern, Skitouren, MTB: Das Magazin des Deutschen Alpenvereins bietet viele Inspirationen für Bergfreund*innen.",,,,,
DMM Europe BV,dmmwales.com,"Premium quality equipment for Climbing, Fall Protection, Rope Access, Rescue and Tree Care.",,,,,
