exhibitor_name,domain,contact,address,location
ANFE,anfe.fr,accueil@anfe.fr | +33 1 45 84 30 97,64 RUE NATIONALE CS 41362 75214 PARIS Cedex 13 France,"Paris, France"
ANSAMBLE,ansamble.fr,contact@ansamble.fr | +33 2 97 01 97 97,"1 Rue de Lorraine, 56000 Vannes, France","Vannes, France"
APPEL MEDICAL,appelmedical.com,webmaster@appel-medical.com | +33 1 41 62 20 20,"276 Avenue du Président Wilson, 93200 Saint-Denis, France","Saint-Denis, France"
BESSIERE,bessiere.pro,contact@bessiere.fr | +33 4 78 56 12 34,"15 Rue des Basses Barolles, 69230 Saint-Genis-Laval, France","Saint-Genis-Laval, France"
CENTEX,centex.fr,contact@centex.fr | +33 4 77 71 50 14,"10 Rue de la Tuilerie, 42300 Mably, France","Mably, France"
ECO SMART BUILDING,ecosmart-building.com,contact@ecosmart-building.com | +330185731490,"71 Avenue des Ternes, 75017 Paris, France","Paris, France"
FORMULETTE,formulette.fr,contact@formulette.fr | +33 1 43 55 14 41,"14 Rue Charles Delescluze, 75011 Paris, France","Paris, France"
GIFTEO,gifteo.fr,contact@gifteo.fr | +33 4 81 69 56 97,"8 Rue Paul Montrochet, 69002 Lyon, France","Lyon, France"
INFANS GROUP,infans.fr,contact@infans.fr | +33 8 00 73 01 32,"840 Avenue du Mas d'Argelliers, 34000 Montpellier, France","Montpellier, France"
KIDIZZ,kidizz.com,info@kidizz.com | +33 6 66 66 59 17,"200 Rue de la Croix Nivert, 75015 Paris, France","Paris, France"
LES 3 OURS,les3ours-mobilier-creche.fr,commercial@les-3ours.fr | +33 5 55 32 60 23,"Parc d'activités Océalim, 4 Rue Jean Mermoz, 87270 Couzeix, France","Couzeix, France"
LES P'TITS SAGES,lesptitssages.com,formation@lesptitssages.com | +33 5 64 10 40 83,"32 Rue Victor Lagrange, 69007 Lyon, France","Lyon, France"
LIBECA,libeca.fr,contact@libeca.fr | +33 4 74 72 15 15,"Zone Artisanale Pré Châtel, 42370 Renaison, France","Renaison, France"
MA PETITE CUILLERE,mapetitecuillere.com,bonjour@mapetitecuillere.com | +33 9 13 21 62 83,"2/4 Rue de Vergaville, 57260 Dieuze, France","Dieuze, France"
MANGROVE PETITE ENFANCE,mangroveinnovation.com,enfance@mangroveinnovation.com | +15146184176,"10 Rue de Penthièvre, 75008 Paris, France","Paris, France"
MATHOU ET LOXOS,mathou.com,contact@mathou.com | +33 5 65 77 17 00,"Z.I. Cantaranne, 12850 Onet-le-Château, France","Onet-Le-Château, France"
MEEKO,meeko.pro,bonjour@meeko.pro | +33 4 50 41 42 43,"679 Route Blanche, 01170 Ségny, France","Ségny, France"
OXY'PHARM - SANIVAP,oxypharm.net,bruno.dubien@sanivap.fr | +33 6 81 35 97 65,"8 bis Rue de la Tuilerie, 69700 Givors, France","Givors, France"
QUE LIRE ?,que-lire.fr,contact@que-lire.fr | +33 4 68 45 12 34,"4 Rue des Écoles, 11200 Bizanet, France","Bizanet, France"
SOMOBA,somoba.fr,contact@somoba.fr | +33 4 67 10 89 16,"PAE la Tour, 82 Rue André Ampère, 34570 Montarnaud, France","Montarnaud, France"
WESCO,wesco.fr,webmaster@wesco.fr | +33 5 49 80 01 66,"Route de Cholet, 79140 Cerizay, France","Cerizay, France"
