company_name,domain,description,booth,email,city,full_address,mobile_primary
10FORIT,10forit.com,"10FORIT helpt bedrijven en organisaties sinds 2007 om optimaal digitaal te communiceren. We zorgen ervoor dat klanten de juiste boodschap op het juiste moment in de juiste tone-of-voice ontvangen via de juiste communicatiekanalen. Dat doen we geautomatiseerd, met behulp van Artificial Intelligence, vanuit ons omnichannel communicatieplatform EEZYCOM via telefoon, voiceberichten, sms, E-mail, WhatsApp en print. Zo zorgen we onder meer dat debiteuren een betalingsherinnering krijgen, patiënten herinnerd worden aan een afspraak en relaties een uitnodiging of speciale aanbieding ontvangen. We verzorgen klantgerichte, geautomatiseerde communicatie voor uiteenlopende organisaties, waaronder woningcorporaties, telecomaanbieders, incassobedrijven en verzekeraars.",Stand 43,contact@10forit.com,Beverwijk,"Schieland 9, 1948 RM, Beverwijk, Nederland",088-0016604
4CEE,4cee.com,"4CEE helpt Finance professionals met ambitie om regie te nemen over hun transactionele en financiële processen. Of het nu gaat om order to cash, purchase to pay, e-transactions of financial planning & analysis, wij zorgen dat processen soepeler worden, compliance vanzelfsprekend is en financiële inzichten direct beschikbaar zijn. Onze oplossingen zijn gebouwd voor de Office of the CFO. Voor teams die niet willen volgen, maar leiden. Die grip willen houden op liquiditeit, risico’s en groei. En die technologie willen inzetten om vooruit te kijken in plaats van achterom. Met slimme technologie zoals automatische betalingsverwerking – matcht betalingen aan openstaande facturen – en e-facturatie, krijg je grip en controle op je processen.",Stand 14,,Ede,"Oortlaan 2, 6716 WD, Ede, Nederland",+31 318 648 746
Aangetekend,aangetekendmailen.nl,"Of het nu gaat om het verhogen van de attentiewaarde bij de debiteur of het opbouwen van een dossier! Met Aangetekend Mailen verstuurt u eenvoudig ‘Beveiligd en Rechtsgeldig’ uw berichten per email. Denk aan het volledig geautomatiseerd versturen van de eerste herinnering of bijvoorbeeld de WIK brief, maar ook voor een enkele aangetekende mail vanuit uw gebruikelijke mailprogramma. Daarnaast zijn onze oplossingen onmisbaar voor de Wki registratie. Op onze stand ontvangen wij u graag voor een vrijblijvend gesprek over de mogelijkheden en toegevoegde waarde van de dienst Aangetekend Mailen.",Stand 42,info@aangetekendmailen.nl,Utrecht,"Computerweg 22, 3542 DR, Utrecht, Nederland",030-2006838
Aryza,aryza.com,"Aryza is een leverancier van end-to-end automatiseringssoftware voor de volledige credit en debt management cyclus. Geautomatiseerde processen voor klant- en kredietacceptatie, debiteurenbeheer en achterstandenbeheer voor kredietverstrekkers, bedrijven, incassokantoren en gerechtsdeurwaarders. Met het schaalbare platform van Aryza kunnen zelfs grote transactievolumes op elk moment efficiënt worden verwerkt. De basis hiervoor is, naast een gedegen expertise, een sterke database, altijd met het doel een positieve impact te hebben op het financiële welzijn van uw klanten. Voor meer informatie kunt u terecht op www.aryza.com",Stand 29,,Nieuwegein,"Newtonbaan 1, 3439 NK, Nieuwegein, Nederland",
Atradius,atradius.nl,"Al meer dan 100 jaar helpt Atradius bedrijven wereldwijd veilig te groeien. Als specialist in kredietverzekering en credit management ondersteunen we organisaties bij het beperken van betalingsrisico’s en het beschermen van de cashflow.Met een kredietverzekering bescherm je jouw bedrijf tegen financiële schade wanneer klanten facturen niet betalen. Zo kun je met meer zekerheid ondernemen, groeien en zakendoen, nationaal en internationaal. Daarnaast bieden we waardevolle inzichten in bedrijven, markten en sectoren, zodat je beter onderbouwde zakelijke beslissingen kunt nemen.Van kleine en middelgrote ondernemingen tot internationale organisaties: Atradius ondersteunt bedrijven met slimme oplossingen en wereldwijde expertise.Verzekerd van betaling.Ontdek wat Atradius voor jouw organisatie kan betekenen: Atradius Nederland | Managing Risk, Enabling Trade",Stand 4,customerservice.nl@atradius.com,Amsterdam,"David Ricardostraat 1, 1066 JS, Amsterdam, Nederland",020 5533355
Billogram,billogram.com,"Since our inception in 2011, Billogram has evolved from a simple idea to streamline invoicing for small businesses into a leading Invoice-to-Cash platform in Europe. By combining modern technology with a deep understanding of both businesses and customers, we now help large enterprises optimize their payment flows, enhance customer experience, and scale efficiently across the European market.Our conviction – It always pays off to treat people wellOur vision – Building relationships with every transaction.Our mission – Leading the transformation of the billing landscape, where our Invoice-to-Cash orchestration platform helps businesses create long-term, valuable relationships with their customers.",Stand 9,support@billogram.com,Stockholm,"Sveavägen 50, 111 34, Stockholm, Zweden",
Billtrust,billtrust.com,"Billtrust is a leading provider of cloud-based software and integrated payment processing solutions that simplify and automate B2B commerce. Accounts receivable is broken and relies on conventional processes that are outdated, inefficient, manual and largely paper based. Billtrust is at the forefront of the digital transformation of AR, providing mission-critical solutions that span credit decisioning and monitoring, online ordering, invoice delivery, payments and remittance capture, invoicing, cash application and collections.",Stand 44,bt-eu@billtrust.com,Amsterdam,"Duivendrechtsekade 80B, 1096 AH, Amsterdam, Nederland",
Bos Incasso,bosincasso.nl,"Bos Incasso Heeft uw klant nog niet betaald en u zoekt een betrouwbaar incassobureau? Dan bent u bij ons aan het juiste adres. Of u nu werkzaam bent in het mkb of bij een grootzakelijke organisatie, u kunt rekenen op een zorgeloze dienstverlening bij het incasseren van uw openstaande facturen. Dit doen we al sinds 1994. Inmiddels zijn we uitgegroeid tot een landelijk actief incassobureau. Dankzij onze aanpak weten we in de meeste gevallen tot een passende betaaloplossing te komen.Onze benadering Is iemand gewoonweg vergeten de factuur te betalen of betaalt iemand niet omdat er geen geld is? In onze benadering houden we rekening met deze verschillen. Bij de ene debiteurklant is het sturen van een digitaal betaalverzoek voldoende, bij de andere debiteurklant helpen we door een passende betaalregeling te treffen. Het is voor ons niet meer dan logisch dat het oplossen van schulden om persoonlijke dienstverlening gaat. We streven naar een betaaloplossing die aansluit bij de (financiële) omstandigheden van uw debiteurklant.Of je dat nu maatschappelijk verantwoord, sociaal of ethisch incasseren noemt: deze persoons- en oplossingsgerichte benadering is bij ons al jaren de norm.Wat doen we nog meer? Naast het innen van openstaande facturen adviseren we bij het optimaliseren van uw debiteurenbeheer, verzorgen we trainingen en geven juridisch advies. Ook kunt u bij ons terecht voor het (tijdelijk) uitbesteden van uw debiteurenbeheer, belacties of het uitvoeren van huisbezoeken.",Stand 10,sales@bosincasso.nl,Groningen,"Van Elmptstraat 16-8, 9723 ZL, Groningen, Nederland",050 - 368 60 76
Bosveld Incasso & Gerechtsdeurwaarders – Creditmanagement,bosveld.nl,"Bosveld Incasso & Gerechtsdeurwaarders | CreditmanagementBij Bosveld spelen we om te winnen – samen met onze klanten. Wij geloven dat incasso en debiteurenbeheer slimmer, menselijker en efficiënter kunnen. Met een op maat gemaakte aanpak, innovatieve tools, data en sterke partnerships helpen we bedrijven hun facturen sneller betaald te krijgen, op een maatschappelijk verantwoorde wijze, zonder de relatie met de klant te schaden.Daarin trekken wij samen met onze klanten als partners op met een integrale aanpak voor het gehele proces van factuur tot betaling, ondersteund door data en IT-processen. Wij zorgen voor de perfecte balans tussen preventie en opbrengst: een zo hoog mogelijk incassoresultaat voor u en de laagst mogelijke kosten voor uw klant, gekoppeld aan een structurele oplossing voor het betaalprobleem en voorkomen daarvan in de toekomst.Onze aanpak is gebaseerd op drie pijlers:✅ Partnership – Gelijkwaardige samenwerking en kennisdeling.✅ Expertise – Menselijke incasso, ondersteund door data en technologie.✅ Plezier & Prestatie – Een gedreven team dat resultaten behaalt.Wij zetten niet alleen onze klanten, maar ook onze 160 medewerkers op #1.Want als Bosvelders winnen, wint de klant ook.De certificering als Great Place to Work – als enige in de branche – is daarvan ons trotse bewijs. Onze werkwijze is transparant, duurzaam en altijd gericht op de beste oplossing.Meer weten? 033-4700 000 of [email protected]",Stand 8,sales@bosveld.nl,Amersfoort,"Databankweg 26-30, 3821 AL, Amersfoort, Nederland",033 4700 000
coeo Incasso,coeo-incasso.nl,"coeo is een technologiegedreven incassospecialist die de kracht van automatisering combineert met menselijke empathie. Onze services zijn gericht op het oplossen van betalingsachterstanden via een digital-first aanpak, die tegelijkertijd transparant, respectvol en compliant is. Deze combinatie stelt ons in staat om klantrelaties te beschermen, cashflow te verbeteren en retentie te verhogen.Vanuit onze missie “The Human Touch in Technology” bieden wij een incassoproces dat even slim als sociaal is. Dankzij modulaire AI-modules, API-systeemintegraties en ervaren professionals realiseren we duurzame betalingsoplossingen, zonder dat de relatie tussen opdrachtgever en klant onder druk komt te staan.Als onderdeel van de coeo Group (actief in 8 Europese landen) zorgen we voor het hoogst mogelijke succespercentage én de beste klantervaring in de branche.Ontdek hoe coeo’s combinatie van geavanceerde technologie en menselijke expertise uw creditmanagement naar een hoger niveau kan tillen. Neem contact met ons op of bezoek onze stand tijdens de Credit Expo op 6 november in ‘s Hertogenbosch. Onze experts staan voor u klaar.",Stand 22,info@coeo-incasso.nl,Rotterdam,"Wilhelminakade 153, 3072 AP, Rotterdam, Nederland",010 - 414 54 44
