s_no,event_name,domain,website_url,start_date,end_date,venue,hall,city,country,instagram_url,event_page_url
1,Worldview Education Fair Africa. Kigali 2024,worldviewevents.com,https://www.worldviewevents.com/,2024-03-05,2024-03-05,Hilltop Hotel and Country Club,,Kigali,Ghana,,https://expomap.ru/en/expo/worldview-education-fair-africa-accra/
2,Worldview Education Fair Africa. Kigali 2024,worldviewevents.com,https://www.worldviewevents.com/,2024-03-05,2024-03-05,Hilltop Hotel and Country Club,,Kigali,Kenya,,https://expomap.ru/en/expo/worldview-education-fair-africa-nairobi/
3,Worldview Education Fair Africa. Kigali 2024,worldviewevents.com,https://www.worldviewevents.com/,2024-03-05,2024-03-05,Hilltop Hotel and Country Club,,Kigali,Nigeria,,https://expomap.ru/en/expo/worldview-education-fair-africa-lagos/
4,Worldview Education Fair Africa. Kigali 2024,worldviewevents.com,https://www.worldviewevents.com/,2024-03-05,2024-03-05,Hilltop Hotel and Country Club,,Kigali,Tanzania,,https://expomap.ru/en/expo/worldview-education-fair-africa-der-es-salaam/
5,Optical Fiber Communication Conference and Exposition (OFC) 2026,ofcconference.org,http://www.ofcconference.org/,2026-03-17,2026-03-19,Moscone Center,,Los Angeles,United States,,https://expomap.ru/en/expo/optical-fiber-communication-conference-and-httpsexpomaprumediaexposition-ofc/
6,Wire 2026,wire.de,http://www.wire.de,2026-04-13,2026-04-17,Dusseldorf Trade Fair,,Dusseldorf,Russia,,https://expomap.ru/en/expo/wire-provoloka-rossija/
7,NATMALL 2026,natmall.ru,https://natmall.ru/?utm_source=expomap_page&utm_medium=referral&utm_campaign=nm26,2026-04-14,2026-04-16,Crocus Expo International Exhibition Center,,Moscow,Russia,,https://expomap.ru/en/expo/natmall/
8,Go Green Expo Auckland 2026,gogreenexpo.co.nz,https://www.gogreenexpo.co.nz/,2026-05-16,2026-05-17,Eventfinda Stadium,,Auckland,New Zealand,,https://expomap.ru/en/expo/go-green-expo/
9,SELLER FEST 2026,sellerfest.ru,https://sellerfest.ru/sellerfest.ru,2026-05-27,2026-05-27,"Moscow, Palace of Culture, 15 Sharikopodshipnikovskaya Street, building 1",,Moscow,Russia,,https://expomap.ru/en/expo/seller-fest/2027/
10,Vida Festival 2026,es.vidafestival.com,http://www.es.vidafestival.com/,2026-07-01,2027-07-03,,,Barcelona,Spain,,https://expomap.ru/en/expo/vida-festival/
11,Mir i Klir. Rybinsk 2026,vk-uzor.ru,https://vk-uzor.ru/events/mir-i-klir-2026/,2026-08-18,2026-08-23,Cathedral Square,,Rybinsk,Russia,,https://expomap.ru/en/expo/mir-i-klir-kaluga/
12,Hospitality Online Expo 2026,expo.openhospitality.org,https://expo.openhospitality.org/,2026-09-15,2026-09-25,,,Online,Russia,,https://expomap.ru/en/expo/hospitality-online-expo/
13,Southampton Boat Show 2026,southamptonboatshow.com,https://www.southamptonboatshow.com/,2026-09-18,2026-09-27,Mayflower Park,,Southampton,United Kingdom,,https://expomap.ru/en/expo/southampton-boat-show/
14,area30 - design. kitchen. technics 2026,area-30.de,https://www.area-30.de/home/,2026-09-19,2026-09-24,,,Lohne,Germany,,https://expomap.ru/en/expo/area30-design-kitchen-technics/
