s_no,event_name,domain,start_date,end_date,venue,city,country
1,Pokemon Premier Ball League,trainers-asia.portal-pokemon.com,2026-09-19,2026-09-20,Nusantara International Convention Exhibition (NICE) - Hall 9,Tangerang,Indonesia
2,Interzum Jakarta,interzum-jakarta.com,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 3A,Tangerang,Indonesia
3,Automechanika Jakarta,automechanika-jakarta.com,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 5-7,Tangerang,Indonesia
4,IFFINA+ powered by imm cologne 2026,iffinaindonesia.com,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 1-3,Tangerang,Indonesia
5,International Hardware Fair Indonesia 2026,hardwarefair-indonesia.com,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 11,Tangerang,Indonesia
6,Indonesia International Music Expo 2026,iime.co.id,2026-10-02,2026-10-04,Nusantara International Convention Exhibition (NICE),Tangerang,Indonesia
7,Indonesia Card Show 2026,linktr.ee,2026-10-03,2026-10-04,Nusantara International Convention Exhibition (NICE) - Hall 8,Tangerang,Indonesia
8,Indonesia Outing & Incentive Travel Expo (IOITE),indooutingexpo.co.id,2026-10-08,2026-10-11,Nusantara International Convention Exhibition (NICE) - Hall 8,Tangerang,Indonesia
9,Cafe & Brasserie Expo (CBE) Indonesia 2026,cafebrasserieexpo.com,2026-10-09,2026-10-11,Nusantara International Convention Exhibition (NICE) - Hall 5,Tangerang,Indonesia
10,Franchise & License Expo Indonesia (FLEI),franchise-expo.co.id,2026-10-09,2026-10-11,Nusantara International Convention Exhibition (NICE) - Hall 6 & 7,Tangerang,Indonesia
11,Krista Interfood Expo 2026,kristainterfood.com,2026-11-04,2026-11-07,Nusantara International Convention Exhibition (NICE) - Hall 1-11,Tangerang,Indonesia
12,Supply Chain Indonesia,indosupplychain.com,2026-11-25,2026-11-29,Nusantara International Convention Exhibition (NICE) - Hall 10,Tangerang,Indonesia
13,Indonesia Medical Expo (INDOMEDEX) 2026,indomedex.com,2026-11-25,2026-11-28,Nusantara International Convention Exhibition (NICE) - Hall 9,Tangerang,Indonesia
14,IndoBuildTech Expo,indobuildtech.com,2026-11-25,2026-11-29,Nusantara International Convention Exhibition (NICE) - Hall 11,Tangerang,Indonesia
15,Indonesia International Beauty Expo & Wellness Industry Expo 2026,en.cibe.cn,2026-11-26,2026-11-28,Nusantara International Convention Exhibition (NICE) - Hall 5,Tangerang,Indonesia
16,Weddingku Exhibition 2026,weddingku.com,2026-12-04,2026-12-06,Nusantara International Convention Exhibition (NICE) - Hall 8,Tangerang,Indonesia
17,AAPG International Conference and Exhibition (ICE) 2026,iceevent.org,2026-12-07,2026-12-09,Nusantara International Convention Exhibition (NICE) - Hall 9,Tangerang,Indonesia
