event_name,event_start_date,event_end_,venue,city,country,event_domain
IPT Credits and Incentives Symposium 2026,2026-11-01,2026-11-04,Hotel Polaris,Colorado Springs,United States,ipt.org
IRF Leadership Insights Forum 2026,2026-11-01,2026-11-03,Grand Hyatt Indian Wells Resort & Villas,Indian Wells,United States,theirf.org
Incompas Show 2026,2026-11-01,2026-11-03,Omni Nashville Hotel,Nashville,United States,show.incompas.org
APHA Annual Meeting and Expo 2026,2026-11-01,2026-11-04,Henry B. González Convention Center,San Antonio,United States,apha.org
CNS Summit 2026,2026-11-01,2026-11-04,Encore Boston Harbor,Everett,United States,cnssummit.org
SEMI International Trade Partners Conference 2026,2026-11-01,2026-11-04,Four Seasons Resort Oahu at Ko Olina,Kapolei,United States,semi.org
SETDA Leadership Summit and Ed Forum 2026,2026-11-01,2026-11-04,TBA,"Washington, D.C.",United States,setda.org
TCS New York City Marathon 2026,2026-11-01,2026-11-01,City wide race Start Verrazzano Narrows Bridge Finish Central Park,New York City,United States,nyrr.org
Texas PRIMA Annual Conference 2026,2026-11-01,2026-11-04,Hyatt Regency Dallas,Dallas,United States,texasprima.org
WSATA 2026,2026-11-01,2026-11-04,Salt Lake Marriott Downtown,Salt Lake City,United States,hub.taxadmin.org
Afrotech Conference 2026,2026-11-02,2026-11-06,George R. Brown Convention Center,Houston,United States,afrotechconference.com
6sense Breakthrough 2026,2026-11-02,2026-11-05,Fontainebleau Las Vegas,Las Vegas,United States,6sense.com
ASUG Tech Connect 2026,2026-11-02,2026-11-04,Fort Worth Convention Center,Fort Worth,United States,events.asug.com
Athenahealth Thrive 2026,2026-11-02,2026-11-04,Music City Center,Nashville,United States,athenahealth.com
B2B eCommerce World Americas 2026,2026-11-02,2026-11-03,TBA,Indianapolis,United States,b2becommerceworld.org
CALA Fall Conference & Trade Show 2026,2026-11-02,2026-11-04,Renaissance Palm Springs Hotel,Palm Springs,United States,caassistedliving.org
CCU REACH 2026,2026-11-02,2026-11-05,JW Marriott Desert Springs Resort & Spa,Palm Desert,United States,californiascreditunions.org
COAA Connect Fall 2026,2026-11-02,2026-11-04,The DeSoto Hotel,Savannah,United States,coaa.org
