company_name,booth_number,country,official_website
"A-One Medical Co., Ltd.",F21,KOREA,
Acime Frame SAS,C38,FRANCE,
AerDiag Limited,N14,CHINA,
"Affacare Medical (Beijing) Co., Ltd.",C56,CHINA,
AGAPPE Diagnostics Switzerland GmbH,P09,INDIA,
"Aimagine Care Technology Co.,Ltd",D61,CHINA,
ALCOR Scientific,R19,USA,
"All Integration Supply Co., Ltd.",C40,THAILAND,
Ameco Medical Industries,D55,EGYPT,
AMT Medical Inc.,D56,CHINA,
ANALYTICON BIOTECHNOLOGIES GMBH,P25,GERMANY,
Anbio Biotechnology,J12,CHINA,
ANDREAS HETTICH GMBH & CO. KG,P27,GERMANY,
"ANHUI DEEPBLUE MEDICAL TECHNOLOGY CO.,LTD.",G10,CHINA,
"Anhui Harmory Medical Packaging Material Co., Ltd.",J64,CHINA,
"Anhui MedPurest Medical Technology Co., Ltd",K24,CHINA,
"ANK MEDICAL PRODUCT (THAILAND) Co.,LTD.",C46,THAILAND,
"ANQING BAOJIE PACKAGING CO., LTD",J62,CHINA,
"Antre Medical Technology Co., Ltd.",C63,CHINA,
"ARPI, Inc",J73,KOREA,
"ASG Wellness&Innovation Co.,Ltd.",A30,THAILAND,
"Assay Specialist Laboratories (Jiangsu) Co.,Ltd",J63,CHINA,
"Assure Tech(Hangzhou) Co.,Ltd",M26,CHINA,
Astel Inc.,F43,KOREA,
"Auckland Medical Polymer (Tianjin) Co., Ltd",G29,CHINA,
"B&E Bio-technology Co., Ltd.",H56,CHINA,
Balaji International,L04,INDIA,
"BANGKOK BOTANICA Co., Ltd.",A22,THAILAND,
Beijing Amberdale Trade Ltd,Q45,CHINA,
"Beijing Bohui Innovation Biotechnology Group Co., Ltd",P44,CHINA,
"BEIJING GREENLAND CO., LTD",D72,CHINA,
"Beijing Longwood Valley MedTech Co., Ltd.",L72,CHINA,
"Beijing North Biotechnology Institute Co., Ltd.",P73,CHINA,
"Beijing Ruicheng Medical Supplies Co.,Ltd",N43,CHINA,
"Beijing SynsorBio Technology Co., Ltd",P55,CHINA,
"Beijing Wanliandaxinke Instruments Co.,Ltd",G65,CHINA,
"Beijing Wantai Biological Pharmacy Enterprise Co.,Ltd",C02,CHINA,
"BEING TECHNOLOGY CO., LTD.",J24,CHINA,
"Bioantibody Biotechnology Co., Ltd.",L42,CHINA,
"Biobase Biotech Co.,Ltd",G02,CHINA,
Biocheck GmbH,P23,GERMANY,
Bioclass Company Limited,B01,THAILAND,
Biolot Medikal Malzemeleri ith. ihr. A.Ş.,D25,TÜRKİYE,
"BION DIAGNOSTICS CO., LTD",Q05,KOREA,
BIOSTEC,D26,CHINA,
Biotech GmbH,Q23,GERMANY,
Blue Neem Medical Devices Private Limited,B23,INDIA,
"Blueray Medical Technologies, Ltd",H41,CHINA,
"BSI Group (Thailand) Co., Ltd",B30,THAILAND,
"Buheung Medical Co., Ltd.",E05,KOREA,
BURKLUND-IVD LLC,Q22,USA,
"C.C. Autopart Co., Ltd.",L07,THAILAND,
"CANGZHOU FUKANG MEDICAL SUPPLIES CO.,LTD",P46,CHINA,
"Cangzhou JKJ Medical Devices Co.,Ltd",G66,CHINA,
"CapitalBiotech Co., Ltd.",Q03,CHINA,
CarePump/ BardoMed Sp. z o. o.,H38-1,POLAND,
"CHANGCHUN WANCHENG BIO-ELECTRON CO., LTD.",K43,CHINA,
"Changsha Xiangchen Medical Technology Co., Ltd.",L25,CHINA,
"Changzhou Meditech Technology Co.,Ltd.",G28,CHINA,
"Chaozhou Rongzhou Medical Technology Co.,Ltd.",L47,CHINA,
Chema Diagnostics,N16,ITALY,
Chemence Sp. z o.o .,K19,POLAND,
"CHINA EXHIBITION WORLD CO.,LTD",,CHINA,
Chongqing Isia Bio-Technology Co Ltd.,N25,CHINA,
"Chongqing New World Co.,Ltd",F66,CHINA,
"Chongqing Sanfeng Medical Device Co., Ltd.",Q47,CHINA,
"CHONGQING XISHAN SCIENCE & TECHNOLOGY CO., LTD.",G11,CHINA,
"Chugai Use (Thailand) Co., Ltd",B65,THAILAND,
"Co-Innovation Biotech Co.,Ltd.",H62,CHINA,
Coei Biotech Co.Ltd.,N66,CHINA,
"CONSULTAC EXPO CO., LTD.",B56,CHINA,
"CONTEC MEDICAL SYSTEMS CO., LTD.",K46,CHINA,
Cosmy - ASKMIGHT,B24,THAILAND,
"Cworld Co., Ltd.",E22,KOREA,
"Cygnus Biosciences(Beijing) Co., Ltd.",N23,CHINA,
"Da Chung Medical Co., Ltd.",A24,TAIWAN,
"Dakewe (Shenzhen) Medical Equipment Co., Ltd.",N56,CHINA,
"Dextrous Engineering Co., Ltd.",B46,THAILAND,
Diagnostics Biochem Canada Inc.,H09,CANADA,
DiaSys Diagnostic Systems GmbH,P20,GERMANY,
"DIATRUST MEDICAL CO., LTD",K11,CHINA,
DJO ASIA PACIFIC LIMTED,D28,CHINA,
"Dongguan Aituo Medical Equipment Co.,LTD",G56,CHINA,
Dr. Turk Tibbi Medikal Malzemeleri Ithalat Ihracat San. Tic. Ltd.Sti.,E29,TÜRKİYE,
Dr.BOO Company Limited,H24,THAILAND,
DRG Instruments GmbH,Q21,GERMANY,
DRM-Pharma & Diagnostik GmBH - Germany,P26,GERMANY,
"East Wain(Beijing) Co., Ltd.",M45,CHINA,
Easy Disposble Hygienic Supplies Ltd,L44,CHINA,
"Edan Instruments,Inc.",J11,CHINA,
Edif Instruments S.r.l.,Q66,ITALY,
EGZOTech,H38-2,POLAND,
Eiger Diagnostics,N67,USA,
EKF Diagnostics Holdings plc,K27,USA,
EM Med,H38-5,POLAND,
Enovis,D28,HONG KONG,
ESKAY IODINE PVT.LTD,E77,INDIA,
Eurospital S.p.A.,N71,ITALY,
EXIAS Medical GmbH,N28,AUSTRIA,
FAMED ŁÓDŹ S.A.,H38-6,POLAND,
"FEATHER SAFETY RAZOR CO., LTD.",M24,JAPAN,
"Foshan Ancheng Medical Equipment Technology Co.,Ltd",K38,CHINA,
"Fosun Diagnostics (Shanghai) Co., LTD.",F46,CHINA,
"Fotonmedix Medical Laser Co., LTD.",K41,CHINA,
Four-O LAB,E07,KOREA,
"Future Decoration Group Co., Ltd.",C29,THAILAND,
GenBody Inc.,P72,KOREA,
General Biologicals Corporation,M23,TAIWAN,
GeneReach Biotechnology Corp.,F44,TAIWAN,
GenSure Biotech Inc.,Q43,CHINA,
Gesan Production srl,M66,ITALY,
Getein Biotech Inc.,Q37,CHINA,
"GHBIO Co.,Ltd.",D29,KOREA,
Gold Standard Diagnostics Frankfurt GmbH,P24,GERMANY,
"Goldbov Photoelectronics Co., Ltd",C55,CHINA,
Goldsite Diagnostics Inc.,M06,CHINA,
Good Future Biomed. Inc.,R43,TAIWAN,
"GQ Pro MED - Nitita Co., Ltd.",F24,THAILAND,
"Grandworld Expo Co., Ltd",,CHINA,
Granulab Sdn Bhd,D45,MALAYSIA,
Greens Surgicals Pvt. Ltd.,A64,INDIA,
"Grena (Qingdao) Medical Devices.,Ltd.",J22,CHINA,
"Guangdong Dayang Medical Technology Co.,Ltd",M65,CHINA,
"GUANGDONG GEREKE AUTOMATION TECHNOLOGY CO.,LTD",K63,CHINA,
"Guangzhou Improve Medical Instruments Co., Ltd",D06,CHINA,
"Guangzhou Kapha Electronic Technology Co.,Ltd (KAPHAPHYSIO)",K56,CHINA,
"Guangzhou Labsim Biotech Co.,Ltd",F56,CHINA,
"Guangzhou LBP Medicine Science and Technology Co., Ltd",M10,CHINA,
"GUANGZHOU MEDISYS TECHNOLOGY CO., LTD",K39,CHINA,
"GUANGZHOU NEW DESIGN BIOTECHNOLOGY CO.,LTD",D62,CHINA,
"GUANGZHOU RAINHOME PHARM & TECH CO.,LTD",P41,CHINA,
"GUANGZHOU WONDFO BIOTECH CO., LTD",E02,CHINA,
"Haier Biomedical Technology (Suzhou) Co., Ltd",C62,CHINA,
"HAIMEN ROTEST LABWARE MANUFACTURING CO., LTD",J55,CHINA,
"Hangzhou Alltest Biotech Co.,Ltd.",H12,CHINA,
"Hangzhou Bioeast Biotech. Co., Ltd.",B12,CHINA,
"Hangzhou Fanttest Biotech Co., Ltd.",J28,CHINA,
"Hangzhou Frenovo Biotech Co.,Ltd.",G05,CHINA,
"Hangzhou Genesis Biodetection and Biocontrol Co., Ltd.",J05,CHINA,
"Hangzhou Laihe Biotech Co., Ltd.",H64,CHINA,
"Hangzhou Medconn Diagnostics Technology Co., Ltd.",L20,CHINA,
"Hangzhou Nanyu Medical Instrument Co., Ltd",G63,CHINA,
"HANGZHOU SINGCLEAN MEDICAL PRODUCTS CO., LTD",K23,CHINA,
"Hangzhou Testsea Biotechnology Co., Ltd.",H02,CHINA,
"Hangzhou Tongzhou Biotechnology Co., Ltd.",K25,CHINA,
"HANGZHOU WEIZE IMP&EXP CO.,LTD",N61,CHINA,
"Hangzhou Yituo Exhibition Co.,Ltd",TBA,CHINA,
"Harbin Howell Medical Apparatus and Instruments Co.,Ltd",N55,CHINA,
"Health Medic Co., Ltd.",A20,THAILAND,
"Hebei Boxin Recovery Equipment CO.,LTD",E56,CHINA,
"Hebei Dingli Medical Apparatus and Instrument Co., LTD",G06,CHINA,
"Hebei Kangji Medical Instrument Co.,Ltd.",E61,CHINA,
"Hebei Tianyi Hygiene Co., Ltd",B64,CHINA,
"Hebei Xiangyuan Medical Devices Co., Ltd",G61,CHINA,
"Hefei Youshui Mechanical Electric Equipment Co., Ltd",P04,CHINA,
"Henan Chaoya Medical Equipment Co., Ltd.",L41,CHINA,
"Hengshui Shuntai Kangyuan Medical Equipment Co.,Ltd",K45,CHINA,
"High Technology, Inc.",R29,USA,
Hindland Equipment,F22,INDIA,
"Hipro Biotechnology Co., Ltd.",Q26,USA,
HONGHU TECHNOLOGY,C66,CHINA,
Horiba India Private limited,R55,INDIA,
"HOSPITAL & HOMECARE IMP. & EXP. CO., LTD. NANJING",L37,CHINA,
Hospital Equipment Mfg.co.,G24,INDIA,
HOSPITECH MANUFACTURING SERVICES SDN. BHD.,B19,MALAYSIA,
"HTDK (Shanghai) Co., Ltd",M41,CHINA,
"Hunan HengNuo Instrument Equipment Co., Ltd.",B77,CHINA,
"Hunan Keren Medical Technology Co., Ltd.",F61,CHINA,
"Hunan Lituo Biotechnology Co., Ltd.",N09,CHINA,
"Hunan Runmei Gene Technology Co., Ltd.",Q04,CHINA,
Huntex Corporation,C26,TAIWAN,
Hycor Biomedical,K20,USA,
"Hynaut Group Co., Ltd",P37,CHINA,
"Hyundai Medical Co., Ltd.",D19,KOREA,
i+Med Laboratories Company Limited,R03,THAILAND,
"i-SENS, Inc.",L28,KOREA,
Immundiagnostik AG,N24,GERMANY,
"In Fung Co., Ltd. & Lion Power Co., Ltd.",Q06,TAIWAN,
INSTAND e.V.,N20,GERMANY,
"InTec PRODUCTS, INC.",B11,CHINA,
"International Healthcare Products Co., Ltd.",R05,THAILAND,
"IS Software Co., Ltd.",F73,THAILAND,
"Jiangmen New Era External Use Drug Co., Ltd.",G64,CHINA,
"Jiangsu Apon Medical Technology Co., Ltd.",J61,CHINA,
"Jiangsu Confidence Medical Technology Co., Ltd",F10,CHINA,
"JIANGSU DENGGUAN MEDICAL TREATMENT INSTRUMENT CO., LTD.",L61,CHINA,
"JIANGSU HUIDA MEDICAL INSTRUMENTS CO.,LTD (YANCHENG HUIDA)",M42,CHINA,
Jiangsu Jinyi Instrument Technology Company Limited,H66,CHINA,
"JIANGSU JINZHUN BIOTECH CO., LTD.",E65,CHINA,
"Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.",H27,CHINA,
"Jiangsu Shenxing Photoelectricity Medical Apparatus Co.,Ltd",J38,CHINA,
"Jiangsu Solicitude Medical Technology (Group）Co., Ltd.",K64,CHINA,
"JIANGSU TRADE PROMOTION INTERNATIONAL CONFERENCE&EXHIBITION CO.,LTD.",,CHINA,
Jiangsu Weihe Biotechnology INC.,N41,CHINA,
"Jiangsu Xinkang Medical Instrument Co.,Ltd",F62,CHINA,
JiHua Medical,G47,CHINA,
"Jinan Deheng Medical Technology Co., Ltd.",D74,CHINA,
"Jinhua Yidi Medical Appliance Co.,Ltd",H06,CHINA,
"JOINSTAR BIOMEDICAL TECHNOLOGY CO., LTD.",K71,CHINA,
"Junyue Medical Science and Technology Co., Ltd",H63,CHINA,
Kangfu Medical Equipment Factory,F30,CHINA,
"Kongsak X-ray Medical Industry CO., LTD.",D37,THAILAND,
"Kontour (Xi'an) Medical Technology Co., Ltd.",H39,CHINA,
"Korea Body Information Co., Ltd",F25,KOREA,
Korea Medical Devices Association (KMDA),E24,KOREA,
"LANGZHI Digital Medical & Nursing Care Technology Co., Ltd.",K55,CHINA,
Lasotronix,H38-4,POLAND,
LDN Labor Diagnostika Nord GmbH & Co. KG,Q25,GERMANY,
Leapmed Healthcare Corporation,A12,CHINA,
Lepu Medical,L23,CHINA,
"Lingen Precision Medical Products (Shanghai) Co., Ltd.",P48,CHINA,
"Lishui Kangli Medical Devices Co., Ltd.",F64,CHINA,
LivzonDx,H74,CHINA,
"LONGFIAN SCITECH CO.,LTD",H61,CHINA,
"Luoyang Geneture Medical Technology Co.,Ltd.",M55,CHINA,
"M.I.ONE Co., Ltd.",F27,KOREA,
"Maccura Biotechnology Co., Ltd.",E10,CHINA,
Maihub Corp.,E46,KOREA,
"MAIKANG MEDICAL EQUIPMENT (HEBEI) CO.,LTD.",J71,CHINA,
MALAYSIA EXTERNAL TRADE DEVELOPMENT CORPORATION (MATRADE),D38,MALAYSIA,
Manman India,K26,INDIA,
"MDT MANUFACTURING CO., LTD.",K08,THAILAND,
MED SOLLUTION MEDICAL TRADING CO. L.L.C. (DNA-Technology),P02,ARMENIA,
Medical Sterilization Systems - Formica,C27,THAILAND,
Medicalgorithmics,H38-3,POLAND,
"MEDICALSYSTEM BIOTECHNOLOGY CO.,LTD",H20,CHINA,
MEDIPEAU Inc,D27,KOREA,
"Medotex Biotech (Hangzhou) Co.,Ltd",H05,CHINA,
"Mei Zhou Cornley Hi-Tech Co., Ltd.",J26,CHINA,
Meril Diagnostic Private Limited,B55,INDIA,
MGl Tech Singapore Pte. Ltd.,L02,CHINA,
Microgen Healthcare Private Limited,A55,INDIA,
Montex Swiss AG,M56,SWITZERLAND,
MRET By Pegasus Aqua,B42,MALAYSIA,
"MT Innotrex Co., Ltd.",L26,THAILAND,
"Nanjing Balan International Exhibition Co.,Ltd",TBA,CHINA,
"Nanjing Chenwei Medical Equipment Co.,Ltd",F55,CHINA,
"NANJING MEIDI MEDICAL TECHNOLOGY CO.,LTD",L65,CHINA,
