company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Advanced Parking Tech,,"Parking Management Software supporting the full life cycle of parking enforcement and compliance. With a particular focus on increasing the accuracy of data. Manage your ANPR, MNPR, Warden, Pay & Display, Mobile Payment sites.",,,https://advancedparking.tech,,,https://www.linkedin.com/company/advanced-parking-tech/
ANPR Cameras,,"MAV's range of pioneering ANPR technology provides solutions to all systems across sectors, applications and countries.",anpr@anprcameras.com,+44 333 800 3050,http://anprcameras.com,,,https://www.linkedin.com/company/mav-systems-limited/
Arrive,,Smarter cities start here. Arrive delivers all-in-one mobility solutions from parking and fleets to planning and public transport.,,,https://arrive.com,,,https://www.linkedin.com/company/arrive
Arvoo,,,,+31 348 413 897,https://arvoo.com,,,https://www.linkedin.com/company/arvoo-imaging-products-bv/
Autopay Technologies,,,,,https://solutions.autopay.io,,,https://www.linkedin.com/company/autopayparking/
Barbour Logic,,,,,https://barbourlogic.co.uk,,,
Cammax,,Your trusted partner for cutting-edge payment & ticketing machines. Enhance your customer experience & boost efficiency with our solutions!,info@cammaxlimited.co.uk,01977 669946,https://cammaxlimited.co.uk,,,https://www.linkedin.com/company/cammax-limited
DESIGNA,,Our digital parking management solutions with ticketless capabilites increase the profitablity of your asset and the convenience for your customers.,info@designa.com,+494315336 0,https://designa.com,,,https://de.linkedin.com/company/designa-gmbh
Digital Mailing Solutions,,"Hybrid mail software that makes sending business communications simple. Intrimail Distribute automates printing, fulfilment and postal delivery while reducing costs and manual administration.",support@dms.co.uk,,,,,
Displayways,,"Displayways, London based large format printing business, specialists in display solutions, visual consultancy, exhibition stands, point of sale display, signage, display systems and Museum and interior display",enquiries@displayways.co.uk,02088776700,https://displayways.co.uk,,,https://www.linkedin.com/company/displayways-ltd/
Empira,,We are an Enforcement Company providing nationwide coverage in the enforcement of High Court and Civil Enforcement Orders,,01925 984020,https://empira.co.uk,,,
Gladstones Solicitors,,,enquiries@gladstonessolicitors.co.uk,0333 023 0049,https://gladstonessolicitors.co.uk,,,
Go2Sim,,,,,https://go2sim.com,,,
HUB Parking Technology,,"HUB Parking Technology is a leading specialist in smart parking solutions: value added, connected parking solutions for all industry segments in the UK. HUB Parking UK",,,http://hubparking.co.uk,,,https://www.linkedin.com/company/hub-parking-technology
IPS Group,,,,,,,,
JENOPTIK,,The world is changing at light speed. We focus on optical technologies and use the potential of light to advance our customers in global markets!,,,https://jenoptik.com,,,https://www.linkedin.com/company/jenoptik/
JustPark,,"Find parking, wherever and whenever you need it, online or via the JustPark app. Reserve a space at over 45,000 locations. Trusted by 10 million drivers.",,,http://justpark.com,,,https://www.linkedin.com/company/justpark
Metricgroup,,,,,http://metricgroup.co.uk,,,
Milesight,,Milesight is a fast-growing and innovation-driven technology company delivering smart IoT and video surveillance products.,,,https://milesight.com,,,https://www.linkedin.com/company/milesight-technology/?trk=biz-companies-cym
Nagels,,"Nagels entwickelt smarte Identifikationslösungen: RFID-Karten, Tickets und Labels für Zugang, Tracking und sichere Prozesse. Individuell und zuverlässig.",,,https://nagels.com,,,https://www.linkedin.com/company/nagels-com/
NMI,,"NMI powers $700B+ in annual transactions for 6,000+ partners. The modular payments platform for ISOs, SaaS, banks, and PayFacs. Explore our solutions.",,,https://nmi.com,,,https://www.linkedin.com/company/NMIpayments
Nped,,,,,http://nped.co.uk,,,
Open Parking,,"Open Parking provides a fair and reasonable approach to parking management, aiming to deliver a positive, customer-focused experience.",,,https://openparking.co.uk,,,
Orbility,,,,,https://orbility.com,,,
Parkbunny,,,,,https://parkbunny.app,,,
Parking & Secure Documents,,,contact@parkingandsecuredocuments.com,01761409290,http://parkingandsecuredocuments.com,,,
Parking Patrol,,We provide parking enforcement services to businesses large and small nationwide - Contact us to find out how we can help you!,sales@parkingpatrol.co.uk,03707203807,https://parkingpatrol.co.uk,,,https://www.linkedin.com/company/uk-parking-patrol-office-limited/
PayByPhone,,"PayByPhone simplifies your journey. Register and pay for parking in seconds, and extend without having to return to your vehicle with session expiry reminders. Our additional features help you find the best-priced fuel and easily locate and pay for EV charging nearby - all without leaving the app.",pressoffice@paybyphone.com,,https://paybyphone.co.uk,,,https://www.linkedin.com/company/paybyphone-technologies-inc-
Roam Charging,,Discover Roam – delivering fully funded EV charging solutions that empower businesses and drivers alike. Charge confidently and make every journey electric.,,,https://roamcharging.com,,,https://www.linkedin.com/company/roamcharging
ScanNeo,,,,,https://scanneo.co.uk,,,
Scheidt & Bachmann GmbH,,,jobs@scheidt-bachmann.de,,http://scheidt-bachmann.com,,,https://www.linkedin.com/company/scheidt-&-bachmann
SignMark,,,,,https://signmark.co.uk,,,
Sioma,,"Sioma is a boutique insurance advisory based in Mayfair, London.",grace@sioma.co.uk,020 4586 1868,https://sioma.co.uk,,,https://uk.linkedin.com/company/siomaltd
SKIDATA,,Smart Parking Management Solutions and Innovative Access Solutions for People. SKIDATA turns every access into a warm welcome,,,https://skidata.com,,,https://www.linkedin.com/company/33626/
Survision,,Caméras de lecture de plaques d'immatriculation (LAPI). Caméras LAPI sont toutes intégrées et fonctionnent en temps réel.,,+33 01 47 51 04 80,https://fr.survisiongroup.com,,,https://linkedin.com/company/survision
TagMaster UK,,"TagMaster UK Limited develops and delivers advanced Intelligent Systems (ITS) for Smart Cities based on sensor systems and innovative mobility solutions in order to increase efficiency, security, convenience and to decrease environmental impact.",,,https://uk.tagmaster.com,,,
Tarantosystems,,,,,http://tarantosystems.com,,,
