company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
(Rhöni) Litz Holding GmbH & Co. KG,A.13,,a.litz@gmx.net,+49171 7403114,https://rhoeni.de,"Bäckergasse 6, 36169 Rasdorf",,
AMC Deutschland,A.20,,marketing@de.amc.info,+49 6721 180 01,https://amc.info,"Mainzer Straße 312, 55411 Bingen",,
Amoi Naturel,N.21,,amoi@amoi-naturel.de,,https://amoi-naturel.de,"Mühlenstraße 53, 66706 Perl",,
AfB gemeinnützige GmbH,C.51,,info@afb-group.eu,+49 7243 20000 0,https://afb-group.eu,"Carl-Metz-Straße 4, 76275 Ettlingen",,
ADAC-Vertriebsagentur Novosel GmbH,"X.20, F.41, Q.60",,info@novoselgmbh.de,+49 7157 812900 0,https://novoselgmbh.de,"Carl-Zeiss-Str. 5/1, 71093 Weil im Schönbuch",,
AFG Reinigungssyteme Mack&Radzuweit GmbH,G.60,,s.radzuweit@afg-reinigungssysteme.de,4.9907E+12,https://afg-reinigungssysteme.de,"Gartenstraße 3a, 86609 Donauwörth",,
Allwetterdach GmbH Gesell,G.49,,allwetterdach-gesell@web.de,+49 7240 9286368,https://allwetterdach-gesell.de,"Wesebachstraße 31a, 76327 Pfinztal-Söllingen",,
Alex Feinkost 015754760166,B.34,,alex.sciascia@gmx.de,,https://kreativmesse.online,"Kollwitzweg 7, 66802 Überherrn",,
AIO GmbH,R.51,,info@aio-ag.com,+49 931 452020,https://aio-ag.com,"Leibnizstraße 9, 97204 Höchberg",,
ALBRECHT Metallbau GmbH,G.14,,info@albrechtmetallbau.de,+49 7456 1543,https://albrechtmetallbau.de,"Altnuifraer Straße 34, 72221 Haiterbach",,
ALPINA Sonnenschutz GmbH,G.15,,info@blendfrei.com,+49 7553 8274254,https://alpina-sonnenschutz.de,"In Oberwiesen 2, 88682 Salem",,
Alu-Kaupp,L.06,,d.kaupp@alukaupp.de,0744581044,https://alukaupp.de,"Maybachstr. 3, 72285 Pfalzgrafenweiler",,
Amore - Stefania Barbuto,D.19,,barbuto11@googlemail.com,,https://mandelgebaeck.com,"Waldstr. 40, 79206 Breisach",,
Ampli5  Hans Fischer,M.29,,hansfischer1900@aol.com,4.91764E+12,https://oberrhein-messe.de,"Adlerstr 62, 73540 Heubach",,
Angelo Eichel,H5,,angelo-eichel@web.de,+49 151 23567641,https://firmeneintrag.creditreform.de,"Erwin-von-Steinbach-Weg 27a, 80937 München",,
Anita Ametovic Einzelunternehmen,L.79,,info@nandoskitchen.de,,https://nandoskitchen.de,"Kapellenweg 10, 85120 Hepberg",,
Anna Rossini,D.38,,salatsauce@annarossini.eu,+49 7181 9375120,https://annarossini.de,"Lutherstraße 83, 73614 Schorndorf",,
Antje Nicklas,N.25,,leichthandeln@gmail.com,4.91775E+11,https://antja-nicklas.de,"Im Gitter 8, 69151 Neckargemünd",,
AOK Baden-Württemberg,O.60,,uwe.klein@bw.aok.de,+49 711 6525-0,https://aok.de,"Presselstraße 19, 70191 Stuttgart",,
