company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Alfa Laval,,,,,https://alfalaval.co.uk,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Aqua Green,,,,,https://aquagreen.dk,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
AtkinsRealis,,,,,https://atkinsrealis.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Blue Methane,,,,,https://bluemethane.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Bucher unipektin,,,,,https://bucherunipektin.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Cambi,,,,,https://cambi.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
EasyMining Services Sweden,,,,,https://easymining.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
ELIQUO HYDROK,,,,,https://eliquohydrok.co.uk,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
ERG Air Pollution Control,,,,,,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Evergreen Water Solutions,,,,,https://evergreenwatersolutions.co.uk,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Flood Control International,,,,,https://floodcontrolinternational.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
GEA,,,,,https://gea.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Haskoning,,,,,https://haskoning.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Huber,,,,,https://huber.co.uk,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
IDEXX,,,,,https://idexx.co.uk,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Marches Biogas,,,,,https://marchesbiogas.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
MSE Hiller,,,,,,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Orege,,,,,https://orege.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
OSS Enviro,,,,,https://ossenviro.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
rhames,,,,,https://rhames.uk,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Solenis,,,,,https://solenis.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
SoliSenz,,,,,https://solisenz.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Technogenia,,,,,https://technogenia.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
Tetra Tech,,,,,https://tetratech.com,"Telford International Centre, International Way, Telford, Shropshire, TF3 4JH, United Kingdom",Telford,
