company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Allports Group,VH2,Vehicle Sales E-tech easiloader our new fully electric vehicle,m.hilton@allportsgroup.co.uk,07711485555,https://allportsgroup.co.uk,,,
Amax Fire & Security,H6,"Security Amax Security is a leading provider of high-end security solutions, specialising in AI CCTV, access control, and intruder alarm systems. With a focus on reliability, innovation, and exceptional service, we consult, design and deliver tailored security systems to meet the unique needs. We work in the self-storage and container storage sectors. Our expertise helps operators protect their assets, enhance site management, and provide peace of mind to their customers.",info@amax.co.uk,02084272242,https://amaxfireandsecurity.co.uk,,,
Amax Marketing,H6,"Lead Generation Marketing Social Media Google Ads Specialist We design fast, effective websites and deliver SEO that actually works - all tailored for self-storage and removals companies. Whether you need a site that converts or want to rank higher in local searches, we keep things simple, strategic, and focused on results. No jargon, no hard sell - just a chat about how we can help you grow online.",marketing@amax.co.uk,02085157980,https://amaxmarketing.co.uk,,,
Andrew Pearson Training Services,G3,"Training • My aim is to ensure all delegates go away with real skills, knowledge and confidence not just a certificate. • Full range of courses available and we can tailor anything to your business needs • I have a proven track record delivering since 1997. • I pride myself on my interaction skills and enjoy helping others. • Quality training with low class numbers to ensure delegates get the maximum learning benefits. • Dedicated training facility in Norfolk or I can travel to you.",mail@andrewpearsontraining.co.uk,07879653721,https://andrewpearsontraining.co.uk,,,
artPAKK,K1,"Packaging Moving Equipment Specialist Packing Supplies Trade Storage ArtPAKK bags are designed for the purpose of the art industry as a replacement for soft wrap and bubble wrap, ArtPAKK provides superior protection for artworks. The core material used in Artpakk products is known for several performance attributes: • High breathability • Weather-resistant and water-repellent • Lightweight and soft • Durable and tear-resistant • Mould, mildew, and pest-proof • Reusable and recyclable (HDPE) • Non-abrasive and spore-resistant • Resistant to UV light & scratches ArtPakk.......the most protective art bag on the market #choosetoreuse",info@forpakking.com,01245956917,https://artpakk.com,,,
Association of independent Movers,G10,"Association Membership The Association of Independent Movers was created to assist removers of all Sizes, to grow and expand their businesses while offering their customers a high level of service. For the mover with limited resources, or even larger more established businesses, AIM can offer a wide range of benefits. Some of those benefits are summarised below. Public Awareness, Marketing, Administration, supplier deals and a quality Service.",info@aimovers.org.uk,0208 892 0369,https://aimovers.org.uk,,,
Basil Fry & Company,E1,"Insurance In fifty years of trading, we have developed an in-depth knowledge of the removals and storage and self storage industries. This has enabled us to create a broad range of specialist insurance solutions, in-house claims teams and market-leading risk management services. Partnering with a limited panel of insurers, we ensure underwriters and claims handlers understand the nuances of our specialist sectors. This has allowed us to create bespoke insurance products which are exclusive to Basil Fry. We pride ourselves on providing a bespoke service to every customer regardless of their operation or market. This enables us to build and maintain long-term relationships that ultimately benefit both the client and their sector.",broking@basilfry.co.uk,01372 385 985,https://basilfry.co.uk,,,
Bespoke Bodies Ltd,VH7,"Vehicle Sales We design, build and manufacture commercial vehicle bodies, chassis alterations, trailers, wheelbase alterations, De-mountable bodies & removal vehicles to meet your specific needs. These are built on 3.5 tonne to 26 tonne new or second hand chassis. Our aim is to ensure we provide our customers with a ""fit for purpose"" vehicle that will serve them well Designed by Movers Built by Craftsmen",enquiries@bespokebodies.com,01925 850722,https://bespokebodies.co.uk,,,
BIL Group Ltd,J1,"Moving Equipment Ramps & Access Equipment BIL Group are the UK's leading manufacturer of Castors, Wheels and Material Handling Equipment. Following the acquisition of EVO supplies, BIL are proud to attend our very first Movers and Storers show presenting our range of industry leading aluminium hand trucks, aluminium piano dollies, EVO skate ranges and more! BIL manufacture product in house with high stock levels to respond to our ever increasing customer demands. We cannot wait to connect with new / existing customers! Quality without compromise",sales@bilgroup.co.uk,01249 822 222,,,,
Blink Payment,K6,"Finance Blink Payment makes accepting and reconciling payments easy. Whether businesses want to take payments online, over the phone, or in person, everything can be managed through one simple platform. Our all-in-one solution supports multiple payment methods, including open banking, payment links, virtual terminals, and card machines. It also integrates easily with popular software providers, such as Xero and QuickBooks, through easy-to-use APIs.",sales@blinkpayment.co.uk,020 3745 0920,https://blinkpayment.co.uk,,,
Britannia Movers International,A6,"Membership Opportunities Trade Shipping Trade Storage Britannia Movers has 43 depots across the UK, and we’re expanding! There are currently opportunities for new members to join us in several areas and enjoy increased leads, corporate work, shipping support and more. Come and talk to us at the show to find out more about how we can support you to develop your business. We can also offer expert trade shipping services to the industry, as well as trade storage in many of our locations. If you don’t want to wait until the show, get in touch today to discuss how we can work together.",membership@britannia-movers.co.uk,020 8256 1760,https://britannia-movers.co.uk,,,
Britannia Sandersteads,G6,"Groupage Services Trade Shipping Trade Storage Britannia Sandersteads is your trusted partner for Scandinavia & European Removals when it comes to seamless relocation across borders. With a wealth of experience and a commitment to excellence, we specialize in providing comprehensive moving services throughout Scandinavia and Europe. Our dedicated team of professionals ensures a stress-free experience, handling every aspect of your move from start to finish. At Britannia Hoist Hire, we can make challenging furniture removals look effortless with our efficient furniture hoist hire. Our hoists reduce time and remove stress, by reaching up to windows and balconies to transport furniture and other items. Our hoists come supplied with a fully trained operator, so you can leave it to the experts. Regardless of whether you’re moving to a new house or relocating your office in London, Sussex, Essex, Surrey, Kent or Middlesex, we'll help you do it with ease.",info@sandersteads.com,01883741000,https://sandersteads.com,,,
Britwrap Protective Solutions,H9,"Packaging Storage Equipment Moving Equipment Britwrap delivers innovative, reusable packaging solutions tailored for the moving industry. Our products are designed to eliminate damage risks, cut packaging costs, and improve manual handling across a range of items—including mattresses, kitchen worktops, TVs, and white goods. We’re excited to unveil our latest innovation at the show: the Fridge-Freezer Cover - a first-of-its-kind protection solution that makes moving fridge freezers safer, faster, and easier than ever before. Visit us at H9 Discover Britwrap at Stand H9 – Protecting What Matters Most Introducing the Industry’s Most Innovative Fridge Freezer Cover Say goodbye to struggling with bulky appliances. Our next-generation Fridge Freezer Cover is engineered to revolutionise how moving professionals handle, lift, and protect tall white goods. Whether you're in removals or storage, this is the innovation you need to see at this year’s Movers & Storers Show. Designed with the industry in mind, the cover features a triple-tiered handle system that provides superior grip and control from any angle—perfect for navigating stairs, narrow hallways, and awkward spaces. It’s built from high-performance, impact-resistant material that shields fridge freezers from knocks, drops, and surface damage during transit, reducing breakages and boosting customer satisfaction. A secure four-point buckle system ensures a snug, stable fit around the appliance, virtually eliminating movement while in motion. Reinforced dual lifting harnesses make two-person handling safer and more ergonomic, helping to reduce strain and injury risk for your crew. See It In Action at Stand H9! Join us for hands-on demos throughout the show and discover how this innovative tool can improve efficiency, protect valuable goods, and make your team's job safer and easier. Our team will be on hand to talk trade pricing and how to integrate this essential tool into your removals operation.",info@britwrap.com,0151 934 1250,https://britwrap.com,,,
CentralNest,C8,"IT Services Our Innovation: CentralNest revolutionises quoting in the removals industry using AI and video walkthroughs. Our platform turns customer recorded videos into accurate, itemised quotes in minutes. By detecting and inventorying items automatically, we eliminate admin and guesswork, helping moving companies boost efficiency, enhance transparency, and stay ahead in tech innovation and industry standards. Next-Gen Moves: Turn a video into an accurate quote AI‑powered instant video quotes for UK removal companies.",centralnest@centralnest.co.uk,+447721517521,https://centralnest.co.uk,,,
Container Self-Storage & Traders Association,C10,"Association Membership Container Storage The CSTA promotes professionalism, innovation and best-practice for container self-storage operators and container traders – as well as specialist providers of equipment, systems and technology. The Association provides a wide range of resources to its Members, including: • CSTA Technical/Operational Guidelines – all available on the Website • Industry Code of Practice • Accredited Member Scheme • Networking Conferences and Webinars to exchange best practice • Monthly Members Bulletins • Container Self-Storage Industry Report (December 2022) Application for Membership is welcomed to companies involved in: • Container Self-Storage • Container sales and trading • Innovation in Technology, Systems and Solutions Come by the stand and meet the team.",patrick@containa.org,,,,,
CSC Industries,D2,"Self storage fit-out Container Storage In the early 1990s, CSC brought the self-storage concept from America to Europe. They are the self-storage pioneers in Europe who developed and perfected our their technical systems for constructing a self-storage facility over the last few decades. They carry out self-storage projects for well-known international storage companies as well as local investors and building owners. CSC has in-house developed self-storage for both inside and outside use.",info@csc-industries.com,07984719633,https://csc-selfstorage.com,,,
Destination Net Zero Magazine,VH9,"Vehicle Sales Trade Publisher In the fast-moving world of environmental change, brand new publication Destination Net Zero captures the latest news, views and intelligence in this vitally important transport and logistics sector. Core content covers all emerging fuel technologies, as well as fuel enhancement products and services, including all infrastructure considerations. Destination Net Zero will also call on a pool of industry experts offering sound advice, thought leadership and honest opinion.",matthew@destinationnetzeromagazine.co.uk,,https://destinationnetzeromagazine.com,,,
DSOC,G4,"Security High quality, reliable alarm and CCTV monitoring is a proven method of keeping your self-storage facility continually secure and can be combined with other security measures. DSOC is fully accredited to NSI Gold EN50518 standard and utilises leading edge technology to support the monitoring team in detecting and analysing any threats and then taking the appropriate action. We investigate and filter out false alarms, saving unwarranted security call-outs and therefore reducing costs.",ahebblethwaite@dsoc.uk,07512338077,https://dsoc.uk,,,
HelpForMovers,B2,"Literature A wonderful 20 page booklet, with tips, reminders and checklists to help prepare for moving day! Bought by companies to pass on to their clients, with bespoke cover advertising available for companies to personalise their own batch. Often given out at surveys, this is a lovely way to add value with a lasting advert of your business … A donation from sales is made to a wonderful charity helping our veterans! The better you prepare, the smoother the move!",lisa@helpformovers.uk,07876191516,https://helpformovers.uk,,,
i-mve,F4,"Lead Generation IT Services Marketing Manage your removals & storage business with ease. i-mve is an all-in-one platform that helps removals & storage companies run their business effortlessly. Automate quotes, invoices & contracts Track every job & never miss a task Win more jobs with built-in lead generation",rob@i-mve.com,+44 7725 988380,https://i-mve.com,,,
