company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
(+)39 ITALIA,Hall 8 / 8D 415,,,,https://39italia.it,,,
"2L BIO CO., LTD.",Hall 2B / 2B 705,,,,https://2lbio.com,,,
AB COSM SRL A SOCIO UNICO,Hall 8 / 8D 730,,,,https://abcosmsrl.it,,,
ABA PACKAGING CORPORATION,Hall 10 / 10A 610,,,,https://abapackaging.com,,,
ABC INTERNATIONAL LIMITED,Hall 11 / 11E 110,,,,https://abcfragrances.com,,,
ACME,Hall 2B / 2B 215,,,,https://expofinder.com,,,
ACO PERFUMES AND COSMETICS LLP,Hall 11 / 11D 100,,,,https://thefragrancebook.com,,,
ACTO GMBH,Hall 7 / 7B 630,,,,https://actogmbh.com,,,
ADLER LAB S.R.L.,Hall 3 / 3E 820,,,,https://adlerlab.it,,,
ADREES SONS BEAUTY INSTRUMENTS,Hall 3 / 3E 405,,,,https://asbinstruments.com,,,
AFRICAN ORIGINS FARMING,Hall 8 / 8E 920,,,,https://africanoriginaloil.co,,,
AG BEAUTYLAND,Hall 2B / 2B 500,,,,,,,
AHMED AL MAGHRIBI PERFUMES,Hall 8 / 8C 410,,,,https://ahmed-perfume.com,,,
AISUOER PACKAGING(GUANGZHOU) LIMITED,Hall 11 / 11G 770,,,,https://eplglobal.co,,,
AJMAL PERFUMES MANUFACTURING,Hall 7 / 7C 210,,,,https://ajmal.com,,,
AKRADEX,Hall 2B / 2B 255,,,,https://akradex.com,,,
AL FAARUK TRADING LLC,Hall 7 / 7B 720,,,,,,,
AL REHAB PERFUMES COMPANY,Hall 11 / 11B 110,,,,https://alrehab.com,,,
ALBANIA BEAUTY ASSOCIATION,Hall 11 / 11G 340,,,,https://bukuriashqiptare-beli.com,,,
ALIA DI DEBORA POLLINA,Hall 3 / 3E 805,,,,https://worldexpoin.com,,,
ALJOUF INDUSTRIAL FACTORY,Hall 10 / 10A 108,,,,https://adomo.co,,,
ALL GRACE,Hall 11 / 11E 310,,,,https://allgrace.co.kr,,,
AMADEUS BRANDS / JOBECO GROUP,Hall 1 / 1C 310,,,,https://jobeco.co,,,
AMBER DUST,Hall 7 / 7C 510,,,,https://amberdust.pl,,,
AMKA PRODUCTS PTY LTD,Hall 2A / 2A 320,,,,https://scribd.com,,,
ANDREA DOTTI,Hall 3 / 3E 320,,,,https://andreadotti.dz,,,
ANESI LAB,Hall 2B / 2B 630,,,,https://anesilab.com,,,
"ANHUI CAISHENG PACKAGING TECHNOLOGY CO., LTD",Hall 11 / 11H 154,,,,https://scribd.com,,,
"ANHUI FOREVER PACKAGING TECHNOLOGY CO., LTD",Hall 11 / 11F 710,,,,https://foreverpkg.com,,,
"ANHUI JIEFEITE PACKAGING TECHNOLOGY CO., LTD",Hall 11 / 11B 700,,,,https://jiemingspray.com,,,
ANPO «MOSCOW EXPORT CENTER» (MEC),Hall 3 / 3E 200,,,,https://moscow-export.co,,,
ANSAR HARFORD FZC,Hall 7 / 7F 450,,,,https://ansarharford.com,,,
ANUBIS COSMETICS GROUP,Hall 2B / 2B 510,,,,https://anubis-cosmetics.com,,,
APCU,Hall 2B / 2B 215,,,,https://apcu.ua,,,
APIARIUM SRL / TERRA APIS,Hall 8 / 8E 800,,,,https://scribd.com,,,
APIS NATURAL COSMETICS,Hall 7 / 7B 440,,,,https://apiscosmetics.pl,,,
APR INSTRUMENTS SRL,Hall 8 / 8D 725,,,,https://aprinstruments.com,,,
APU PACKAGING PVT LTD.,Hall 5 / 5E 430,,,,https://apupackaging.com,,,
AQUILEGIA FRAGRANCES,Hall 7 / 7C 450,,,,https://aquilegia-gr.com,,,
ARD AL ZAAFARAN,Hall 11 / 11C 200,,,,https://ardalzaafaranshop.com,,,
ARIA COSMETIC,Hall 6 / 6B 320,,,,https://aria-cosmetics.com,,,
"AROMA NEWTECH CO., LTD.",Hall 11 / 11E 330,,,,https://aromanewtech.com,,,
AROMAAZ INTERNATIONAL PVT. LTD.,Hall 10 / 10C 220,,,,https://aromaazinternational.com,,,
"AROMAFLAVUM CO., LTD.",Hall 11 / 11E 420,,,,https://aromaflavum.com,,,
AROMARA,Hall 7 / 7F 430,,,,https://aromara.com,,,
ARTECNO SRL,Hall 3 / 3D 530,,,,https://artecno.net,,,
ASD GROUP S.R.L.,Hall 3 / 3E 845,,,,https://sikeliaparfums.com,,,
ASHKAN SHIMI ISFAHAN COMPANY,Hall 10 / 10B 440,,,,https://ashkanchemistry.com,,,
ASMIN NATURAL COSMETICS,Hall 2B / 2B 500,,,,https://asmincosmetics.com,,,
ASSAF PERFUME,Hall 11 / 11C 310,,,,https://3saf.com,,,
ASSOCIATE AND ALLIED CHEMICALS EUROPE,Hall 10 / 10B 600,,,,https://aac-europe.com,,,
"ASTA PLASTIC TUBES(SHANG HAI)CO.,LTD",Hall 11 / 11C 720,,,,http://asta-tube.co,,,
ASTIBEAUTY LLC,Hall 3 / 3E 200,,,,https://scribd.com,,,
ASTRA MAKE-UP-GIUFRA SRL,Hall 8 / 8E 530,,,,https://astramakeup.com,,,
ATIKA PERFUMES,Hall 11 / 11F 200,,,,https://atikaperfumes.ae,,,
ATTRACTIVE SCENT,Hall 4 / 4C 420,,,,https://attractive-scent.fr,,,
"AUBER PACKAGING CO., LTD.",Hall 11 / 11E 700,,,,https://cosmetic-tube.com,,,
AUREUS POLSKA,Hall 7 / 7B 560,,,,https://aureus-polska.pl,,,
AV-SEPT,Hall 7 / 7F 160,,,,https://avgroupp.ru,,,
AVANS,Hall 8 / 8F 410,,,,https://avanswipes.com,,,
AVEL-ORBITER SOLUTIONS,Hall 4 / 4F 170,,,,https://scribd.com,,,
AZAR MATIERE,Hall 10 / 10B 430,,,,https://pansy-dz.com,,,
B.I. INDUSTRIAL,Hall 11 / 11D 530,,,,https://bi-packaging.com,,,
BALANCE LIFE SND BHD,Hall 10 / 10C 140,,,,https://ihsc.co,,,
BALEV CORPORATION EOOD,Hall 8 / 8B 700,,,,https://areon.com,,,
BALLESTRA – MAZZONI,Hall 5 / 5C 200,,,,https://ballestra.com,,,
"BARAM INTERNATIONAL CO., LTD.",Hall 11 / 11E 430,,,,,,,
BAREX ITALIANA SRL,Hall 3 / 3E 750,,,,https://barex.it,,,
"BAUMCOS CO., LTD.",Hall 2B / 2B 710,,,,https://baumcos.com,,,
BEAUTY COMMERCE LTD,Hall 8 / 8F 420,,,,https://laboreight.co,,,
BEAUTY CREATIVE HOUSE,Hall 10 / 10SC 3,,,,https://beautycreativhouse.com,,,
"BEAUTY IN ASIA CO., LTD.",Hall 2B / 2B 225,,,,,,,
BEAUTY LINE LLC,Hall 2A / 2A 330,,,,https://lunaline.ru,,,
BEAUTY PRODUCTION LLC,Hall 3 / 3E 200,,,,https://doctor-go.ru,,,
BEAUTYSPHERE TRADING,Hall 6 / 6B 330,,,,https://beautymaxllc.com,,,
"BEIJING YUNYAN TRADING CO.,LTD",Hall 11 / 11B 720,,,,https://gzjingmao.1688.com,,,
BELE MAKE UP ITALIA,Hall 8 / 8D 505,,,,https://belecosmetics.co,,,
BELLA OGGI,Hall 8 / 8E 410,,,,https://eurostylespa.com,,,
BELLE JARDIN,Hall 7 / 7B 400,,,,https://bjc.pl,,,
BELORDESIGN,Hall 11 / 11A 170,,,,https://belordesign.by,,,
BEST PRINT SERVICES SA,Hall 8 / 8E 800,,,,https://scribd.com,,,
BHN S.R.L,Hall 3 / 3E 730,,,,https://bhn-cosmetics.it,,,
BIELENDA GROUP,Hall 7 / 7C 500,,,,https://scribd.com,,,
BIG LLC,Hall 3 / 3E 200,,,,https://scribd.com,,,
BINACCHI & CO,Hall 5 / 5C 240,,,,https://binacchi.com,,,
BIOESTHE SRL,Hall 3 / 3D 755,,,,https://bioesthe.com,,,
BIOSYL S.R.L.,Hall 3 / 3E 800,,,,https://biosyl.com,,,
BK PERFUME LLC,Hall 11 / 11A 125,,,,https://bk-uae.com,,,
BLOG SRL,Hall 8 / 8D 425,,,,https://blogsrl.it,,,
BLOOMSUN,Hall 11 / 11E 510,,,,https://shatail.com,,,
BNB GLOBAL / BODYNBODY,Hall 10 / 10A 220,,,,https://bodynbody.com,,,
BNC KOREA,Hall 2B / 2B 730,,,,https://bnckorea.co.kr,,,
BNV BIOLAB,Hall 2B / 2B 230,,,,https://bnvbiolab.com,,,
"BOSHING MOULD&PLASTIC (ZHU HAI) CO., LTD.",Hall 11 / 11C 620,,,,https://en.zhuhaibaoli.com,,,
BOSKO COSMETICS,Hall 7 / 7C 500,,,,https://bosko-cosmetics.com,,,
BOTTEGA VERDE SRL,Hall 3 / 3D 430,,,,https://bottegaverde.com,,,
BOUTIQUE BEAUTY STYLE PERFUMES,Hall 11 / 11B 130,,,,https://boutique-uae1.com,,,
BRASCARE COSMETICOS,Hall 3 / 3B 220,,,,https://brascare.co,,,
"BREATHE B INTERNATIONAL CO., LTD.",Hall 11 / 11E 410,,,,https://nardcare.co.kr,,,
BRECH LABORATORIOS,Hall 2B / 2B 650,,,,https://brechlaboratorios.com,,,
BRELIL SRL A SOCIO UNICO,Hall 3 / 3D 715,,,,https://brelil.it,,,
BRUDYLAB,Hall 2B / 2B 610,,,,https://brudylab.net,,,
"BRYZE CO.,LTD",Hall 3 / 3F 177,,,,https://bryze.kr,,,
BS PHARM KOREA,Hall 2B / 2B 315,,,,https://bsp-korea.com,,,
"BUFFMAN TECHNOLOGY (JIANGSU) CO., LTD",Hall 5 / 5F 240,,,,https://yh-bfm.com,,,
BUJAIRAMI TY LTD,Hall 11 / 11A 120,,,,https://bujairami.eu,,,
BUSH WELLNESS,Hall 8 / 8E 905,,,,https://dachawellness.com,,,
C.D. SRL,Hall 8 / 8D 615,,,,https://gerards.com,,,
C.L MEDISYS,Hall 2B / 2B 305,,,,https://clmedisys.com,,,
C.L.L.C. BY G.N. - TARA COMPANY LTD,Hall 9 / 9A 230,,,,https://cllcgn.com,,,
C.O.D. GROUP SRL,Hall 3 / 3D 750,,,,https://codgroup.it,,,
CACTUS AFRICA CO.,Hall 8 / 8E 925,,,,https://pripear.com,,,
"CANGZHOU FUTURE INDUSTRY CO.,LTD",Hall 11 / 11G 660,,,,https://butanegasvalve.com,,,
CARTACOR ITALIA SRL,Hall 3 / 3D 420,,,,https://cartacoritalia.com,,,
CECOSA,Hall 8 / 8E 915,,,,https://its-enough.com,,,
CELTHER POLSKA,Hall 7 / 7C 500,,,,https://celther.co,,,
CERIOTTI SRL,Hall 3 / 3D 745,,,,http://ceriotti.it,,,
"CHANGSHU CITY IKEDA COSMETICS PACKAGE CO.,LTD",Hall 11 / 11B 815,,,,https://ct-ikedacp.com,,,
"CHANGZHOU JASMINE PACKAGING CO.,LTD.",Hall 11 / 11H 159,,,,https://jascopack.com,,,
"CHOICE TECH CO.,LTD.",Hall 2B / 2B 960,,,,https://choicetech.kr,,,
CHRISTIAN ROS'S MILANO SRL,Hall 8 / 8D 630,,,,https://christianrossmilano.com,,,
CLEANEX TRADING (ONALT GROUP) TR NORTHERN,Hall 8 / 8B 500,,,,https://onaltgroup.co,,,
COMPROF MILANO,Hall 3 / 3D 825,,,,https://comprofmilano.it,,,
CONSORSIO PREMAX,Hall 3 / 3D 720,,,,https://premax.it,,,
CONSULATE GENERAL OF PAKISTAN,Hall 3 / 3E 410,,,,https://pakconsulateist.com,,,
CONSULATE GENERAL OF THE REPUBLIC OF INDONESIA IN ISTANBUL,Hall 8 / 8D 840,,,,https://archive.org,,,
COSM.O SRL,Hall 3 / 3E 500,,,,https://cosmohairproduct.it,,,
COSMED,Hall 7 / 7C 455,,,,https://cosmed.fr,,,
"COSMETEX ROLAND CO., LTD.",Hall 2B / 2B 105,,,,https://c-roland.co.jp,,,
COSMETICA ALGERIA,Hall 4 / 4F 160,,,,https://gea-dz.com,,,
COSMETICSLAB MILANO SRL,Hall 3 / 3E 700,,,,https://cosmeticslab.it,,,
COSMIVA SRL,Hall 8 / 8D 510,,,,https://cosmiva.it,,,
"COSMORE PLUS CO., LTD",Hall 7 / 7D 870,,,,https://cosmoreplus.com,,,
CREATICON D.O.O.,Hall 2B / 2B 135,,,,https://scribd.com,,,
CRISSENZA SRL,Hall 11 / 11H 120,,,,https://crissenza.net,,,
CSV PHARMACEUTICALS INDIA PVT LTD,Hall 10 / 10C 225,,,,https://csvpharmaceuticals.com,,,
CV. AMORE KREASI NATURAL / PT. AMORE NATURA PERSADA,Hall 8 / 8D 840,,,,,,,
DAFNE ITALIAN PHILOSOPHY SRL,Hall 8 / 8D 420,,,,https://glielementi.it,,,
DALTON COSMETICS GMBH,Hall 7 / 7B 610,,,,https://dalton-cosmetics.com,,,
DAVID RIZESCU BEAUTY FZE,Hall 10 / 10A 103,,,,https://davidrizescubeauty.com,,,
DAĞLI TRADING LTD. TR NORTHERN,Hall 8 / 8B 430,,,,https://dagli.co,,,
DEA PROJECT / SAUNA ITALIA,Hall 3 / 3D 500,,,,https://saunaitalia.com,,,
DEDC,Hall 7 / 7C 710,,,,https://dedc.gov.ae,,,
DEEPAK INDUSTRIES,Hall 3 / 3F 302,,,,https://thedeepakindustries.com,,,
DELUXE BEAUTY CO LTD,Hall 7 / 7D 810,,,,https://deluxebeauty.co.kr,,,
DEMEI INDUSTRIAL LIMITED,Hall 11 / 11H 153,,,,https://win-pack.com,,,
DERBE SRL,Hall 3 / 3E 715,,,,https://derbe.it,,,
DIEGO DALLA PALMA PROFESSIONAL,Hall 3 / 3D 660,,,,https://diegodallapalmapro.com,,,
DISNA SA,Hall 2B / 2B 515,,,,https://naturvital.com,,,
DIVINITY PARFUM,Hall 8 / 8D 435,,,,https://luxuryaparfum.it,,,
DKHONI BY DKHOON AL EMIRATIA,Hall 8 / 8E 200,,,,https://dkhoonemirates.com,,,
DME AEROSOL,Hall 5 / 5F 170,,,,https://dme-aerosol.ru,,,
DOMIKC LLC,Hall 3 / 3E 200,,,,https://scribd.com,,,
"DONGGUAN BAOPING COSMETICS CO., LTD.",Hall 2B / 2B 815,,,,https://dgbaoping.com,,,
"DONGGUAN PENGCHENG JES PACKAGING PRODUCT CO., LTD.",Hall 11 / 11B 740,,,,https://jesindustrial.com,,,
