company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
ALTHAE NUTRITION,C15,,,,,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
ANIMO,F17,"On développe des machines à café et des équipements pour tous ceux qui veulent servir un bon café. Faciles à utiliser, fiables et durables — avec des options intelligentes et un entretien facile. Car un café parfait commence par une machine qui fait le job. Pour ça, on combine des années d’expérience avec le savoir-faire, l’innovation et le dévouement.",,,https://animo.eu,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
BGM Concept,F36,"Notre agence s’adresse principalement aux professionnels de la distribution automatique, notamment pour l’agencement et la sécurisation de leurs espaces Vending. Nous fabriquons vote habillage distributeur automatique ou votre cage de protection distributeur automatique sur mesure. Nous concevons votre espace détente, votre salle de pause ou encore vos cafétérias. Aussi, notre bureau d’études vous accompagne sur tout types de concepts ou de blindage pour distributeur automatique.",,,https://bgm-concept.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
Biscuiterie JL Brichard,,,,,https://jlbrichard.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
Boost inc,F35,,,,https://boostinc.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
BRITA,F21,"BRITA, l'acteur invisible mais indispensable pour vous.",,,https://brita.fr,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
BWT water+more,F8,,,,https://bwt-wam.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
COMPOSANTS DIFFUSION,C14,,,,https://composantsdiffusion.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
Covim,F13,,,,,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
CUPEMBAL,F11,"Entreprise familiale. Depuis plus de 30 ans, nous sommes spécialisés dans la fourniture de gobelets pour la distribution automatique horeca et fontaines à eau. Nous proposons également les accessoires consommables autour de la distribution automatique (Spatule, Agitateur, couvercle gobelet…)",,,,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
Danone,,,,,https://danone.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
DARWIN IO,F33,,,,https://darwin-io.fr,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
DISTRI3R,F7,"Distri3R, filiale du D-Groupe, est spécialisée dans le reconditionnement industriel de produits techniques et high-tech. Grâce à ses équipes expertes et à 8 500 m² d’ateliers, Distri3R accompagne les industriels et acteurs du retail dans la seconde vie de leurs équipements : diagnostic, réparation, tests qualité et remise sur le marché. Avec 70 techniciens et 12 000 équipements reconditionnés par an, Distri3R est un acteur engagé de l’économie circulaire, alliant performance, traçabilité et réduction de l’empreinte environnementale. Soutenue par la force du D-Groupe, Distri3R propose une offre complète et intégrée : collecte, transport, logistique et reconditionnement.",,,,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
DISTRILOG,F14,"Solutions agiles pour la mobilité dans les métiers de la Distribution Automatique, du SAV, de la Livraison & facturation, de la Force de vente",,,https://distrilog.net,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
ECKES GRANINI,F30,,,,https://eckes-granini.fr,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
FLEX PACKAGING,F42,,,,https://unifiedflex.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
FLOWER POWER,F20,,,,,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
Forezia Snacking,,,,,https://foreziasnacking.fr,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
GWS France,F18,"Leader sur le marché de la fontaine à eau depuis 20 ans en Italie, GWS vient de créer sa filiale française. Une opportunité pour renouveler votre offre fontaine avec des produits différents : Plus compacts, plus design et avec l'eau gazeuse de série. Nos atouts/ nos différences : ✅Un design simple et efficace ✅Une expertise reconnue sur l'eau gazeuse ✅Une conception qui vient du terrain. Simple à utiliser, simple à maintenir. ✅Une équipe experte et expérimentée ✅Un stock à Valence (fontaines, pièces et consommables) pour plus de réactivité GWS produit plus de 10 000 fontaines par an pour tout type d'environnements.",,,https://gws-france.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
Huhtamaki France,F29,,,,,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
KER CADELAC marque commercial de Paticeo,,,,,https://kercadelac.fr,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
LA FRENCH S'IL VOUS PLAIT,,,,,https://lafrenchsvp.com,"73 Boulevard de la Croisette, 06400 Cannes, France",Cannes,
