company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
AB PRINTPACK MACHINERY,,,info@abprintpack.in,-8595460927,https://abprintpack.in,Manufactured By AB PrintPack Machinery · Country of Origin India · Manufacturer Details S-21 B Lane No 12 Anand Parbat Industrial Area New Delhi 110005,,
All India Federation of Master Printers,,,,,https://aifmp.net,India,,
academi a.,,,,,https://academiaindia.com,India,,
aaryavrat packaging solutions pvt ltd,,,,08045479167,https://aaryavratpapers.in,"Pune, Maharashtra, India",,
Acme Rolltech Pvt Ltd.,,,info@acmerolltech.com,+91 99250 08300,https://acmerolltech.com,Acme Rolltech Pvt,,
Alteem Tech Private limited,,,,+91 98241 93332,https://alteem.com,India,,
Alliance Printech,,,sales@allianceprintech.com,9.19655E+11,https://allianceprintech.com,Alliance Printech,,
Apex Asia Pacific Private Limited,,,,+91 1800 200 3676,https://teknorapex.com,"Nashik, Maharashtra, India",,
Arrow Digital Pvt. Ltd,,,hr@arrow-digital.com,+91 70411 26568,https://arrow-digital.com,India,,
Apsom Infotex,,,info@apsom.com,+91 120 489 7992,https://apsom.com,"Apsom Infotex ltd Information ; Founded, 1993 ; Address, A - 53, Okhla Industrial Area, Phase - II,, New Delhi, Delhi 110020, IN ; Phone, +91 120 489 7992",,
APL Machinery,,,firstname@abhishekprintline.com,+91-98110 16182,https://aplmachinery.com,India,,
AUM INTERNATIONAL TAPES & LABEL,,,,,https://auminternationaltapes.com,India,,
Aum Label & Machinery,,,,,https://printechnosolutions.com,"Ahmedabad, Gujarat, India",,
ADDON FILMTECH PVT.LTD.,,,info@addonfilmtech.com,+91%209825311899,https://addonfilmtech.com,India,,
Authentication Solution Providers’ Association (ASPA),,,info@aspaglobal.com,-9319439939,https://aspaglobal.com,"Authentication Solution Providers' Association (ASPA) Secretariat Office: 521, 5th Floor, Ansal Tower 38, Nehru Place 110019, New Delhi, India",,
Bostik India,,,,,https://bostik.com,"Bostik India Private Limited Kalpataru Prime, Unit 3 & 4, Level 4, Road No",,
Capri Coating Solutions Pvt Ltd,,,info@capricoatingsolutions.com,+91 98200 48822,https://capricoatingsolutions.com,"Mumbai, Maharashtra, India",,
Bipin Offset Limited,,,info@bipinoffset.com,9.19909E+11,https://bipinoffset.com,"Registered address of BIPIN OFFSET LIMITED is 1205, SWATI CRIMSON AND CLOVER, NR SHILAJ CIRCLE SHILAJ, DASKROI,AHMEDABAD,Ahmedabad,Gujarat,380059-India",,
Atul Paper _,,,digitalmarketing.oddy@gmail.com,,https://oddyindia.com,India,,
Canpac Veritech Solutions Pvt Ltd,,,prashant@veritech.in,+91 120 450 3300,https://veritech.in,India,,
BW Converting,,,,,https://baldwintech.com,United States,,
Chirag P. Nakrani,,,,,https://pvntechnosystems.com,India,,
Cloudswood Technologies,,,,,https://cloudswood.net,"Contact Us · Cloudswood Technologies Pvt Ltd · Jagadeesh K · 39, 2nd C Cross, Dorasanipalya Industrial Area Bilekahalli, Bengaluru, Karnataka - 560076, India",,
Convertech Equipment Pvt Ltd,,,info@convertechblades.com,+91 11 40574500,https://convertechblades.com,Convertech Equipment Pvt,,
Cosmic Trends Pvt Ltd.,,,jane@cosmictrends.in,,https://rocketreach.co,Cosmic Trends Pvt,,
Cheshire Hot Melt Adhesive,,,,18150086985,https://cheshires.goldsupplier.com,China,,
Chiripal Poly Films,,,films.marketing@cpfl.co.in,9.1797E+11,https://chiripalpolyfilms.in,"The registered address of CHIRIPAL POLY FILMS LIMITED is 109/110, PENUNSULA CENTRE DR",,
Creative Graphics,,,,,https://creativeflexoplates.com,(Formerly Known as Creative Graphics Solutions (I) Pvt,,
ARMOR-IIMAK,,,,90508 44105,https://armor.fr,France,,
Cosmo Films,,,enquiry@cosmofilms.com,9.11149E+11,https://cosmofilms.com,India,,
Cooluv Technology Inc.,,,cooluv@cooluv.cn,+86-21-5270 8390,https://en.cooluv.cn,China,,
Dee Dee Label,,,,311444153199,https://sticker-paper-label.com,India,,
CROSSPOINT PARTNERS,,,export@xptpartners.com,+1 (724) 730 8063,https://xptpartners.com,India,,
Delhi Printers Association,,,,,https://delhiprinter.org,India,,
DCM Group,,,,0141375270,https://dcm.fr,France,,
DIC INDIA LIMITED,,,sales@dic.co.in,91-120-636,https://dic.co.in,"Registered address of DIC INDIA LIMITED is UB 03, MANI TOWER 31/41, BINOVA BHAVE ROAD , Kolkata, West Bengal, India - 700038",,
DCODE,,,support@dcodeinternational.in,+91 9999571649,https://bestbarcodeworld.com,"Sahibabad, Ghaziabad, Uttar Pradesh - 201010",,
"DONGGUAN GUANGLUN INDUSTRIES CO.,LTD",,,,,https://guanglunpaper.en.alibaba.com,China,,
DNP Imagingcomm,,,,+31 23 5533080,https://dnpribbons.eu,Netherlands,,
Chemline India,,,info@chemlineglobal.com,+91 (11) 27555991,https://chemlineglobal.com,India,,
Earth Tekniks,,,info@earthtekniks.com,,https://earthtekniks.com,India,,
DuPont,,,,,https://dupont.com,United States,,
Domino,,,,22417190,https://dominodigitalprinting.com,Domino's Pizza,,
Emkay Techno Chem,,,namit@emkay-group.in,,https://in.kompass.com,India,,
Empowera Technorganics,,,info@empowera.net,+91-11-4513 1419,https://empowera.net,"Empowera Technorganics Pvt Ltd · 42, First Floor, Kailash Enclave, Pitampura, New Delhi, India - 110034 · +91-11-4513 1419 · +91-9810991666 · info@empowera",,
Elkem South Asia Pvt Ltd,,,,,https://elkem.com,India,,
ELTECH ENGINEERS PVT LTD - CORONA | STATIC| PLASMA,,,sales@eltechengineers.com,+91 22 2847 4847,https://eltechengineers.com,"Mumbai, Maharashtra, India",,
Epson India,,,ewaste@eid.epson.co.in,022-40174693,https://epson.co.in,India,,
Enercon Asia Pacific Systems,,,,+91.9629.000358,https://enerconasiapacific.in,Enercon Asia Pacific Systems Pvt,,
DR OPTICAL DISC INDIA PVT LTD,,,,01141833602,https://print3.in,India,,
Erhardt+Leimer,,,info@erhardt-leimer.com,49 821 24350,https://erhardt-leimer.com,Germany,,
Flueron Inks P,,,,+91 9324038505,https://rocketreach.co,India,,
Finetechww Global India PVTLTD,,,,20 8052 0660,,India,,
FALCON PAPERS AND PLASTICS,,,support@leadiq.com,83-2531366,https://leadiq.com,India,,
Esko,,,info.eur@esko.com,0475 099 565,https://esko.com,Belgium,,
"Foshan Chuangyuan Intelligent Technology Co., Ltd",,,Info@goodiuv.com,+86 18811846202,https://goodiuv.com,China,,
Galvomaster Private Limited,,,,+91 8792827285,https://thepackman.in,"New Delhi, Delhi, India",,
GALLUS | HEIDELBERG,,,,,https://gallus-group.com,Switzerland,,
Garware Hi-Tech Films Ltd.,,,,-3353,https://screener.in,Full Time Employees · Fiscal Year Ends · Sector · Industry · Recent News · Garware Hi-Tech Films Ltd (BOM:500655) (Q1 2027) Earnings Call Highlights: Record 30%,,
Flint Group Packaging Solutions,,,,,https://flintgrp.com,United States,,
GEW EC LIMITED,,,,1737 824 500,https://youtu.be,United Kingdom,,
GJ Papers PVT. LTD,,,info@indusbelts.com,7496911146,https://labeltacindia.com,Your Partner in Precision Labeling Solutions,,
Graphic Solution Providers,,,hi@tracxn.com,,https://tracxn.com,Graphic Solution Providers Pvt,,
GLOBAL GRAPHICS MACHINERIES,,,,,https://globalgraphicsindia.com,"Global Graphics Machineries Pvt corporate office is located in 1106 Galleria Towers Dlf City, Gurgaon, Haryana, 122001, India",,
"FINJET CHEMICAL INDUSTRIES,.Ltd",,,,,https://finjetchemical.com,China,,
Holostik India,,,marcom@holostik.com,9905-124-124,https://holostik.com,India,,
"Guangzhou Zhilian Internet of Things Technology Co., Ltd.",,,,,https://gzzliot.com,China,,
IEEC Power Electronics Pvt Ltd,,,,9.12242E+11,https://ieecpbj.com,India,,
Huber Group India,,,,,https://hubergroup.com,"Huber Group India Pvt Ltd, Vapi, Gujarat, India",,
Indas Analytics Pvt. Ltd,,,,,https://indusanalytics.biz,India,,
"Guangdong Youhua New Material Technology Co.,Ltd",,,,-88882895,https://youhualabel.com,China,,
Inkstream Colour,,,,28949400,https://registrationwala.com,India,,
"Guangdong YOZHO Technology Co., Ltd.",,,sales@yozho.com,20 8052 0660,https://yozho.com,"Huizhou, Guangdong, China",,
Jesons Industries,,,info@jesons.net,91-22-66515253,https://jesons.net,India,,
IPP,,,,(866) 973-3131,https://ipp.gov,India,,
JANDU ENGG. WORKS,,,support@gulfyp.com,91) 9310121266,https://indiayellowpagesonline.in,India,,
Innovative Flexotech,,,info@flexo.co.in,+91 9824096180,https://flexo.co.in,India,,
KANARA PACKAGING,,,,+91 9833518564,https://kanarapackaging.com,India,,
IST Metz India Private Limited,,,info@ist-uv.com,49702260020,https://ist-uv.com,IST METZ India Private Limited,,
Jindal SMI Coated Products,,,info.mumbai@jindalgroup.com,+91 22 4204 8000,https://smicoatedproducts.com,India,,
Keyway Sales Enterprises,,,sales@keywaysales.com,+91 96636 93355,https://keywaysales.com,"Keyway Sales Enterprises corporate office is located in Good Earth City Centre Sector 50 301-302 Fl 3, Gurgaon South City Ii, Haryana, 122018, India",,
Kiran consultants,,,,,https://flexibiz-erp.com,India,,
K K CHEM INDIA PRIVATE LIMITED,,,in_marketing@greatplacetowork.com,19999 20000,https://greatplacetowork.in,"K K Chempro (India) Private Limited shares common directorship with Insai Chemplast Private Limited, K K Chem India Private Limited",,
KATPOT SYSTEMS,,,katpotsystem@gmail.com,8806296483,https://katpotsystems.com,India,,
Kurz India Pvt.Ltd,,,sales@kurz.in,+91 120 6912700,https://kurzin.com,KURZ (INDIA) PVT,,
Kapoor Imaging Private Limited,,,,9.18044E+11,https://kapoorimaging.com,Registered address of KAPOOR IMAGING PRIVATE LIMITED is NEW NO,,
LUCID IMAGING PVT LTD,,,info@lucidimaging.in,08022448252,https://lucidimaging.in,India,,
KYOCERA ASIA PACIFIC INDIA PRIVATE LIMITED,,,,,https://en.52wmb.com,"Registered address of KYOCERA ASIA PACIFIC INDIA PRIVATE LIMITED is A-83, OKHLA PHASE-2 , NEW DELHI, Delhi, India - 110020",,
LUMEN PERCEPTIONS PRIVATE LIMITED,,,,+91 8792827285,https://lumenperceptionspvtltd.godaddysites.com,"Bengaluru, Karnataka, India",,
M/S. COAT IQ LLP,,,,,https://coatiq.in,India,,
Lintec,,,,31-20-673-3566,https://lintec-global.com,Netherlands,,
M -Tech Innovation Ltd,,,,0389-2316080,https://transport.mizoram.gov.in,India,,
Mario Industries Pvt Ltd,,,,,https://mariotapes.com,India,,
Marketing INF,,,,,https://emerald.com,India,,
Martin Automatic,,,webmaster@martinautomatic.com,+44 1482 666287,https://martinautomatic.com,Send them here,,
MANNAT ERP PVT LTD,,,bjoshi@mannaterp.in,9.19587E+11,https://mannaterp.in,"Address : Mannat Erp Pvt Ltd C-603, Signature-2, Sarkhej Â€“ Gandhinagar Hwy, Makarba, Ahmedabad Ahmedabad :382210",,
Manish Packaging Pvt Ltd,,,info@manishpackaging.com,9.19904E+11,https://manishpackaging.com,"Manish Packaging Pvt. Ltd. 902, 9th Floor, Rajhans Montessa, Dumas Road, Magdalla, Surat - 395007, Gujarat, India. Phone +91 99040 18699 , +91 90999 44535 E-mail info@manishpackaging.com , sales@manishpackaging.com",,
LUCKY GRAPHICS,,,billing@luckygraphics.in,022-68525674,https://luckygraphics.in,India,,
