company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
2A Roastery,,,,info@2aa.sk | +421 908 604 640,,"Kukorelliho 24, 066-01 Humenné, Slovakia",,
2x3 S.A.,,,,(+48) 95 784 11 00,https://2x3.pl,"Słoneczna 3, 73-231 Krzęcin, Poland",,
Acoris Ltd,,,,info@acoris.lt | +37065536062,https://acoris.lt,"Raudondvario pl. 106, 47182 Kaunas, Lithuania",,
ADLER Sp. z o.o.,,,,handlowy@adlereurope.eu | +48 664 482 298,https://adlereurope.eu,"Ordona 2a, 01-237 Warszawa, Polska",,
AMBRE srl – LIVIO BRUNI,,,,info@bruniwines.com | +39 0461 606065,https://bruniwines.com,"Via Cesare Taiti 18b, 38017 MEZZOLOMBARDO (TN), Italy",,
Balviten Glutenfree Spółka z o.o.,,,,biuro@balviten.com | +48 32 220 14 14,https://balviten.com,"Fabryczna 5, 41-100 Siemianowice Śląskie, Polska",,
Benugo sp. z o.o. sp. k.,,,,info@benugo.pl | 343000052,https://benugo.pl,"Wręczycka 268, 42-202 Częstochowa, Polska",,
BRINTONS AGNELLA,,,,biuro@agnella.pl | +33 616 180 677,https://agnella.pl,"Ulica Generała Władysława Andersa 42, 15-113 Białystok, Poland",,
Culligan Polska Sp. z o.o.,,,,telesprzedaz@culliganwater.pl | 22 735 52 00,https://culliganwoda.pl,"Działkowa 56a, 02-234 Warszawa, Polska",,
Datecs-Polska Sp. z o.o.,,,,datecs@datecs.pl | +48 22 868 10 51,https://datecs.pl,"Drukarska 1, 05-090 Raszyn-Jaworowa, Polska",,
DE NOVO II PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE,,,,biuro@denovo.com.pl | 6771016634,https://denovo.com.pl,"Nad Drwiną 8b, 30-741 Kraków, Poland",,
DEZAL-PRO S.A.,,,,info@dezal.com.pl | 695747898,https://dezal.com.pl,"PIOTRA SIEDLECKIEGO 11, 39-460 Nowa Dęba, Polska",,
Domowe Sanatorium Sp. z o.o.,,,,kontakt@kuvings.pl | 85 744 66 77,,"Białostocka 50, 16-010 Wasilków, Polska",,
DORA METAL Sp. z o.o.,,,,handlowy@dora-metal.pl | 67 255 20 42,https://dora-metal.pl,"Chodzieska 27, 64-700Carnków, Poland",,
Ecolab Sp. z o.o.,,,,receptionkrakow@ecolab.com | 12/2616100,https://ecolab.pl,"Opolska 114, 31-323 Kraków, Polska",,
Elavon,,,,1-800-725-1243,https://elavon.com,"Puławska 17, 02-515 Warszawa, Poland",,
Eurial Polska Sp. z.o.o.,,,,eurial@eurial.pl | 12 410 00 84,https://eurial.pl,"Kuklińskiego 17, 30-720 Kraków, Poland",,
Explanator Iwona Dehina,,,,wieslaw.polakiewicz@trybuszon.pl | +48 601 747 000,,"Kościelna 30 lok. 59, 60-538 Poznań, Polska",,
FABRYKA CUKIERNICZA KOPERNIK SPÓŁKA AKCYJNA,,,,kopernik@kopernik.com.pl | +48 56 659 17 06,https://kopernik.com.pl,"Żółkiewskiego 34, 87-100 TORUŃ, Poland",,
"Fabryka Maszyn i Urządzeń Gastronomicznych ""KROMET"" Sp. z o.o.",,,,handlowy@kromet.com.pl | +48 68 383 53 24,https://kromet.com.pl,"Pocztowa 30, 66-600 Krosno Odrzańskie, Poland",,
Fanex Sp. Z O.O.,,,,biuro@fanex.pl | +48 22 47 10 444,https://fanex.pl,"Radonice 5 A, 05-870 Błonie, Polska",,
Fattorie del Duca Sp. z o.o.,,,,chiara@delduca.pl | +48 12 285 16 40,https://delduca.pl,"Ekranowa 2, 32085 Modlniczka, Polska",,
FLASHCOM SP. Z O.O.,,,,biuro@flashcom.pl | +48 12 311 02 30,https://flashcom.pl,"IGOŁOMSKA 1, 31-983 KRAKÓW, Polska",,
GARDENIA FOOD,,,,lukasz@gardeniafood.com | +48 32 447 88 08,https://gardeniafood.com,"Polne Domy 90, 43-200 Pszczyna, Poland",,
Grupa Zakupowa PLUS,,,,kontakt@gzplus.pl | 690 282 114,https://gzplus.pl,"Porąbki 91/1, 35-317 Rzeszów, Polska",,
Hotele i Gastronomia Plus Sp. z o.o.,,,,kontakt@hoteleplus.pl | +48 797 484 283,https://hoteleplus.pl,"Porąbki 91/1, 35-317Rzeszów, Poland",,
Karpiński Prawdziwe Lody,,,,m.sanchez-galban@prawdziwelody.eu | +48 886 183 167,https://prawdziwelody.eu,"Kępska 7, 45-129 OPOLE, Poland",,
KOLMAR Kolasa Ariel,,,,biuro@kolmar.net.pl | +48 33 873 72 34,https://kolmar.net.pl,"Floriańska 74, 34-100 Tomice, Polska",,
LILLY MILLY ZERO,,,,info@lillymilly.pl | 604 794 166,https://lillymilly.pl,"Rynek 2, 43-190 Mikołów, Poland",,
LSI Software S.A.,,,,info@lsisoftware.pl | +48 42 680 80 00,https://lsisoftware.pl,"ul. Przybyszewskiego 176/178, 93-120 Łódź, Polska",,
Materasso Slovakia sro,,,,materasso@materasso.sk | +421 907 028 155,https://materasso.sk,"Oravske Vesele 612, 029 62 Oravske Vesele, Slovakia",,
Mundivie S.A.,,,,agnieszka.jawor@mundivie.com | +48338152630,https://mundivie.com,"Astrów 62, 43-385 Jasienica, Polska",,
NETROS MAREK ROSNER,,,,marek.rosner@netros.com.pl | +48 510276278,https://netros.com.pl,"Na Leszczu 11, 30-376 Kraków, Polska",,
Odra Group Sp. z o. o.,,,,biuro@odragroup.pl | 8971963202,https://odragroup.pl,"Św. Mikołaja 8/11, 50-125 Wrocław, Poland",,
ORBICO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,,info.pl@orbico.com | 32 325 61 00,https://lp.orbico.pl,"Salsy 2, 02-675 Warszawa, Polska",,
PODERE PUELLAE S.S.A,,,,podere.puellae@gmail.com | +39 338 624 5508,https://poderepuellae.it,"STRADA TEVERINA 5h, 01100 VITERBO, Italy",,
Polskie Wydawnictwa Specjalistyczne ProMedia Sp. z o.o.,,,,biuro@pws-promedia.pl | +48 22 333 88 14,https://pws-promedia.pl,"Paca 37, 04-386 Warszawa, Polska",,
Pralus - Wyposażenie Pralnia,,,,info@pralus.pl | +48 795519000,https://pralus.pl,"Bieżanowska 102C, 30-826 Kraków, Polska",,
Restaurant Management i Hotel Management,,,,redakcja@horeca-management.pl | 663396650,https://restaurant-management.pl,"Plac Andersa 1, 61-898 Poznań, Polska",,
Resto Quality Sp. z o.o.,,,,info@restoquality.pl | 12-307-06-72,https://restoquality.pl,"Zamknięta 10/1,5, 30-554 Kraków, Polska",,
Roastelier by Nescafé - Nestlé Professional,,,,data.privacy@pl.nestle.com | 800 174 902 800,https://nestleprofessional.pl,"Domaniewska 32, 02-672 Warszawa, Polska",,
S.C.E.A. Château La Marzelle,,,,info@lamarzelle.com | +33 (0)5 57 55 10 55,https://lamarzelle.com,"3341 Route de Libourne, 33330 Saint-Emilion, France",,
