company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
"""CERTO"" SP. Z O.O.",D7,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"""EURO STYLE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",D46,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"""HAKO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",C63,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"""MAJMASZ"" MAJSTEREK SP J.",C47,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"""MIDAR""P.W. DARIUSZ MIKINA",A9,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"""PTAK"" S.A.",D65,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"""SANTEX24"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",E1,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"""STRIMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",B27,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
A Grupė,C46,,,,https://agrupe.lt,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
A-Tex Sp. z o.o.,B5,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Adamex Druk,D24,,,,https://adamexdruk.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Aimen Logistics International & Traders,A66,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
ALLCOMP POLSKA,B28,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Alubest,D73,,,,https://alubest.pl,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Ambasada Indonezjii w Polsce,A37,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
ANDRA,E7,,,,https://semcomaritime.openiam.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
ARC Buttons,E2,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
BAKAN TEX FE LLC,F39,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
BALA DARIUSZ DB-TEX CORP.,D20,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
BANASZCZYK MASZYNY SZWALNICZE,C56,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
BIAMAK A.E.,B6,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
BLUE TREE CREATIONS,A49,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
BOSMANN,B2,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Color Invest Anna i Stefan Derędowscy,E9,,,,https://colorinvest.com.pl,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
COLORAMIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,D48,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
CONTEC,D15,,,,https://milliken.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
DAECHUN CO. LTD.,C61,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
DB RENTAL,D42,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
DEEM CONCEPT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,A27,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
DIAS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,C27,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
ELAVON,B22,,,,https://elavon.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
elmax,A47,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
EMB SYSTEMS,C1,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
ETIQ,B0,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
EURO LINUM POLSKA,E12,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
FABRYKA GUZIKÓW ''MUCHA'' MARCIN MUCHA,F2,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Fast Tony,B24,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Fibro - Lab Sp. z o.o.,A6,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Geartex sp. z o.o,B8,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
GVF,A19,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Himmeltek,E19,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Honorowy Konsulat Generalny Republiki Turcji w Łodzi,E27,,,,https://konsulathonorowyturcji.pl,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Ifantourgia Kritis PC,F3,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
In-Pol-Ex,F40,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Italian Fair Service,A22,,,,https://italianfairservice.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Jointak,B34,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Juan Boluda,C39,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
KBK,C33,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"KBTS CO., LTD.",A29,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
KONEKT-BIS TKANINY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,B16,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Lanificio Guasti srl,D5,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
LASERY.BIZ,A28,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
LEMIKO Ewa Wróblewska,B10,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Lemteks Kumas,A5,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"LLC ""HEAT ANSOR""",F37,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Lorenzo,A21,,,,https://lorenzouomo.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
MAGAM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,D16,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
MAR-POL Marianna Różańska,F4,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Marand,C43,,,,https://travelocity.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Marco Tex Sp. z o.o.,C23,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Mirafo,B9,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Mirwal,D2,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Mistral-elast sp. z o.o.,C26,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
MS Dodatki Krawieckie,C20,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
NEELAM'S INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,D43,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Nikoplex Co.,F1,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
ORIENT FASHION MANISH RAJPAL,C15,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
PASSAN,E17,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
PH-TECHNIC,C60,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Polexim GmbH,A7,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Politechnika Łódzka,A25,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
PPHU Jakub Wendler,A2,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
PPUH Martex Sp. z o.o.,E4,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Prima-Tex,D28,,,,https://prima-tex.de,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Printomoda - drukowanie na tkaninach,C22,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
PROCOM AUTOMATION GMBH,E10,,,,https://procom-automation.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Promesa P.H.U. Zbigniew Misztela,D44,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Pronet Krzysztof Kępka,A1,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
PRYM FASHION POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,C65,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Qaswa Textile Services,A20,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Rasor Elettromeccanica S.r.l.,,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
RUDE sp. z o.o.,B20,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Rudholm,C9,,,,https://rudholmgroup.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
RV Leather SRL,D45,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Sapor Textile,C28,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Seamio & Project Brand,E11,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Semaco,C48,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"Shanghai Gowin Accessories Co ., ltd",A45,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Shiro Poland,D40,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
SICO,D9,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Sieć Badawcza Łukasiewicz - Instytut Włókiennictwa,A26,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
SOFTEX MEHMET DEGIRMENCI,A3,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
SOLIY GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,D10,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
SOPP Packaging,D6,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
SPLOT-PAS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,C5,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Sps Polska,E15,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
SPS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,E15,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
STOFFALL 2.0 S.r.l,D78,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Stowarzyszenie Włókienników Polskich,A24,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Strefa Design Studio,C44,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
STYLISH KENTE FABRICS AND CLOTHING LIMITED (SKFC),F49,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Talha Tekstil,E6,,,,https://talhatekstil.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
TAWO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,E5,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
TC Kolor,C6,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
TELATER,C59,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
TEX SYSTEM,C2,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Thermopatch,B26,,,,https://thermopatch.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
TurkmenExpo,C73,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
UAB Linas LT,A23,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Urząd Marszałkowski Województwa Łódzkiego,A16,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
"Veletrhy Brno, a. s.",A40,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
VERONICA COLLECTION HURTOWNIA TKANIN,C19,,,,https://veronicacollection.com,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Vi Labels,F5,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Via Moda,D19,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
WALL Waldemar Frukacz,C24,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Wiler,D34,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
Woolstock P.S.A.,C41,,,,,"Ptak Expo Łódź, ul. Tuszyńska 72/74, 95-030 Rzgów, Poland",Rzgów,
