company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
A T Jeffrey Machinery,167,"AT Jeffrey Machinery Based in Blyth Bridge just outside Edinburgh and have been a Family Run Business for over 30 Years. We Supply New and Used Agri Machinery , Holding Dealerships for Malone , Newrock , M-Tec Trailers, LM Bateman, Ritchie and Walter Watson Plus Many More. We offer a Honest and Reliable Service to all our Customers old and new Why not Give us a call to discuss your next farm Investment?",,,,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
A.T. Best Handlers Ltd,127,"A.T. Best Handlers Ltd is one of Scotland’s leading suppliers of construction, agricultural and groundcare machinery. With depots across Scotland, we provide sales, hire, servicing and genuine parts for trusted brands including Manitou, Takeuchi, Husqvarna, STIHL and Iseki. Backed by experienced engineers and a customer-focused team, we’re committed to delivering reliable equipment, expert support and tailored solutions to businesses across a wide range of industries.",,,https://atbesthandlers.co.uk,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
Abbey Machinery,218,"Abbey Machinery is an agricultural technology company specialising in the manufacture of Total Cow solutions for farmers and contractors. The company focuses on Precision Diet Feeders, Slurry and Muck Handling equipment, low-emission slurry spreading solutions, grassland management machinery and related industrial equipment. Abbey operates from a custom built 110,000 square foot production, research and development facility located outside Nenagh, Co. Tipperary. Quality, innovation and customer focus drive every aspect of production at Abbey. The company embraces sustainability and digitilisation across all operations.",,,https://abbeymachinery.com,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
Aberdeen-angus Cattle Society,108,"Active since 1879, The Aberdeen-Angus Cattle Society is the regulator of Aberdeen-Angus cattle in the UK, ensuring provenance, quality, and progression of this iconic breed",,,https://aberdeen-angus.co.uk,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
ACT Ltd.,79,"National co-operative farm supply company offering fertilisers, feeds, minerals, forage seeds, animal health, silage wrap, twine, fuel and all major farm inputs. Good value, high quality, reliable products. Delivering across England, Scotland and Wales. Efficient service backed by expert independent technical advice.",,,,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
ADF Milking Ltd,75,"The award-winning Automatic Dipping & Flushing system from ADF Milking is the affordable automation add-on to any dairy parlour, no matter your parlour type, number of milking points or herd size. Improve cow health, reduce milking times and save labour with ADF.",,,https://adfmilking.com,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
ADM Agriculture,113,"ADM Unlock the power of Nature, providing access to nutrition worldwide. ADM Agriculture Ltd are a leading commercial marketing business, operating from offices throughout the UK. We offer a comprehensive people-based grain and oil seeds trading and marketing service to Scotland, whilst also offering a full compliment of seeds, plus fertiliser products and services to farmers. As well as providing an integrated supply chain to our UK assets in ADM milling and ADM oil seed crushing, we also supply a full range of Non-Grain Feed Ingredients to the agricultural livestock sector through our feed compounder and blender customers",,,https://adm-agri.co.uk,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
AG Products,57 & 92,AG Products manufacture award winning cubicle bedding dispensers and galvanised yard scrapers for all sizes of dairy farm.,,,,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
Agri-King Ltd,84,"Agriking Ltd is a specialist animal nutrition company dedicated to improving livestock health, performance and farm profitability. We provide scientifically formulated feed additives, enzymes, microbial solutions and tailored nutritional programmes for dairy and beef producers. With decades of research and industry expertise, Agriking works closely with farmers and nutritionists to maximise feed efficiency, support animal wellbeing and deliver sustainable, cost-effective results for modern livestock operations.",,,https://agriking.co.uk,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
Agri-linc Limited,188,"Agri-Linc is a family-owned business with a rich history in farming and agricultural machinery sales. Established in 1924 in Lincolnshire, we have been a trusted name in the industry for nearly a century. Since 1974, we’ve specialized in providing high-quality agricultural equipment, and in 2010, we launched the Agri-Linc brand to further expand our reach as a leading global supplier of farm machinery and parts. Today, we are proud to be a third and fourth-generation family business, continuing our legacy of service and reliability distributing key industry brands – Namely Proforge, Moore Unidrill, Hustler, Sumo, Bison, Ritchie and more.",,,https://agri-linc.com,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
Agri-lloyd,60,"Agri-Lloyd sells a wide range of nutritional supplements and complementary feeding stuff for dairy, beef and sheep.",,,https://agrilloyd.com,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
Agrii,65,"Agrii are a leading provider of agronomy services, technology and strategic advice, and provide farmers across the UK with unrivalled expertise and support. To do this, Agrii harnesses the latest research and innovations across crop protection, seed, fertiliser, and technology – all trialled and tested at their network of iFarms and technology centres. In working with your farming business, Agrii will ensure you meet today’s sustainable challenges with knowledge and confidence.",,,https://agrii.co.uk,"Royal Highland Centre, Ingliston, Edinburgh, EH28 8NB, United Kingdom",Edinburgh,
