company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
3F GmbH,307,"3F is developer and manufacturer of high-performance technical adhesive tapes and foams - independent and innovative. As such, 3F serves the building industry, automotive industry and processing industry for various applications. With its flexibility progress and outstanding manufacturing strength 3F offers advantages for the success of its business partners.",,,https://3f-northamerica.com,"Daimlerstraße 4-8, 73655",Plüderhausen,
ADESIA,810,"ADESIA is providing Building, Automotive, Medical, and Industrial sectors with responsible and customized technical tapes, from small to large-scale production. We have been developing solutions in collaboration with our clients, thanks to the flexibility of our tools, the diversity of raw materials, and the recognized expertise of our teams.",,,https://adesia.com,"243 rue de Chavanne, 69400",Arnas,
Akustifoam Teknik Sunger San. Tic . A.S.,217,"Akustifoam is a leading manufacturer of non-flammable polyurethane-based open-celled insulation foams, serving to automotive, HVAC, construction, and power generator industries. Leveraging our expertise, we produce premium double-sided waterborne acrylic self-adhesive tapes for laminating diverse insulation products.",,,,"Ortaköy Sanayi Bölgesi Harput Sok. No:8Selimpaşa / SİLİVRİ, 34590",İSTANBUL,
Alanto Limited,700,"Ramfoam are industry leaders in foam conversion, engineering precision inserts, custom packaging and reusable solutions for defence, aerospace, automotive and many more. ISO 9001, ISO 14001 and JOSCAR accredited, and Europe's largest stockist of the most innovative and varied grades in the market. This is what precision conversion looks like.",,,,"Units 21 & 23, Regal Drive, Walsall Enterprise Park, Walsall, WS2 9HQ, WS2 9HQ",Walsall,
ALEMO d.o.o.,632,"ALEMO is a global leader in development and manufacturing of extrusion lines and other converting machinery for foamed products. ALEMO supplied extrusion lines and other Equipment to market leaders in almost every part of the World – Europe, North & Latin America, Australia, India, Russia, Japan and Central Asia.",,,https://alemo.eu,"Mednarodni prehod 6, SI-5290",Šempeter pri Gorici,
Alessiohitech,221,"Alessiohitech started its activities in 1983 as an EPS machine manufacturer. Today, we are an Italian leading company in moulding and themoforming equioments, turnkey plants for expanded materials (EPS, EPP, ETPU) offering a wide portfolio of customizable solutions, energy saving and high efficiency oriented.",,,,"Via Torre, 15, 24030",Medolago,
"Anhui Yijiayi Technology Co., Ltd.",1001,,,,,,,
Aper S.r.l.,613,"Thanks to its considerable experience in the foam sector and aware of the needs of the companies producing mattresses, upholstery and insulation products, Aper s.r.l. designs and builds automated machines that efficiently solve any issues concerning bonding and matching, and optimize the entire production process.",,,https://apersrl.com,"Via Loredano Bizzarri 9/2, 40012",Calderara di Reno,
ASTORPLAST Klebetechnik GmbH,725,"ASTORPLAST Klebetechnik is one of the leading companies for self-adhesive products in Germany and Europe. For more than 60 years we have been producing individual pressure-sensitive adhesive solutions for almost all trade and industry sectors, like processing industry for various applications. Your tape - our passion!",,,https://astorplast.de,"Limesweg 19, 73553",Alfdorf,
ATP Adhesive Systems GmbH,825,"As a Henkel Group company, ATP Adhesive Systems complements Henkel's bonding and sealing portfolio with pressure-sensitive adhesive and heat-activated bonding solutions. With manufacturing and converting capabilities in Germany, USA and the UK, ATP supports customers across mobility, construction, electronics, medical and graphics markets through application-driven bonding solutions and engineering expertise.",,,https://atp-ag.com,"Sihleggstr. 23, CH-8832",Wollerau,
AVX Tapes,719,"AVX develops high-performance technical adhesive tapes for demanding industrial applications, with a strong focus on water-based acrylic PSA technology. Serving the automotive, white goods, construction, and insulation industries, we combine innovation, sustainability, and consistent quality to deliver reliable adhesive solutions to customers across more than 33 countries worldwide.",,,,"Akçaburgaz Mah., 20. Sk. AlKop Sanayi Sitesi/A8 Blok 11-12, 34522",İstanbul,
Berkosan A.S.,301,"We are manufacturing cross-linked polythene foam (XPE), non-cross-linked polythene foam (PE), polypropylene foam (PP), air bubble and with their all derivatives. We are the only manufacturer in Europe who manufactures all these four different types of goods under the same company.",,,,"Seba Ofis Bulvar Ayazaga Mah. Mimarsinan Sk. No:21 Kat:6 D.41 Sariyer, 344845",Istanbul,
Bestfoam SRL,210,"Bestfoam is a European manufacturer of industrial knives and distributor of specialized machinery for the foam, upholstery, and mattress industries. PUR Chemicals, part of our group, supplies high-quality raw materials and tailored formulations for the production and processing of flexible polyurethane foam.",,,https://bestfoam.ro,"305100 Buzias, 305100",Buzias,
BIKO Meccanica s.r.l.,321,"BIKO designs and manufactures systems for die- & kiss-cutting and converting flexible materials.Our markets are rubber and foam lamination, sponge cutting, adhesive processing especially for the electric mobility sector. Our lines handle everything from unrolling and laminating to die-cutting, packaging including the integration of vision systems and quality control technologies.",,,https://biko.it,"Via Pacinotti, 105, 30020",Pramaggiore (VE),
Bilsan Kaucuk Plastik San.Ve Tic. A.S,710,"Bilsan Eva Rubber Plastic Co. focuses on crosslinked foams. With over 40 years of experience on the production of Eva Foam, Neoprene Foam, Polyethylene Block Foam and EPDM foam, we are glad to introduce to our new new product ""Green Foam"" (%100 Recycled Polyethlene Foam.).",,,,"Karlıbayir Mah.Bayrak Cad.No:150, 34281",Arnavutkoy/ Istanbul,
BRIGHI TECNOLOGIE ITALIA,413,"Brighi design and manufacture: innovative machines for production of batch blocks of foam and rebonded foam for upholstery, home textile, bedding; shredding machines for foam recycle, blending, weighing and filling systems for pet beds, pillows, cushions, sofas and mattresses. Based in Italy, install and assist worldwide thousand of customers.",,,https://brighigroup.com,"Via E. Segré 13/15, 47122",FORLI,
BÄUMER,317,"The focus of Albrecht Bäumer GmbH & Co. KG is on special machinery for the PU industry. The intelligent construction of plant has been the company’s mission for already more than 80 years. Bäumer has about 350 employees worldwide for the development, construction and manufacture of a wide product range.",,,https://baeumer.us,"Asdorfer Strasse 96-106, 57258",Freudenberg,
Cardolite,432,"Manufacturer of polyols and non-ionic surfactants for PU rigid and flexible foam, offering unique performance benefits: fire retardancy, hydrolytic stability, high functionality and good reactivity. And as an added bonus, all based on cashew nutshell liquid with good bio-content and sustainable character",,,https://cardolite.com,"Wijmenstraat 21 K /2, 9030",Mariakerke,
Cashem Advanced Materials Hi-tech Co,110,"Cashem Advanced Materials Hi-tech Co.,Ltd.Zhejiang (hereinafter referred to as ""CASHEM""), was established in May 2010, registered capital 107 million yuan. It is the first national high-tech enterprise specializing in the development and production of high-performance polymethylacrylimide (PMI) structural foam and composite materials in China.",,,https://cashem-advanced-materials-hi-tech-co-ltd.imexbb.com,"Zhenxing Rd, East A Zone,Shangyu Industrial Park,Hangzhou Bay,Zhejiang Province,China, 312369",Shaoxing,
CellMat Technologies S.L.,514,"CellMat Technologies is an R&D company specializing in polymeric foams. Our scientific team supports industrial partners from formulation development to pilot-scale production using in-house facilities covering all major foam manufacturing technologies. We transfer specialized know-how in cellular materials to develop innovative products, optimize processes, and enhance our partners competitiveness.",,,https://cellmattechnologies.com,"Paseo de Belen 9A, 47011",Valladolid,
Cemet & Mebant Group,626,"Founded in 1968, Cemet is one of the leading companies of Turkiye’s adhesive tape industry. With their experience and expertise in various stages of adhesive tape production; from coating and converting to cutting and winding, they provide a wide range of adhesive tape products for our domestic and international partners.",,,,"Aydınlı Serbest Bölge Mah. 3. Sk Blok No: 5 Tuzla / İstanbul, 34956",Istanbul,
CETLAS KAUCUK VE PLASTIK SAN. TIC. LTD. STI.,200,"Çetlas, produces closed-cell rubber profiles and cellular polymers on 6000 m2 of closed area based in Istanbul-Turkey and serves on the national and international market. Our main products are cellular EVA foam, EPDM sponge profiles. Our capabilities allow us to manufacture our products in line with customer demands.",,,,"Akçaburgaz Mahallesi 137. Sokak No:11-11/A Esenyurt, 34522",Istanbul,
"Changzhou Guangyu Rubber&Plastic Technology Co.,Ltd",106,,,,,,,
"Changzhou YITENG Rubber And Plastic Products Co., Ltd.",127,,,,,,,
Chinese Pavilion,1100,,,,,,,
Chroma ATE Europe,1134,"Founded in 1984, Chroma ATE Inc. is a global leader in precision measurement and intelligent automation. We empower innovators across industries like energy storage, electric vehicles, AI, and semiconductors by providing advanced testing solutions and trusted partnerships. Chroma’s mission is to enable safer, smarter, and more reliable technologies worldwide.",,,https://chromaate.com,"Morsestraat 32, 6716 AH",Ede,
CLEANING INDUSTRIALE SAS,726,"Cleaning Industriale s.a.s. Acustic Solutions is Tier 1 of the leading Automotive OEMs and a supplier to the world's leading tier 1s. It is engaged in foam processing through cnc cutting, adhesive bonding, laminating, precision kiss cutting systems. IATF 16949:2016 certified, it guarantees the highest quality processes and related controls.",,,,"Via Massimo D'Antona, 31, 10040",Rivalta di Torino,
CMC CONVERTING MACHINERY CEVENINI SRL,400,"Engineering, manufacturing and marketing of Automatic Log Slitters and Log Winders for adhesive tapes, foam tapes, plastic films, cloth, protective films, non-woven, paper, fiber reinforced tapes, roofing materials, etc.",,,,"Via del Lavoro, 18, 20863",CONCOREZZO,
