company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
1989 Brewing,,1989 est une jeune marque de bière artisanale funky fondée en novembre 2019 par 3 challengers passionnés !,,,https://1989brewing.com,"Rouen, Normandy, France",Rouen,
Adaraya,,Vente de thés Rooibos et infusions bio pour le particulier et les entreprises.,,,,"Rouen, Normandy, France",Rouen,
Alphonse Meyer et Fils,,Vins d'alsace.,,,,"Rouen, Normandy, France",Rouen,
Alsace Frey Sohler,,"Vins d'Alsace : Crémant d'Alsace, Vendanges Tardives.",,,,"Rouen, Normandy, France",Rouen,
Antoine Aguilas Vignoble,,Vins.,,,,"Rouen, Normandy, France",Rouen,
Apiwilly,,"On vous propose du miel et des produits à base de miel tels que du miel noisette, miel vanille, miel cannelle, confiseries au miel, hydromel, jus de pomme...issus de notre production.",,,,"Rouen, Normandy, France",Rouen,
Aqui Mandgen Ben,,Spécialiste du Taureau et Coche,,,,"Rouen, Normandy, France",Rouen,
Au Bon Kouign – Amann,,"Véritable artisan - fabricant de pâtisseries bretonnes en direct du Finistère ! Kouign - Amann, fars et gâteaux bretons, du bon, du beurre, et du bonheur !",,,,"Rouen, Normandy, France",Rouen,
Au Fournil des Damaville,,Pizzas cookies. Facebook,,,,"Rouen, Normandy, France",Rouen,
Au Paradis des Bonbons,,Bonbons et confiseries,,,,"Rouen, Normandy, France",Rouen,
Aux Délices de Mathis,,"Pain à la coupe, Cake à la coupe, Brioche, Chouquettes Cuit au feu de bois",,,,"Rouen, Normandy, France",Rouen,
Balsa Parma,,"Gamme de vinaigres balsamiques, des bocaux, des spécialités de Calabre et des pâtes.",,,,"Rouen, Normandy, France",Rouen,
Berger Frères Montlouis,,"Vins du Val de Loire : Aoc Montlouis sur Loire Bio, Aoc Crémant de Loire Bio, Pétillants Naturels.",,,,"Rouen, Normandy, France",Rouen,
BioTerre,,"BioTerre proposera sur Beerdays Rouen en plus de sa brasserie, un coin restauration rapide avec de la cuisine à base de bière.",,,,"Rouen, Normandy, France",Rouen,
Bistrot du Bec Fin,,Restauration sur place.,,,,"Rouen, Normandy, France",Rouen,
Bière Respekt,,"La brasserie Respekt vous propose une gamme de bières éco-responsables, savoureuses et innovantes !",,,,"Rouen, Normandy, France",Rouen,
Boulangerie d’Ymare,,Boulangerie pâtisserie artisanale avec des produits 100% faits maison.,,,,"Rouen, Normandy, France",Rouen,
Brasserie Bakbuk,,La brasserie normande Bakbuk produit de la bière artisanale fortement inspirée de l'univers brassicole anglo-américain et sa forte dynamique d'innovation (recettes & univers visuels).,,,,"Rouen, Normandy, France",Rouen,
