company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
6TEEN,,,,,https://6teen.me,,Dubai,
82°E,,,,,,,Mumbai,
999Tee,,,,,https://999tee.com,,Gujarat,
A Little Extra,,,,,https://alittleextra.co.in,,Delhi,
Aachho,,,,,https://aachho.com,,Jaipur,
Albon Cosmetics,,,,,https://alboncosmetics.com,,Mumbai,
Aldeno,,,,,https://houseofaldeno.com,,Bengaluru,
Alicia Souza,,,,,https://aliciasouza.com,,Bengaluru,
Almost Hippie,,,,,https://almosthippie.in,,Kolkata,
Amala Earth,,,,,https://amala.earth,,New Delhi,
Anveya Living,,,,,https://anveya.com,,Bangalore,
Arata,,,,,https://arata.in,,Delhi-NCR,
Aromology,,,,,https://aromology.com,,Delhi,
Auli,,,,,https://aulilifestyle.com,,Kolkata,
Aurum Crafts,,,,,https://aurumcrafts.in,,Jaipur,
Barker’s Dozen,,,,,https://barkersdozen.dog,,Mumbai,
Beco,,,,,https://letsbeco.com,,Mumbai,
Bewakoof,,,,,https://bewakoof.com,,Mumbai,
Beyond Water,,,,,https://drinkbeyond.co.in,,Kolkata,
BeYoung,,,,,https://beyoung.in,,"Udaipur, Rajasthan, India",
Bimba,,,,,https://thebimba.com,,New Delhi,
Blissclub,,,,,https://blissclub.com,,Bengaluru,
Blue Tea,,,,,https://bluetea.co.in,,Kolkata,
BlumeLife,,,,,https://blumelife.in,,Gurugram,
boAt,,,,,https://boat-lifestyle.com,,"Mumbai, Maharashtra, India",
Boingg,,,,,https://boingg.in,,Gurugram,
Boldfit,,,,,https://boldfit.com,,Bengaluru,
Bombay Shaving Company,,,,,https://bombayshavingcompany.com,,New Delhi,
Bombay Shirt Company,,,,,https://bombayshirts.com,,Chennai,
Bonvie,,,,,https://bonviesnacks.com,,Delhi,
Brown Bear,,,,,https://brownbear.in,,Kolkata,
Bumby,,,,,https://bumbybaby.com,,Pune,
Calenvie,,,,,https://calenvie.com,,Bengaluru,
Chappers,,,,,https://chappers.in,,Pune,
CHNKS,,,,,https://chnks.in,,Mumbai,
Chocolate and white,,,,,https://chocolateandwhite.com,,Kolkata,
Chumbak,,,,,https://chumbak.com,,Bengaluru,
Coolberg,,,,,https://coolberg.in,,Mumbai,
Craft & Glory,,,,,https://craftandglory.in,,Gurgaon,
Creatures Of Habit,,,,,https://creaturesofhabit.in,,Noida,
