company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
ACQUAMARINE FASHION,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",info@acquamarinefashion.com,+39 089 853840,https://acquamarinefashion.com,"Via Roma, 73",Minori,
BIANCO' - GRANDI FRANCESCO,,"The production of women's knitwear stands out for its meticulous selection of yarns, craftsmanship attention to detail, and ongoing pursuit of innovative designs that cater to the tastes and needs of the female audience.",francescograndi61@gmail.com,,,,Via Castefidardo Carpi,
DENIS,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",amministrazione@denissrl.com,+39 045 81510233,https://denissrl.com,"Via Ottazio Caccia, 17/",A Verona,
ELISABETTA MINELLI,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",info@smgroupsrl.it,+39 059 821030,,"Via Campagna, 6",Cognento,
EMMEGI 2,,"The production of women's knitwear stands out for its meticulous selection of yarns, craftsmanship attention to detail, and ongoing pursuit of innovative designs that cater to the tastes and needs of the female audience.",amministrazione@emmegi2.com,+39 0331 964150,,"Strada Statale del Sempione, 39",Vergiate,
Gironacci,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",gironaccimanifatturesrls@gmail.com,,,"Contrada Cavallino, 47",Civitanova Marche,
GISELLA M,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",ufficioacquisti@gilsrl.it,+39 059 696080,,"Via della Meccanica, 5/7",Carpi,
HADAMORGANA,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",veronica@maglificiotreci.it,+39 059 530658,,Via Lazio 5,Castelnuovo Rangone,
IL TRIFOGLIO,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",info@confezionitrifoglio.it,+39 045 6395086,https://confezionitrifoglio.it,"Via dell'artigianato, 14-16",Nogarole Rocca,
INCONTRO,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",amministrazione@inmodasrl.it,+39 049 9302554,,"Via Vivaldi, 1",Camposanpiero,
LEA BRUNI/ELGI,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",terconf@terconf.it,+39 0861 553907,https://leabruni.it,"Via Primo Riccitelli, 2 -",Campli,
PIONEER - IMMAGINE,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",info@confezionipioneer.it,+39 045 7920100,https://confezionipioneer.it,"Via Canton, 9 -",Nogarole Rocca,
POUR MOI MAGLIERIA ITALIANA,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",pourmoisrls@gmail.com,+39 080 4578341,https://pourmoi.it,SS 100 km 17 -,Casamassima,
QUASAR,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",confezioniquasar@interfree.it,,,,Via Toscana Carpi,
SALVALAGLIO CONFEZIONI,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",salvalagliosales@gmail.com,+39 0371/79131,https://confezionisalvalaglio.it,"Via Agenlli, 32",San Martino in Strada,
SCENARIO,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",manuel@labiancaconfezioni.it,,,,Via Generale Zamboni Castelnuovo del Garda,
SIXSTOP,,"The production of women's knitwear stands out for its meticulous selection of yarns, craftsmanship attention to detail, and ongoing pursuit of innovative designs that cater to the tastes and needs of the female audience.",sisxstop@hotmail.it,+39 081 8283758,,"Via Traversa Cupa, 12",San Giuseppe Vesuviano,
SOSSI,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",martinysossy@gmail.com,+39 030 3541760,,"Via Vergnano, 111",Brescia,
VEZZO,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",info@vezzoitalia.it,+39 080 5315637,https://vezzoitalia.it,"Via dei Gigli, 13/15 -",Modugno,
VLT's by Valentina'S,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",estero@daniconfezioni.it,+39 0573 705332,https://valentina.it,"Via Nardi, 192",Pistoia,
WALMODE,,"The women's clothing business is characterised by a constant commitment to quality materials, original designs and a constant search for the latest trends in women's fashion.",michela@walmode.com,+39 045 7152976,https://walmode.com,"Via Pastrengo, 52/4 -",Bussolengo,
