company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
ABB Robotics,Stand 6G04,"ABB Robotics as one of the world’s leading robotics companies, is the only company with a comprehensive and integrated AI-powered portfolio covering robots, cobots and Autonomous Mobile Robots (AMRs), designed and orchestrated by our value-creating software. We help companies of all sizes and sectors - from automotive to electronics and logistics – to outperform by becoming more resilient, flexible and efficient. ABB Robotics is at the forefront of developing and commercializing a new generation of Autonomous Versatile Robotics (AVR), leading a global innovation ecosystem of partners in advancing efficient hardware and intelligent software with industrial performance. The business employs approximately 7,000 people. go.abb/robotics",madrid@easyfairs.com,,https://new.abb.com,"2026 Highlights ABB Robotics’ focus on delivering adaptable autonomous versatile robotic (AVRTM) solutions for modern manufacturing and logistics applications Università degli Studi dell'Aquila crowned winner of 2026 ABB ROBOTSTUDIO® CUP Università degli Studi dell'Aquila, Italy",Highlights ABB Robotics’ focus on delivering adaptable autonomous versatile robotic (AVRTM) solutions for modern manufacturing and logistics applications Università degli Studi dell'Aquila crowned winner of 2026 ABB ROBOTSTUDIO® CUP Università degli Studi dell'Aquila,
Adanus Plastik,Stand 6F30,"We are making manufacturing of recycled polythene bags since 45 years. We import more than 3000 tonnes post industrial Ldpe and Hdpe scrap from Europe and US, we make our own sorting,washing, recycling and manufacturing. We are exporting our products as LDPE and HDPE granule and polythene bag and films to more than 10 countries currently. We add new products and lines every 3 months to develop pe process and capacity. We are focusing on new deals to reach new markets.",madrid@easyfairs.com,,https://adanusplastik.com.tr,"01350 adana, Turkey",adana,
"ARANGUREN COMERCIAL DEL EMBALAJE, S.L.",Stand 6D08,"We are a spanish company specialised in packaging services with connected wrapping machines, high performance stretch films and digital tools for more than 35 years. Our packaging services with wrapping machines without investment for our customers improve packaging quality, increase productivity and reduce waste and scrap, with criteria of safety, sustainability, efficiency, savings and confidentiality. We design and manufacture our own wrapping machines in Spain with in-house technology and, along side leading European partners in the sector, we develop high-performance films that offer extraordinary quality features. More than 95% of our customers have renewed their trust in our services and we have more than 2,200 Aranco wrapping machines installed in hundreds of customers in Spain and Portugal that endorse our service model.",,,https://aranco.com,,,
Ats-Tanner Sistemas De Enfajado S.A.,Stand 6E23,"ATS - Unique Banding Premium-quality, innovative and sustainable banding solutions for securing your product during transport and also for retail packaging, reducing drastically the ammount of packaging matireal and the use of 100% reciclable papers. We bundle and pack your products sensibly, ecologically and economically. Our all-round carefree package of advice, machines, materials and service ensures that you always obtain the best possible packaging solution.",,,https://einforma.com,,,
AYDOGAN PLASTIK,Stand 6F31,"Aydogan Plastik is a supplier of flexible packaging solutions for food, textile, e-commerce, medical, personal, home care and other industries. We’re specialized, tailor-made flexible packaging manufacturer since 1988, located in Istanbul, TR with the latest machine techology in film extrusion(mono & multi film layers), flexo printing upto 8colors, laminating, slitting and converting stages.",madrid@easyfairs.com,,https://aydoganplastik.com,"2018 Occupational Health and Safety Management Certification ISO 45001:2018 Occupational Health and Safety Management Certification ISO 14001:2015 Enviromental Management Certification ISO 14001:2015 Enviromental Management Certification ISO 9001:2015 Quality Management Certification ISO 9001:2015 Quality Management Certification RCS certified company. Pre-Consumer & Post-Consumer wastages are re-cycled & re-used under the RCS certification. I-REC Certification International Renewable Energy Certificate FSSC 22000 Food Safety System Certification Food Safety System Certification Contact Info 34522 Istanbul, Turkey",Occupational Health and Safety Management Certification ISO 45001:2018 Occupational Health and Safety Management Certification ISO 14001:2015 Enviromental Management Certification ISO 14001:2015 Enviromental Management Certification ISO 9001:2015 Quality Management Certification ISO 9001:2015 Quality Management Certification RCS certified company. Pre-Consumer & Post-Consumer wastages are re-cycled & re-used under the RCS certification. I-REC Certification International Renewable Energy Certificate FSSC 22000 Food Safety System Certification Food Safety System Certification Contact Info 34522 Istanbul,
Ayhan Ambalaj Plastik ve Sulama Sist. San. Tic. Ltd. Şti,Stand 6H14,A manufacturer specializing in flexible packaging and industrial packaging solutions.,madrid@easyfairs.com,,https://ayhanambalaj.com.tr,"45140 Manisa, Turkey",Manisa,
BANDALL IBERICA & DEAL II,Stand 6A29,Bandall Ibérica offers technical solutions for strapping and banding for your production process in any sector.,,,https://groentennieuws.nl,,,
BastionPack,Stand 6I36,,,,https://bastionpack.com,,,
BAUMER AUTOMATION IBERICA,Stand 6E28,Baumer provides sensor-based solutions for industrial automation – from production through to packaging and logistics.,madrid@easyfairs.com,,https://baumer.com,"08007 Barcelona (BARCELONA), Spain",Barcelona (BARCELONA),
BELPACK,Stand 6B22,"Belpack specializes in supplying packaging consumables and solutions tailored to various sectors. With extensive experience in the industry, we offer technical advice, customized solutions, and an expert team that supports our clients throughout the packaging process",,,https://belpack.net,,,
