company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
ANFE,,,,accueil@anfe.fr | +33 1 45 84 30 97,https://anfe.fr,64 RUE NATIONALE CS 41362 75214 PARIS Cedex 13 France,,
ANSAMBLE,,,,contact@ansamble.fr | +33 2 97 01 97 97,https://ansamble.fr,"1 Rue de Lorraine, 56000 Vannes, France",,
APPEL MEDICAL,,,,webmaster@appel-medical.com | +33 1 41 62 20 20,https://appelmedical.com,"276 Avenue du Président Wilson, 93200 Saint-Denis, France",,
BESSIERE,,,,contact@bessiere.fr | +33 4 78 56 12 34,https://bessiere.pro,"15 Rue des Basses Barolles, 69230 Saint-Genis-Laval, France",,
CENTEX,,,,contact@centex.fr | +33 4 77 71 50 14,https://centex.fr,"10 Rue de la Tuilerie, 42300 Mably, France",,
ECO SMART BUILDING,,,,contact@ecosmart-building.com | +330185731490,https://ecosmart-building.com,"71 Avenue des Ternes, 75017 Paris, France",,
FORMULETTE,,,,contact@formulette.fr | +33 1 43 55 14 41,https://formulette.fr,"14 Rue Charles Delescluze, 75011 Paris, France",,
GIFTEO,,,,contact@gifteo.fr | +33 4 81 69 56 97,https://gifteo.fr,"8 Rue Paul Montrochet, 69002 Lyon, France",,
INFANS GROUP,,,,contact@infans.fr | +33 8 00 73 01 32,https://infans.fr,"840 Avenue du Mas d'Argelliers, 34000 Montpellier, France",,
KIDIZZ,,,,info@kidizz.com | +33 6 66 66 59 17,https://kidizz.com,"200 Rue de la Croix Nivert, 75015 Paris, France",,
LES 3 OURS,,,,commercial@les-3ours.fr | +33 5 55 32 60 23,https://les3ours-mobilier-creche.fr,"Parc d'activités Océalim, 4 Rue Jean Mermoz, 87270 Couzeix, France",,
LES P'TITS SAGES,,,,formation@lesptitssages.com | +33 5 64 10 40 83,https://lesptitssages.com,"32 Rue Victor Lagrange, 69007 Lyon, France",,
LIBECA,,,,contact@libeca.fr | +33 4 74 72 15 15,https://libeca.fr,"Zone Artisanale Pré Châtel, 42370 Renaison, France",,
MA PETITE CUILLERE,,,,bonjour@mapetitecuillere.com | +33 9 13 21 62 83,https://mapetitecuillere.com,"2/4 Rue de Vergaville, 57260 Dieuze, France",,
MANGROVE PETITE ENFANCE,,,,enfance@mangroveinnovation.com | +15146184176,https://mangroveinnovation.com,"10 Rue de Penthièvre, 75008 Paris, France",,
MATHOU ET LOXOS,,,,contact@mathou.com | +33 5 65 77 17 00,https://mathou.com,"Z.I. Cantaranne, 12850 Onet-le-Château, France",,
MEEKO,,,,bonjour@meeko.pro | +33 4 50 41 42 43,https://meeko.pro,"679 Route Blanche, 01170 Ségny, France",,
OXY'PHARM - SANIVAP,,,,bruno.dubien@sanivap.fr | +33 6 81 35 97 65,https://oxypharm.net,"8 bis Rue de la Tuilerie, 69700 Givors, France",,
QUE LIRE ?,,,,contact@que-lire.fr | +33 4 68 45 12 34,https://que-lire.fr,"4 Rue des Écoles, 11200 Bizanet, France",,
SOMOBA,,,,contact@somoba.fr | +33 4 67 10 89 16,https://somoba.fr,"PAE la Tour, 82 Rue André Ampère, 34570 Montarnaud, France",,
WESCO,,,,webmaster@wesco.fr | +33 5 49 80 01 66,https://wesco.fr,"Route de Cholet, 79140 Cerizay, France",,
