company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
1 Less Worry Payroll Services Ltd,4,,,,https://10times.com,,,
AB Fire Solutions,90,,,,https://formationdata.co.uk,,,
Access Cornwall CIC,99,"Access Cornwall CIC is a Cornwall-based, disabled-led social enterprise. Our whole team has lived experience of disability and/or neurodivergence, alongside professional, experienced accessibility auditors and trainers. We deliver accessibility audit",,,https://accesscornwall.org.uk,,,
Andys Man Club,10,,,,https://hubofhope.co.uk,,,
ARK Fire Safety Management Ltd,124,"We specialise in fire risk assessments, fire door inspections and safety compliance for commercial, residential and hospitality premises. Serving Cornwall, Devon and the Isles of Scilly, ARK Fire Safety Management Ltd delivers accurate, structured an",,,https://arkfiresafety.co.uk,,,
Aspen Waite,,,,,https://aspenwaite.co.uk,,,
BBX Head Office,,,,,,,,
Bleyer Bullion,,,,,https://bleyerbullion.co.uk,,,
Brown & Brown Insurance Brokers (UK) Limited,33,,,,https://bbrown.com,,,
Bunzl Cleaning & Hygiene Supplies,,,,,https://waze.com,,,
CGS Design & Build Ltd T/A Creative Garden Studios,94,,,,,,,
Champion Training Solutions Ltd,102,"At Champion Training Solutions, we know how vital it is for teams to be well trained to keep workplaces safe and create career development opportunities. Our team delivers a broad range of industry recognised training courses covering topics rangi",,,https://easybooktraining.co.uk,,,
Combined Networks,61,,,,https://combinednetworks.uk,,,
Cornish Marketing,175,,,,https://lawzana.com,,,
Courtyard Hotel Marriot,147,"Uniquely placed next to the Exeter Chiefs, Courtyard Exeter Sandy Park is a stylish hotel in Exeter, perfectly blending contemporary design with an ideal location. As one of the finest Exeter hotels, our 4-star property caters to both business and le",,,https://marriott.com,,,
Data Privacy Advisory Service,156,"DATA PROTECTION SERVICES YOU CAN DEPEND ON. DPAS is a trusted UK data protection consultancy helping organisations turn complexity into clarity through practical compliance, expert training, and specialist support.",,,https://dataprivacyadvisory.com,,,
Devon Women in Business,116,"Devon Women in Business is a friendly, supportive community which helps women across Devon connect, collaborate and grow. From relaxed networking and practical workshops to business promotion, member benefits and our annual DWIB Awards, we create opp",,,https://devonwomeninbusiness.com,,,
DL Accounts,106,,,,https://dlaccounts.co.uk,,,
Evolution Media,165+166,,,,https://evo-media.co.uk,,,
Exeter City Council,103,,,,https://exeter.gov.uk,,,
Fear Free,140,,,,https://fearfree.com,,,
Fearless Accounting Ltd,102,,,,https://datahjelperne.no,,,
FIT20,52,,,,https://fit20.com,,,
Full Power Utilities,92,,,,https://fullpowerutilities.com,,,
FW3 Ltd,20,"FW3 Group is a fast-growing manufacturer, distributor, and retailer, supplying a diverse range of innovative own-brand products. We operate globally, with our headquarters based in Burlescombe, the heart of Devon. We offer washroom & water products a",,,https://fw3group.com,,,
Go South West,126,,,,https://gosouthwestengland.co.uk,,,
Goya Productions,170,,,,https://open.spotify.com,,,
HelloFresh,76,,,,https://hellofresh.co.uk,,,
HIT Training Ltd,91,,,,https://hittraining.co.uk,,,
Imprints Workwear,60,,,,https://py.maptons.com,,,
Incursion Cyber Security,"127, DB","Incursion Cyber Security is a UK-wide penetration testing consultancy and IASME certification body based in Somerset. Founded by former British Intelligence Analyst Lewis Lockwood ChCSP, we deliver expert-led penetration testing and IASME accredi",,,https://incursion-security.co.uk,,,
Liberti Limited,52,"At Liberti, we make fractional work. We give ambitious organisations the freedom and flexibility to scale smarter with the right fractional experts – from finance, marketing, sales and HR – at the right time for the most impactful business transform",,,https://themarketingcentre.com,,,
Licata Ltd,80,,,,https://licataltd.co.uk,,,
LUX Media,177+178,,,,https://luxmedia.uk,,,
Manuel Pearce Photography,5,"Manuel Pearce Photography is a Bristol-based studio specialising in 360° immersive photography and virtual tours. Using cutting-edge 360° cameras, drone photography, and 3D/LiDAR capture technology, we help businesses — from estate agents to hospital",,,https://bristolcreativeindustries.com,,,
MIL Collections,78,,,,https://csa-uk.com,,,
Mindful Employer,132,,,,https://personneltoday.com,,,
Mitchell & Webber,114,,,,https://mitweb.co.uk,,,
Newton Abbot Racecourse,148,,,,https://newtonabbotracing.com,,,
Nuffield Health Exeter Hospital,21,,,,https://nuffieldhealth.com,,,
Octopus Energy C/O Access Point Ltd,176,"Octopus Energy is a leading energy company on a mission to make energy greener, fairer and more affordable. Founded in 2016, it supplies millions of customers worldwide and invests in innovative technology to transform the energy sector. Through rene",,,https://rwas.wales,,,
Origin8 South West Ltd,115,,,,https://origin8.uk,,,
Packhall Estates Ltd,67,,,,https://bringo.co.uk,,,
Peaky Digital,112,,,,https://peakydigital.co.uk,,,
Pegasus Mens Wellbeing Centre,19,,,,https://cancercaremap.org,,,
Project Cosmic T/A Cosmic,109,,,,,,,
QPQ Media Head Office,,,,,,,,
Recognition Express,51,,,,https://recognition-express.com,,,
S&J Palmer Ltd T/A Coversure,136,,,,,,,
Sales Geek Exeter,113,,,,https://eventbrite.com,,,
SignWow Ltd,148,,,,https://signwow.co.uk,,,
Simon Hall Will Writing Services,81,,,,https://simonhall.info,,,
Sky Adsmart,145,,,,https://sky.com,,,
Snows Toyota Plymouth,89 Block + 88 Block,,,,https://toyota.co.uk,,,
Solar Upgrades Ltd,68,,,,https://solarupgrades.co.uk,,,
Solidarity IT Ltd,,,,,https://rooplex.co.uk,,,
Sphere6,69,,,,,,,
Sponsor Licence & Visas,146,,,,https://stay-uk.co.uk,,,
SPS Marketing,128,,,,https://spsmarketing.co.uk,,,
St Eval Go Kart,35+33,,,,https://elearning.asc.edu.ag,,,
Tap Into,,,,,https://thecityuk.com,,,
Taylor Made Rehab,168,Taylormade Performance & Rehabilitation is a service that provides the opportunity to explore the best environment for you to function optimally. As musculoskeletal specialists we offer strength and conditioning coaching for lifestyle and performance,,,,,,
The Adaptable Human Project,41,,,,https://theopscon.com,,,
The Wellness Compass Team,57,"Paula Ferris and Paula Fenegan, co-founders of Wellness Compass Team, combine decades of expertise in fitness, nutrition and wellbeing. Working with businesses and communities, they deliver practical, evidence-informed strategies that support healthi",,,https://wellnesscompassteam.com,,,
VU Digital,79,"Vu Digital is a Devon-based B Corp digital agency helping businesses and organisations grow through better digital. From branding and websites to SEO, PPC, content and digital strategy, we bring everything together under one roof. We combine creative",,,https://digitalagencynetwork.com,,,
Wagstaff Group,125,,,,https://wagstaffgroup.co.uk,,,
Warrior Wellness Movement,25,,,,https://warriorwellnessmovement.com,,,
Westcotts (SW) LLP,194+184,"We value relationships above all else. With hundreds of experienced and talented team members with a wide range of specialisms, we’re always on hand to give clear, calm and expert advice. And once a client walks through any of our doors, they e",,,https://westcotts.uk,,,
Wolfrock Financial Planning,14,Wolf Rock Financial Planning was founded to guide our clients through the valuable but sometimes treacherous waters of investing by recommending the safest passage to their financial goals. We provide a highly technical and bespoke service to our cli,,,https://wolfrockfp.co.uk,,,
Working for Wildlife Ltd,TBC - Charity,"Founded in 1961, WWF is the world’s leading independent conservation organization working in more than 100 countries to create solutions to the most important environmental challenges facing the planet so that people and nature can thrive. Their work",,,https://working4wildlife.org,,,
Wright Way Training,43,,,,https://rentechdigital.com,,,
Zebra EM,105,,,,https://zebra-em.com,,,
