company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Abdulmohsen Alsahli Holding Co.,S3,,,,,,,
Addoha Poultry Co.,C8,,,,,,,
ADEMIX YEM,E52,,,,,,,
Advanced Facilities Contracting Company,F5,,,,,,,
Agil Equipamentos,A38,,,,,,,
Agrarian Veterinary Services Est,E34,,,,,,,
Agricultural Development Company (Tanmiah),D6,,,,,,,
Agricultural Development Fund,C7,,,,,,,
Agricultural Engineers Association,E7,,,,,,,
Agricultural Extension Department,G1,,,,,,,
Agricultural Gulf Layer Breeder Company (GLBCO),D2-1,,,,,,,
Agrifan,A25,,,,,,,
AgriFuture Middle East Africa,F8,,,,,,,
AGRITECH FOR TRADING EST,A21,,,,,,,
Agritech Srl,A18,,,,,,,
AIMCO,S9,,,,,,,
Al Khumasia Company for Feed and Animal Products,D2,,,,,,,
Al Taleb Group,F15,,,,,,,
Al-Areeb International Information Technology Company,D23-1,,,,,,,
Al-Sahli for Agriculture Est.,S3,,,,,,,
"Albayad Farms Co., Ltd",S9,,,,,,,
Alberk Poultry Processing Equipment,A6-1,,,,,,,
"ALCHEM BIOTECHNOLOGY CO.,LTD",F43,,,,,,,
ALEMAR International,S11-1,,,,,,,
Algharbia Farms Co.,S5,,,,,,,
AlMimas for Vet Medicines,F35,,,,,,,
AlMirqab Industrial Investment (AALAF),D14,,,,,,,
AlMuharib Poultry,E48,,,,,,,
Alnada Medical Co.,F51,,,,,,,
AlSunbulah Poultry Company,B3,,,,,,,
Alveo Technologies Inc,E17,,,,,,,
AlWadi Business Solutions,S7,,,,,,,
AlWadi Farms Poultry Company,S7,,,,,,,
AlWashim Poultry Co.,A3,,,,,,,
Alyoum Poultry,B5,,,,,,,
"AMETEK, Inc.",C6,,,,,,,
Andrés Pintaluba,D15,,,,,,,
Aqua Pad,S3,,,,,,,
ARABIAN AGRICULTURE CONSULTING & ENGINEERING,A20,,,,,,,
Arabian Company for Agricultural and Industrial Investment (ENTAJ),S11,,,,,,,
Arabian Cooperative Co.,S12,,,,,,,
ARASCO FEED,S11,,,,,,,
AROUND GALAXY TRADING & CONTRACTING CO.,E46,,,,,,,
Atayeb Poultry Co.,A1,,,,,,,
ATLAS YEM MAKİNALARI SAN. VE TİC LTD. ŞTİ.,B17,,,,,,,
AVIAN MECHANICS,A25,,,,,,,
Avino Innovations,F33,,,,,,,
Avitech Srl,A18,,,,,,,
Aytav Poultry Equipment,A19,,,,,,,
Azim-Tav,B19,,,,,,,
BAADER Food Systems Denmark A/S,D5,,,,,,,
Balady Poultry Co.,C2,,,,,,,
BASHAYER POULTRY,B5,,,,,,,
BEIJING CHALLENGE GROUP,H23,,,,,,,
"BEIJING ENHALOR INTERNATIONAL TECH CO.,LTD",H39,,,,,,,
"BEIJING GENDONE BIOTECHNOLOGY CO.,LTD",A40,,,,,,,
Belgian Boiler Company (BBC),A20,,,,,,,
BEST S.R.L.,D20,,,,,,,
BG Mekatronik San. Tic. A.S,B20,,,,,,,
Big Dutchman international GmbH,B7,,,,,,,
Big Farm Poultry Equipment,E50,,,,,,,
Bil-Yem,E27,,,,,,,
Bio DELTA DWC Trading,E21,,,,,,,
BIOVET. S.A,E24,,,,,,,
Bioveta,D15,,,,,,,
Boehringer Ingelheim,S15,,,,,,,
Buergofol,C6,,,,,,,
Bunge,C7-1,,,,,,,
Bühler Group,C10,,,,,,,
Cabinplant A/S,B10,,,,,,,
Canadian Jordanian for feed additives and veterinary medicines (KAPRE),S1,,,,,,,
CARFED International LTD,E33,,,,,,,
CAT Squared,B10,,,,,,,
CEVA Animal Health,B2,,,,,,,
"CHANGZHOU HONGHUAN MACHINERY CO, LTD.",H29,,,,,,,
Chore-Time,C3,,,,,,,
CMC Industries,A20,,,,,,,
College of Food & Agriculture Sciences,TBC,,,,,,,
Colubris Cleantech,F44,,,,,,,
COMBILIFT,F20,,,,,,,
Cooperative Association For Livestock in Buraydah,E42,,,,,,,
CRVAB BIO-TECH GROUP,H27,,,,,,,
CZ Vaccines,D7,,,,,,,
"DAMLY (ZHENGZHOU) ENVIRONMENTAL TECHNOLOGY CO.,LTD",F38,,,,,,,
Datalentech,E18,,,,,,,
DEINTK GmbH,C6,,,,,,,
DEKALB,S10,,,,,,,
Delacon Biotechnik GmbH,S1,,,,,,,
Desert Hills Veternary Services Co.,D6,,,,,,,
Dinacell Electronika s.l,E11,,,,,,,
Diversey – A Solenis Company,A32,,,,,,,
DOUBLE L GROUP,A25,,,,,,,
DSAND Animal Nutrition Pvt. Ltd.,F45,,,,,,,
DSM (Biomin),D7,,,,,,,
Eastern Coast Group,S17,,,,,,,
Eddygypt Giordano Poultry Plast,A8-1,,,,,,,
Egg Production Industries Cooperative Association,E54,,,,,,,
Ekoprint (Taha Office),E23,,,,,,,
Elanco Animal Health,D7,,,,,,,
Elliott Absorbent Products LTD,E19,,,,,,,
ELPRESS B.V.,A20,,,,,,,
Emdoka,D15,,,,,,,
EMKA Incubators,A38,,,,,,,
EPS,F39,,,,,,,
EUNJIN BIO,F28,,,,,,,
EURO SOLAR,A6,,,,,,,
European Industrial Technologies,A6,,,,,,,
EUROPEAN STEEL TECHNOLOGY,A6,,,,,,,
Expo Team Services Co. Ltd,E8,,,,,,,
Fakieh Poultry Farms Company,S6,,,,,,,
"FAMSUN Group Co., Ltd",B15,,,,,,,
Fancom B.V.,A25,,,,,,,
FARMEQ- Farm Equipments,E35,,,,,,,
Farmers Hand,D24,,,,,,,
Feedtecs Animal Nutrition,A6,,,,,,,
Flavour Trove,F39,,,,,,,
Fomaco,C6,,,,,,,
Food Manufacturers Association,E54-1,,,,,,,
Forza Roma Pharmaceutical PVT LTD,E25,,,,,,,
FPS - Food Process Solutions,C13,,,,,,,
FUZHOU MIN-TAI MACHINERY CO.LTD.,H25,,,,,,,
G.MONDINI S.P.A.,A20,,,,,,,
GALDI S.r.l.,B9,,,,,,,
Galdi Srl,B9,,,,,,,
GIGOLA & RICCARDI SPA,D20,,,,,,,
GIORNO SUPPLIES,D17,,,,,,,
Global Animal Health,E17,,,,,,,
GMMI,C6,,,,,,,
Go Green Solvents,D25,,,,,,,
Golden Chicken Farms Co.,C3,,,,,,,
Grasselli,C6,,,,,,,
GULFA,S3 / S4,,,,,,,
Gures Technology Poultry Equipment Co.,A24,,,,,,,
Günther Maschinenbau GmbH,E26,,,,,,,
Haarslev Industries S.A.U.,A20,,,,,,,
"HANGZHOU KING TECHINA FEED CO.,LTD",F6,,,,,,,
Hasad Development,F40,,,,,,,
HatchTech Incubation Technology,C6,,,,,,,
Havells India Limited,A25,,,,,,,
Havells India Limited,A25,,,,,,,
