company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
4Syte,G3,,info@4syte.co.uk,01245 377032,https://4syte.co.uk,,,
Affirmative,F5,,newbusiness@affirmative.co.uk,08000448484,https://affirmativefinance.co.uk,,,
Allica Bank,B9,,introducers@allica.bank,0330 094 3333,https://allica.bank,,,
Alternative Bridging Corporation,E3,,hello@alternativebridging.co.uk,020 8349 5190,https://alternativebridging.co.uk,,,
Ascot Bridging Finance,C10,,enquiries@ascotbridgingfinance.co.uk,01925 467170,https://ascotbridgingfinance.co.uk,,,
Aspen Bridging,B3,,enquiries@aspenbridging.co.uk,0845 318 0001,https://aspenbridging.co.uk,,,
Avamore Capital,C1,,enquiries@avamorecapital.com,+44 (0) 203 440 9651,https://avamorecapital.com,,,
Belleveue Mortlakes,G2,,property@bmortlakes.com,020 8367 9555,https://bmortlakes.com,,,
Black & White Bridging,"D6, B4, G6, G16 & H1",,enquiries@nogreyareas.co.uk,0117 937 4333,https://blackandwhitebridging.co.uk,,,
Blackfinch,E8,,enquiries@blackfinch.com,01452 717070,https://blackfinchproperty.com,,,
Blacks Solicitors,G4,,hello@lawblacks.com,0113 207 0000,https://lawblacks.com,,,
Bluecroft Finance,G7,,enquiries@bluecroftfinance.com,01615046988,https://bluecroftfinance.com,,,
Bridge Invest,G15,,info@bridgeinvest.co.uk,+44 (0) 207 305 5575,https://bridgeinvest.co.uk,,,
Cambridge & Counties Bank,H8,,info@ccbank.co.uk,0344 225 3939,https://ccbank.co.uk,,,
Capital Rise,E9,,customercare@capitalrise.com,0203 869 2620,https://capitalrise.com,"18 Coulson Street, Chelsea, London, SW3 3NB, United Kingdom",,
Chestnut Finance,G5,,info@chestnutfinance.co.uk,01274 724 893,https://chestnutfinance.co.uk,,,
Cohort Capital,C9,,,+44 (0) 20 7659 4403,https://cohortcapital.com,,,
Colenko,A3,,enquiries@colenko.com,020 3920 6150,https://colenko.com,,,
CSBF Capital Partners Ltd,H7,,enquiries@csbf.co.uk,020 7616 6608,https://csbf.co.uk,,,
EC Lending,G8,,enquiries@ec-lending.com,(+44) 204-635-5015,https://ec-lending.com,,,
Fairbridge Capital,B2,,enquiries@fairbridgecapital.co.uk,01474 550 295,https://fairbridgecapital.co.uk,,,
FOLK2FOLK,Deal Desks,,enquiries@folk2folk.com,01566 773296,https://folk2folk.com,,,
GB Bank,B1,,,08081642111,https://gbbank.co.uk,,,
Glenhawk,C3,,lendingteam@glenhawk.com,0207 100 8787,https://glenhawk.com,,,
Goldentree Financial Services,C11,,Info@goldentreefs.co.uk,01925 846420,https://goldentreefs.co.uk,,,
Hampshire Trust Bank,D1,,,020 7862 6222,,,,
Hope Capital,E15,,hello@hope-capital.co.uk,0151%20523%205998,https://hope-capital.co.uk,,,
HSBC,H4,,,03457404404,https://hsbc.co.uk,,,
In Partnership,E11,,,+44 (01403) 214 200,https://inpartnership.net,"50 North Parade Horsham, England, RH12 2TB United Kingdom",,
Inspired Lending,F6,,enquiries@inspiredlending.co.uk,+442074336390,https://inspiredlending.co.uk,,,
Invocap,,,info@invocap.com,020-3637-8803,https://invocap.com,,,
Joelson Law,C2,,hello@joelsonlaw.com,+44 (0)20 7580 5721,https://joelsonlaw.com,,,
Keystone Property Finance,F4,,servicingteam@keystonepropertyfinance.co.uk,0345 350 3696,https://keystonepropertyfinance.co.uk,,,
KSEYE,E14,,enquiries@kseye.co.uk,020 8909 0736,https://kseye.co.uk,,,
Lakesheild,H5,,enquiries@lakeshield.com,0203 633 2882,,,,
Lansdowne Law,G9,,,0207 362 6120,https://lansdownelaw.co.uk,,,
Lendco,H11,,bpike@lendco.co.uk,0333 414 1495,https://lendco.co.uk,,,
Lendhub,D3,,borrow@lendhub.co.uk,+442036571900,https://lendhub.co.uk,,,
Lendinvest,H3,,enquiries@lendinvest.com,,https://lendinvest.com,,,
London Credit,B14,,info@londoncredit.com,+44 (0) 2086 101 607,https://londoncredit.com,,,
M Stars Programme,E2,,,,https://mstars.co.uk,,,
Masthaven,D4,,,020 3910 8700,https://masthaven.co.uk,,,
Medianett Publishing,,,mo@medianett.co.uk,0203 818 0165,https://medianettpublishing.com,,,
Mercantile Trust,H6,,,0800 032 3737,https://mercantiletrust.co.uk,"Building 2, Axis, Rhodes Way, Watford, Hertfordshire, WD24 4YW, GB",,
Mint Property Finance,H2,,hello@mintpf.co.uk,0161 710 2006,https://mintpropertyfinance.co.uk,,,
Morpheus Lending,E18,,info@morpheuslending.co.uk,,https://morpheuslending.co.uk,,,
MS Lending Group,Breakfast Area,,enquiries@mslendinggroup.co.uk,0161 823 7993,https://mslendinggroup.co.uk,"Sandfield House, Water Lane, Wilmslow, Cheshire, SK9 5AR, GB",,
MT Finance,A2,,enquiries@mt-finance.com,020 3051 2331,https://mt-finance.com,,,
Nationwide Finance,H9,,hello@nationwidefinance.co.uk,01234 240 155,https://nationwidefinance.co.uk,GB,,
Natwest,G12,,,,https://natwest.com,,,
Nomo Bank,E6,,support@nomobank.com,,https://nomobank.com,,,
Octane Capital,D2,,deals@octanecapital.co.uk,0345 222 9009,https://octanecapital.co.uk,,,
Octopus Real Estate,A1,,lending@octopus-capital.com,0800 294 6850,https://octopus-capital.com,,,
Ortus Secured Finance,B10,,enquiries@ortussecuredfinance.co.uk,020 3637 5056,https://ortussecuredfinance.co.uk,,,
OSB Group,B11,,mail@osb.co.uk,+44 (0) 163 484 8944,https://osb.co.uk,,,
Pallas Capital,B5,,clientservices@pallascapital.com.au,0281881108,https://pallascapital.com.au,,,
Pluto Finance,F3,,info@pluto-finance.com,020 7442 2100,https://pluto-finance.com,"15-16 Buckingham Street, London, WC2N 6DU",,
Pontis Finance,F7,,contact@pontisfinance.com,+44 (0) 207 101 4126,https://pontisfinance.com,,,
Proplend,E16,,admin@proplend.com,0203 951 7970,https://proplend.com,,,
Quantum Mortgages,H10,,zouhair.m@quantummortgages.co.uk,07904892109,https://quantummortgages.co.uk,,,
Recognise Bank,C12,,,,https://recognisebank.co.uk,,,
Reim Capital,C5,,info@reimcapital.com,0203 488 4913,https://reimcapital.com,,,
Roma Finance,E1,,enquiries@romafinance.co.uk,01618177480,https://romafinance.co.uk,,,
Salboy Capital,C7,,info@salboy.co.uk,,https://salboy.com,"Unit 2 Block C, 14 Hulme Street, Salford, Greater Manchester, M5 4ZG, United Kingdom",,
SC&W,Network Cafe,,,,,,,
Scotlend Group,C6,,info@scotlendgroup.co.uk,0131 2973775,https://scotlendgroup.co.uk,,,
Shelley Capital Management,E10,,,020 3817 7720,https://shelleycapitalmanagement.com,"Kenwood House, 77a Shenley Road, Borehamwood, WD6 1AG",,
Somo,G1,,borrowers@somo.co.uk,0161 312 5656,https://somo.co.uk,"Barrington Road, Altrincham, ENG, WA14 1JY, GB",,
Streambank,C4,,customercare@streambank.co.uk,02039734788C,https://streambank.co.uk,,,
TAB,G14,,enquiries@tabhq.com,02080579070,,"TAB, Regent House, Theobald Street, Borehamwood, WD6 4RS, United Kingdom",,
Together,E5,,press.office@togethermoney.com,01619563229,https://togethermoney.com,"Lake View, Lakeside, Cheadle, SK8 3GW, UK",,
Tradelend,E2,,info@tradelend.com,+442038862530,https://tradelend.com,,,
United Trust Bank,B15,,hello@utbank.co.uk,020 7190 5555,https://utbank.co.uk,,,
Velocity Bridging,F1,,info@velocitybridging.com,01704339588,https://velocitybridging.com,,,
West One Loans,B16,,,+443331234556,https://westoneloans.co.uk,,,
Wey Bridging Finance,E7,,enquiries@weybridging.com,01932 901 442,https://weybridging.com,,,
Whitehall Lending,E4,,info@whitehalllending.com,+442030267437,https://whitehalllending.com,,,
