company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
3M Deutschland GmbH,,,,,,,,
4C Strategies,,4C Strategies helps defence forces and critical organizations prepare for complex events in times of stability & crisis. Software & Expertise,,,https://4cstrategies.com,,,https://www.linkedin.com/company/4c-strategies
Accenture B.V.,,"Accenture embraces the power of change to create 360° value and shared success for our clients, people, shareholders, partners and communities. Learn more.",,,https://accenture.com,,,https://www.linkedin.com/company/accenture
Acecore Technologies,,Drone manufacturer of rugged UAV platforms for demanding missions. Request a quote ✔ Made in the Netherlands ✔ All-weather capable,sales@acecoretechnologies.com,+31618685736,https://acecoretechnologies.com,,,https://www.linkedin.com/company/acecore-technologies/
ACL,,,info@acl.nl,0402842646,https://acl.nl,,,https://www.linkedin.com/company/acl-technopanel-b.v./
ACME Portable Computer GmbH,,,,,https://acmeportable.de,,,
AcQ International B.V.,,"At AcQ we have a reputation for creating high performance, ultra-reliable embedded electronics infused with innovation for the most demanding environments",,+31 (0)412 641922,https://acq.nl,,,
ADSE Consulting and Engineering B.V.,,"We are ADSE, an independent consulting and engineering firm on transportation systems. Planes, trains, ships and automobiles is what we like!",info@adse.eu,+31 (0) 23 554 2255,https://adse.eu,,,https://www.linkedin.com/company/adse/
AEC Skyline,,,,,https://aec-skyline.com,,,
Aeronamic B.V.,,"Development, production, assembly, testing, servicing of high-speed rotating components and precision parts for commercial & defense aircraft industry.",info@aeronamic.com,,https://aeronamic.com,,,https://www.linkedin.com/company/aeronamic-nl
Alewijnse Netherlands B.V.,,We connect people and technology,info@alewijnse.com,+ 31 (0)24 371 61 00,https://alewijnse.com,,,http://www.linkedin.com/company/alewijnse
Amphenol,,,,,https://amphenolmao.com,,,
Andra Tech Group,,Wilting is gevestigd in Veldhoven en Wintelre en is gespecialiseerd in de efficiënte frees productie van fijnmechanische componenten en modules.,,+0402052747,,,,https://www.linkedin.com/company/wilting-components/
Apex Global B.V.,,,,,https://apexglobal.eu,,,
Applied Research Laboratory Europe (ARLE) B.V.,,"Your long-term Benelux partner for top-quality, strategic brands. For defence, police and government.",info@arle.nl,+31413245631,https://arle.nl,"Losplaats 12, Uden, 5404 NJ, Netherlands",Uden,https://www.linkedin.com/company/arle-bv/
Artillerie Inrichtingen Armaments B.V.,,,,,https://artillerie inrichtingen armaments b.v.,,,
ASSA ABLOY Nederland B.V.,,"Explore ASSA ABLOY's trusted door locks, access control, and smart security for homes and businesses. Innovation meets safety worldwide.",,,https://assaabloy.com,,,
Atos Nederland B.V.,,"We design digital solutions from the everyday to the mission critical — in artificial intelligence, hybrid cloud, infrastructure management, decarbonization and employee experience.",,,https://atos.net,,,http://www.linkedin.com/company/atos
AVT Wiring & Connecting,,,,,https://avt-connecting.com,,,
Axians,,Axians zet mensen en de beste technologie centraal om samen met onze klanten werk en leven werk te verbeteren.,,,https://axians.nl,,,https://www.linkedin.com/company/axiansnl
Axient Systems B.V.,,A Netherlands based wholly owned subsidiary of Astrion,info@axientsystems.nl,+310153105795,https://axientsystems.nl,,,
Bae Systems,,,,,https://baesystems.com,,,
Barco B.V.,,,,,https://barco.com,,,
Bolidt Kunststoftoepassing B.V.,,,,,https://bolidt.com,,,https://nl.linkedin.com/company/bolidt
Brainport Industries Campus,,Brainport Industries Campus is de plek waar de innovatie- en concurrentiekracht van de hightech maakindustrie vleugels krijgt.,,,https://brainportindustriescampus.com,,,https://www.linkedin.com/company/brainport-industries-campus/
BSS Holland B.V.,,Implementing Tactical Sensors-to-Effects Web (TSEW) emerging technology andoperational capability. We operate where it mattersmost.,info@bssholland.com,+31525216077,https://bssholland.com,,,https://www.linkedin.com/company/bssholland/posts/?feedView=all
C.N. Rood B.V.,,Your knowledge partner in test & measurement · Oscilloscopes & Accessories · Chassis & Modules & Controllers · Multimeters & Accessories · Power Supplies & Loads.,info@cnrood.com,+32 2 467 03 50,https://cnrood.com,,,https://www.linkedin.com/company/cnrood/
Capgemini,,"A global leader in consulting, technology services and digital transformation, we offer an array of integrated services combining technology with deep sector expertise.",,,https://capgemini.com,,,https://www.linkedin.com/company/capgemini
Carl Friederichs GmbH,,Spezialfahrzeuge und Qualität seit 1840 – direkt vom Hersteller in Frankfurt. Friederichs ist Ihr Partner für Fahrzeugbau und Sicherheit.,,,https://friederichs-frankfurt.de,,,
