company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
2Simple,Stand: S4,"For over 25 years, 2Simple has been creating innovative educational technology that supports teaching and learning. Best known for Purple Mash, our award-winning platform for primary schools, we help educators engage learners, develop essential skills and make a positive impact every day. Trusted by schools worldwide, our solutions are designed by education experts and shaped by the needs of teachers and students.",,,https://2simple.com,,London,
ABE Global,Stand: 1C20,"ABE Global is an internationally recognised, not-for-profit awarding organisation that has been developing business education since 1973. Regulated in the UK by Ofqual, ABE provides qualifications and services for schools, further and higher education, and training providers, including affordable pathways to UK degrees. Our portfolio includes internationally recognised qualifications in business, leadership and entrepreneurship; ABE Business Builder , our practical entrepreneurship programme; Future Workskills , focused on immediately applicable workplace skills; and ABE Endorsed , which independently quality assures programmes and provides successful learners with ABE-branded certification. In Malaysia, ABE qualifications benefit from established funding routes, including eligibility for EPF (KWSP) Education Withdrawal , alongside HRD Corp funding opportunities where applicable . ABE’s mission is to empower people to transform their lives and communities through high-quality education and skills development. ABE is an independent subsidiary of The Institute of Leadership (IoL) .",,,,,United Kingdom,
Acer for Education,Stand: 1B11-C10,"Acer for Education delivers innovative, reliable hardware, software, and services specifically designed to break barriers between people and technology in the learning environment. This specialized division is backed by Acer’s legacy as one of the world’s top ICT companies. Founded in 1976, Acer now operates in over 160 countries with a global workforce of more than 7,000 employees dedicated to the research, design, marketing, and support of forward-thinking solutions. As the company looks into the future, it is focused on seamlessly fusing hardware, software, and services to open up new possibilities across service-oriented technologies, the Internet of Things (IoT) and gaming. In the local market, Acer Malaysia anchors this global vision with award-winning excellence, having been recognized with the BrandLaureate Fast Moving, Growing, Sustainable Business & Brands Award 2024 – Brands of the Year. This accolade underscores its strong brand presence, rapid growth, and deep commitment to sustainability in Malaysia. To support schools, universities, and commercial enterprises alike, Acer Malaysia distributes a comprehensive portfolio of technology and lifestyle brands, including Acerpure, Altos, AOpen, Aspire, Nitro, Swift, TravelMate, Veriton, and Predator. This extensive ecosystem encompasses laptops, desktops, monitors, projectors, servers, peripherals, and air purifiers tailored to create modern, healthy, and highly connected educational spaces. For more information, visit www.acer.com.",,,https://acer.com,,Malaysia,
Activefloor,Stand: 1B22,"ActiveFloor is an innovative interactive learning solution that transforms any floor into an engaging digital learning and activity space. Using a projector and motion-tracking technology, users interact with educational games and activities through physical movement. Designed for schools, special education centres, senior care facilities and rehabilitation environments, ActiveFloor combines learning with movement to make activities more engaging and inclusive. It supports education, cognitive development, coordination, social interaction and physical activity, creating meaningful learning experiences for users of different ages and abilities.",,,,,Singapore,
Aktin Next,Stand: 1B31,"Aktin Next is an education technology company dedicated to bringing innovative learning solutions to schools and educational institutions. With a focus on preparing students for the future, Aktin Next provides cutting-edge educational tools that make learning more interactive, engaging, and relevant to the skills of tomorrow. By combining technology, educational resources, and practical classroom applications, Aktin Next helps schools stay ahead in an evolving education landscape. Aktin Next offers a diverse portfolio of educational technology solutions, including ClassVR, FunFloor, Scottie Go!, Photon, ClassWise, CyberFox, WhalesBot Robotics, Korbo, and Future Classroom. These solutions cover a wide range of learning needs, from immersive virtual reality and interactive learning environments to robotics, programming, and AI-powered learning platforms. Through these technologies, Aktin Next aims to empower educators with the tools and resources they need to create more dynamic learning experiences while helping students develop essential skills such as computational thinking, creativity, problem-solving, and digital literacy. Visit the Aktin Next booth at BETT Asia to discover our latest education technology solutions in action, and explore partnership and reseller opportunities for your school, institution, or region. Meet our team to learn how Aktin Next can support your education technology needs and help bring innovative learning experiences to more students.",,,https://aktinnext.com,,Puchong Selangor,
Applicaa,Stand: 1C11-D10,"Applicaa is a UK-founded EdTech company that builds admissions and enrolment software for schools worldwide. Two teachers at a London secondary school, Guthrie Denniston and Tim Dixon, started the company in 2014 after struggling with paper-based admissions and manual data entry into their school's management information system. That experience led to Admissions+, first developed in 2016 and now used by over 2,500 schools, colleges and trusts. Admissions+ integrates directly with the MIS platforms many international schools already rely on, including iSAMS, SIMS, Bromcom and Arbor, so applicant data moves straight into student records without duplicate entry. Schools manage enquiries, applications, offers, enrolment and in-year transfers through customisable forms, automated parent communications and real-time dashboards. From summer 2026, an AI agent named Emma joins the platform, handling parent and staff queries, drafting follow-ups on stalled applications and creating events, communications and reports from plain-language instructions, so staff complete admin faster while staying in control, reviewing each action before it goes live.",,,https://applicaa.com,,London,
ATHE Awards for Training and Higher Education,Stand: 1D11-E10,"ATHE Academy is an innovative digital gateway designed to connect learners, recognised ATHE centres, and partner universities through a seamless global education journey. Built as an intuitive and interactive web app, the Academy helps students explore ATHE qualifications, discover approved centres, access progression opportunities with UK and international university partners, and engage with wider learning resources and CPD-certified courses. Supporting learner autonomy, it serves as a comprehensive knowledge hub that supports informed choices and lifelong learning. This new platform strengthens ATHE’s commitment to accessible, relevant, and internationally respected education. Regulated by Ofqual since 2011, ATHE works with more than 200 centres across 35 countries and has supported over 100,000 learners worldwide through qualifications spanning Levels 2 to 7 in areas such as business, accounting, law, digital technologies, and healthcare. By combining trusted qualifications, recognised progression pathways, and innovative learner support, ATHE Academy will create a connected global ecosystem that empowers students, educators, and international stakeholders to achieve academic progression, professional development, and greater global mobility.",,,,,Norwich,
BatOnRoute - School Transport App,Stand: 1C23,"BatOnRoute is a software for school transport that helps to manage and optimize the school bus routes. It does not require installation of any hardware on the buses. It provides the Parents with peace of mind while improving the management of school buses for schools by providing real-time information. BatOnRoute improves the communication with the Parents by sending automatic notifications (proximity of the bus, delays, the child’s embark and disembark) and allowing them to notify the school about the absences and change of routes using their parental app. The schools, on another hand, increase safety during their school runs, gain a better insight to what is happening during school transport by means of a wide variety of reports and reduce their administrative workload. BatOnRoute helps to manage the routes of over 900 schools in 30 countries. It is integrated with many schools' MIS, iSAMS and PowerSchool among others.",,,https://batonroute.com,,Valencia,
Blocksi,Stand: 1C40,"Blocksi takes pride in being a global software provider with over a decade of experience in the industry. Our solutions include internet filtering to safeguard students from harmful content around the clock, seamless classroom organization tools for educators, and student safety.",,,https://blocksi.net,,United States,
Bolt Inventors,Stand: 1A23,"Bolt Inventors brings STEM and design thinking to life through hands-on learning for students in Grades 1–12. Our complete programs combine practical invention kits, engaging storytelling, coding, and real-world problem solving to help students develop creativity, confidence, and engineering skills. Designed for classroom teaching, after-school enrichment, and holiday camps, each program includes tools and materials, structured lesson plans, videos, workbooks, and teacher training. Educators also gain access to the Bolt Vault, our digital teaching resource library. From exploring circuits and simple machines to building and programming robots, Bolt Inventors makes it easier for schools to deliver inspiring STEM experiences without specialist laboratories or expensive equipment.",,,,,Taiwan (Province of China),
