company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
22 VATIOS SL,,,,info@22vatios.com | +34912620457,https://22vatios.com,"Avenida de los Pirineos 9, San Sebastián de los Reyes, M, 28703, Spain",,
3M,,,,,https://3m.com,"Juan I. Luca de Tena, 19-25, MADRID, MADRID, 28027, Spain",,
ABB,,,,,https://new.abb.com,"Calle de San Romualdo 13, Madrid, 28037, Spain",,
ACAI DEPURACION SLU,,,,info@acaidepuracion.com,https://acaidepuracion.com,"Calle Valle de Plan P21, MONZON, Huesca, 22400, Spain",,
Accesfluid,,,,comercial@accesfluid.com | +34937811612,https://accesfluid.com,"CALLE SEVA (L'AMETLLA PARK) 2, L'AMETLLA DEL VALLES, Barcelona, 08480, Spain",,
ACT (Intronics),,,,,https://intronics.es,"Calle Eslovenia 15, Málaga, 29004, Spain",,
AEP GLOBAL,,,,,https://globaleye-ssow.com,"Lothing House7 Quay View Business Park, Lowestoft, Suffolk, NR32 2HD, United Kingdom",,
AGR Integral Engineering Solutions,,,,,,"Ronda de Narcís Monturiol y Estarriol 5 Planta 3, Valencia, 46980, Spain",,
Anord Mardix,,,,,https://anordmardix.com,"Castle MillsAynam Road, Kendal, Cumbria, LA9 7DE, United Kingdom",,
AOKLY,,,,,,"Unit 2508, DFC, Huli District, Xiamen, Fujian, 361000, China",,
APP CONSULTORIA DE GESTION DE PROYECTOS SL,,,,academy@app-consultoria.com | +19297927676,https://app-consultoria.com,"Paseo de la Castellana, Madrid, M, 28046, Spain",,
ASELCOM,,,,924276850,https://aselcom.com,"Plgo. Ind. El Nevero, Complejo La Mar, Nº6, Badajoz, 06007, Spain",,
Austin Hughes,,,,inquiry-americas@austin-hughes.com | +1 (510) 656 2888,https://austin-hughes.com,"Unit 1, Chancery Gate Business CentreManor House Avenue, Southampton, Hampshire, SO15 0AE, United Kingdom",,
BAC,,,,europe@baltimoreaircoil.com,,"Industriepark Zone A1, Heist op den berg, 2220, Belgium",,
Balmoral Tanks,,,,group-website@balmoral.co.uk,https://balmoral-group.com,"Barrowfield Road, ROTHERHAM, South Yorkshire, S63 0EW, United Kingdom",,
Barco,,,,,https://barco.com,"Beneluxpark 21, Kortrijk, 8500, Belgium",,
BARPA,,,,info@barpa.eu,https://barpa.eu,"473 Rua Noé Pereira, Fânzeres, 4510-706, Portugal",,
Belimo,,,,datacenters@belimo.com | +91 7828013266,https://belimo.com,"CALLE SAN ROMUALDO, 12 - 14 2ª-PTA. 2, Madrid, 28037, Spain",,
Bender Iberia,,,,info@bender.es | +34 91 3751202,https://bender.es,"Calle de Fuerteventura 4, San Sebastián de los Reyes, 28703, Spain",,
Bergvik Sweden AB,,,,,https://bergvik.com,"Fabriksvägen 9, Bergvik, 826 67, Sweden",,
Blygold España,,,,comercial@blygold.es | 968554881,https://blygold.es,"Calle Luis de Góngora 51, Balsapintada, 30332, Spain",,
BOX INTEGRATION SYSTEMS S.L.,,,,press@boxis.es,,"Calle de Felipe Sanclemente, Zaragoza, Z, 50001, Spain",,
Brother Iberia,,,,,https://brother.es,"Julian Camarillo 57, Madrid, 28037, Spain",,
CAP INGELEC,,,,contact@capingelec.com,https://capingelec.com,"18 Rue Pythagore33, Merignac, 33700, France",,
Carrier,,,,,https://carrier.com,"Route de Thil, Montluel, 01120, France",,
CGH Group,,,,info@cgh.com.pl | +48 (52) 370 66 66,https://cgh.com.pl,"39 Srebrna, Bydgoszcz, M. Bydgoszcz, 85-461, Poland",,
CIMC Digital Power,,,,,https://cimc.com,"Shajiao Industrial Zone, Da'ao Town, Xinhui District,, Da'ao Town, Xinhui District,, Jiangmen City, 529144, China",,
CLIVET TECNA,,,,comercial@tecna.es | 91%20628%2020%2056,https://tecna.es,"Carretera de Fuente el Saz, ALGETE, Madrid, 28110, Spain",,
Cobra,,,,,,"Calle de Cardenal Marcelo Spínola 10, Madrid, 28016, Spain",,
Comaple,,,,colombia@comaple.com,https://comaple.com,"AVENIDA CASTILLOS (URB. VILLAFRANCA DEL CASTILLO) 1, VILLANUEVA DE LA CAÑADA, Madrid, 28692, Spain",,
Commscope,,,,,https://commscope.com,"Avenida de Europa 19, Alcobendas, Madrid, 28108, Spain",,
Condair,,,,es.info@condair.com | +34915318218,https://condair.es,"Calle de Baracaldo 37, Madrid, Madrid, 28029, Spain",,
Consolis Tecnyconta,,,,,https://tecnyconta.es,"Carretera Gallur 11, Tauste, 50660, Spain",,
CSB Battery,,,,,,"Gran Canaria 37  Humanes De Madrid,, Madrid, Madrid, 28970, Spain",,
DAIKIN,,,,900324546,https://daikin.es,"Calle Vía de los Poblados 1, Madrid, M, 28033, Spain",,
DConcept,,,,,https://dconceptgroup.com,"Pº de la Castellana, 194, Madrid, 28046, Spain",,
DELTA,,,,,,"Zandsteen 15, Hoofddorp, Hoofddorp, 2132 MZ, Netherlands",,
DFUN,,,,,,"Room 1701, Block A, Longhua District Digital Innovation Center (Hongruiyuan Beizhan Center), Beizhan Community, Minzhi Subdistrict,, (Hongruiyuan Beizhan Center), Beizhan Community, Minzhi Subdistrict,, Longhua District, China",,
Digatel Telecomunicaciones,,,,digatel@digateltelecom.com | 918255358,https://digateltelecom.com,"AVENIDA REAL DE PINTO, 91 - A 16, MADRID, Madrid, 28021, Spain",,
DJK Europe GmbH,,,,+36 1 235 0323,https://djkeurope.com,"Mergenthalerallee 79-81, Eschborn, HE, 65760, Germany",,
Dorlet,,,,,https://dorlet.com,"Albert Einstein 34, Miñano Mayor, Alava, 01510, Spain",,
DOW,,,,,https://dow.es,"Calle de José Abascal 56 - Planta 5, Madrid, Madrid, 28760, Spain",,
EAE FRANCE SAS,,,,info@eaeitalia.it,,"Via Andegari 4, Milano, 20121, Italy",,
Eaton,,,,,https://eaton.com,"Plaça d'Europa 9-11, L'Hospitalet de Llobregat, 08908, Spain",,
ebm-papst,,,,,https://ebmpapst.com,"Avenida del Sistema Solar 29, San Fernando de Henares, Madrid, 28830, Spain",,
EMERSON,,,,,https://emerson.com,"Fosse House 6 Smith Way Grove Park Enderby, Leicester, LE19 1USX, United Kingdom",,
EMKA Beschlagteile Ibérica S.L.,,,,,https://emka.com,"Polígono Industrial Planarresano 78, Arnedo, La Rioja, 26580, Spain",,
Energetus,,,,energetus@energetus.com,https://energetus.pt,"R. Castilho 1, 6th floor, Lisboa, Portugal, 1250-096, Portugal",,
