company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
2NDSPACE S.r.l,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
4iG Space and Defence Technologies,1B -08a,,,,,,,
ADR - ALCEN,1H -04,,,,,,,
Airbus,1E -04,,,,,,,
Alca Technology S.r.l (ALCA SPACE),"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
American Institute of Aeronautics and Astronautics (AIAA),1C -08,,,,,,,
"AMS Kepler Space, Defence & Systems",2A -07,,,,,,,
Angelantoni Test Technologies S.r.l.,2G-05a,,,,,,,
Angolan National Space Program Management Office (GGPEN),2G-06,,,,,,,
Antwerp Space,2A -04,,,,,,,
Anywaves,1H -06,,,,,,,
APCO Technologies,1G -08,,,,,,,
Archimede S.r.l.,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
ARGOTEC,2F -02,,,,,,,
ArianeGroup,1G -07,,,,,,,
Arkadia Space,1D -10,,,,,,,
ArkEdge Space Inc.,"1F -04, 1F-02",,,,,,,
ARQUIEMIA,1D -10,,,,,,,
ASELSAN Elektronik Sanayi ve Ticaret A.Ş. (ASELSAN),1E -02,,,,,,,
ASENSE,1D -10,,,,,,,
Astradyne S.r.l.,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
Astroscale Holdings Inc.,2E -03,,,,,,,
Avio S.p.A.,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
AVS,1D -10,,,,,,,
Axient Systems,2A -08,,,,,,,
BAE Systems Digital Intelligence,1D -02,,,,,,,
"Beijing Creatunion Parallel Space Technology Co., Ltd. - (Creatunion Space)",1A -03,,,,,,,
"Beijing Galactic Energy Equipment Technology co., Ltd (Galactic Energy)",2F -04,,,,,,,
"Beijing Minospace Technology Co, Ltd (Minospace)",1A -14,,,,,,,
Belgium Space,2A -04,,,,,,,
Berlin Space Technologies GmbH (BST),"1H -18, 1F-08,1H-16",,,,,,,
Beyond Gravity,1G -08,,,,,,,
Bizu Tecnologias Aeroespaciais e Serviços LTDA (BIZU SPACE),2A -07,,,,,,,
Brazilian Space Agency (AEB),2A -07,,,,,,,
Bremen/Bremerhaven - City of Space,"1H -18, 1F-08,1H-16",,,,,,,
