company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
A. W. Faber-Castell Austria GmbH,,Brands and description: Faber-Castell. Product areas: LE,info@faber-castell.de,+49 (0) 911 9965-0,https://faber-castell.at,,,
AiKita - Kindergartenpädagogik. Smart gedacht,,AiKita,office@aikita.at,09.21.1840,https://aikita.at,,,
ASTRUP Group,,"by Astrup Group, Mamamemo",contact@astrupgroup.com,+45 97371020,https://astrupgroup.com,,,
Aurednik GmbH,,"Brands and description: Möbel - Firma Ehring. Product areas: BI, EI",,,https://aurednik.de,,,
AWS - Arbeitsgemeinschaft Wirtschaft und Schule,,"BI, ME",,,https://aws.ibw.at,,,
Benediktinerstift Kremsmünster,,BI,,+43 (0) 75 83 52 75-0,https://stift-kremsmuenster.at,,,
Beratungsstelle Legasthenie & Dyskalkulie; Akademie Mototherapie,,"BI, IN",legasthenie@gmx.eu,0660 / 34 55 006,https://legasthenie-gewusst-wie.at,,,
Bewegte Schule Österreich,,"Brands and description: Sport Thieme, Ergomöbel Leitner. Product areas: BI",,,https://bewegteschule.at,,,
bildung4alle,,"BI, ME",info@bildung4alle.at,+43 676 56 16 767,https://bildung4alle.at,,,
Bildungsdirektion für Oberösterreich,,,,,,,,
BIO AUSTRIA,,"Brands and description: BIO AUSTRIA. Product areas: BI, FI",,,https://bio-austria.at,,,
bit media education solutions GmbH,,"Brands and description: SOKRATES; Schulanmeldung, Schulverwaltung, Digitales Kassenbuch. Product areas: BI, KI",office@bitmedia.at,+43 (0) 316 / 28 66 60,https://bitmedia.at,,,
boesner Künstlerbedarf,,"KI, ME",marketing@boesner.at,+43 1 769 73 76 - 310,https://boesner.at,,,
BOGUEN,,,,,https://aonecre.com,,,
Brain Gym Österreich,,,,,https://braingym-oesterreich.at,,,
"Bundesministerium f. Arbeit, Soziales, Gesundheit, Pflege u. Konsumentenschutz (BMASGPK)",,"IN, ME",,,https://bfw.gv.at,,,
