company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
109 PRESTATAIRE TECHNIQUE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
A2K TECHNOLOGIES,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
ABSCISSE AGENCY,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
AFFECTIVE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
AGENCE IRO,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
AIRSTAR,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ALLTHEWAY,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
ALLUMEE - DRONE SHOW,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
ALUVISION,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ANIMAPHOT FRANCE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ANIMATIONS LOISIRS FRANCE,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
ANIMOTION,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
APSYS,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ARTEMPO,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ATELIER CASSANDRE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ATELIER FELLETIN,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
AUX BELLES POULES,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
BACKSTAGE DESIGN & PRINT,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
BAMBINO FIESTA,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
BAR EXCELLENCE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
BEMATRIX FRANCE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
BIERE TRUCK,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
BILLETWEB,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
CAPSUL EVENTS,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
CAPTAIN VEGETAL,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
CHOUP'S,,,,,https://choups.be,"Paris Expo Porte de Versailles, Paris, France",Paris,
CO-NECT,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
CORNOLE EVENTS,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
CREATIVE COCKTAIL,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
CRYSTAL DRONES,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
CYCLING TOUR COMPANY,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
D-VIEW EUROPE LTD,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
DATANAUTE - DATABOX,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
DAVID ROLLAND CHORÉGRAPHIES,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
DIGITEVENT,,,,,https://lanewsevenements.fr,"Paris Expo Porte de Versailles, Paris, France",Paris,
DMG MEDICAL,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
DOMAINE LE MEZO,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
DREAM INFLATABLES,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
DRINKFEFE,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
DTE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ECCOLALUNA,,,,,https://eccolaluna.be,"Paris Expo Porte de Versailles, Paris, France",Paris,
EFFET MER SIGNATURE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
EINAI,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ESCAPE GAME UNITED,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ESPACE CLACQUESIN,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ESSENCE EXHIBITION SERVICES,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ESSENCE France,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
EVENTMAKER,,,,,https://saas-francais.fr,"Paris Expo Porte de Versailles, Paris, France",Paris,
EVERYWHERE.EVENTS BY AVINIT,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
EXHIBIT GROUP,,,,,https://exhibitgroup.fr,"Paris Expo Porte de Versailles, Paris, France",Paris,
EYES UP GROUPE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
FEDERATION FRANCAISE DE TEAM BUILDING,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
FINE SERVICES PARIS,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
FLEURS BY RU,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
FONDERIE D'ART MACHERET,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
FORMAT EXPO,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
FREELANCES DE L'EVENEMENTIEL,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
FRENCH TROLLEY,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
FRIZBOOTH,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
FUTUR WATTS,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
GL EVENTS,,,,,https://gl-events.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
GPS,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
GRAND FINAL FIREWORKS,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
GROUPE AUTREMAN,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
GROUPE NOVELTY,,,,,https://groupe-novelty.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
GSF EVENTS,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
HIMALAYA EVENT SARL,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
HOTEL LE BELLUNE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
HOUSE OF SANABRA,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
IBRIDGE PEOPLE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
ID2STAND,,,,,https://id2stand.fr,"Paris Expo Porte de Versailles, Paris, France",Paris,
IMAGIN'EXPO,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
IMERSIA,,,,,https://imersialab.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
IMPACT EVENEMENT,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
INTERCOM-FRANCE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
INVENT APP,,,,,https://mybusinessevent.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
J2C COMMUNICATION,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
JEAN-CLAUDE GUILLOUX,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
JJS STAND,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
KONLIGO,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
L.CAPS,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
LA BARGE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
LA BOULISTERIE,,,,,https://laboulisterie.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
LA COMPAGNIE DES ELFES,,,,,https://lotexpo.com,"Paris Expo Porte de Versailles, Paris, France",Paris,
LA SPHERE,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
LAB EVENT,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
LE GROUPE GARDEN,,,,,,"Paris Expo Porte de Versailles, Paris, France",Paris,
