company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Activate Games Scandinavia AS,,,,,,,,
Altibox / Viken Fiber,,,,,,,,
Arcanes Craft,,,,,,,,
Artstroworldz by Maria Röch,,,,,,,,
Asmodee Nordic,,,,,,,,
Battleblade Productions,,,contact@battlebladeproductions.com,,https://battlebladeproductions.com,,,
Bengal DA,,,,,,,,
Bjerkely Folkehøyskole,,,bjerkely@bjerkely.fhs.no,62956500,https://bjerkely.fhs.no,,,
Ble the Hicka,,,,,,,,
Bloodline,,,hello@muscadinebloodline.com,90404 (310) 865-4000,https://muscadinebloodline.com,,,
Buskerud Folkehøgskole,,,post@folkehogskole.no,+4722474300,https://folkehogskole.no,,,
Cardcenter.no,,,kundeservice@cardcenter.no,90 27 71 22,https://cardcenter.no,,,
Catzy Munster,,,,,https://munsterish.carrd.co,,,
Chrom / Tactic,,,,21.9.2026,https://games.tactic.net,,,
Ciirche,,,,,,,,
COD,,,,,,,,
Cosplay Village,,,,,,,,
Crusaders Retro-Museum,,,,,,,,
Den Norske Bank ASA,,,cybercell@iob.in,18008904445,https://iob.bank.in,,,
Design by you,,,,,,,,
Doggofashion LTD,,,,,,,,
Dr. Oetker,,,,,https://oetker.ca,,,
DrakoshaCreations,,,,,,,,
EA – FC 26,,,,,,,,
Eduplanet AS,,,,,,,,
Elkjøp,,,,1790061056,https://elkjop.no,,,
Erimagi – Erica,,,,,,,,
Escape The Quack,,,,,,,,
eternal-s,,,,,,,,
Fast Candy,,,,,https://fastcandy.no,,,
Fishermanns friend Spillbinge,,,,,,,,
Folkehøyskolen Sørlandet,,,,,,,,
Forever Living,,,,,https://foreverliving.com,,,
Forsvaret,,,,,https://forsvaret.no,,,
Fow AS,,,,,,,,
Fra Øverste Hylle – ViQueens,,,,,,,,
Fritia,,,,,https://fritia.no,,,
Gamer.no,,,,,https://gamer.no,,,
Gandalf Distribution AB,,,info@gandalf.se,+46 40 671 2000,https://gandalf.se,,,
Gårds og Bygdemat AS,,,,,,,,
HADE Norge,,,,,,,,
Hardanger Folkehøyskole,,,,,,,,
Head Hunter Store,,,,,,,,
Hyperion,,,,,https://hyperionrobotics.com,,,
Høyskolen i Østfold,,,,,,,,
Icd instinctive clothing & design KG,,,,,,,,
Ida Åvestad,,,,,,,,
Jakub Koda Folkson,,,,,,,,
Julia Flaig,,,,,https://juliaflaig.substack.com,,,
Just Dance,,,,,https://justdance.fandom.com,,,
Kanoncon,,,,9192 6677,https://kanoncon.no,,,
Kristina K Brekke,,,,,,,,
Lady Chaos Tattoo,,,,,,,,
Lekia,,,,,,,,
Lillestrøm Kommune,,,,,https://lillestrom.kommune.no,,,
Lysnes Drum Service,,,,,,,,
Lær Kidsa Koding,,,,,,,,
Marios Dalavouras,,,,,,,,
Mathias Dønnestad Illustrasjon,,,,,,,,
Medecins Sans Frontieres/Leger uten grenser,,,,,,,,
Metalheads against bullying,,,,,https://against-bullying.com,,,
Metizport Sport AS,,,,,,,,
Mia Karlsen,,,,,,,,
Midgard Games,,,rune@midgardgames.no,+47 92225569,https://midgardgames.no,,,
Midnight dynamics,,,,,,,,
Mr. Shogun,,,kundeservice@mr-shogun.no,+47 40 73 08 28,https://mr-shogun.no,,,
Namdals Folkehøgskole,,,post@folkehogskole.no,+4722474300,https://folkehogskole.no,,,
Nedreportalen,,,,,,,,
Neo Tokyo,,,webstoreorders@neo-tokyo.no,,https://neo-tokyo.no,,,
Nestlé/KITKAT,,,,,https://nestle.com,,,
Nintendo,,,,,https://nintendo.com,,,
Nordic Book Adventure Nordby,,,,,,,,
Nordisk Film Distribusjon – Hunger Games,,,,,,,,
Norges Kubeforbund/Nordicube,,,,,,,,
Norges Luftsportforbund,,,,,,,,
North Hylian Sletten,,,,,,,,
Norwegian Garrison,,,,2022 77.360,https://norwegiangarrison.no,,,
NTNU Lid,,,,,,,,
Oarlock AS,,,,,,,,
Odeon Kino AS,,,,,https://odeonkino.no,,,
Odinski Illustrations,,,,,,,,
Oslo Met Gaming,,,,,https://oslometgaming.no,,,
Oslo Røde Kors / Korspåhalsen,,,,,,,,
OSM Aviation Academy AS,,,,,,,,
Outland,,,cs@outlandusa.com,2005-2026,https://outlandusa.com,,,
Penta Forlag,,,,,,,,
POKELINK.no,,,pokelinknorge@gmail.com,09/08/2026,https://pokelink.no,,,
Rainbow Island,,,,,,,,
Redbull,,,,1790061056,https://redbull.com,,,
Retroplay.se,,,,,,,,
Robert Jahnsson,,,,,,,,
Skagerrak,,,,,,,,
Skintific AS – clearstart,,,,,,,,
Smash Norge,,,kontaktsmashnorge@gmail.com,913778642,https://smashnorge.no,,,
Spillavhengighet-Norge,,,kontakt@spillavhengighet.no,47700200,https://spillavhengighet.no,,,
Spilldall,,,,,,,,
Spillexpo Merch,,,,,,,,
Spillhuset,,,,,,,,
Start NTNU,,,,,https://ntnu.edu,,,
Stiftelsen Norsk Luftambulanse,,,post@norskluftambulanse.no,64904300,https://norskluftambulanse.no,,,
Stine Kasa Hansen,,,,,,,,
Story House Egmont AS,,,,,,,,
Suncloud Art,,,,,,,,
Sunnhordland Folkehøgskole,,,post@folkehogskole.no,+4722474300,https://folkehogskole.no,,,
Tealand,,,,,https://tealand.net,,,
The Urban Legend,,,,,https://theurbanlegend.com,,,
Tikocosplay Chan,,,,,,,,
Tinerific,,,,,,,,
Ung i Trafikken,,,post@ungitrafikken.no,90964646,https://ungitrafikken.no,,,
Ungdom og fritid flisespikkeriet,,,,,,,,
Universitetet i Innlandet,,,,,,,,
University AS,,,,,,,,
Valkyrje designs Andersen,,,,,,,,
Vendcomatic,,,,,,,,
Vinter Thomassen,,,,,,,,
Wacom,,,,,https://estore.wacom.com,,,
Zilo Media AS,,,,,,,,
