company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
2G Energy Ltd,101,"2G Energy Ltd, the UK subsidiary of 2G Energy AG, is a global leader in combined heat and power (CHP) systems, delivering reliable, high-efficiency energy solutions. With over 10,000 installations worldwide, 2G supports a wide range of sectors, including data centres where efficiency and reliability are critical. Our CHP systems enable decentralised power generation, improve energy efficiency, and enhance resilience for demanding operations. Learn more www.2-g.com «",sales@2-g.com,+44 (0) 1928 718533,https://2-g.com,"Unit 1 Sycamore Court, Warrington Road, Runcorn, WA7 1RS, United Kingdom",WA7 1RS,
Aalberts Integrated Piping Systems,108,"Aalberts integrated piping systems is one of the leading manufacturers of advanced plumbing, heating, and engineering products. We offer fully integrated piping systems in valve, connection, fastening and piping technology. The combination of our experts in the field of piping systems and our powerful and proven brands, such as Pegler, VSH, Apollo and Shurjoint, guarantees that Aalberts integrated piping systems is the ideal partner for your data centre project. We are the only company that truly offers customers a complete solution every time that is made and sourced from one and the same organisation. Don’t just buy products, buy solutions. «",info.uk@aalberts-ips.com,+44 (0) 1302 560 560,https://aalberts-ips.com,"St Catherine’s Avenue, Doncaster, DN4 8DF, United Kingdom",DN4 8DF,
ACS Drives & Solutions,402,"ACS Drives & Control Systems delivers specialist, end-to-end engineering solutions for data centres, critical industrial processes, utilities and public infrastructure across Ireland. Our expertise covers variable speed drives, motor control, power quality, condition monitoring, panel building and full lifecycle support. Working with world-leading technology partners—as an ABB Value Provider and Irish partner for Merus Power—we design, build, install and commission systems tailored to each application. Our experienced teams provide responsive diagnostics, maintenance, remote monitoring, emergency call-outs, drive hire and multi-brand support. We help customers across these sectors improve reliability, energy efficiency and operational performance, keeping industry moving safely and efficiently. «",sales@acsdrives.ie,+353 (0) 44 93 40242,https://acsdrives.ie,"Unit 21 Zone C, Mullingar Business Park, Mullingar, Co Westmeath, N91 VX4V, Ireland, Republic of",Ireland,
Activ8 Solar Energies,441,"Activ8 Solar Energies is one of Ireland’s leading providers of commercial and utility-scale solar solutions. Since 2007, we have delivered high-quality rooftop and ground-mount systems for clients across data centres, manufacturing, agri-food, logistics, pharmaceuticals, and public infrastructure. With full in-house design, engineering, and installation teams, Activ8 manages every stage of a project — from feasibility and planning to commissioning and long-term performance. We support organisations seeking direct investment in solar as well as those exploring Power Purchase Agreement (PPA) models to reduce capital outlay. Backed by our partnership with SSE Airtricity, we offer scale, expertise, and reliability for long-term energy savings. «",info@activ8energies.com,042 969 0352,https://activ8energies.com,"Nexus N2 Business Park, Carrickmacross, Co Monaghan, A81 XK73, Ireland, Republic of",Ireland,
Advantage Forwarding,534,"Advantage Forwarding Limited are Part of the Westdijk Group. As part of the Westdijk Group we offer full project management and exceptional transport across Europe, with our own offices in Ireland, Uk, Netherlands, Sweden and Poland and making use of our own fleet and Cranes we have over 6 years of continual experience in Data Centre Logistics. We work with Suppliers, Contractors and site Management teams to ensure deliveries to meet site schedules. «",greg@advantageforwarding.eu,+353 (0) 429663291,https://advantageforwarding.eu,"UNIT 6 CRV Buildings, Ardee Road, Co. Louth, A91NR23,",Co. Louth,
AEP Global,511,"Safe systems of work (SSOW) for onshore and offshore industries through specialist commissioning, operations, and maintenance delivery across mission critical projects. AEP Global supports Data Centres with turnkey solutions including a full permit office team and Electronic PTW and Isolation software GlobalEye SSOW. «",sales@globaleye-ssow.com,+44 (0)1493 803908,https://globaleye-ssow.com,"Boho 6, Linthorpe Road, Middlesbrough, North Yorkshire, TS1 1RE, United Kingdom",TS1 1RE,
AJ Power,523,"AJ Power is a global manufacturer of diesel generator solutions, delivering reliable standby and prime power systems for mission-critical data centre environments. Our generating sets, ranging from 10kVA to 2800kVA, are engineered to provide dependable backup power, ensuring continuous operation during utility outages where downtime is simply not an option. From single generator installations to complex multi-megawatt synchronised power systems, AJ Power offers project delivery, including design, manufacturing, testing, commissioning and aftersales support. With expertise in low, medium and high-voltage diesel power generation, we deliver bespoke, scalable solutions trusted by data centre operators worldwide for reliability, performance and business continuity. «",sales@ajpower.net,+44 (0) 28 3836 1000,https://ajpower.net,"1 Charlestown Drive, Craigavon, BT62 1LY, United Kingdom",BT62 1LY,
Alpha Automation & Controls,819,"Alpha Automation is a trusted systems integrator delivering end-to-end automation solutions for industry. From PLC and SCADA programming to the complete design and build of control panels, the team combines deep technical expertise with a hands-on, practical approach to every project. Alpha Automation has delivered data centre projects across Europe, working with leading operators to deliver reliable, mission-critical automation and control solutions, alongside a strong track record across a range of other industrial sectors. Backed by in-house manufacturing capability and a genuine commitment to quality at every stage, Alpha Automation is the go-to partner for businesses seeking dependable, efficient control solutions built to last. «",sales@alphaautomation.ie,+353 (0) 21 206 6555,https://alphaautomation.ie,"Block A1, Fota Business Park, Killacloyne, Carrigtohill, Co. Cork, T45 NX97, Ireland, Republic of",Ireland,
AMP Controls & Solutions,811,"AMP Controls and Solutions is an Ireland-based specialist in high-power busbar systems, lighting controls and electrical maintenance solutions. We work closely with electrical contractors, delivering reliable, high-quality solutions tailored to project requirements. Our busbar offering includes prefabricated systems from 25A to 6300A, complete with populated tap-off boxes and bespoke configurations. In lighting controls, we represent leading manufacturers including Tridonic, Helvar and Hydronic, providing advanced control solutions for a wide range of applications. We also supply and support central emergency lighting systems, including central battery and DALI solutions. Our focus is technical expertise, flexibility, quality and dependable customer support. «",aidan@ampsolutions.ie,+353 (0) 1 642 6499,https://ampsolutions.ie,"2B Kylemore Industrial Estate, Killeen Road, Dublin 10, D10 H397, Ireland, Republic of",Ireland,
Aquatherm UK,502,Aquatherm is a manufacturer of polypropylene pipework for use in data centres. Our fusion welded solution is leak free and all pipes come with environmental product declarations that detail the low embodied carbon used to produce them. Come and see us on Stand 604 to learn more about cooling your data centre! «,enquiries@aquatherm-uk.com,+44 (0)1 444 250 500,https://aquatherm.de,"Unit 9 Saracen Close, Gillingham Business Park, Gillingham, Kent, ME8 0QN, United Kingdom",ME8 0QN,
