company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
193 Gallery,,"193 Gallery was created in 2018 around a genuine passion for art, encounters and discovery. Through its artistic selection and strong scenographic proposals, the gallery, housed at 24 & 21 rue Béranger in Paris, offers an opportunity to discover color and matter, and the diversity and legitimacy of the world's...",online@193gallery.com,+33 1 45 31 54 16,https://193gallery.com,Paris,Paris,
272 Gallery,,Principal & projets Prismes,,,https://twoseventwogallery.com,Toronto,Toronto,
Actes Sud,,"Actes Sud est une maison d'édition généraliste et indépendante, fondée en 1978. Elle soutient et encourage la créativité de tous ceux qui participent à son aventure éditoriale et f…",,,https://actes-sud.fr,Arles,Arles,
AFRONOVA,,"Since its establishment in Johannesburg in 2005 by Henri Vergon, AFRONOVA GALLERY has been a space for developing and consolidating an innovative gallery",,,https://afronova.com,Johannesbourg,Johannesbourg,
Akio Nagasawa,,Principal & projets Prismes; Editions,,,https://akionagasawa.com,Tokyo,Tokyo,
Alarcón Criado,,Principal & projets Prismes,,,https://alarconcriado.com,Séville,Séville,
Alberto Damian,,"A gallery specialized in photographs of the 20th and 21st century. Artists: Letizia Battaglia, Ron Galella, wowe, Fabio Zonta, ...",,04916820261,https://albertodamian.com,Treviso,Treviso,
Alexandra de Viveiros,,Home - Alexandra de Viveiros gallery,,,https://alexandradeviveiros.com,Paris,Paris,
Alta,,"Alta is a fine art photography gallery in Anyós, Andorra, 1,342 meters above sea level. Classic, vintage and contemporary photography, by appointment.",sales@galeriaalta.com,,https://galeriaalta.com,Andorre,Andorre,
Anca Poterasu,,Principal & projets Prismes,,,https://ancapoterasu.com,Bucarest,Bucarest,
André Frère Editions,,Editions,,,https://andrefrereditions.com,Arles,Arles,
Anne de Villepoix,,"Depuis 1990, la galerie Anne de Villepoix présente de nombreux artistes émergents ainsi que des artistes plus confirmés. Utilisant un large éventail de médiums, les artistes proviennent de générations et de milieux culturels différents. Depuis mai 2018, la galerie a emménagé dans un nouvel espace dans le 11e arrondissement de...",,,https://annedevillepoix.com,Paris,Paris,
Anne-Laure Buffard,,"Galerie Anne-Laure Buffard artists: Bachelot & Caron, Diane Esmond, Ann Ray, Antoine Ronin, Robert Schad, Adrianna Wallis, Marine Wallon",contact@annelaurebuffard.com,+33) 01 45 31 72 51,https://annelaurebuffard.com,Paris,Paris,
Aperture,,"Aperture is a nonprofit publisher dedicated to creating insight, community, and understanding through photography.",,,https://aperture.org,New York,New York,
Art Paper Editions,,"APE (Art Paper Editions) is an independent publishing platform founded in 2010 by Jurgen Maelfeyt of Ghent-based design studio 6'56"". APE focusses on the book as an exhibition space and makes publications in close collaboration with artists, writers, institutions, galleries, and other cultural protagonists.",,,https://artpapereditions.org,Gent,Gent,
ARTEMIS,,"We are Artemis Gallery in Lisbon, Portugal. We are fiery and dynamic and this is what inspires us.",info@artemis-gallery.net,,https://artemis-gallery.net,Lisbonne,Lisbonne,
Atelier EXB,,Editions Xavier Barral,,,https://exb.fr,Paris,Paris,
Au Cube,,Au Cube - David Biard est située à Mâcon. La galerie collabore avec des artistes reconnus et confirmés tout en soutenant également des artistes émergents prometteurs.,,+330610275615,https://aucube.fr,Saint-Laurent-sur-Saône,Saint-Laurent-sur-Saône,
Augusta Edwards,,Augusta Edwards Fine Art,info@augustaedwards.com,,https://augustaedwards.com,Londres,Londres,
AUTOMATA,,"AUTOMATA is art that makes art. We are a gallery and curation studio staging releases and exhibitions that push the boundaries of autonomous art. From early algorithmic pioneers to today's creative agents, we produce cultural programming that defines what comes after AI.",,,https://automata.art,Berlin,Berlin,
Bacqueville,,"Gallery Bacqueville is a contemporary art gallery with exhibition locations in France and the Netherlands, representing established and promising artists from around the world.",contact@galeriebacqueville.com,06 99 69 04 04,https://galeriebacqueville.com,Lille,Lille,
Barnabé Moinard,,"Photographies vintages, classiques et modernes de collection par Barnabé Moinard.",,,https://barnabemoinard.com,Paris,Paris,
Bendana | Pinel,,"Galerie d'art contemporain au coeur de Paris, fondée en 2008, artistes internationaux, européens et latino-américains.",,,https://bendana-pinel.com,Paris,Paris,
BENE TASCHEN,,Principal & projets Prismes,info@benetaschen.com,+49 (0)221 3976 7482,https://benetaschen.com,Cologne,Cologne,
BIENVENU STEINBERG & C,,Principal & projets Prismes,,,,New York,New York,
Bigaignon,,"Bigaignon is a Paris-based contemporary art gallery. The line of the gallery finds its roots in the avant-garde movements of minimalism, conceptual art, light & space, abstract art, and in the fields of experimental & conceptual photography for which it has been playing a leading role for al",,+33183560582,https://bigaignon.com,Paris,Paris,
BILDHALLE,,Bildhalle is a gallery dedicated to classic and contemporary photography and photo-based art.,info@bildhalle.ch,+41 44 552 09 18,https://bildhalle.ch,Zurich,Zurich,
Binome,,Photographie contemporaine,info@galeriebinome.com,+33 (0)1 42 74 27 25,https://galeriebinome.com,Paris,Paris,
BLOW UP PRESS,,"BLOW UP PRESS is an independent publisher of bold, thought-provoking photobooks and lens-based art. Discover award-winning titles, emerging voices, and projects that challenge the way we see the world. BUP -> When the story matters.",orders@blowuppress.eu,,https://blowuppress.eu,Varsovie,Varsovie,
Bombon Projects,,Bombon is a contemporary art gallery based in Barcelona that also acts in other contexts such as international fairs and off-site projects.,info@bombonprojects.com,+34) 696696016,https://bombonprojects.com,Barcelone,Barcelone,
bookshop M,,「bookshop M」は芸術系写真集を出版している会社です。デザイン会社の「マッチアンドカンパニー」と提携しており、企画・編集・造本設計して、用紙・印刷・製本も最高のクオリティを追求しています。お手にとった写真集の感触と写真の世界を感じとっていただければ幸いです。,,53397-1234260315,https://bookshopm.base.ec,Tokyo,Tokyo,
Bruce Silverstein,,"Established in 2001, the Bruce Silverstein Gallery’s principal focus is the representation of an international roster of contemporary artists as well as established artists of great influence. The gallery is committed to discovering, examining, and contextualizing known and unknown artworks by modern masters as well as innovative artists of today....",,,https://brucesilverstein.com,New York,New York,
Bruno Tartarin,,Principal & projets Prismes,tartarin.photo@gmail.com,+33 (0)6 10 01 38 97,https://bruno-tartarin.gallery,Paris,Paris,
byGRIDA,,byGRIDA is an independent curatorial platform for ephemeral exhibitions and art fairs at the intersection of digital and contemporary art. Based in Paris.,,,https://bygrida.com,Paris,Paris,
Camara Oscura,,Somos una galería especializada en fotografía contemporánea internacional. Nuestros artistas participan en ferias de arte como ARCO. ¡Visítanos!,,,https://camaraoscura.net,Madrid,Madrid,
Camera Obscura,,Galerie de photographie contemporaine,,,https://galeriecameraobscura.fr,Paris,Paris,
Camilla Grimaldi,,Voices,,,https://camillagrimaldi.com,Rome,Rome,
carmen araujo arte,,carmen araujo arte®,info@carmenaraujoarte.com,+58 2129433979,https://carmenaraujoarte.com,Caracas,Caracas,
Carole Kvasnevski,,la Galerie Carole Kvasnevski assure la promotion et l'accompagnement des artistes du continent africain et de ses diasporas. Elle organise des expositions à Paris et participe aux foires et projets nationaux et internationaux.,,+33 6 50 58 94 96 39,https://galeriecarolekvasnevski.com,Paris,Paris,
CAROLE LAMBERT,,Principal & projets Prismes,,,,Paris,Paris,
Caroline O'Breen,,Galerie Caroline O'Breen Amsterdam,,,https://carolineobreen.com,Amsterdam,Amsterdam,
CASE,,"Founded in 2015, Case Publishing made its mission to expand the book into a rich and multifaceted platform for ever more art forms. Together with Japanese and international artists, Case Publishing elevates the art book into a new medium of expression by utilizing the unique strengths of books as objects and information carriers.",,,https://case-publishing.jp,Tokyo,Tokyo,
Casemore,,"Casemore Gallery was founded in San Francisco in 2015, and represents local and international contemporary artists and artists’ estates. Represented artists include Jim Goldberg, John Gossage, Todd Hido, Whitney Hubs, Steve Kahn, Sean McFarland Raymond Meeks, Sonya Rapoport, Raymond Saunders, Larry Sultan, Lindsey White, Suné Woods, and Kanoa Zimmerman. Originally...",,,https://casemoregallery.com,San Francisco,San Francisco,
Charim,,Charim Wien,,,https://charimgalerie.at,Vienne,Vienne,
