company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
2Move Industry,Stand E06,"Specialist in conveyor belt technology, industrial rubber products and industrial belts.",,,https://my.easyfairs.com,"3771 ME Barneveld, Netherlands",Barneveld,
A.T.W.T. Europe BV,Stand G07,,,,https://atwteurope.com,,,
Addictive Media - Schroot!,Stand G08,,,,,,,
Afvalgids.nl,Stand Afvalcafé,,,,https://afvalgids.nl,,,
Afvalwatertechniek NB Milieu BV,Stand A17,"Wastewater technology: monitoring, sampling, and analyzing for insight and a targeted solution.",,,https://my.easyfairs.com,"6095 ND BAEXEM, Netherlands",BAEXEM,
AMCS Group Nederland,Stand E18,"AMCS is the market leader in Performance Sustainability Software, enabling resource-intensive industries to boost sustainability and profitability. Built on three decades of experience, our specialist software solutions are designed by people who understand your business. Providing practical solutions for the resources, waste, recycling, transportation, and utilities industries. Headquartered in Ireland, and with offices in Europe, the USA, and Australasia, AMCS is a global market leader with over 1,300+ high-skilled employees. This combined expertise delivers extensive insight, helping customers to drive growth and achieve lasting success. As a trusted global partner, we already work with 5000+ customers in more than 80 countries, and manage in excess of 700,000 trucks. Delivering digital solutions that really make a difference by increasing customer satisfaction, enhancing sustainability, and boosting margins. At AMCS, we're ready to innovate with you - deploying our people, processes, and technology to drive your business forward and prepare you for success in a more sustainable, net zero carbon future. AMCS Sustainability that means business. www.amcsgroup.com",,,,,,
analyticon instruments gmbh,Stand G13,"analyticon instruments produce and distributes handheld analyzers for rapid alloy analysis. Our mobile XRF and LIBS spectrometers are ideal for simple and accurate metal sorting in the scrap yard. They analyze scrap pieces, chips, powder, dust and shredder fractions effortlessly and precisely. The devices deliver precise analysis results directly on site in seconds - exactly where they are needed. The spectrometers are extremely robust and so easy to operate that even users with no prior knowledge of chemistry can achieve precise results.",,,https://analyticon.eu,,,
Aqua + Sprinklersystemen BV,Stand DE9,"Fire safety specialist for waste and recycling. Sprinklers, detection and suppression, plus remote maintenance via Fuse.",,,https://nl.indeed.com,,,
Aquaco BV,Stand E01,Aquaco is a proven water specialist that manages everything in-house and can supply the necessary components itself.,,,https://my.easyfairs.com,"6718 XS Ede, Netherlands",Ede,
ARVI,Stand J17,"high-quality reuse of facing bricks from demolition, and an electric skid steer loader",,,https://arvielectric.com,,,
Attero BV,Stand Grondstof5,"Mineral waste? We see raw materials. With smart techniques, we turn it into new building materials.",,,https://attero.nl,,,
B&D Process Equipment B.V.,Stand D15,"CREATING CUSTOMIZED PROGRESS Uw specialist voor oplossingen op maat voor de behandeling van zand, grind, bouwafval, havenslib, cycloon techniek in de metaalrecycling, vervuilde grond en waswater in suikerfabrieken",,,https://rocketreach.co,,,
Banzo Engineering BV,Stand E08,"Banzo designs, manufactures, installs and maintains recycling plants. It is our goal to improve the quality and economic feasibility of recycling through modern and complete facilities that help cities and regions to process waste and create resources, in the Netherlands and throughout the world. With Banzo, you can rely on 75 years of experience. In recent years, we have experienced strong and steady growth by flexibly responding to questions from our customers. Installations are designed to customer specifications. By making use of standard components, we can quickly translate a design to a working plant. We take our responsibility very seriously, and in working with clients we continue to distinguish ourselves in the market by providing solutions that work.",,,https://rocketreach.co,,,
Barbon Insurance Brokers,Stand B28,We safeguard your business continuity and strengthen your negotiating position in the insurance market.,,,https://uniba-partners.com,,,
Best-Hall,Stand E15,from DESIGN to INSTALLATION heavy-duty FABRIC HALLS up to 100 METER FREE span,,,https://tripadvisor.com,,,
Bigbagstore.nl,Stand F04,"Bigbagstore is specialized in the sale of new Big Bags (FIBC's), used Big Bags, Big Bag containers, Big Bag Cars and other related products.",,,https://my.easyfairs.com,"8305AR Emmeloord, Netherlands",Emmeloord,
BLW Visser bv,Stand C06,"Early Fire Detection, Maximum Protection BLW Visser BV is proud to be the exclusive supplier of the innovative solutions of German company Orglmeister, specialising in infrared early fire detection. Orglmeister goes beyond traditional fire detection systems by focusing on early detection of critical temperatures, which is crucial for preventing fires. With more than 30 years of experience in infrared applications, Orglmeister develops, manufactures and installs advanced early fire detection systems equipped with smart infrared cameras and intelligent control of extinguishing systems. Their solutions are of high quality, innovative and use the latest technologies. At Orglmeister, customer satisfaction is key, where personal approach and good customer cooperation are valued. From advice on applications and system solutions to support with technical services, training and certifications: Orglmeister invests time in understanding your specific needs and processes to provide you with the best possible solution. We at BLW Visser BV look forward to assisting you with Orglmeister's advanced fire protection solutions and establishing a successful partnership. Feel free to visit our stand for more information!",,,https://indumation.be,,,
Bodemdiensten online,Stand Grondstof2,"Slimme digitale oplossingen voor bodem en milieu. Wij denken in digitale oplossingen die uw processen eenvoudiger maken. Of het nu gaat om bodembeheer, logistiek of andere operationele uitdagingen, wij bieden innovatieve softwareoplossingen die structuur en overzicht creëren, zodat u zich kunt richten op wat echt belangrijk is.",,,https://bodemdienstenonline.nl,,,
Bollegraaf Group,Stand C08,"With 65 years of experience, Bollegraaf has everything in-house to separate waste and optimize recycling facilities.",,,https://bollegraaf.com,,,
Branchevereniging Recycling Breken en Sorteren,Stand Grondstof10,,,,https://rie.nl,,,
