company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
ACT New Zealand,164,,,,https://homeandgardenshow.co.nz,,,
Adjusta Mattress New Zealand,109,,info@adjustamattress.com.au,,https://northlandfielddays.co.nz,,,
Advance Build,230,,info@advancebuild.co.nz,,https://advancebuild.co.nz,,,
AeroMax Energy,354,,,,https://aeromaxenergy.co.nz,,,
Air Conditioning Group,341,,air@aircongroup.co.nz,,http://aircongroup.co.nz,,,
Aligned Frequencies & Tall Poppies Rising,MP20,,melissa@alignedfrequencies.me,,,,,
Alpine Spas,118,,sales@alpinespas.co.nz,,https://alpinespas.co.nz,,,
AMORE,428,,Sales@totalkitchens.co.nz,,,,,
AMR Solutions (NZ) Ltd,136,,Mike@amrsol.co.nz,,http://amrsol.co.nz,,,
Annah Stretton,140,,wholesale@strettonclothing.co.nz,,https://annahstretton.co.nz,,,
Apex Construction Ltd,364,,,,,,,
Archishade,390,,admin@archishade.co.nz,,http://archishade.co.nz,,,
Arizto Real Estate,256,,michelle.g@arizto.co.nz,,https://michelle-goncalves.co.nz,,,
Arrowsmith Financial Services,253,,max@arrowsmithfs.co.nz,,,,,
Artful Elements,257,,info@artfulelements.co.nz,,https://artfulelements.co.nz,,,
Artisan Nuts,571,,,,https://wanakashow.co.nz,,,
Awakeri Rail Adventures,F21,,,,https://awakerirail.co.nz,,,
Back To Basics,MP07,,,,https://rangitahi.co.nz,,,
Badcock Law Limited,457,,,,,,,
BDVAir Limited,300,,info@bdvair.co.nz,,https://bdvair.co.nz,,,
Bean Better,SE14,,,,,,,
Beds4U,480,,tradeshow@beds4u.co.nz,,https://beds4u.co.nz,,,
BELLING,429,,Sales@totalkitchens.co.nz,,,,,
Blendbar,MP03,,,,https://blendbar.com,,,
Blossoms Boutique,MP15,,,,,,,
BMK Carpentry and Landscaping,LDA4,,,,,,,
BOSCH,429,,Sales@totalkitchens.co.nz,,,,,
Bratwurst Bros Ltd,SE8,,patrick@bratwurstbros.nz,,http://bratwurstbros.nz,,,
Cambridge Homes Holdings,349,,sales@cambridgehomes.co.nz,,https://cambridgehomes.co.nz,,,
Cambridge Rotary Garden Festival,MP04,,,,,,,
Cannon Hill Gourmet Foods,547,,,,https://kiwireviews.nz,,,
Cardrona Distillery Limited,548,,jonni@cardronadistillery.com,,https://nz.seek.com,,,
Cassada,133,,,,,,,
Certified Home Extensions,240,,emily@certifiedhomeextensions.co.nz,,http://certifiedhomeextensions.co.nz,,,
Classic Builders Waikato,392,,paul.caton@classicbuilders.co.nz,,https://classicbuilders.co.nz,,,
Cooking Classy Ltd,SE15,,,,,,,
Craft Shed,302,,,,,,,
Dam Doors Ltd,362,,sales@damdoors.co.nz,,http://damdoors.co.nz,,,
Damon Puddy Art,146,,,,,,,
Delicious Dosa,SE13,,,,https://weekendpath.com,,,
Doterra Essential oils,MP08,,,,https://doterra.com,,,
Ebbett Hamilton,499,,lynneb@ebbett.co.nz,,https://ebbett.co.nz,,,
Eden Juice,522,,,,https://homeandgardenshow.co.nz,,,
Elevated Spirits Tequila,504,,,,,,,
Ergovibes,163,,,,,,,
Euro Liquor & Skazka Seafood,517,,,,,,,
Foli Skincare,F06,,,,,,,
Fox Mowing & Gardening,221,,,,,,,
Fred's Exquisite Cabinates,155,,,,,,,
Get Your Crepe,533,,,,,,,
Good Spirits,512,,,,https://thebondstore.co.nz,,,
Green Tiger Interiors,100,,,,,,,
Greenscape Landscape & Garden Supplies,GL02,,accounts@greenscapesupplies.co.nz,,http://greenscapesupplies.co.nz,,,
H2GLO.NZ,566,,,,,,,
Habitat for Humanity,227,,,,https://habitat.org.nz,,,
Hard As Rocks Waikato,477,,,,,,,
Harvey Norman - Furniture,"238, OL11",,,,,,,
Hato Hone St John,439,,,,https://gardenartisan.co.nz,,,
Ideal buildings,106,,waikato@idealbuildings.co.nz,,https://idealbuildings.co.nz,,,
irelax,378,,,,https://homeandgardenshow.co.nz,,,
Jennian Homes Waikato Ltd,451,,,,,,,
Jk Bricks,371,,,,,,,
K Design Studio,149,,info@kaeinteiordesigns.co.nz,,http://kdesignstudio.co.nz%20%20%20%20www.kaeinteriordesigns.co.nz,,,
Kapiti Artisan Bakehouse Limited,513,,office@kapitiartisanbread.co.nz,,https://kapitiartisanbread.co.nz,,,
Karen Creighton,MP09,,karen@karencreighton.com,,https://vitalityhealth.co.nz,,,
Key Assets NZ,F24,,info@keyassets.co.nz,,https://keyassets.co.nz,,,
Kip McGrath Education Centres,F16,,,,http://lovetoride.net,,,
Kitchen Mania,400,,info@kitchenmania.co.nz,,https://kitchenmania.co.nz,,,
Kitchen Studio Waikato,373,,waikato@kitchenstudio.co.nz,,https://kitchenstudio.co.nz,,,
KITSET Assembly Services Hamilton,334,,les@kas.co.nz,,https://kitsetassemblyservices.com,,,
Kiwi Artisan,511,,,,https://kiwiartisan.co.nz,,,
Kova Smarter Surfaces,455,,greg.ryan@pplplastics.co.nz,,http://kova.co.nz,,,
Kubo Living Solutions,SH01,,info@kubo.co.nz,,https://kubo.co.nz,,,
Kure,F12,,Support@trykure.com,,https://homeandgardenshow.co.nz,,,
La Cocina,SE09,,,,https://booking.com,,,
Lammermoor Distillery,554,,,,https://taupodc.govt.nz,,,
Landmark Homes Waikato,487,,nigel.watson@landmarkhomes.co.nz,,https://landmarkhomes.co.nz,,,
Latitude Homes Waikato,340,,noel@latitudehomes.co.nz,,http://latitudehomes.co.nz,,,
Lee-thal Latte,559,,,,https://longbushcottage.co.nz,,,
Life Assure,449,,,,https://homeandgardenshow.co.nz,,,
LIFEWAVE | BE THE LIGHT with Rock the Boat,MP10,,deb@rocktheboat.life,,https://rocktheboat.life,,,
Lightforce Solar,132,,info@lightforce.co.nz,,https://lightforce.co.nz,,,
Lil' Orbits NZ,SE01,,lilorbitshamilton@hotmail.com,,,,,
Lions Club International 202L,F18,,cliff.heywood@gmail.com,,,,,
Liquoice Delights and Mega Cookies,551,,sales@liquoricedelights.co.nz,,https://liquoricedelights.co.nz,,,
Little Cherry Coffee Cart,D01,,littlecherrycoffeecart@gmail.com,,,,,
Louvre Systems,413,,info@louvresystems.co.nz,,http://louvresystems.co.nz,,,
Louvresky,453,,sales@louvresky.co.nz,,https://louvresky.co.nz,,,
LouvreTec Bay of Plenty/ Waikato,OL31,,office@louvretec.com,,http://louvretec.co.nz,,,
Maanghang Chili Garlic,520,,maanghangchiligarlic@gmail.com,,http://maanghang.co.nz,,,
Manchester Unity,242,,info@manchesterunity.org.nz,,https://manchesterunity.org.nz,,,
Marc Doyle TreeWork,GL08,,admin@marcdoyletreework.co.nz,,https://marcdoyletreework.co.nz,,,
Masada/Cosy Home Exteriors,447,,admin@masada.co.nz,,https://masada.co.nz,,,
Mckenzie & Willis,167,,rebeccal@mcw.nz,,http://mcw.nz,,,
Mediterranean Foods Warehouse,501,,,,,,,
Method Building Inspections,228,,,,,,,
Meyer Cheese,500,,,,,,,
MIELE,428,,Sales@totalkitchens.co.nz,,,,,
Miracle Shammy,231,,,,,,,
Miracle Whisk,F03,,just4unz@gmail.com,,,,,
Mizzoni Pizza,SE02,,,,https://tripadvisor.co.nz,,,
Moki Jewellery,MP06,,mokidesign1@gmail.com,,,,,
Momentum Building Ltd,326,,admin@momentumbuildingltd.co.nz,,http://momentumbuildingltd.co.nz,,,
Mon's Flavors,506,,,,,,,
Mr Ralph,147,,info@mrralph.co.nz,,https://mrralph.co.nz,,,
mushborn,518,,info@mushborn.co.nz,,https://mushborn.co.nz,,,
My Financial Architect,328,,,,https://homeandgardenshow.co.nz,,,
Nano-Clear NZ,320,,connect@nanoclear.co.nz,,http://nanoclear.co.nz,,,
Nappy Cake Cafe,MP12,,nappycakecafe@yahoo.com,,https://nappycakecafe.co.nz,,,
Narellan Pools Waikato,329,,waikatopools@narellanpools.co.nz,,https://narellanpools.co.nz,,,
Natural Edge Sculptures,OL33,,,,,,,
Navigation Homes Waikato,417,,,,https://navigationhomes.co.nz,,,
Neet Dhiman - Mortgage Supply Co,260,,neet@mortgagesupply.co.nz,,,,,
NEFF,429,,Sales@totalkitchens.co.nz,,,,,
New Style Direct,254,,,,,,,
Norsewood Builders,374,,,,,,,
Norwex Independent Consultant - Marie Care,244,,simplycleanerbrighter@gmail.com,,,,,
NT Joinery,483,,office@ntjoinery.co.nz,,https://ntjoinery.co.nz,,,
NZ Gutter Protection Ltd,160,,martin@gutterprotect.co.nz,,http://gutterprotect.co.nz,,,
NZ Labour Party,169A,,,,,,,
NZ Natural Formulas,F05,,info@nznaturalformulas.co.nz,,,,,
NZ Sure,170,,info@nzsure.co.nz,,https://nzsure.co.nz,,,
Oh Dutch,SE05,,connect@ohdutch.co.nz,,,,,
Ohiwa Black Diamond Truffles,542,,trufflesohiwa@gmail.com,,,,,
Oly Life,263,,,,,,,
One Property Management,258,,,,,,,
Panda Golden Ear Dumplings,SE11,,,,,,,
Paudin Knives,543,,,,,,,
Peplers Gourmet Ltd,561,,sales@peplers.co.nz,,http://peplers.co.nz,,,
