company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Abdichtungstechnik von dem Hagen ISOTEC,2-209,www.isotec.de/erfurt,,,https://isotec.de,"Fichtenweg 30, 99098 Erfurt",,
Bauherren-Schutzbund e.V.,2-207,www.bsb-ev.de,office@bsb-ev.de,+49-30400339500,https://bsb-ev.de,"Brückenstr. 6, 10179 Berlin",,
BauSan,2-308,immer mit >Hydrochemie unterwegs,bretschneider@bausan-trockenlegung.de,234 07688,https://bausan-trockenlegung.de,"Altgernsdorf 20, 07957 Langenwetzendorf",,
be Around GmbH,2-206,,info@aroundhome.de,08002929294,https://aroundhome.de,"Potsdamer Platz 11, 10785 Berlin / Mitte",,
BERGMANN Beton + Abwassertechnik GmbH,2-201,Teilnahme an Jenaer Baumesse Kläranlagen,,,https://wbs-clean.de,"Am Zeisig 8, 09322 Penig",,
BG BAU - Berufsgenossenschaft der Bauwirtschaft,2-106,Nur als Rechnungsadresse verwenden. Post geht aber IMMER nach Frankfurt zu Herrn Hans - Martin Kuhl !!!! Neu: RG immer per E-Mail: eingangsrechnung@bgbau.de Straße geändert am 24.02.2025 - AH,,08003799100,https://bgbau.de,"Bundesallee 210, 10719 Berlin",,
Bien - Zenker Musterhaus,2-212,,info@bien-zenker.de,06661 98-0,https://bien-zenker.de,"Bei den Froschäckern 41, 99098 Erfurt",,
Blaurock International Sales GmbH,2-405,,info@blaurock.de,+49 9771 91020,https://blaurock.de,"Am Fronhof 10, 97616 Salz",,
Dachdeckerei Schröder,2-214,,info@dachdeckerei-wechmar.de,036256 / 80780,https://dachdeckerei-wechmar.de,"Erfurter Landstraße 22, 99869 Drei Gleichen",,
Dachdeckermeisterbetrieb Milden Hoyer GmbH,2-208,,info@dachdecker-mildenhoyer.de,+493620281751,https://dachdecker-mildenhoyer.de,"Am Sportplatz 6, 99869 Drei Gleichen",,
E.u.r.o. Tec GmbH,,,info@eurotec.team,,https://eurotec.team,"Unter dem Hofe 5, 58099 Hagen",,
Energiekonzepte Deutschland GmbH,2-507,,info@ekd-solar.de,+493429898990,https://ekd-solar.de,"Torgauer Str. 336, 04347 Leipzig",,
Enpal B.V.,2-124,,service@enpal.de,‍+493030808052,https://enpal.de,"Koppenstr. 8, 10243 Berlin",,
ETA Heiztechnik GmbH,2-402,"Pellets, Stückholz, Hackgut, Systemkomponeten erneuerbare E. 2006 / event. MITAUSSTELLER BEI KLIEWE Aussteller HAUS 2013",info@eta.co.at,0043773422880,https://eta.co.at,"Gewerbepark 1, 4716 Hofkirchen an der Trattnach Aigen",,
Garagen-Stiede,2-312,"Garagen, Tore, Türen, Antriebe Garagenvertrieb, Tore & Antriebe Stiede Aussteller Thüringen Ausstellung 2008",elektro-stiede@t-online.de,03 62 00) 6 57 21,https://garagen-stiede.de,"An der Dorfstr. 7c, 99334 Elleben",,
Georgius Küchen Handel GmbH,2-416,Küchen,info@laxintage.de,+49(0)3493/81556,https://laxintage.de,"Friedrich Wöhler Ring 8, OT Sandersdorf, 06749 Bitterfeld-Wolfen",,
GK Sanierungen,2-314,,info@gk-sanierungen.de,+491776300300,https://gk-sanierung.de,"Zwickauer Str. 187, 09116 Chemnitz",,
Göhler Treppen GmbH & Co. KG,2-116,,info@tischler-sachsen.de,0351 28 178 51,https://tischler-sachsen.de,"Frauensteiner Str.7, 09623 Frauenstein-Burkersdorf",,
Hanse Haus GmbH,2-305,,steffen@stlart.de,+499741808409,https://hanse-haus.de,"Ludwig-Weber-Str. 18, 97789 Oberleichtersbach",,
HEIM & HAUS Ausstellung Erfurt,2-301 + 2-603,,,+49 (0) 203 / 40 64 40,https://heimhaus.de,"Am Urbicher Kreuz 24, 99099 Erfurt",,
Herrmann Massivholzhaus GmbH,2-403,irgendwo Aussteller,,036967 502-0,https://herrmann-massivholzhaus.de,"Industriestraße 2, 36419 Geisa",,
HKS H. Lode,2-110,,,,https://messejena.de,"Adolf Damaschke Str. 59, 08606 Oelsnitz",,
HYLA Vertriebspartner,2-309,,,,,"Trift 18a, 36433 Bad Salzungen",,
