company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
AlarmHub,,Connettiamo l'impossibile!,,,https://alarmhub.it,"Str. Torrenuova, 1 - 04100 Latina LT",,
Airzone,,"Benvenuto in Airzone, leader mondiale in soluzioni di controllo HVAC, impianti di riscaldamento, ventilazione e climatizzazione. Scopri i nostri sistemi.",,,https://airzonecontrol.com,,,
"Apave in Italia: Servizi di Ispezione, Formazione e Consulenza Rischi",,"Organismo di certificazione, ispezione e controllo, specializzato nella gestione dei rischi, per accompagnare aziende e comunità nel loro sviluppo futuro ​ Nel 2019 Apave Italia ha festeggiato i 25 anni di attività. È presente in Italia con 3 aziende: Apave Italia CPM ,Apave Certification Italia e Tecno Piemonte, enti accreditati, di terza parte e indipendenti. Fa parte del Gruppo Apave dal 1994 e si è specializzata in 6 settori: ​- Certificazione - Laboratori - Ispezioni tecniche ​- Verifiche periodiche regolamentari - Formazione - Sanificazione ambientale",,,https://italy.apave.com,,,
Realizzazione impianti di energia rinnovabile,,"ASTECO è in grado di offrire al cliente una vasta gamma di servizi con la massima cura, tecnologia e massima qualità: contattaci per informazioni!",info@astecosrl.com,+39 0835980232,,"Zona Art.le D/1, 75025, Policoro, MT, IT",Policoro,
Bosch in Italia,,"Tecnologia per la vita: vogliamo che i nostri prodotti suscitino entusiasmo, migliorino la qualitÃ della vita e contribuiscano a preservare le risorse naturali.",,+390236961,https://bosch.it,,,
BIOmat Canapa,,,,04823950722,https://biomatcanapa.it,,,
"COFIDI IMPRESE E TERRITORI SOCIETÀ COOPERATIVA DI GARANZIA COLLETTIVA FIDI, Consorzio Cooperativa Artigiani Fidi",,"COFIDI IMPRESE E TERRITORI SOCIETÀ COOPERATIVA DI GARANZIA COLLETTIVA FIDI, Consorzio Cooperativa Artigiani Fidi",relazioniesterne@cofidi.it,+390805910911,https://cofidi.it,,,
distrimat,,,,,https://distrimat.net,,,
Delta Dore: Soluzioni Smart per una Smart Home,,"Scoprite tutti i prodotti e le soluzioni smart Delta Dore per i vostri progetti di Smart Home, Riscaldamento, Illuminazione, Allarme, Tapparelle, Cancelli",,,https://deltadore.it,,,
DistechControls,,"Distech Controls connects people with intelligent building solutions and forward-thinking technologies for smarter, safer, and greener spaces.",,,https://distech-controls.com,,,
DNAKE,,DNAKE Ã¨ un produttore e innovatore leader e affidabile nel settore dei videocitofoni IP e delle relative soluzioni.,,,https://dnake-global.com,,,
Soluzioni Antincendio,,,info@soluzioniantincendio.it,0804038620,https://soluzioniantincendio.it,,,
eltako1,,,,,,,,
Electronic's Time,,"Distributore di sistemi di sicurezza per professionisti da oltre 30 anni: antintrusione, videosorveglianza, accessi, antincendio. 7 filiali, oltre 120 marchi.",,+390804802711,https://electronicstime.it,"Via Madonna Piccola, 32/Q-R, 74015, Martina Franca, TA, IT",Martina Franca,
Electraline,,"Scopri i prodotti elettrici Electraline: multiprese, prolunghe, adattatori, soluzioni CEE, illuminazione, domotica, frutti, placche, tubi, canaline e cavi.",,2021/2027,https://electraline.com,,,
Exacomtech: Efficientamento energetico & ecosistemi intelligenti,,,,0832 1523438,https://exacomtech.it,,,
"Enegan, Energy Partner",,"Enegan, l’azienda che dà energia alle aziende, il tuo Energy Partner. Primi nel green e nel supporto al tuo business. Scopri offerte luce e gas per aziende.",,01/04/2025,https://enegan.it,"Viale Spartaco Lavagnini 20, 50129, Firenze, FI, Italia",Firenze,
Home,,"Elettronica Tirrito - illuminazione LED, telecontrollo, IoT, smart building e sistemi elettronici.",info@elettronica-tirrito.it,+39 0935 1865109,,,,
Ranieri PugliAsfalti,,,info@grupporanieri.it,05356890722,https://grupporanieri.it,,,
EXPOFIN enjoy future!,,"Expofin propone l'efficienza energetica da fonti rinnovabili, trasformando in chiave green i settori produttivi, le industrie, la mobilità, il residenzial",segreteria@expofin.it,05419570287,https://expofin.eu,,,
logo elmax,,,,,https://elmaxsrl.it,,,
ELSI,,,,01536710799,https://elsikr.it,,,
Ettroit,,Descrizione,info@ettroit.com,+39 081 0000000,https://ettroit.com,,,
Energiasolare100,,"Benvenuto in Energiasolare100, il tuo punto di riferimento per l'energia solare di qualità. Scopri la vasta selezione di pannelli solari ad alte prestazioni, impianti fotovoltaici all'avanguardia e batterie solari affidabili. Siamo qui per offrirti soluzioni solari innovative che garantiscono risparmio energetico, sostenibilità ed un futuro più eco-friendly. Scegli l'energia pulita con Energiasolare100 e inizia a vivere una vita sostenibile.",,+39 080.4780349,https://energiasolare100.it,"Viale Donato Saponaro,55, 70016, Noicattaro, BA, Italia",Noicattaro,
FRITZ!,,Scopri FRITZ! - Informati sulle soluzioni versatili e facili da usare per la tua connessione Internet e la rete locale.,,,https://fritz.com,,,
Finish Village,,"Da oltre 50 anni, Finish Village si dedica alla produzione di profili per cartongesso e alla vendita al dettaglio e all’ingrosso di materiale edile.",finishvillage@pec.it,0808965928,https://finishvillage.it,,,
FAIT srl,,"FAIT srl - Dal 1953 progettiamo, costruiamo e distribuiamo soluzioni innovative per il tuo impianto TV. Siamo esperti di distribuzione terrestre e satellite, fibra ottica ottica, impianto multiservizio, soluzioni FTTH.",fait@fait.it,39 06 30812203,https://fait.it,"11060 Via Trionfale, 00100, Roma, 62, IT",Roma,
Soluzioni energetiche decarbonizzate,,Soluzioni complete di infrastrutture energetiche per l’industria e il real estate ▶ Scopri di più su GETEC!,,,,,,
Hopetrek,,Hopetrek,,2011-2024,https://hopetrek.com,,,
Helty,,"Helty offre soluzioni VMC decentralizzate innovative e facili da installare, per vivere in ambienti più sani ✔️ confortevoli ed efficienti ✔️",,+39 0445 16 70 174,https://heltyair.com,,,
"Produzione e Distribuzione Cavi, Cablaggi e Connettori",,"Produzione cavi, cablaggi, connettori, componenti. Decennale esperienza tecnica e commerciale. HAR&CA opera con sedi in Italia, Cina e Hong Kong.",info@hareca.it,+39 0295339880,,,,
Honeywell Technologies: guidare il percorso verso l’autonomia industriale,,"Honeywell Technologies guida il passaggio dall’automazione all’autonomia, offrendo soluzioni e software mission-critical che favoriscono la produttività e la crescita.",,,https://honeywell.com,"855 S. Mint Street, 28202, Charlotte, NC, US",Charlotte,
Irondom,,,info@irondom.it,+390825988950,https://irondom.it,,,
Logo Sistema Costruttivo ISOTEX ITA page 0001,,,,,https://blocchiisotex.com,,,
INCOVAR - sistemi performanti per il foro finestra - Castellana Grotte,,"Produzione monoblocchi prefabbricati, cassonetti coibentati per tapparelle e frangisole, VMC per isolamento termoacustico del foro finestra",info@incovar.it,+390804966012,https://incovar.it,"Castellana Grotte, BA, IT",Castellana Grotte,
IessOnline,,"IESS è il punto di riferimento per installatori, grossisti, progettisti e privati che cercano soluzioni di sicurezza affidabili e supporto costante",,01738580289,https://iessonline.com,,,
ineltec,,,,,https://ineltec.it,,,
KNIPEX,,,,,https://knipex.com,,,
Leviton,,"Leviton offers a wide range of lighting controls, wiring devices and networking to meet the needs of today’s residential, commercial and industrial customers.",,,https://leviton.com,,,
EasyPTT,,"Radio PoC Push-to-Talk su 4G/5G, sistemi DAS e soluzioni mission-critical per aziende, PA ed enti. Distributori Hytera, Tassta, Airbus Agnet. Spedizione 24h, assistenza inclusa. Richiedi una consulenza.",,+39 07761666305,https://easyptt.it,"Via Colle di Sora al KM 3, 03030, Campoli Appennino, FR, IT",Campoli Appennino,
LEM ELETTRONICA,,,info@lemelettronica.it,030 965 1571,https://lemelettronica.it,,,
Midsummer,,"Midsummer presenta con orgoglio una nuova generazione di tetti a celle solari prodotti in Svezia, su misura per tutti i tipi di tetto e progettati in modo così discreto che quasi non li vedi. Investi per il futuro con il tetto solare di Midsummer.",info@midsummersolar.it,,https://midsummer.se,,,
