company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
AKOST GmbH,,Skandinavisch Wohnen Boreal und Fjord Häuser Holzhäuser Einfamilien- und Mehrfamilienhäuser,info@akost.de,0395 / 5706920,https://akost-hausbau.de,Kalübber Str. 1 D – 17039 Zirzow,Zirzow,
Bosch Thermotechnik GmbH | Buderus,,"Heizsysteme Wärmeerzeuger (Wärmepumpen, Gasheizungen, Öl-Heizungen, Biomasse Wärmeerzeuger, Elektro-Heizgeräte) Elektrifizierung Solareneergie (Solarmodule, thermische Solarkollektoren) Klimageräre Wohnungslüftung Warmwasserbereitung Pufferspeicher Regelsysteme Heizkörper, Fußbodenheizungssysteme Wärmeverteilung",berlin.brandenburg@buderus.de,03304 / 3770,https://buderus.de,Berliner Str. 1 D – 16727 Velten,Velten,
Die Bauherrenhilfe | Inh. Jürgen Wirsching,,gutachterliche Begleitung von Bauvorhaben,info@die-bauherrenhilfe.de,030 / 34781153,https://die-bauherrenhilfe.de,Schaumburgallee 12a D – 14052 Berlin,Berlin,
Duschking Berlin-Süd GmbH,,"Meine neue Dusche in 2 Tagen, fugenlos, schnell und sauber Dusch- und Badsanierung",info@duschkingberlin-sued.de,033702 / 144949,https://duschking-berlinsued.de,Berliner Allee 48a D – 15806 Zossen,Zossen,
EcoSunConsulting GmbH,,"Eigenstromversorgung – Planung, Realisierung und Wartung",kontakt@ecosun-consulting.de,03371 / 5996792,https://ecosun-consulting.de,Fichtestr. 3 D – 14943 Luckenwalde,Luckenwalde,
Eigenheimwohnen EWG GmbH,,Massivhausbau Ein- und Zweifamilienhäuser Doppel- und Reihenhäuser Mehrfamilienhäuser Energetische Modernisierung im Bestand,info@eigenheimwohnen.de,03379 / 3126600,https://eigenheimwohnen.de,Town & Country Lizenz-Partner Zossener Damm 13 D – 15827 Blankenfelde-Mahlow,Blankenfelde-Mahlow,
Elbe-Haus GmbH | BauherrenZentrum Berlin,,Architektenhäuser Massivhäuser,berlin@elbe-haus.de,030 / 20914790,https://elbe-haus.de,Landsberger Str. 262 D – 12623 Berlin,Berlin,
Elektro Rümpel und Sohn GmbH,,"Elektroinstallation, Photovoltaik",info@elektro-ruempel.de,03377 / 301015,https://elektro-ruempel.de,Feldstr. 22 D – 15806 Zossen,Zossen,
Fläming Finanz | Anke Grametzki,,Finanzierungen Immobilienfinanzierungen inklusive Anschlussfinanzierung Modernisierungs- und Förderkredite,info@flaemingfinanz.de,033708 / 441373,https://baufinanzierung-rangsdorf.de,Rosenaue 10 D – 15834 Rangsdorf,Rangsdorf,
HEIM & HAUS Bauelemente Vertriebs GmbH,,Markisen Rolläden Sonnenschutz Kunststofffenster Haustüren Vordächer Überdachungen,buero-nauen@heimhaus.de,03321 / 450393,https://heimhaus.de,Robert-Bosch-Str. 2 D – 14641 Nauen,Nauen,
Heinke & Streich GbR,,"funktionale Steinbeläge für Terrasse, Treppe, Balkon",buerostreich@t-online.de,0151/19148717,,Am Nottefließ 55 D – 15711 Königs Wusterhausen,Königs Wusterhausen,
Ihr Sanierungsteam | Wilhelm Burg,,Steinreinigung Epaxidharzverfugung Steinteppich Garten- und Landschaftsbau,info@ihrsanierungsteam.de,0173 / 8340443,https://ihrsanierungsteam.de,Backeshof 8 D – 41238 Mönchengladbach,Mönchengladbach,
Ingenieurbüro für erneuerbare Energien K&K GmbH,,"Photovoltaik, Wärmepumpen",info@iee-solar.de,05371 / 5898857,,Robert-Bosch-Str. 3 D – 38518 Gifhorn,Gifhorn,
js messe consult | Inh. Jens Sabbarz,,"Messekonzeption Messemarketing Messeorganisation Messeservice Unsere nächsten Haus-, Bau- und Handwerksmessen – Mein HAUS und GARTEN – clever BAUEN | ENERGIE sparen | schöner WOHNEN : PotsdamBau | 07. + 08. März 2026 | Potsdam – Metropolis Halle OderlandBau | 21. + 22. März 2026 | Frankfurt (Oder) – Messegelände HavellandBau | 03. + 04. Oktober 2026 | Falkensee – Stadthalle BarnimBau | 24. + 25. Oktober 2026 | Bernau bei Berlin – S-Arena Bernau FlämingBau | 14. + 15. November 2026 | Luckenwalde – Fläminghalle OderSpreeBau | 06. + 07. Februar 2027 | Erkner – Stadthalle Alle Messen unter messe-brandenburg.de , oder für aktuelle Informationen und Angebote im Infoverteiler eintragen.",info@messe-brandenburg.de,03338 / 3596985,,Börnicker Str. 98 D – 16356 Ahrensfelde,Ahrensfelde,
LBS Landesbausparkasse NordOst AG,,"Bausparen, Baufinanzierungen, Immobilien auf dem Messestand der Sparkasse Barnim",info-potsdam@lbs-nordost.de,0331 / 9690123,https://lbs.de,Bausparkasse der Sparkassen Am Luftschiffhafen 1 D – 14471 Potsdam,Potsdam,
Lifta GmbH,,"Treppenlifte, Hauslifte, Rollstuhllifte auf dem Messestand des VDGN – Verband Deutscher Grundstücksnutzer e.V.",lifta@lifta.de,02234 / 504272,https://lifta.de,Horbeller Str. 33 D – 50858 Köln,Köln,
masson GmbH,,Garten- und Terrassenmöbel aus Fieberglas,ludwig@masson.de,03831 / 442921,https://masson-möbel.de,Robert-Koch-Str. 21 D – 18442 Wendorf,Wendorf,
Masuch GmbH,,"Kamine, Kachelöfen, Kaminöfen, Gaskamine, Schornsteine",info@masuch-kamine.de,030 / 6936595,https://masuch-kamine.de,Jahnstr. 4 D – 10967 Berlin,Berlin,
Mecklenburgische Versicherungs-Gesellschaft a. G.,,Hausratversicherung Rechtsschutzversicherung Haftpflichtversicherung,info.rarrasch@mecklenburgische.com,03371 / 4048451,https://mecklenburgische.com,Bezirks-Generalvertretung Torsten Rarrasch Gottower Str. 62 D – 14943 Luckenwalde,Luckenwalde,
Mittelbrandenburgische Sparkasse,,Baufinanzierung Bausparen,kontakt@mbs.de,0331 / 89814111,,Saarmunder Str. 61 D – 14478 Potsdam,Potsdam,
Nelson Park Terrassendächer GmbH,,"Terrassendächer Kaltwintergärten Beschattungen Carports Vordächer Photovoltaik, Solar",info@nelsonpark-td.de,04521 / 8264817,https://nelsonpark-td.de,Albert-Einstein-Str. 23 D – 23701 Eutin,Eutin,
PMT Agency | Inh. Intisar Malik,,EnPal Photovoltaik Anlagen und Beratung,intisar.malik@pmt-agency.de,01520 / 8885488,https://pmt-agency.de,Am Moor 24 D – 21502 Geesthacht,Geesthacht,
Prefa GmbH | Alu-Dächer und -Fassaden,,"Dach-, Dachentwässerungs- und Fassadenprodukte aus Aluminium Hochwasserschutz, Solar",office.de@prefa.com,036941 / 7850,https://prefa.com,Aluminiumstr. 2 D – 98634 Wasungen,Wasungen,
ProBauSan,,Anti Graffiti Schutz Dach und Fassade Lärmschutz Dachreinigung/Beschichtung,info@probausan.de,03984 / 8358692,https://probausan.de,VM PROTECT95 UG (haftungsbeschränkt) Inh. Bernd Tank Goethestr. 54 D – 17291 Prenzlau,Prenzlau,
RENOfloor GmbH,,Bodenbelagsysteme auf dem Messestand der Heinke & Streich GbR,,,,Mittlere Stämmig 2 D – 97292 Uettingen,Uettingen,
SCB Solar Company Berlin GmbH,,Photovoltaik,vertrieb@solarcompanyberlin.de,03362 / 9329215,https://solarcompanyberlin.de,Fürstenwalder Str. 4 D – 15537 Erkner,Erkner,
Solar GMI GmbH,,Photovoltaik und Wärmepumpen,info@solar-gmi.com,030 / 754371230,https://solar-gmi.com,Stresemannstr. 23 D – 10963 Berlin,Berlin,
Vaillant Deutschland GmbH & Co. KG,,"Wärmepumpen, Brenn- und Heizwertgeräte",thomas.foell@vaillant.com,0171 / 9763058,https://vaillant.de,Marzahner Str. 24 D – 13053 Berlin,Berlin,
VDGN e.V. | Verband Deutscher Grundstücksnutzer,,"Schutz, Rat und Hilfe rund um Haus und Grundstück",info@vdgn.de,030 / 5148880,https://vdgn.de,Irmastr. 22 D – 12683 Berlin,Berlin,
Verbraucherzentrale Brandenburg e.V.,,Verbraucherberatung Verbraucherschutz Energieberatung,energie@vzb.de,0331 / 98229995,https://verbraucherzentrale-brandenburg.de,Babelsberger Str. 18 D – 14473 Potsdam,Potsdam,
