company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
3D WELT Vermessung GmbH,hall 2 Stand H14,,info@3dwelt-vermessung.de,07520 969930,https://3dwelt-vermessung.de,"Fohlenweide 39, 88279 Amtzell",Amtzell,
4Scans GmbH,hall 2 Stand G16,,info@4scans.com,01520 8145763,https://4scans.com,"Ostpreußenstr. 3, 61250 Usingen",Usingen,https://www.linkedin.com/company/4scans-gmbh
A.S. Exclusiv,hall 2 Stand H16,,asint@t-online.de,0221 446644,https://heissklebepistole.de,"Gabelsbergerstr. 31, 50674 Köln",Köln,
ADILO GmbH,hall 2 Stand K09,,info@adilo-bayern.de,09492 600970,https://adilo-bayern.de,"Burgstr. 8, 92331 Parsberg",Parsberg,
Adolf Schmidt Metallwaren- und Holzschraubenfabrik GmbH,hall 2 Stand I15,,katrin.kuenstler@asw24.de,0202 695180,https://asw24.de,"Essener Str. 39, 42327 Wuppertal",Wuppertal,
ADW - Archäologische Dienstleistungen Wolff,hall 2 Stand I18,,info@archaeologie-wolff.de,0176 34329586,https://archaeologie-wolff.de,"Keltenstr. 19, 74736 Hardheim",Hardheim,
Aerolight GmbH,hall 2 Stand F27,,t.reiner@aerolight.net,0203 28 98 09 27|0160 1165356,https://aerolight.net,"Franz-Haniel-Platz 1, 47119 Duisburg",Duisburg,https://www.linkedin.com/in/christophdworatzyk/
AG Historische Bauforschung der VDL,hall 2 Stand I40,,stephanie.otto@lda.berlin.de,030 902593722,https://lda.berlin.de,"Klosterstr. 47, 10179 Berlin",Berlin,
AGC Glass Europe SA,hall 2 Stand B08,,Clement.Lemoine@agc.com,0033 76 3303071,https://fineoglass.eu,"Avenue Jean Monnet 4, 1348 Ottignies-Louvain-la-Neuve",Ottignies-Louvain-la-Neuve,https://www.linkedin.com/showcase/fineo-by-agc
Allianz Textiles Denkmal gGmbH SEIDENMANUFAKTUR eschke Cammann Gobelin Manufaktur,hall 2 Stand K32,,info@seidenmanufaktur.de,03762 489875,https://seidenmanufaktur.com,"Carl-Spengler-Str. 1, 08451 Crimmitschau",Crimmitschau,
Altrichter Ökobau GbR,hall 2 Stand D22,,christian.altrichter@altrichteroekobau.com,0151 64307604,https://altrichteroekobau.com,"Jägerstr. 16, 94089 Neureichenau",Neureichenau,
AnthroLab Chiara G. M. Girotto,hall 2 Stand H06,,info@anthro-lab.de,004915146546609,https://anthro-lab.de,"Peter-Dörfler-Str. 5, 80997 München",München,https://www.linkedin.com/company/anthro-lab/
anuvito GmbH,hall 2 Stand I30,,info@romoe.com,036846 60572,https://romoe.com,"Mauer 3, 98530 Dillstädt",Dillstädt,
"Anzenberger, Schmid, Winkler GbR",hall 2 Stand I12,,aa@illisystems.de,,https://illisystems.de,"Claude-Lorrain-Str. 23, 81543 München",München,
Arbeitsgemeinschaft der Bildungs- zentren für handwerkliche Denkmalpflege,hall 2 Stand K28,,info@akademie-des-handwerks.de,02865 6084-0,https://arge-handwerkdenkmalpflege.de,"Freiheit 25 -27, 46348 Raesfeld",Raesfeld,
Arbeitsgemeinschaft Deutsche Fachwerkstädte e.V.,hall 2 Stand I34,,info@fachwerk-arge.de,0661 43680,https://fachwerk-arge.de,"Johannesberger Str. 2, 36041 Fulda",Fulda,
Arbortech Europe GmbH,hall 2 Stand L46,,info@arbortech-europa.de,02724 2880474,https://arbortech-europa.de,"Hallenstr. 13, 57413 Finnentrop",Finnentrop,
Architektenkammer Sachsen,hall 2 Stand I02,,dresden@AKSachsen.org,0351 31746-0,https://aksachsen.org,"Goetheallee 37, 01309 Dresden",Dresden,
Archäologisches Büro Anzenberger & Leicht GbR,hall 2 Stand K15,,birgit.anzenberger@ab-al.de,08708 9281870,https://ab-al.de,"Schatzhofen 3 b, 84095 Furth",Furth,
ArGe SuedOstLink,hall 2 Stand I08,,sikko.neupert@grabungsfirma-bayern.de,0177 2707767,https://grabungsfirma-bayern.de,"Pariser Str. 14, 81669 München",München,https://www.linkedin.com/company/b%C3%BCro-f%C3%BCr-arch%C3%A4ologie-neupert-kozik-simm-gbr
AriInfoWare GmbH,hall 2 Stand I30,,alexander.stenzer@ariinfoware.de,0851 96609021,https://openmonarch.org,"Innstr. 69 b, 94032 Passau",Passau,
ARTSER Srl,hall 2 Stand F28,,matteo.campari@artser.it,0039 332 256290,https://artser.it,"Viale Milano 5, 21100 Varese (VA)",Varese (VA),https://linkedin.com/company/artser/
AST- Archäologischer Service Tschuch,hall 2 Stand K33,,buero@ast-archaeologie.de,0176 80875322,https://ast-archaeologie.de,"Reichenberger Str. 34, 90480 Nürnberg",Nürnberg,
Attenberger Bodenziegel GmbH,hall 2 Stand D11,,info@bodenziegel.de,08085 187337,https://bodenziegel.de,"Krähmühle 1, 84427 Sankt Wolfgang",Sankt Wolfgang,
Aurich & Hallbauer GmbH Mitteldeutsche Vermessungstechnik,hall 2 Stand I30,,service@vermessungsinstrumente.de,0341 4774731,https://mitteldeutsche-vermessungstechnik.de,"Endersstr. 28, 04177 Leipzig",Leipzig,https://de.linkedin.com/company/aurich-&-hallbauer-gmbh
AURO Pflanzenchemie AG,hall 2 Stand D01,,info@auro.de,0531 28141-0,https://auro.de,"Alte Frankfurter Str. 211 A, 38122 Braunschweig",Braunschweig,https://www.linkedin.com/company/auro-pflanzenchemie-ag
Bauhaus Universität Weimar,hall 2 Stand I50,,dezernat.forschung@uni-weimar.de,03643 582530,https://uni-weimar.de,"Cranachstr. 47, 99423 Weimar",Weimar,https://www.linkedin.com/school/bauhausuni/
Baunativ GmbH & Co. KG,hall 2 Stand F21,,shop@baunativ.de,03435 66699817,https://baunativ-shop.de,"Lichtstr.  3, 04758 Oschatz",Oschatz,https://www.linkedin.com/company/baunativ/?originalSubdomain=de
Baustoffe Haag,hall 2 Stand C04,,info@baustoffe-haag.de,06589 917601,https://baustoffe-haag.de,"Hochwaldstr. 13, 54427 Kell",Kell,
Bauverlag BV GmbH,hall 2 Stand L03,,nico.wiedemann@bauverlag.de,05241 21511414,https://bauverlag.de,"Friedrich-Ebert-Str. 62, 33330 Gütersloh",Gütersloh,https://www.linkedin.com/company/bauverlag-bv-gmbh/mycompany/
beam GmbH,hall 2 Stand F26,,messe@beam.de,08337 7400-12,https://dampfsauger-beam.de,"Illertalstr.  3, 89281 Altenstadt",Altenstadt,https://de.linkedin.com/company/beam-gmbh?trk=similar-companies_org_image
BECK Fastening,hall 2 Stand H09,,chynasinska@beck-fastening.com,0043 07724 2111-388,https://beck-fastening.com,"Raimund-Beck-Strasse 1, 5270 Mauerkirchen",Mauerkirchen,https://www.linkedin.com/company/beck-fastening
BEECK'sche Farbwerke GmbH,hall 2 Stand H02,,info@beeck.com,07333 9607-0,https://beeck.com,"Gottlieb-Daimler-Str. 4, 89150 Laichingen",Laichingen,
Behindertenverband Leipzig e.V.,hall 2 Stand K50,,bauberatung@behindertenverband-leipzig.de,0341 3065120,https://behindertenverband-leipzig.de,"Bernhard-Göring-Str. 152, 04277 Leipzig",Leipzig,
BENGglas B.V.,hall 2 Stand D06,,info@bengglas.nl,0031 013 5342226,https://bengglas.nl,"Fabriekstraat 73, 5051 HN Goirle",Goirle,https://www.linkedin.com/company/bengglas/
Bennert GmbH Betrieb für Bauwerkssicherung,hall 2 Stand L19,,klettbach@bennert.de,036209 4800,https://bennert.de,"Meckfelder Str. 2, 99102 Klettbach",Klettbach,
Beratungsstelle für Handwerk und Denkmalpflege,hall 2 Stand I34,,melanie.nuesch@denkmalpflegeberatung.de,0661 9418396,https://denkmalpflegeberatung.de,"Johannesberger Str. 2, 36041 Fulda",Fulda,
bestHEAT Infrarot-Heizungssysteme,hall 2 Stand D21,,info@bestheat.de,015224213850,https://bestheat.de,"Meißner Str. 88, 01445 Radebeul",Radebeul,
